0-14 yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Oman,103.491,103.616,103.51,103.142,103.171,103.27,103.441,103.689,104.029,104.543,104.906,104.907,104.847,104.933,105.004,105.025,105.004,104.993,104.987,104.981,104.976
Pakistan,107.445,106.515,106.686,107.248,106.858,106.535,106.313,106.153,106.157,105.911,105.685,105.638,105.819,105.964,105.998,105.968,105.864,105.697,105.491,105.278,105.085
Panama,103.084,103.201,103.403,103.345,103.698,103.576,103.757,103.822,103.82,103.975,104.175,104.3,104.418,104.517,104.625,104.719,104.798,104.863,104.917,104.961,104.995
Papua New Guinea,108.523,105.041,103.113,103.467,103.399,104.077,100.444,102.56,105.198,105.927,105.818,106.421,107.062,107.68,107.867,107.961,108.033,108.093,108.143,108.183,108.223
Paraguay,104.408,103.571,103.62,103.669,103.798,103.67,103.482,103.299,103.289,103.34,103.477,103.622,103.675,103.737,103.814,103.896,103.978,104.051,104.115,104.181,104.232
Peru,102.909,103.053,103.139,103.199,103.242,103.29,103.3,103.249,103.19,103.204,103.319,103.517,103.75,103.941,104.075,104.206,104.314,104.395,104.463,104.526,104.586
Philippines,105.483,104.934,104.166,103.249,103.545,103.866,104.071,104.121,104.146,104.248,104.43,104.584,104.711,104.84,105.025,105.23,105.443,105.634,105.808,105.914,105.967
Poland,102.526,104.009,104.085,104.625,104.552,104.962,104.716,104.849,104.665,104.793,105.284,105.563,105.765,105.765,105.718,105.7,105.721,105.748,105.758,105.751,105.744
Polynesia,107.487,105.264,104.267,103.622,103.977,104.99,106.159,106.502,107.53,107.795,107.76,107.06,106.616,106.283,106.052,106.047,106.143,106.188,106.198,106.177,106.138
Portugal,103.701,103.462,103.452,102.757,103.766,102.834,104.061,104.57,104.718,104.927,104.97,105.159,105.766,105.96,105.912,105.889,105.884,105.884,105.884,105.885,105.886
Puerto Rico,103.116,102.941,102.9,102.591,102.717,102.563,103.733,103.509,103.692,103.984,104.642,104.715,105.036,105.324,105.441,105.419,105.386,105.349,105.318,105.291,105.267
Qatar,103.29,103.866,104.263,105.219,105.965,107.206,107.425,105.562,103.605,104.99,104.794,106.637,107.222,105.329,106.223,105.561,105.453,105.503,105.482,105.456,105.432
"Korea, Rep.",109.85,107.393,106.524,106.643,107.243,107.422,106.939,107.248,108.657,110.212,110.026,108.381,108.404,109.13,109.457,108.952,108.447,107.947,107.448,107.101,106.92
Moldova,103.309,103.378,103.495,103.556,103.322,102.31,102.541,103.322,103.451,103.715,102.992,102.056,103.708,104.769,105.783,105.741,105.742,105.757,105.772,105.787,105.802
Reunion,96.365,102.089,101.472,99.501,97.506,100.164,101.107,101.821,100.737,101.407,101.874,101.81,101.533,101.447,101.484,101.523,101.566,101.592,101.6,101.594,101.587
Romania,101.478,103.515,104.172,104.694,104.741,104.89,104.629,104.714,104.465,104.396,104.751,105.432,105.695,105.815,105.92,106.02,106.117,106.209,106.289,106.328,106.332
Russia,103.228,104.969,105.054,104.306,103.685,103.531,103.246,103.465,103.575,104.217,104.59,104.798,105.212,105.419,105.525,105.576,105.601,105.638,105.682,105.724,105.761
Rwanda,99.598,99.232,99.04,98.965,99.132,99.246,98.045,98.232,98.342,98.376,98.6,98.546,98.287,98.194,98.184,98.243,98.369,98.52,98.66,98.773,98.867
Saint Lucia,106.691,103.554,105.209,105.001,104.776,104.267,103.783,103.07,99.476,99.142,99.996,100.989,101.45,102.373,102.808,102.903,102.989,103.041,103.07,103.052,103.052
Saint Vincent and the Grenadines,103.052,100.998,102.053,100.801,102.141,102.286,102.23,101.99,101.757,101.396,101.747,101.953,101.979,101.975,102.001,102.142,102.324,102.474,102.592,102.729,102.849
Samoa,112.944,106.214,103.048,101.841,102.566,104.218,105.908,107.649,109.993,109.665,108.369,107.793,107.878,108.039,108.174,108.264,108.332,108.343,108.388,108.456,108.518
Sao Tome and Principe,102.574,102.564,102.562,105.331,109.349,107.021,104.045,103.095,101.845,102.355,102.395,102.289,102.131,102.012,101.945,101.935,101.96,102.002,102.041,102.073,102.075
Saudi Arabia,103.336,103.321,103.208,103.286,103.524,104.034,102.352,101.859,101.786,102.132,101.373,101.213,101.83,102.078,102.249,102.453,102.631,102.778,102.868,102.905,102.91
Senegal,102.542,101.865,101.355,100.828,100.844,100.898,101.028,101.243,101.471,101.654,101.763,101.832,101.896,101.936,101.955,101.96,102.008,102.1,102.187,102.259,102.323
Serbia,102.428,104.118,105.235,106.73,105.554,106.404,106.636,107.439,107.527,106.734,106.65,107.176,107.709,107.803,107.884,107.968,108.047,108.106,108.127,108.115,108.092
Sierra Leone,99.09,94.729,91.57,89.951,90.842,92.043,93.61,95.082,96.206,96.511,96.929,98.166,99.406,100.148,100.388,100.593,100.834,101.086,101.328,101.536,101.697
Singapore,102.845,105.63,106.369,105.843,105.648,105.789,106.94,107.08,107.67,107.372,107.198,107.168,107.264,107.298,107.308,107.308,107.306,107.303,107.301,107.3,107.3
Slovak Republic,102.769,104.594,105.75,106.587,104.848,104.437,104.311,103.939,104.304,104.54,104.532,105.019,105.227,105.494,105.46,105.503,105.55,105.582,105.593,105.586,105.578
Slovenia,103.67,103.413,103.336,104.386,104.464,104.658,106.761,106.593,106.063,105.075,105.24,105.646,105.517,105.289,105.27,105.272,105.266,105.261,105.258,105.26,105.263
Solomon Islands,103.191,103.263,108.23,108.518,110.345,108.113,108.354,108.618,108.87,109.008,109.368,109.296,109.135,108.903,108.698,108.56,108.487,108.443,108.416,108.45,108.541
Somalia,99.507,99.247,99.066,98.773,99.102,99.404,99.622,99.813,100.055,100.133,100.245,100.433,100.814,101.051,101.174,101.258,101.346,101.422,101.472,101.506,101.526
South Africa,100.273,103.166,104.925,102.536,101.82,101.262,100.681,100.717,100.827,100.968,101.071,101.188,101.216,101.332,101.52,101.788,102.034,102.242,102.416,102.562,102.681
South America,101.985,102.074,102.074,102.126,102.207,102.092,102.072,102.564,103.072,103.462,103.623,103.799,103.951,104.056,104.139,104.212,104.277,104.335,104.385,104.43,104.469
South-Central Asia,105.119,106.046,106.873,107.411,107.192,106.982,106.769,106.73,106.871,107.188,107.474,107.661,107.598,107.513,107.397,107.263,107.149,107.047,106.964,106.897,106.842
South-Eastern Asia,98.948,100.498,101.716,102.489,102.532,102.569,103.136,103.184,103.35,103.49,103.754,104.044,104.297,104.2,104.242,104.318,104.479,104.631,104.763,104.846,104.89
Southern Africa,100.135,102.624,104.169,102.121,101.55,101.101,100.629,100.692,100.818,100.955,101.067,101.187,101.214,101.315,101.477,101.708,101.926,102.12,102.29,102.437,102.558
Southern Europe,103.506,103.801,104.6,105.036,104.9,104.984,105.546,105.735,105.53,105.687,105.766,105.897,106.125,106.243,106.327,106.372,106.418,106.431,106.411,106.399,106.413
Spain,103.039,103.373,104.779,105.439,104.928,104.819,105.758,105.813,105.341,105.57,105.625,105.644,106.052,106.413,106.534,106.501,106.552,106.584,106.525,106.496,106.54
Sri Lanka,105.257,104.05,103.458,102.651,102.611,102.887,103.206,103.317,103.358,103.408,103.57,103.921,103.824,103.867,103.824,103.906,103.982,104.052,104.115,104.143,104.139
Sub- Saharan Africa,99.663,99.979,100.248,100.229,100.379,100.547,100.748,100.947,101.119,101.295,101.475,101.647,101.74,101.778,101.779,101.792,101.824,101.871,101.92,101.964,102.002
Sudan,101.069,101.558,102.002,102.425,102.639,102.884,103.154,103.352,103.495,103.594,103.689,103.741,103.784,103.808,103.825,103.841,103.852,103.858,103.866,103.877,103.937
Suriname,100,103.774,102.941,102.528,102.475,102.508,103.47,105.67,105.733,105.404,104.86,102.697,103.951,105.478,107.197,107.268,107.291,107.316,107.375,107.444,107.504
Swaziland,97.22,97.729,98.262,98.763,99.117,99.457,99.842,100.251,100.741,100.613,100.797,101.056,100.896,100.902,100.912,100.963,101.068,101.217,101.374,101.52,101.668
Sweden,104.732,105.357,105.493,105.845,105.602,105.309,105.077,105.068,105.338,105.414,105.448,105.374,105.324,105.367,105.45,105.489,105.509,105.522,105.536,105.554,105.573
Switzerland,103.96,104.47,104.501,103.958,104.074,104.904,105.003,105.083,104.787,105.369,105.741,105.581,105.653,105.596,105.489,105.493,105.493,105.493,105.492,105.489,105.481
Syria,106.244,105.261,104.098,102.991,102.978,103.087,103.253,103.53,103.791,103.981,104.161,104.197,104.235,104.489,104.628,104.76,104.896,104.965,104.98,104.98,104.98
Tajikistan,99.281,97.967,99.952,103.592,104.124,102.824,102.17,102.485,102.539,102.907,103.182,103.665,103.866,104.005,104.057,104.109,104.19,104.298,104.424,104.52,104.572
"Macedonia, FYR",102.884,104.395,105.731,106.744,105.631,105.958,106.481,105.795,105.813,105.874,106.725,107.385,107.866,107.907,108.013,108.105,108.195,108.249,108.257,108.224,108.19
Thailand,102.916,103.364,102.83,102.932,103.046,103.09,102.726,103.29,103.989,104.312,104.394,104.462,104.493,104.49,104.512,104.534,104.61,104.726,104.849,104.896,104.942
Timor-Leste,102.653,103.115,102.935,103.454,104.023,103.824,107.93,109.368,108.786,106.44,105.107,104.535,104.68,104.687,104.606,104.465,104.327,104.215,104.164,104.151,104.243
Togo,98.493,98.791,98.777,99.091,99.297,99.501,99.705,99.831,99.887,99.865,99.921,100.043,100.201,100.307,100.383,100.447,100.522,100.597,100.65,100.67,100.66
Tonga,106.085,106.556,106.84,106.563,106.437,108.219,109.101,108.543,106.974,109.11,109.448,108.477,108.491,107.256,105.697,105.161,105.179,105.223,105.264,105.31,105.352
Trinidad and Tobago,100.781,100.658,101.276,102.387,101.078,101.274,101.929,102.763,102.923,102.851,102.747,102.752,102.817,102.918,103.052,103.205,103.358,103.49,103.599,103.689,103.761
Tunisia,101.809,101.521,104.537,106.75,103.397,104.833,105.246,105.524,105.901,105.116,105.812,106.385,106.627,106.697,106.788,106.891,107.015,107.095,107.118,107.09,107.065
Turkey,105.988,105.102,106.742,106.323,104.937,105.332,104.723,104.586,104.244,103.924,103.571,103.793,103.934,104.045,104.184,104.375,104.577,104.755,104.908,105.011,105.055
Turkmenistan,106.865,106.292,105.05,104.211,103.076,102.356,101.279,101.625,102.272,102.422,102.61,102.688,102.825,102.98,103.155,103.391,103.571,103.741,103.869,103.946,103.978
Uganda,101.323,100.6,100.109,99.962,100.367,100.758,100.979,101.046,101.095,101.243,101.447,101.532,101.491,101.392,101.285,101.186,101.13,101.125,101.157,101.201,101.244
Ukraine,95.865,99.647,102.684,104.649,104.487,104.273,103.485,103.718,104.033,104.495,105.028,105.273,105.497,105.652,105.652,105.797,105.853,105.914,105.972,106.02,106.06
United Arab Emirates,103.298,103.194,103.151,106.775,110.27,109.358,107.209,106.736,104.873,105.252,104.965,105.577,105.923,103.308,101.885,102.075,102.367,102.152,102.022,102.426,102.747
United Kingdom,104.227,104.719,104.306,104.564,105.081,105.47,105.526,105.151,104.773,104.48,104.97,105.23,105.228,105.227,105.216,105.281,105.32,105.345,105.356,105.364,105.372
Tanzania,97.281,98.144,98.981,99.703,99.913,100.12,100.366,100.626,100.804,100.881,101.069,101.379,101.577,101.611,101.573,101.565,101.57,101.578,101.59,101.646,101.733
United States,104.299,104.437,104.343,104.246,104.279,104.455,104.636,104.739,104.761,104.841,105.008,105.094,105.137,105.204,105.248,105.235,105.222,105.212,105.196,105.178,105.163
Virgin Islands (U.S.),101.017,101.086,98.925,101.143,100.851,101.768,102.054,103.236,102.159,98.647,101.371,102.328,105.166,105.987,106.248,106.241,106.218,106.213,106.251,106.303,106.329
Uruguay,101.304,102.13,102.955,103.817,103.872,103.97,104.127,104.239,104.071,104.315,104.353,104.174,104.302,104.475,104.566,104.529,104.64,104.675,104.704,104.73,104.75
Uzbekistan,100.099,97.51,99.268,102.409,103.11,102.836,102.024,102.202,102.584,102.983,103.413,103.548,103.674,103.796,103.913,104.053,104.191,104.295,104.357,104.374,104.39
Vanuatu,110.153,107.098,104.907,103.167,109.348,110.988,111.754,110.463,109.286,108.429,107.019,106.679,106.009,105.912,105.932,106.032,106.205,106.412,106.598,106.753,106.85
Venezuela,104.132,104.313,104.37,104.03,103.887,103.883,104.023,104.018,104.036,104.111,104.246,104.332,104.382,104.416,104.476,104.533,104.581,104.626,104.666,104.701,104.733
Vietnam,101.375,101.674,101.687,101.586,101.218,100.789,104.092,103.594,103.749,103.722,104.122,105.201,106.495,105.248,104.849,104.445,104.525,104.585,104.631,104.679,104.718
Western Africa,100.138,100.194,100.324,100.584,100.797,101.004,101.251,101.45,101.707,102.064,102.411,102.694,102.826,102.869,102.871,102.893,102.932,102.968,102.992,102.995,102.978
Western Asia,103.767,104.281,105.487,105.234,104.585,104.715,104.494,104.522,104.279,104.213,104.094,104.316,104.591,104.711,104.737,104.768,104.796,104.831,104.876,104.929,104.966
Western Europe,103.863,104.384,104.549,104.761,104.72,104.814,104.944,104.791,105.088,105.057,105.11,105.071,105.013,104.88,104.806,104.811,104.815,104.814,104.81,104.808,104.808
Western Sahara,100.411,101.008,101.172,101.412,105.425,103.48,101.868,102.108,102.734,103.108,103.306,103.5,103.391,103.391,103.477,103.586,103.704,103.845,104.037,104.267,104.471
WORLD,104.944,104.661,104.667,104.672,104.794,104.884,104.837,104.825,105.181,105.833,106.513,107.019,107.126,107.002,106.701,106.384,106.089,105.854,105.676,105.537,105.409
"Yemen, Rep.",103.172,103.829,104.252,104.524,104.602,104.739,104.853,105.131,105.11,104.903,104.333,103.98,103.801,103.737,103.718,103.702,103.709,103.761,103.834,103.979,104.174
Zambia,102.642,101.779,101.022,100.275,100.479,100.636,100.726,100.853,100.945,101.029,101.072,101.104,101.076,101.023,100.992,101.017,101.058,101.114,101.165,101.21,101.253
Zimbabwe,103.116,101.94,101.246,100.899,101.037,101.137,100.815,100.578,100.369,100.462,100.526,100.6,100.649,100.598,100.493,100.413,100.404,100.473,100.598,100.723,100.837
