Male long-term unemployment (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Costa Rica,0.3000000119,0.8000000119,1,1.200000048,0.8000000119,0.8999999762,1.200000048,0.5,0.5,0.200000003,0.3000000119,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003,0.6000000238,0.6999999881,0.3000000119,0.5,0.5,0.5,,,,,,
Czech Rep.,,,,,,,,,,,,,,0.6000000238,0.6999999881,0.8999999762,0.8999999762,1.100000024,1.5,2.299999952,3.400000095,3.400000095,3,2.900000095,3.5,3.400000095,3.099999905,2.200000048
Denmark,,,,3.599999905,2.400000095,2.099999905,1.100000024,1,1.200000048,1.399999976,2.200000048,2.400000095,2.099999905,2.400000095,2.299999952,1.799999952,1.600000024,1.200000048,0.8999999762,0.8999999762,0.8000000119,0.8999999762,0.6999999881,1.100000024,1.100000024,1.200000048,0.6999999881,0.6000000238
Dominica,,,,,,,,,,,,,,,,,,7.699999809,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,0.3000000119,0.200000003,,,0.200000003,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,4.400000095,4.900000095,,,,,,,,,
Finland,0.8999999762,,1,0.8999999762,1.100000024,1,0.8000000119,1,,0.1000000015,,1,,7.099999905,,5.900000095,4.599999905,4.400000095,3.900000095,3,2.700000048,2.299999952,2.299999952,2.400000095,2.099999905,2.099999905,1.899999976,1.700000048
France,1.399999976,1.600000024,1.600000024,2,2.299999952,3,3.200000048,3.200000048,2.900000095,2.599999905,2.299999952,2.200000048,2.400000095,2.700000048,3.700000048,3.799999952,3.599999905,4,4.099999905,3.799999952,3.299999952,2.5,2.400000095,3,3.099999905,3.099999905,3.400000095,2.900000095
Germany,,,,,,,,,,,,1.600000024,1.799999952,2.299999952,3,3.200000048,3.599999905,4.199999809,4.400000095,4.199999809,3.700000048,3.700000048,3.900000095,4.900000095,5.599999905,6.099999905,5.900000095,4.800000191
West Germany,,,,2.400000095,2.5,2.799999952,2.700000048,2.799999952,2.5,2.299999952,1.899999976,,,,,,,,,,,,,,,,,
Greece,,,,1.299999952,1.600000024,1.899999976,1.5,1.700000048,1.700000048,1.799999952,1.700000048,1.799999952,1.899999976,2.5,2.5,2.599999905,2.799999952,2.799999952,3.099999905,3.700000048,3.599999905,3.200000048,3.099999905,2.900000095,3,2.5,2.700000048,2.099999905
Hungary,,,,,,,,,,,,,2.299999952,4.400000095,5.300000191,5.800000191,6,4.800000191,4.099999905,3.799999952,3.599999905,3,2.900000095,2.599999905,2.799999952,3.299999952,3.400000095,3.400000095
Iceland,,,,,,,,,,,,0,0.3000000119,0.400000006,0.6999999881,0.6999999881,0.8000000119,0.6000000238,0.3000000119,0.1000000015,0.1000000015,0.200000003,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003
Ireland,,,,5.800000191,8,11.60000038,11.89999962,12.10000038,11.80000019,11.30000019,9.800000191,10.19999981,9.199999809,9.399999619,9.600000381,7.699999809,7.400000095,6.300000191,,3.200000048,,1.5,1.600000024,2,2,1.899999976,1.799999952,1.700000048
Italy,,,,3,3.900000095,4,4.5,4.800000191,5,4.900000095,4.300000191,4.5,3.900000095,4.199999809,5.099999905,5.5,5.900000095,6.199999809,5.599999905,5.300000191,5,4.599999905,4,3.900000095,2.900000095,3,2.599999905,2.099999905
Jamaica,,,,,,,,,,,,,2,2.900000095,2.200000048,2.200000048,1.799999952,1.799999952,1.799999952,1.899999976,2,2.5,,,,,,
Japan,0.3000000119,0.400000006,0.3000000119,0.400000006,0.5,0.5,0.6000000238,0.8000000119,0.6999999881,0.5,0.6000000238,0.5,0.400000006,0.5,0.6000000238,0.6999999881,0.8000000119,0.8999999762,1,1.299999952,1.5,1.5,1.899999976,2.099999905,1.899999976,1.799999952,1.700000048,1.5
"Korea, Rep.",,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.3000000119,0.200000003,0.1000000015,0.1000000015,0,0.1000000015,0,0,0
Latvia,,,,,,,,,,,,,,,,10.80000019,10.39999962,9,7.800000191,7.300000191,,,,,,,,
Luxembourg,,,,0.8000000119,0.5,0.8999999762,0.400000006,0.6999999881,0.3000000119,0.5,0.6000000238,0.3000000119,0.1000000015,0.5,1,0.5,0.6999999881,0.6000000238,0.6999999881,0.6999999881,0.5,0.5,0.6000000238,0.8999999762,0.8000000119,1.200000048,1.200000048,1.600000024
Mexico,,,,,,,,,,,,,,,,0.1000000015,0.1000000015,0,0,0,0,0,0,0,0,0.1000000015,0.1000000015,0.1000000015
Namibia,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,
Netherlands,,,,5,,5.599999905,,3.900000095,4.099999905,3.599999905,3.099999905,3,1.799999952,2.400000095,2.799999952,3,2.599999905,2,1.5,1.100000024,,,0.6000000238,1,1.600000024,2.099999905,1.700000048,1.200000048
Netherlands Antilles,,,,,,,,,,,,,5.300000191,5.5,4.800000191,4.099999905,3.700000048,5.900000095,7,,,,,,,,,
New Zealand,,,,,,,0.200000003,0.400000006,0.6999999881,1.299999952,1.399999976,2.799999952,3.700000048,3.599999905,2.900000095,1.700000048,1.299999952,1.299999952,1.600000024,1.5,1.299999952,0.8999999762,0.8000000119,0.6000000238,0.400000006,0.400000006,0.3000000119,0.200000003
Norway,,,,0.1000000015,0.5,0.3000000119,,0.1000000015,0.200000003,0.6000000238,0.8999999762,1,1.399999976,1.600000024,1.5,1.299999952,0.8000000119,0.5,0.3000000119,0.3000000119,0.200000003,0.200000003,0.3000000119,0.3000000119,0.5,0.5,0.5,0.200000003
Panama,,,,,,,,,,,,2.099999905,1.399999976,1.200000048,1.100000024,1.200000048,1.700000048,1.399999976,1.5,0.8999999762,1.100000024,2.400000095,,,,,,
Poland,,,,,,,,,,,,,4.099999905,4.400000095,4.800000191,4.400000095,3.900000095,3.200000048,2.900000095,3.700000048,4.900000095,6.699999809,8.600000381,9.199999809,8.5,8.5,6.300000191,4.099999905
Portugal,,,,,,,3.299999952,2.799999952,1.899999976,1.5,1.299999952,0.8999999762,0.8000000119,1.399999976,2.299999952,2.900000095,3,2.900000095,1.600000024,1.600000024,1.399999976,1,1.299999952,1.600000024,2.5,3,3.200000048,3.099999905
Romania,,,,,,,,,,,,,,,2.5,3,2.700000048,2.900000095,3.099999905,3.5,,,,,,,,
Russia,,,,,,,,,,,,,0.400000006,0.6000000238,1.299999952,2,2.299999952,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,5.400000095,6.5,5.300000191,5.300000191,5.900000095,7.199999809,10.10000038,10.30000019,10.89999962,10.39999962,10.5,10.5,9,7.099999905
Slovenia,,,,,,,,,,,,,,4.400000095,4.5,,,,,,,,,,,,,
Spain,3.099999905,4.699999809,6.400000095,7.599999905,9.100000381,10.30000019,10,9.300000191,7.900000095,6.300000191,5.199999809,5,5.300000191,7.800000191,9.5,9,8.5,7.699999809,6.400000095,4.800000191,3.799999952,2.5,2.5,2.599999905,2.5,1.700000048,1.399999976,1.299999952
Sweden,0.1000000015,0.200000003,0.3000000119,0.400000006,0.400000006,0.3000000119,0.200000003,0.400000006,0.3000000119,0.200000003,0.200000003,0.400000006,0.8999999762,1.899999976,3.200000048,3.099999905,3.5,3.799999952,3.099999905,2.5,1.799999952,1.299999952,1.299999952,1.200000048,1.399999976,,,0.8000000119
Switzerland,,,,,,,,,,,,0.200000003,0.3000000119,0.5,0.8000000119,0.8999999762,0.6999999881,1.100000024,1.100000024,1.100000024,0.6000000238,0.3000000119,0.5,0.8000000119,1.200000048,1.399999976,1.200000048,1.100000024
Trinidad and Tobago,,,,,,,,,,,,3.200000048,3,3.5,3,2.400000095,2.900000095,2.400000095,2.099999905,2.099999905,1.700000048,1.700000048,,,,,,
Turkey,,,,,,,,,3.599999905,3,3.400000095,3.099999905,3.599999905,3.799999952,3.700000048,2.400000095,2.700000048,2.400000095,2.5,1.899999976,1.100000024,1.5,2.799999952,2.299999952,3.799999952,3.799999952,3.200000048,2.700000048
United Kingdom,,,,,5.900000095,6.5,6.300000191,6.099999905,4.800000191,3.5,3,3.099999905,4.599999905,5.900000095,6,5.099999905,4.599999905,3.700000048,2.700000048,2.400000095,2.099999905,1.799999952,1.5,1.399999976,1.200000048,1.299999952,1.600000024,1.600000024
United States,0.400000006,0.6000000238,0.8999999762,1.600000024,1.100000024,0.8000000119,0.6999999881,0.6000000238,0.5,0.400000006,0.400000006,0.5,1,1,0.8999999762,0.6000000238,0.6000000238,0.5,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.5,0.8000000119,0.8000000119,0.6000000238,0.5,0.5
