Crude birth rate (births per 1000 population),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Afghanistan,52.112,52.169,52.198,52.049,51.501,50.791,50.955,51.256,51.69,51.569,49.778,46.613,45.149,43.355,40.852,37.65,34.207,31.048,28.352,26.034
AFRICA,47.968,47.919,47.558,46.758,46.239,45.778,44.761,43.135,40.553,38.519,37.206,35.951,33.818,31.187,28.639,26.446,24.603,22.936,21.301,19.714
Albania,39.28,41.54,39.17,34.68,31.42,28.3,26.76,25.43,22.862,19.216,14.995,14.69,15.178,15.088,13.879,12.154,11.043,10.911,11.088,10.867
Algeria,51,50.8,50.4,48.928,48,45.405,41.247,34.784,28.781,21.613,20.742,20.804,20.176,18.58,16.329,14.315,13.167,12.783,12.775,12.475
Angola,54.016,54.356,54.283,53.196,51.796,52.318,52.732,52.835,52.103,48.841,47.644,42.908,40.948,38.335,35.273,32.091,29.243,26.9,24.905,23.043
Argentina,25.423,24.391,23.278,22.535,23.255,25.403,22.873,21.933,21.039,19.554,17.873,17.372,16.617,15.646,14.617,13.668,12.834,12.527,12.196,11.813
Armenia,33.7,35.5,33.66,24.7,22.22,22.56,23.58,22.65,19.093,13.512,14.167,15.222,15.359,13.988,12.255,11.313,11.168,11.293,11.191,10.745
Aruba,44.281,39.06,33.412,25.964,22.479,22.295,22.303,20.632,18.005,15.836,13.334,11.846,11.266,11.517,11.877,11.605,10.857,10.29,10.233,10.538
ASIA,42.337,39.043,39.044,37.74,33.657,29.805,28.946,28.352,25.12,22.225,20.323,19.029,18.113,16.848,15.405,14.179,13.371,12.963,12.542,12.014
Australia,23.01,22.62,21.85,19.75,19.55,15.97,15.483,15.019,14.673,13.425,12.701,12.741,12.453,12.167,11.889,11.53,11.222,11.089,11.055,11.014
Australia/New Zealand,23.524,23.302,22.596,20.265,19.779,16.186,15.562,15.304,15.01,13.682,12.932,12.924,12.62,12.289,11.962,11.565,11.244,11.104,11.062,11.01
Austria,14.875,16.923,18.487,16.997,13.604,11.625,12.04,11.4,11.494,10.214,9.677,9.138,9.02,9.146,9.164,9.025,8.805,8.767,8.946,9.281
Azerbaijan,40.6,40.4,40.48,32.75,26.08,25.13,26.01,26.51,26.085,18.901,17.105,19,18.738,16.695,14.175,12.6,12.244,12.377,12.104,11.416
Bahamas,38.6,36,37.8,32.4,29.3,27.5,27.174,23.606,23.645,21.262,18.088,16.863,15.902,14.969,14.103,13.364,12.694,12.187,11.818,11.53
Bahrain,45.1,45.5,47,43.4,36,34.41,32.8,31.2,25.816,21.256,19.616,18.151,16.76,15.174,13.985,13.455,12.853,12.232,11.666,11.238
Bangladesh,47.669,47.288,47.24,46.904,47.11,46.297,42.729,37.215,32.32,28.755,25.408,21.589,19.889,18.466,16.978,15.46,14.103,13.215,12.707,12.212
Barbados,32.8,31.8,29.1,23.8,20.78,17.7,17.313,16.341,14.535,12.595,11.639,11.237,10.997,10.535,9.959,9.524,9.376,9.458,9.491,9.411
Belarus,22.887,24.27,21.25,16.77,15.98,15.758,16.67,15.89,12.108,9.45,9.281,9.97,9.865,9.324,8.637,8.037,7.917,8.232,8.506,8.545
Belgium,16.516,17.037,17.126,15.338,13.621,12.304,12.072,11.932,11.958,11.22,10.843,11.293,11.146,11.108,10.879,10.616,10.436,10.444,10.528,10.57
Belize,49.56,44.79,42.02,40.49,40.2,40.9,39.767,37.292,35.481,31.604,27.806,24.916,22.974,21.024,18.942,16.886,15.082,14.204,13.642,12.998
Benin,39.491,42.046,44.585,45.995,46.336,46.497,46.615,46.06,44.811,42.886,41.059,39.599,37.32,34.289,31.338,28.728,26.526,24.545,22.657,20.895
Bhutan,46.67,47.928,47.686,47.215,46.361,45.074,42.51,40.94,35.68,29.563,25.704,21.522,20.663,19.259,17.145,14.988,13.903,13.466,13.159,12.657
Bolivia,46.957,46.817,45.847,45.372,45.202,40.997,38.399,36.838,35.784,32.583,30.245,27.349,24.824,22.522,20.447,18.597,16.952,15.512,14.34,13.377
Bosnia and Herzegovina,37.09,34.74,31.14,25.12,21.27,19.6,18.22,17.05,12.935,12.346,9.818,9.168,8.989,8.724,8.262,7.768,7.387,7.294,7.423,7.595
Botswana,46.98,47.273,46.591,46.092,45.418,44.917,42.503,37.379,32.406,29.033,25.939,24.676,23.68,22.293,20.632,19.134,18.131,17.476,16.771,15.827
Brazil,44.025,43.034,42.062,36.929,33.72,32.568,30.831,26.3,22.611,21.581,19.833,16.405,14.199,12.949,11.833,10.976,10.484,10.015,9.919,9.644
Brunei,48.94,47.47,42.96,37.07,35.13,30.91,30.37,27.21,28.151,25.12,21.579,20.061,18.376,17.151,16.581,15.809,15.012,14.344,13.859,13.618
Bulgaria,21.06,18.7,16.63,15.92,16.21,15.81,13.86,13.01,10.15,8.447,8.684,9.558,9.647,9.131,8.492,8.082,8.288,8.858,9.231,9.21
Burkina Faso,47.202,47.609,47.398,47.476,47.172,48.569,48.458,48.038,47.308,46.078,45.013,47.819,43.428,39.112,35.485,32.718,30.341,27.886,25.354,23.049
Burundi,48.44,46.63,45.26,44.45,43.96,44.66,47.215,47.934,44.259,39.736,36.092,34.581,33.335,30.675,27.072,23.972,22.02,20.962,19.935,18.537
Cambodia,45.35,45.2,44.87,43.9,39.91,33.441,52.235,45.688,40.969,31.972,25.826,24.89,24.509,23.287,20.872,18.395,16.787,15.977,15.33,14.4
Cameroon,43.436,42.97,43.94,44.584,45.182,45.187,44.823,42.879,40.867,37.859,37.841,37.113,34.216,30.833,28.028,25.958,24.282,22.625,20.915,19.301
Canada,27.76,27.7,24.61,18.42,15.58,15.208,14.845,14.237,13.786,11.578,10.592,10.625,10.82,10.967,10.892,10.581,10.26,10.184,10.242,10.405
Cape Verde,50.9,51.4,48.5,42.5,38.8,35.4,40.5,40.177,36.02,31.54,27.791,24.261,22.842,21.479,19.627,17.647,15.926,14.621,13.607,12.676
Caribbean,38.986,37.837,39.318,35.372,31.395,27.464,27.204,26.051,23.759,21.538,20.009,18.762,17.854,16.915,15.917,14.915,14.041,13.326,12.745,12.218
Central African Rep.,41.724,43.288,43.779,43.468,42.73,42.231,42.439,42.01,40.382,40.141,38.572,35.623,33.17,30.763,28.497,26.5,24.404,22.554,20.948,19.536
Central America,48.248,47.117,45.164,43.761,42.333,37.496,33.429,30.748,28.916,25.664,23.161,21.051,19.151,17.406,16.269,15.278,14.235,13.225,12.385,11.743
Chad,46.403,45.969,45.493,45.648,47.192,48.23,48.165,47.663,47.447,47.663,47.631,45.84,43.653,41.15,38.295,35.158,31.998,29.157,26.76,24.684
Channel Islands,14.62,14.84,17.62,15.84,12.87,11.37,11.41,12.12,12.59,11.353,10.481,9.426,8.716,8.615,8.798,8.893,8.831,8.696,8.634,8.815
