Total water withdrawal (summed by sector) (10^9 m3/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,,,,10.7,,26.11,,,23.26,
Albania,,,,,,,1.2,,1.71,
Algeria,,,2,2.5,3,3.5,4.5,,6.07,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,,,,,,0.48,,,0.35,
Anguilla,,,,,,,,,,
Antigua and Barbuda,,,,,,,0.005,,,
Argentina,,,,27.6,,,,28.583,29.19,
Armenia,,,,,3.69,3.824,3.503,2.925,1.733,2.827
Aruba,,,,,,,,,,
Australia,,,,,,,,,23.93,
Austria,,,,,,,,,2.11,
Azerbaijan,,,,12.144,12.891,13.65,15.563,12.512,10.075,12.211
Bahamas,,,,,,,,,,
Bahrain,,,,,,,0.239,,0.3,0.3574
Bangladesh,,,,,,,,,79.4,
Barbados,0.03,,,,,,,,0.09,
Belarus,,,,,2.207,2.41,2.734,,2.79,
Belgium,,,,,9.03,,,,,
Belgium,,,,,,,,,8.98,
Belize,,,,,,0.02,,0.115,0.15,
Benin,,,,,,0.11,,,0.13,
Bermuda,,,,,,,,,,
Bhutan,,,,,,,,,0.425,
Bolivia,,,,,,1.24,,,1.439,
Bosnia and Herzegovina,,,,,,,,,,
Botswana,,,,,,0.09,0.113,,0.194,
Brazil,,,,,,35.04,,54.87,59.3,
British Virgin Islands,,,,,,,,,,
Brunei,,,,,,,0.076,0.092,,
Bulgaria,,,,,14.18,,14.039,,10.5,
Burkina Faso,,,,,,0.29,0.376,,0.8,
Burundi,,,,,,0.1,,,0.288,
Cambodia,,,,,,,,,4.08,
Cameroon,,,,,,0.396,0.4,,0.99,
Canada,,,,,,42.2,,,45.97,
Cape Verde,,,,,,,,,0.022,
Cayman Islands,,,,,,,,,,
Central African Rep.,,,,,,,,,0.025,
Chad,,,,,,0.181,,,0.23,
Chile,,,,,,,,,12.55,
China,,,,,443.69,477.2,500,525.459,630.29,
Colombia,,,,,,,,,10.71,
Comoros,,,,,,,,,0.01,
"Congo, Rep.",,,,,,0.04,,,0.046,
Cook Islands,,,,,,,,,,
Costa Rica,,,,,,,,5.772,2.68,
Cote d'Ivoire,,,,,,0.709,1.1,1.232,0.93,
Croatia,,,,,,,,,,
Cuba,,,,,,,,5.211,8.2,
Cyprus,,,,0.155,0.177,0.2,0.226,0.211,0.2461,
Czech Rep.,,,,,,,,,2.58,
"Korea, Dem. Rep.",,,,,,,,,9.02,
"Congo, Dem. Rep.",,,,,,,,,0.36,
Denmark,,,,,,,1.17,,1.27,
Djibouti,,,,,,0.008,,,0.019,
Dominica,,,,,,,,0.0166,,0.0166
Dominican Rep.,,,,,,,,8.339,3.39,
Ecuador,,,,,,,,16.986,16.98,
Egypt,,,,48.2,,,,55.1,68.3,
El Salvador,,,,,,,0.729,,1.28,
Equatorial Guinea,,,,,,0.01,,,0.108,
Eritrea,,,,,,,,,0.3,0.582
Estonia,,,,,,,,0.158,0.158,
Ethiopia,,,,,,,,,5.558,
Faeroe Islands,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,
Fiji,,,,,,0.03,,,0.07,
Finland,,,,,,,,,2.476,
France,,,,,,,,,39.96,
French Guiana,,,,,,,,,,
French Polynesia,,,,,,,,,,
Gabon,,,,,,0.06,,,0.12,
Gambia,,,,,0.02,,,,0.0306,
Georgia,,,,,,4.604,3.468,,,1.621
Germany,,,,,,,,,38.88,
Ghana,,,0.3,,,,,,0.982,
Gibraltar,,,,,,,,,,
Greece,,,,,,,,,7.77,
Greenland,,,,,,,,,,
Grenada,,,,,,,,,,0.01
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,,,,,,,,,2.01,
Guinea,,,,,,0.74,,,1.51,
Guinea-Bissau,,,,,,,0.0166,0.175,0.175,
Guyana,,,,,,,1.46,,1.64,
Haiti,,,,,,,0.9799,,0.99,
Holy See,,,,,,,,,,
Honduras,,,,,,,,,0.86,
Hungary,,,,,5.38,6.35,,,7.64,
Iceland,,,,,,,,,0.1502,
India,,,,380,,496.7,500,,645.84,
Indonesia,,,,,,,74.346,,82.78,
Iran,,,,45,,,,83,88.5,93.3
Iraq,,,,40.56,,41.02,42.8,,66,
Ireland,,,,,0.79,,,,1.1302,
Israel,,,1.564,,1.7,1.9,1.804,,1.831,1.954
Italy,,,41.6,,,,,,44.37,
Jamaica,,,,,,,,0.9,0.41,
Japan,,,,,88.2,,91.4,,88.43,
Jordan,,,,0.451,,0.619,0.984,,,0.9409
Kazakhstan,,,,,35.3,39.021,36.597,33.674,35,
Kenya,,,,,,,2.049,,1.58,2.735
Kiribati,,,,,,,,,,
Kuwait,,,,,,,,0.538,0.9132,
Kyrgyzstan,,,,8.325,8.998,9.377,10.99,10.086,10.08,
Laos,,,,,,,,,3,
Latvia,,,,,,,,0.285,0.3,
Lebanon,,,,0.751,,,,1.293,1.38,1.31
Lesotho,,,,,,0.05,,,0.05,
Liberia,,,,,,0.13,,,0.11,
Libya,,,,1.2,1.47,,4.76,4.6,4.326,
Liechtenstein,,,,,,,,,,
Lithuania,,,,,,,,0.253,0.27,
Luxembourg,,,,,,0.04,,,,
Madagascar,,,,,,16.3,,,14.96,
Malawi,,,,,,,,0.936,1.01,
Malaysia,,,,,,,10.117,,9.02,
Maldives,,,,,,0.003374,,,,
Mali,,,,,,1.36,,,6.546,
Malta,,,,,0.02,,,0.056,0.0505,
Marshall Islands,,,,,,,,,,
Martinique,,,,,,,,,,
Mauritania,,,,,0.73,,,,1.7,
Mauritius,,,,0.36,,,0.566,0.615,0.61,0.725
Mayotte,,,,,,,,,,
Mexico,,,,,,,,,78.22,
"Micronesia, Fed. Sts.",,,,,,,,,,
Monaco,,,,,,,,,,
Mongolia,,,,,,,,0.428,0.44,
Montenegro,,,,,,,,,,
Montserrat,,,,,,,,,,
Morocco,,,,9,10.05,11,11.045,11.255,12.6,
Mozambique,,,,,,,0.605,,0.63,
Myanmar,,,,,,28.256,,,33.23,
Namibia,,,,,,0.14,0.249,,0.3,
Nauru,,,,,,,,,,
Nepal,,,,,,,,,10.18,
Netherlands,,,,,,,,,7.94,
Netherlands Antilles,,,,,,,,,,
New Caledonia,,,,,,,,,,
New Zealand,,,,,1.2,1.9,,,2.11,
Nicaragua,,,,,,,,,1.3,
Niger,,,,,,,0.5,,2.18,
Nigeria,,,,,,3.63,,,8.01,
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,
Norway,,,,,2,,,,2.19,
West Bank and Gaza,,,,,,,,,0.279,0.418
Oman,,,,,,,1.223,,1.36,1.321
Pakistan,,,,153.4,,,155.6,,169.39,
Palau,,,,,,,,,,
Panama,,,,,,,,,0.82,
Papua New Guinea,,,,,,,,,0.071,
Paraguay,,,,,,0.43,,,0.49,
Peru,,,,,,,18.973,,20.13,
Philippines,,,,,,,,27.663,28.52,
Poland,,,,,16.8,,,,16.2,
Portugal,,,,,,,,,11.26,
Puerto Rico,,,,,,,,,,
Qatar,,,,0.15,,,,0.2849,0.29,0.444
"Korea, Rep.",,,,,,,,,18.59,
Moldova,,,,,,,2.963,,2.31,
Reunion,,,,,,,,,,
Romania,,,,,25.4,,19.65,,23.18,
Russia,,,,,96.8,,82.6,77.1,76.68,
Rwanda,,,,,,,,,0.15,
Saint Helena,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,
Saint Lucia,,,,,,,,,,0.0166
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,0.00995,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,,,,,,,,0.007,,
Saudi Arabia,,,,,,,17.018,,,23.666
Senegal,,,,,,1.36,,,2.221,
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,
Seychelles,,,,,,,0.0119,,,0.0123
Sierra Leone,,,,,,0.37,,,0.38,
Singapore,,,,0.19,,,,,,
Slovak Republic,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,,,,,,,,,,
Somalia,,,,,,0.81,,,3.29,3.298
South Africa,,,,,,,13.309,,12.496,
Spain,,,,,,45.85,,,35.63,
Sri Lanka,,,,,,,9.769,,12.61,
Sudan,,,,,,14.1,15.5,17.8,37.32,
Suriname,,,,,,0.46,,,0.67,
Swaziland,,,,,0.657,,,,1.042,
Sweden,,,,,,,3,,2.96,
Switzerland,,,,,,3.2,,,2.57,
Syria,,,,3.34,,,,14.426,16.359,16.69
Tajikistan,,,,,,11.574,12.014,11.874,11.96,
Thailand,,,,,,,,,87.06,
"Macedonia, FYR",,,,,,,,,,
Timor-Leste,,,,,,,,,,
Togo,,,,,,0.091,,,0.169,
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,,,,,,,,0.297,0.31,
Tunisia,,,,1.07,1.9,2.3,3.075,,2.64,
Turkey,,,,,,,31.6,,42,40.1
Turkmenistan,,,,,,24.212,24.733,23.779,24.65,
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,,,0.2,,,,,,0.3,
Ukraine,,,,,,,,,37.53,
United Arab Emirates,,,,,0.9,,,2.108,,3.998
United Kingdom,,,,,,,14.5,,9.54,
Tanzania,,,,,,,,,5.184,
Virgin Islands (U.S.),,,,,,,,,,
United States,,,,,,524.4,204.138,,479.29,
Uruguay,,0.65,,,,,,,3.15,
Uzbekistan,,,,45.476,57.316,63.914,62.488,58.051,58.34,
Vanuatu,,,,,,,,,,
Venezuela,,,4.1,,,,,,8.37,
Vietnam,,,,,37.86,45.27,54.33,,71.39,
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",,,,,,,2.932,,3.4,
Zambia,,,,,,,1.747,1.706,1.74,
Zimbabwe,,,,,,1.22,,,4.205,
