Female 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,11.64801628,11.87279152,12.28411054,11.72440791,11.86797753,12.0555209,12.25402504,12.36050051,12.38850347,12.52583238,12.66040214,12.91797173,13.08590967,12.88525583,12.427337,12.39284727,12.35628657,12.17659364,11.77350712,11.20328168,10.61293031
Albania,11.96013289,10.96491228,10.38798498,11.32686084,12.67738884,12.62626263,11.14551084,10.60711793,10.16843419,10.03215434,10.30460143,9.675366009,8.587429994,6.348246675,6.238964097,6.528018486,6.643757159,6.25,5.539526832,5.066977286,5.082742317
Algeria,11.70708955,11.53123042,11.66821994,11.86783547,12.41104469,12.7279448,12.76141699,12.50455042,12.72220008,13.1372269,12.20722509,10.7792527,8.322882226,8.10667515,8.292755639,8.258823529,7.841723376,7.079453485,6.331840838,5.907051414,5.80259866
Angola,11.12162802,11.00043309,10.80657792,11.72487527,12.00387222,12.28728007,12.249499,12.09626346,12.36370357,12.5137557,12.8003314,12.91394659,12.52336449,12.73752159,12.06952044,12.05174272,11.80244993,11.35572213,10.76923077,10.18875482,9.699962728
Argentina,9.345345345,9.158336021,9.327591269,9.409013223,9.219504077,8.82083397,8.468392619,8.826597132,9.809379728,8.966608283,8.7391027,8.542331661,8.08032051,7.521225544,7.392306329,7.165162339,6.840728903,6.482043807,6.131907308,5.813727396,5.722060402
Armenia,13.76404494,7.239263804,8.47983454,10.67961165,12.66511267,12.23220456,9.445843829,8.739002933,8.60745614,9.380530973,9.877300613,8.012232416,5.397210431,5.675029869,6.098283008,6.342620036,5.941770648,5.278944211,4.990870359,5.003088326,5.186590765
Aruba,11.11111111,14.28571429,12.5,11.53846154,13.79310345,10.34482759,9.677419355,6.060606061,6.060606061,7.692307692,6.52173913,7.692307692,7.142857143,5.263157895,5.357142857,5.263157895,5.084745763,5.357142857,5.263157895,5.172413793,5.357142857
Australia,7.06921944,7.963044435,9.403895337,9.253104775,9.328476402,9.062776304,8.455682436,8.324911572,7.04619692,6.928736137,6.74878377,6.645230439,6.176035503,5.861128223,5.884825557,5.79278118,5.706311056,5.631796025,5.519149556,5.418439716,5.387438543
Austria,6.645143933,7.315761162,6.540813613,6.154641841,7.1157255,7.955966975,7.584128579,6.169730546,5.379034276,5.721938154,5.566311713,5.625147719,4.961565339,4.695813093,4.482758621,4.437328454,4.515393387,4.558924094,4.525714286,4.454649828,4.459334566
Azerbaijan,13.5770235,7.138777841,7.438423645,9.632446134,12.92261458,13.6535163,11.61024992,9.728308501,9.397066812,10.00251319,10.993759,10.00691722,7.233669443,6.380316931,7.230122171,7.400194742,6.860309574,6.013195099,5.469479186,5.430537474,5.621964886
Bahamas,9.523809524,10.63829787,10.71428571,11.11111111,11.76470588,12.63157895,12.26415094,11.76470588,10.07751938,9.79020979,9.032258065,9.090909091,8.474576271,7.446808511,7.035175879,6.698564593,6.511627907,6.278026906,5.652173913,5.508474576,5.439330544
Bahrain,11.11111111,11.29032258,12.32876712,11.34020619,13.7254902,13.82113821,12.4137931,10.71428571,10.78431373,10.74380165,9.712230216,10.64516129,9.826589595,9.234828496,8.232445521,7.623318386,6.90376569,6.496062992,6.367041199,6.071428571,5.841924399
Bangladesh,11.27730177,11.69869671,11.33947833,12.34132337,12.34541771,12.42780636,12.52108502,12.81357551,13.13644543,12.96475554,12.00627591,11.02209178,10.41443702,9.657288531,8.524854183,8.081695967,7.720588235,7.293272684,6.79745503,6.315847034,6.006334736
Barbados,9.649122807,9.166666667,10.76923077,11.11111111,11.81102362,11.71875,10,9.923664122,7.462686567,7.518796992,7.751937984,6.818181818,6.015037594,5.303030303,5.223880597,5.223880597,5.263157895,4.580152672,4.651162791,4.724409449,4.918032787
Belarus,9.715475364,6.296296296,6.678539626,8.055555556,9.596889707,8.693926161,6.975845411,6.689151209,6.732709595,7.342143906,7.33258511,5.648854962,4.463067628,4.407658556,4.72392638,4.71281296,4.474370113,4.187303017,3.910091314,3.888481291,4.101512433
Belgium,6.470050297,5.948945616,7.397084048,7.252701579,7.610907611,7.838432314,7.083167529,6.429847192,5.844155844,5.721489527,5.647330004,5.733082707,5.405900678,5.225225225,5.392939507,5.326791659,5.338880222,5.261348006,5.159747138,5.088495575,5.111224317
Belize,11.76470588,10.25641026,10.63829787,12.96296296,14.28571429,13.43283582,14.28571429,13.92405063,11.95652174,12.96296296,12.09677419,12.05673759,11.53846154,10.40462428,9.625668449,9.045226131,8.411214953,8.035714286,7.172995781,6.58436214,6.324110672
Benin,9.771689498,10.87533156,10.59216013,10.05372218,10.5628909,11.22828784,11.66212534,11.80094787,12.12121212,12.10013908,12.1929299,12.26680296,12.13251426,12.02964652,12.14689266,11.95939982,11.43683449,10.83293783,10.25696394,9.753196551,9.282041866
Bhutan,12.5,11.45833333,11.11111111,11.02362205,10.95890411,11.11111111,11.2195122,11.68831169,12.26765799,12.8,13.66906475,12.66233766,10.47904192,9.668508287,8.717948718,8.695652174,8.294930876,7.522123894,6.779661017,6.378600823,6.18762475
Bolivia,11.47058824,11.10376735,11.70212766,11.87335092,11.95499297,11.83774834,11.97494473,12.29698376,11.71573,11.46801168,11.53110048,11.72129368,11.0779634,10.70443259,10.05490734,9.4360963,8.812260536,8.227012758,7.669491525,7.138942176,6.658644204
Bosnia and Herzegovina,12.40029007,8.965062624,10.58461538,11.32947977,11.38613861,10.60367454,9.41591138,8.082257293,7.889908257,7.64294049,7.479079498,5.600814664,5.433111225,4.496124031,4.29544264,4.268943436,4.214559387,4.06779661,3.875513799,3.735456216,3.734707019
Botswana,12.20657277,11.25,10.29411765,12.82051282,13.05555556,12.58907363,12.3752495,12.52115059,13.08139535,13.15453384,12.42807825,11.70097508,10.7505071,9.942638623,10.2003643,10.00870322,9.731543624,9.268292683,8.681925809,8.346094946,8.092056422
Brazil,11.7839547,10.98229276,11.61636927,12.1509041,12.4006657,12.7164642,11.60832964,10.95521646,11.07007148,11.01849695,9.772378952,8.654661916,8.565554357,8.169750993,6.962447087,6.163837719,5.732931275,5.331364683,5.02241518,4.863227254,4.70662371
