Total population male,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
"Less Developed Regions, Excluding China",(594671171),(606387377),(618867155),(632063920),(645936619),(660449704),(675573292),(691283000),(707559653),(724388648),(741758227),(759657628),(778075421),(796998832),(816415721),(836320399),(856701951),(877568390),(898957008),(920919327),(943492464),(966699884),(990533635),(1014962110),(1039937109),(1065428934),(1091404934),(1117887975),(1144968357),(1172770588),(1201372058),(1230788822),(1260953754),(1291755367),(1323038823),(1354676178),(1386619530),(1418847128),(1451287393),(1483866610),(1516524062),(1549221168),(1581934094),(1614639819),(1647323606),(1679977784),(1712579846),(1745130772),(1777678079),(1810290101),(1843016796),(1875869920),(1908835558),(1941906360),(1975066565),(2008301847),(2041598742),(2074951264),(2108358428),(2141821574),(2175331879),(2208875146),(2242416065),(2275896919),(2309246019),(2342401391),(2375328930),(2408003808),(2440384648),(2472429834),(2504103069),(2535376440),(2566228188),(2596637863),(2626588735),(2656066948),(2685058601),(2713554360),(2741552687),(2769056643),(2796069632),(2822582183),(2848592988),(2874123834),(2899204896),(2923855337),(2948076299),(2971852143),(2995163370),(3017982700),(3040285014),(3062050881),(3083265298),(3103914873),(3123984604),(3143454891),(3162300482),(3180489887),(3197985197),(3214742238),(3230710627)
"Less Developed Regions, Excluding Least Developed Countries",(777637081),(794620365),(811039997),(827125299),(843102061),(859192511),(875616684),(892591047),(910324602),(929012199),(948814780),(969838178),(992114652),(1015594911),(1040170636),(1065740537),(1092281888),(1119761550),(1148042189),(1176952659),(1206342080),(1236187203),(1266432871),(1296864751),(1327224636),(1357345013),(1387112987),(1416612151),(1446120170),(1476036562),(1506656459),(1538003741),(1569996923),(1602689223),(1636120265),(1670275303),(1705211006),(1740808242),(1776653619),(1812197572),(1847035716),(1880998172),(1914153366),(1946632046),(1978671632),(2010448125),(2041977497),(2073193885),(2104101604),(2134695028),(2164975269),(2194953956),(2224656080),(2254111152),(2283354069),(2312412408),(2341281559),(2369961608),(2398486799),(2426898929),(2455216339),(2483439684),(2511523836),(2539381107),(2566894813),(2593966593),(2620556158),(2646637943),(2672145904),(2697010239),(2721174973),(2744605559),(2767285478),(2789203110),(2810356942),(2830748915),(2850371289),(2869226131),(2887340914),(2904754432),(2921500323),(2937585225),(2953018177),(2967838224),(2982092019),(2995812777),(3009015407),(3021692954),(3033827830),(3045390760),(3056356702),(3066710394),(3076444363),(3085554466),(3094034750),(3101872675),(3109047469),(3115529196),(3121278438),(3126246581),(3130375869)
Middle Africa,(12553315),(12798651),(13051760),(13315963),(13593597),(13886020),(14193553),(14515545),(14850523),(15196482),(15551707),(15915652),(16289715),(16677577),(17084252),(17513331),(17966921),(18444169),(18942142),(19456367),(19983952),(20524379),(21079933),(21653959),(22251110),(22875051),(23527368),(24208193),(24917991),(25656792),(26424865),(27224733),(28058016),(28923162),(29817669),(30740924),(31685710),(32654993),(33669916),(34759072),(35939329),(37226634),(38605728),(40024609),(41411546),(42717803),(43919368),(45038587),(46129720),(47271646),(48520374),(49895161),(51375774),(52930976),(54512417),(56085193),(57640177),(59189711),(60745740),(62327781),(63949615),(65613086),(67311445),(69039743),(70790374),(72557338),(74338786),(76134964),(77944295),(79765476),(81597138),(83437699),(85285433),(87138725),(88995956),(90855647),(92716504),(94577393),(96437256),(98295134),(100150132),(102001135),(103847271),(105688194),(107523775),(109353677),(111177034),(112992758),(114799977),(116597774),(118385135),(120160916),(121923864),(123672623),(125405755),(127121759),(128819074),(130496078),(132151099),(133782406),(135388211)
More Developed Regions,(386907657),(391717235),(396773224),(401966532),(407214646),(412461608),(417679397),(422866554),(428044158),(433249144),(438514131),(443845967),(449206930),(454506680),(459625065),(464479252),(469026669),(473298536),(477376924),(481383577),(485405862),(489472394),(493553527),(497608481),(501572720),(505400732),(509090521),(512664756),(516132658),(519509737),(522812464),(526028346),(529166107),(532288338),(535477135),(538784900),(542239269),(545805909),(549397995),(552892793),(556199118),(559297001),(562206158),(564924907),(567462390),(569832076),(572023296),(574048034),(575972369),(577884186),(579848246),(581889719),(583997504),(586154614),(588328447),(590493621),(592647149),(594794532),(596927155),(599035445),(601110063),(603145248),(605133680),(607062753),(608918109),(610688278),(612366482),(613949992),(615436912),(616827309),(618121248),(619318050),(620416405),(621415719),(622315682),(623117375),(623822033),(624433808),(624960619),(625412588),(625798547),(626122733),(626388726),(626603926),(626776355),(626912539),(627017034),(627092090),(627138712),(627156627),(627145813),(627107108),(627041977),(626952079),(626838747),(626702511),(626542943),(626358544),(626146732),(625903863),(625625225)
Northern Africa,(26521273),(27098647),(27719836),(28380466),(29076482),(29804173),(30560144),(31341333),(32145037),(32968966),(33811378),(34671241),(35548357),(36443437),(37357913),(38293482),(39251203),(40232807),(41241755),(42282298),(43358392),(44472079),(45625742),(46824108),(48072555),(49375406),(50730945),(52139271),(53607966),(55146569),(56759415),(58448817),(60205251),(62006154),(63821296),(65627187),(67415082),(69185092),(70933619),(72659688),(74362657),(76039589),(77688610),(79312313),(80915136),(82501198),(84072744),(85631670),(87181779),(88727412),(90273111),(91818986),(93368759),(94934655),(96531993),(98171009),(99856339),(101583217),(103340424),(105111473),(106883338),(108651422),(110415772),(112173333),(113921934),(115659136),(117382380),(119088065),(120771744),(122428538),(124054767),(125648010),(127207926),(128735735),(130233910),(131704373),(133147017),(134561276),(135948183),(137309035),(138644808),(139955755),(141241810),(142503169),(143739952),(144952089),(146139381),(147301372),(148437326),(149546305),(150627336),(151679478),(152701802),(153693336),(154653008),(155579598),(156471719),(157327804),(158146097),(158924672),(159661417)
Northern America,(85831077),(86970303),(88288663),(89749560),(91318470),(92962941),(94652515),(96358808),(98055736),(99719899),(101331727),(102876707),(104346446),(105739138),(107058260),(108308748),(109485360),(110591156),(111650707),(112697132),(113755076),(114836441),(115938137),(117051535),(118161141),(119256883),(120341304),(121423871),(122509879),(123606296),(124720505),(125851502),(127004844),(128202159),(129470966),(130829831),(132289360),(133841849),(135464672),(137124688),(138797671),(140471076),(142150360),(143850367),(145594344),(147396027),(149262188),(151177734),(153108359),(155007498),(156842319),(158599473),(160289872),(161935015),(163568124),(165214042),(166876491),(168549074),(170234430),(171933553),(173646078),(175374387),(177116479),(178861631),(180595194),(182305858),(183988936),(185644707),(187272852),(188874768),(190451069),(192000530),(193520518),(195008813),(196462914),(197881065),(199262336),(200607055),(201916411),(203192336),(204436469),(205649496),(206831727),(207984089),(209107574),(210203229),(211272122),(212315418),(213334425),(214330544),(215305179),(216259707),(217195491),(218113905),(219016358),(219904320),(220779336),(221643026),(222497087),(223343295),(224183502)
Northern Europe,(37863276),(37951956),(38073294),(38213413),(38363193),(38518261),(38679290),(38851702),(39044803),(39270334),(39538130),(39851481),(40203080),(40573288),(40935052),(41268392),(41565435),(41829820),(42067188),(42287976),(42499611),(42703511),(42895886),(43073131),(43230018),(43363431),(43473061),(43562340),(43636604),(43703109),(43767867),(43831853),(43895935),(43965736),(44047821),(44146430),(44265081),(44401794),(44548376),(44693059),(44827424),(44950072),(45064063),(45171049),(45274124),(45376491),(45477119),(45577659),(45687311),(45817996),(45977985),(46170664),(46393012),(46638780),(46898413),(47164377),(47434780),(47710000),(47987342),(48264197),(48538423),(48808297),(49072873),(49331980),(49586001),(49835231),(50078951),(50316704),(50549478),(50778724),(51005395),(51229847),(51451431),(51668888),(51880435),(52084780),(52281701),(52471569),(52654425),(52830478),(53000036),(53163151),(53320213),(53472327),(53620913),(53767133),(53911484),(54054203),(54195863),(54337012),(54478073),(54619314),(54760861),(54902720),(55044814),(55187003),(55329102),(55470879),(55612061),(55752333),(55891336)
Oceania,(6519384),(6664953),(6811020),(6957938),(7106191),(7256357),(7409165),(7565449),(7726118),(7892072),(8063966),(8241959),(8425500),(8613224),(8803234),(8993866),(9185128),(9376607),(9565775),(9749502),(9925753),(10093353),(10253413),(10409057),(10564790),(10723991),(10887740),(11055489),(11227071),(11401776),(11579118),(11759206),(11942473),(12129030),(12319004),(12512398),(12709151),(12908962),(13111264),(13315311),(13520464),(13727103),(13935133),(14142921),(14348367),(14550308),(14747293),(14940594),(15135044),(15337280),(15551799),(15780618),(16021572),(16269792),(16518214),(16761670),(16998503),(17230083),(17457945),(17684779),(17912523),(18141345),(18370349),(18599207),(18827360),(19054399),(19280178),(19504811),(19728407),(19951176),(20173203),(20394455),(20614683),(20833472),(21050283),(21264679),(21476483),(21685632),(21891926),(22095208),(22295344),(22492221),(22685805),(22876151),(23063364),(23247547),(23428708),(23606868),(23782137),(23954652),(24124531),(24291859),(24456685),(24619050),(24778983),(24936534),(25091761),(25244752),(25395604),(25544442),(25691412)
South America,(56231703),(57813354),(59449367),(61126268),(62835418),(64572992),(66340287),(68143421),(69992472),(71900006),(73876723),(75926796),(78043802),(80208960),(82396096),(84586199),(86773976),(88964588),(91162493),(93376082),(95612602),(97870330),(100149587),(102462384),(104824221),(107245551),(109729754),(112271790),(114862855),(117489831),(120141643),(122814335),(125505763),(128208494),(130914383),(133616354),(136311363),(138996158),(141663658),(144306106),(146918433),(149494759),(152036601),(154555489),(157068077),(159585631),(162110474),(164636216),(167154540),(169653297),(172122419),(174559898),(176964567),(179328154),(181641087),(183896545),(186090380),(188223608),(190301274),(192331492),(194320462),(196268646),(198174747),(200041141),(201870429),(203664169),(205423402),(207147001),(208831496),(210471968),(212064499),(213607931),(215102174),(216545663),(217936899),(219274767),(220558079),(221786565),(222961281),(224083963),(225155811),(226177439),(227148237),(228066816),(228931191),(229740166),(230493140),(231191224),(231837026),(232434133),(232985163),(233491092),(233951490),(234365081),(234730347),(235046136),(235311841),(235527523),(235693959),(235812581),(235885503)
South-Central Asia,(269531178),(274216873),(279153843),(284333912),(289750220),(295397190),(301270591),(307367479),(313686162),(320226043),(326987274),(333970362),(341175831),(348604081),(356255786),(364133120),(372237076),(380572931),(389152682),(397991586),(407101754),(416489056),(426154912),(436101415),(446329044),(456838553),(467625566),(478691248),(490047347),(501709378),(513684455),(525964718),(538531927),(551367832),(564449112),(577749731),(591257362),(604945563),(618756036),(632617582),(646473709),(660298623),(674084754),(687817969),(701490515),(715097904),(728622415),(742060661),(755441612),(768807733),(782188043),(795593662),(809010202),(822410394),(835754656),(849014706),(862173490),(875238946),(888237075),(901206704),(914171377),(927132478),(940065231),(952934193),(965691227),(978296015),(990731668),(1002988855),(1015043573),(1026871109),(1038450607),(1049767969),(1060813292),(1071576488),(1082049754),(1092227621),(1102107187),(1111687706),(1120970294),(1129958236),(1138657413),(1147064485),(1155188154),(1163061277),(1170726793),(1178215303),(1185537619),(1192685074),(1199643880),(1206391198),(1212907884),(1219182832),(1225211436),(1230992029),(1236521794),(1241792942),(1246791433),(1251496214),(1255878967),(1259904357),(1263530036)
