Total population male,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Belarus,3423993,3416778,3419800,3432453,3453929,3483217,3519088,3560111,3604700,3651200,3698130,3744445,3789769,3834488,3879478,3925277,3971876,4018626,4064710,4109061,4150933,4190064,4226715,4261332,4294615,4327148,4358908,4389914,4420840,4452520,4485495,4519818,4555143,4591070,4627004,4662326,4696928,4730347,4761154,4787559,4808220,4822746,4831277,4833733,4830223,4821002,4805955,4785491,4761100,4734742,4707938,4681321,4654904,4628811,4602950,4577267,4551986,4527329,4503194,4479379,4455731,4432227,4408905,4385727,4362654,4339640,4316651,4293630,4270478,4247078,4223336,4199212,4174686,4149704,4124216,4098192,4071614,4044500,4016903,3988901,3960564,3931911,3902969,3873826,3844590,3815343,3786128,3756952,3727805,3698661,3669499,3640315,3611118,3581922,3552740,3523570,3494401,3465205,3435938,3406542,3376943
Belgium,4252281,4267022,4286449,4308846,4332909,4357751,4382922,4408388,4434465,4461716,4490629,4521278,4553023,4584384,4613402,4638706,4659593,4676497,4690581,4703608,4716838,4730592,4744387,4757708,4769735,4779857,4788336,4795416,4800483,4802742,4801850,4797295,4789856,4782058,4777299,4777969,4785012,4797613,4814212,4832394,4850319,4867782,4885146,4901820,4917201,4930963,4942665,4952603,4962130,4973135,4986989,5003962,5023658,5045935,5070441,5096768,5125112,5155193,5185529,5214181,5239780,5261651,5280193,5296449,5312023,5328082,5344898,5362085,5379372,5396275,5412434,5427823,5442567,5456631,5469990,5482624,5494511,5505633,5515985,5525568,5534389,5542454,5549782,5556413,5562400,5567792,5572620,5576914,5580726,5584110,5587117,5589791,5592168,5594279,5596157,5597833,5599345,5600733,5602040,5603314,5604606
Belize,33743,34922,36048,37157,38276,39427,40621,41861,43145,44462,45804,47164,48548,49968,51447,52993,54618,56304,57994,59611,61102,62457,63698,64844,65926,66976,67988,68980,70038,71269,72751,74524,76567,78811,81152,83517,85879,88262,90704,93261,95972,98844,101851,104954,108101,111251,114390,117523,120647,123765,126881,129990,133086,136172,139253,142330,145404,148473,151543,154619,157705,160802,163906,167015,170125,173231,176331,179421,182494,185542,188559,191539,194479,197374,200219,203008,205740,208411,211017,213553,216013,218396,220703,222943,225125,227259,229346,231384,233376,235322,237221,239074,240880,242637,244344,245998,247596,249136,250611,252018,253350
Benin,955207,961226,968400,976744,986275,997013,1008982,1022207,1036716,1052539,1069703,1088229,1108129,1129405,1152054,1176075,1201513,1228391,1256672,1286299,1317255,1349550,1383278,1418607,1455754,1494900,1536117,1579440,1624956,1672747,1722880,1775656,1831149,1888944,1948444,2009363,2071119,2134201,2200653,2273248,2353770,2443512,2541407,2644019,2746509,2845575,2939706,3030441,3121239,3217132,3321687,3435986,3558689,3687987,3821058,3955775,4091701,4229308,4368439,4509112,4651340,4794845,4939457,5085466,5233323,5383330,5535535,5689739,5845692,6003040,6161503,6320973,6481441,6642840,6805125,6968247,7132115,7296649,7461826,7627640,7794065,7961028,8128433,8296201,8464245,8632468,8800784,8969083,9137210,9304992,9472272,9638918,9804824,9969895,10134038,10297153,10459125,10619827,10779114,10936828,11092795
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,86337,89201,92062,94903,97714,100494,103248,105988,108734,111513,114350,117272,120300,123450,126733,130171,133749,137502,141567,146119,151272,157067,163432,170225,177243,184320,191436,198586,205641,212453,218926,224826,230167,235392,241127,247729,255642,264506,272924,278976,281416,279650,274456,267645,261782,258750,259046,262195,267903,275542,284559,295072,307048,319564,331423,341771,350170,356827,362336,367631,373381,379752,386489,393349,399943,405995,411446,416421,421037,425478,429875,434265,438607,442861,446960,450859,454553,458070,461432,464669,467806,470850,473802,476668,479459,482181,484837,487428,489953,492409,494793,497100,499325,501462,503505,505445,507271,508971,510531,511935,513166
Bolivia,1353150,1378883,1405742,1433731,1462846,1493073,1524387,1556753,1590133,1624484,1659778,1696016,1733241,1771547,1811058,1851882,1894024,1937509,1982487,2029143,2077592,2127858,2179860,2233474,2288521,2344835,2402484,2461411,2521181,2581235,2641222,2700960,2760710,2821120,2883098,2947334,3013938,3082795,3154072,3227908,3304329,3383484,3465182,3548668,3632923,3717194,3801111,3884793,3968568,4052996,4138446,4224956,4312236,4399936,4487576,4574788,4661415,4747479,4833001,4918071,5002735,5086942,5170586,5253601,5335916,5417460,5498181,5578028,5656939,5734849,5811698,5887432,5962004,6035363,6107464,6178261,6247710,6315765,6382388,6447540,6511183,6573290,6633824,6692736,6749968,6805479,6859235,6911228,6961474,7010006,7056845,7101992,7145430,7187135,7227081,7265249,7301631,7336229,7369060,7400150,7429538
Bosnia and Herzegovina,1284600,1313789,1343694,1373352,1402086,1429500,1455494,1480251,1504194,1527910,1551932,1576509,1601398,1625778,1648497,1668802,1686304,1701461,1715403,1729727,1745568,1763427,1782932,1803293,1823296,1842109,1859420,1875641,1891526,1908163,1926303,1944585,1962298,1981420,2004665,2032999,2070663,2114808,2151020,2159819,2128902,2050256,1932369,1799606,1686099,1615883,1598194,1624347,1678497,1736413,1780315,1805911,1818466,1821101,1819896,1819329,1819320,1817853,1815384,1812338,1809047,1805833,1802816,1799844,1796609,1792889,1788695,1784144,1779241,1773995,1768413,1762489,1756214,1749589,1742615,1735290,1727619,1719598,1711206,1702417,1693215,1683604,1673597,1663208,1652451,1641347,1629909,1618160,1606148,1593930,1581554,1569055,1556457,1543774,1531021,1518217,1505388,1492566,1479791,1467111,1454581
Botswana,199700,206556,212606,218013,222938,227534,231954,236344,240847,245594,250704,256273,262368,269024,276253,284065,292521,301656,311417,321721,332520,343747,355450,367834,381178,395651,411356,428155,445683,463437,481052,498377,515510,532647,550100,568089,586614,605563,624906,644586,664535,684712,705034,725329,745383,765011,784231,802992,820965,837741,853079,866777,879046,890572,902308,914935,928717,943453,958793,974178,989197,1003760,1018001,1031991,1045864,1059713,1073536,1087266,1100849,1114212,1127299,1140088,1152583,1164785,1176704,1188347,1199720,1210816,1221611,1232074,1242190,1251950,1261384,1270563,1279581,1288510,1297373,1306163,1314890,1323550,1332142,1340659,1349093,1357435,1365667,1373767,1381705,1389443,1396935,1404129,1410964
Brazil,26775989,27653708,28554060,29468027,30390325,31319405,32257686,33211322,34189500,35203268,36262030,37369797,38521917,39703664,40894224,42078387,43252116,44419410,45583066,46748721,47921291,49099856,50284701,51483676,52706912,53961555,55248392,56564816,57909899,59281529,60676379,62094441,63530954,64971725,66398496,67797361,69164238,70500004,71802335,73070343,74304734,75501695,76663846,77806536,78950560,80110666,81290400,82484621,83688261,84892721,86089959,87280000,88459939,89614946,90726271,91780322,92771085,93701055,94576028,95406000,96198904,96955233,97673992,98360138,99019564,99656546,100273713,100870621,101444532,101990944,102506573,102991204,103446125,103871326,104267039,104633629,104970764,105278821,105559781,105816267,106050147,106262702,106453520,106620738,106761548,106874157,106957747,107013690,107045018,107055936,107049403,107026308,106985763,106925778,106844036,106738619,106608250,106452437,106271523,106066636,105839691
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,24701,26257,27799,29369,30996,32698,34482,36341,38262,40221,42200,44193,46215,48306,50522,52900,55462,58195,61062,64009,66999,69997,73019,76133,79440,82996,86847,90938,95101,99110,102807,106122,109121,111950,114824,117900,121223,124744,128412,132143,135873,139590,143314,147051,150813,154606,158431,162275,166115,169920,173669,177349,180967,184548,188127,191728,195359,199009,202665,206305,209914,213488,217033,220546,224031,227489,230917,234314,237688,241049,244403,247753,251093,254415,257705,260953,264156,267313,270421,273477,276479,279425,282315,285147,287923,290642,293306,295915,298474,300985,303453,305881,308271,310627,312950,315244,317513,319761,321993,324216,326437
Bulgaria,3624008,3636296,3654668,3678418,3706794,3739002,3774198,3811493,3849976,3888744,3926998,3964147,3999901,4034305,4067632,4100063,4131425,4161463,4190199,4217703,4243997,4269125,4292984,4315279,4335621,4353762,4369258,4382195,4393459,4404297,4415431,4427164,4438680,4448204,4453314,4452182,4444680,4431131,4410806,4382951,4347363,4303523,4252465,4197513,4143122,4092597,4047233,4006517,3969695,3935256,3902053,3870130,3839906,3810991,3782916,3755319,3727966,3700830,3674020,3647758,3622180,3597263,3572842,3548745,3524752,3500684,3476465,3452076,3427476,3402643,3377555,3352193,3326531,3300538,3274189,3247474,3220404,3193021,3165396,3137620,3109785,3081907,3054038,3026343,2999027,2972233,2946023,2920365,2895188,2870373,2845819,2821467,2797287,2773268,2749387,2725596,2701815,2677925,2653768,2629151,2603840
Burkina Faso,2140540,2160940,2182666,2206156,2231660,2259244,2288778,2319946,2352280,2385220,2418281,2451239,2484288,2518112,2553687,2591713,2632492,2675813,2721251,2768144,2816045,2864900,2914992,2966619,3020213,3076131,3134670,3195927,3259847,3326281,3395251,3466663,3540969,3619381,3703481,3794375,3892647,3997954,4109329,4225304,4344825,4468086,4595570,4726906,4861670,4999849,5141013,5286063,5437950,5600589,5776768,5967417,6171694,6388365,6615390,6851062,7095066,7347244,7606161,7870112,8137754,8408291,8681500,8957341,9236052,9517760,9802279,10089252,10378484,10669777,10963003,11258027,11554885,11853837,12155268,12459460,12766387,13075948,13388240,13703370,14021347,14342091,14665359,14990766,15317818,15646054,15975218,16305032,16634971,16964443,17292940,17620099,17945677,18269510,18591463,18911382,19229076,19544312,19856809,20166240,20472236
Burundi,1176200,1199992,1222166,1243722,1265420,1287781,1311076,1335337,1360385,1385883,1411485,1437000,1462531,1488536,1515654,1544207,1574983,1607545,1639567,1667874,1690500,1706524,1717544,1727237,1740716,1761800,1791519,1829189,1874776,1927718,1987399,2053662,2126169,2203728,2284800,2367889,2452651,2538151,2621595,2699563,2769589,2831420,2885705,2932231,2971060,3002955,3027019,3045148,3064354,3093870,3140256,3205887,3288819,3385819,3491628,3601952,3716460,3835175,3954473,4069991,4178648,4278488,4370127,4456316,4541313,4628199,4717695,4808711,4900368,4991183,5080065,5166918,5252144,5335729,5417731,5498220,5577176,5654632,5730795,5805945,5880322,5953996,6027034,6099662,6172142,6244662,6317288,6389990,6462728,6535417,6607953,6680230,6752133,6823530,6894262,6964132,7032904,7100299,7165994,7229627,7290790
Cambodia,2172800,2228725,2277934,2324324,2370924,2419899,2472511,2529157,2589468,2652474,2717105,2782726,2849601,2919095,2993108,3072404,3156993,3244496,3330243,3408091,3473096,3527626,3572039,3597543,3592864,3552400,3469432,3352906,3232052,3146563,3124351,3177034,3295119,3459284,3639876,3814894,3978450,4136114,4290812,4448927,4614655,4787491,4963441,5139306,5310926,5475215,5631232,5779441,5919990,6053547,6180893,6301783,6416735,6528326,6639936,6754123,6871911,6993125,7117611,7244747,7374037,7505542,7639454,7775463,7913146,8052071,8192034,8332697,8473306,8612957,8750909,8886824,9020529,9151681,9279973,9405194,9527161,9645871,9761558,9874600,9985320,10093762,10199978,10304322,10407225,10509007,10609764,10709465,10808124,10905706,11002135,11097298,11191040,11283169,11373445,11461583,11547251,11630067,11709605,11785387,11856889
Cameroon,2189183,2230592,2272787,2315868,2359975,2405288,2452030,2500463,2550881,2603596,2658900,2717016,2778065,2842049,2908895,2978593,3051293,3127207,3206466,3289209,3375605,3465609,3559414,3657700,3761336,3870895,3986854,4108952,4236123,4366843,4500084,4635200,4772689,4914034,5061356,5216050,5378510,5547845,5722571,5900579,6080212,6261170,6443533,6626505,6809246,6991256,7172068,7352015,7532434,7715221,7901805,8092513,8287109,8485750,8688463,8895183,9105960,9320612,9538497,9758751,9980627,10203838,10428148,10652924,10877457,11101193,11323823,11545242,11765375,11984247,12201909,12418259,12633307,12847375,13060908,13274254,13487478,13700558,13913648,14126903,14340406,14554171,14768094,14981966,15195498,15408422,15620599,15831878,16041945,16250438,16457044,16661529,16863727,17063515,17260780,17455393,17647198,17836005,18021591,18203700,18382044
Canada,6968999,7170409,7364413,7560262,7763906,7977995,8201689,8430850,8658592,8876217,9076001,9254167,9413488,9564403,9721855,9896000,10091315,10302810,10519708,10726416,10911898,11072580,11212590,11337959,11458028,11579738,11705478,11833617,11962431,12088799,12210969,12327697,12441385,12558154,12686214,12830983,12995138,13175696,13365403,13553865,13733445,13902130,14061838,14213697,14360157,14503314,14642610,14777956,14912612,15050829,15195574,15348555,15508856,15673576,15838365,16000181,16157936,16312937,16467389,16624571,16786768,16954593,17127008,17302642,17479430,17655799,17831216,18005887,18179838,18353307,18526373,18698815,18870146,19039872,19207402,19372236,19534177,19693053,19848436,19999861,20147012,20289706,20428029,20562303,20693020,20820590,20945192,21066895,21185889,21302364,21416526,21528606,21638858,21747551,21854966,21961387,22067101,22172397,22277563,22382890,22488670
Cape Verde,66305,69039,71348,73452,75524,77689,80022,82552,85264,88113,91045,94031,97091,100303,103774,107551,111709,116138,120472,124218,127037,128812,129685,129909,129864,129852,129923,130068,130463,131304,132725,134829,137584,140822,144287,147791,151269,154768,158343,162090,166069,170288,174688,179186,183667,188049,192295,196419,200445,204419,208373,212314,216224,220087,223880,227588,231205,234744,238236,241723,245236,248783,252358,255955,259565,263179,266794,270408,274006,277573,281093,284559,287964,291299,294553,297717,300785,303751,306610,309360,311997,314517,316917,319198,321359,323401,325324,327125,328806,330365,331803,333120,334317,335393,336349,337185,337902,338502,338984,339351,339604
Caribbean,8599346,8761337,8927740,9096709,9267288,9439378,9613828,9792359,9977396,10171767,10377848,10596620,10826855,11064772,11305026,11543609,11778948,12011639,12242465,12473053,12704432,12936840,13169256,13400024,13626941,13848566,14064265,14274907,14482440,14689627,14898569,15109764,15322896,15538250,15755926,15975909,16198188,16422552,16648404,16874931,17101316,17327615,17553313,17776372,17994203,18205050,18407815,18603149,18793226,18981227,19169430,19358603,19547943,19736275,19921746,20103051,20279850,20452691,20622167,20789203,20954466,21118072,21279743,21439317,21596499,21751036,21902779,22051686,22197736,22340941,22481221,22618503,22752496,22882615,23008136,23128487,23243395,23352804,23456651,23554954,23647713,23734837,23816218,23891881,23961881,24026265,24085028,24138164,24185702,24227704,24264203,24295237,24320832,24340995,24355756,24365141,24369179,24367914,24361396,24349688,24332856
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,653981,660270,666775,673632,680957,688853,697403,706676,716721,727576,739263,751792,765163,779370,794394,810197,826857,844328,862304,880380,898298,915977,933612,951581,970412,990531,1011886,1034463,1058741,1085314,1114505,1146738,1181659,1217867,1253436,1287049,1318040,1346978,1375292,1405068,1437774,1473804,1512553,1553277,1594821,1636284,1677607,1718905,1759652,1799246,1837316,1873529,1908126,1942036,1976571,2012681,2050667,2090256,2131107,2172646,2214429,2256402,2298652,2341026,2383363,2425540,2467466,2509121,2550541,2591809,2632985,2674048,2714966,2755780,2796541,2837280,2878011,2918699,2959268,2999608,3039639,3079327,3118676,3157695,3196404,3234817,3272922,3310698,3348137,3385231,3421973,3458350,3494349,3529955,3565152,3599924,3634254,3668124,3701518,3734419,3766807
Chad,1199046,1220286,1243176,1267301,1292358,1318152,1344606,1371754,1399725,1428714,1458911,1490409,1523134,1556815,1591071,1625673,1660366,1695339,1731333,1769370,1810111,1854083,1900906,1949250,1997245,2043656,2088141,2131471,2174911,2220267,2268981,2321322,2377290,2437723,2503542,2575338,2653754,2738573,2828451,2921450,3016229,3112453,3210745,3311906,3417143,3527433,3642377,3761868,3887471,4021203,4164166,4317402,4479579,4646511,4812465,4973379,5127652,5276588,5422615,5569532,5720174,5875251,6034070,6196434,6361774,6529747,6700320,6873978,7051457,7233713,7421351,7614631,7813129,8015890,8221567,8429111,8638137,8848671,9060570,9273801,9488301,9703876,9920297,10137445,10355222,10573541,10792278,11011341,11230709,11450395,11670386,11890629,12111034,12331491,12551888,12772126,12992125,13211826,13431195,13650220,13868909
Channel Islands,49088,49526,49930,50310,50676,51038,51404,51784,52187,52620,53089,53598,54145,54727,55333,55957,56594,57240,57885,58518,59128,59722,60294,60815,61243,61556,61734,61802,61832,61926,62155,62540,63058,63685,64377,65099,65855,66642,67406,68082,68623,69001,69234,69384,69536,69754,70059,70428,70833,71225,71570,71861,72110,72325,72522,72709,72889,73058,73214,73354,73477,73583,73673,73750,73816,73873,73922,73963,73997,74023,74042,74054,74059,74057,74045,74023,73991,73948,73893,73827,73748,73656,73551,73433,73303,73159,73003,72835,72655,72466,72267,72060,71846,71625,71400,71172,70942,70712,70484,70259,70041
Chile,3012460,3067653,3130227,3198664,3271765,3348654,3428795,3511973,3598246,3687854,3780971,3877423,3976455,4076626,4176098,4273496,4368151,4460154,4549835,4637883,4724790,4810849,4895852,4979264,5060330,5138703,5214176,5287521,5360588,5435840,5515117,5599172,5687772,5780541,5876688,5975631,6076935,6180779,6287835,6399057,6514837,6635527,6760018,6885446,7007998,7124892,7235034,7338991,7437721,7532923,7625910,7716773,7805222,7891784,7977059,8061501,8145362,8228664,8311321,8393119,8473878,8553618,8632354,8709867,8785876,8860161,8932586,9003132,9071838,9138796,9204049,9267571,9329232,9388842,9446158,9500993,9553272,9602985,9650095,9694583,9736441,9775650,9812215,9846191,9877661,9906697,9933338,9957619,9979609,9999389,10017033,10032602,10046149,10057721,10067365,10075131,10081076,10085262,10087761,10088648,10088007
China,283104323,290307749,296222703,301147060,305364569,309144848,312744344,316405377,320353274,324791609,329887894,335758318,342454400,349957265,358193856,367084618,376624789,386767432,397325006,408055288,418755404,429378656,439881151,450072785,459735160,468726499,476963548,484514366,491586010,498480160,505435259,512470213,519571050,526899787,534643675,542912846,551803797,561227395,570873366,580307906,589212543,597474456,605163927,612369913,619254882,625938954,632436827,638702972,644731372,650506085,656021748,661286495,666328615,671187450,675912374,680543895,685090957,689560377,693985985,698405850,702842637,707307026,711780285,716216545,720551145,724730240,728738035,732565480,736173259,739517593,742565574,745299703,747718678,749828145,751642725,753176249,754429554,755406542,756129742,756627970,756925284,757031842,756953783,756705982,756303627,755758357,755078644,754266896,753320214,752231673,750995590,749609305,748072555,746385996,744549527,742560703,740414217,738101579,735611014,732927564,730033092
"Hong Kong, China",1014200,1050797,1100209,1157188,1217696,1278900,1339234,1398337,1456888,1516324,1577999,1642282,1707774,1770970,1827211,1873497,1908397,1933826,1954310,1976263,2004496,2039779,2081157,2129516,2185451,2248897,2320914,2400289,2481784,2558349,2624879,2679614,2723831,2759287,2789048,2815605,2838934,2858864,2877650,2898079,2922100,2950732,2983436,3018616,3053811,3087147,3118325,3147703,3174843,3199363,3221047,3239840,3255913,3269629,3281519,3292162,3301403,3309663,3318779,3331114,3348265,3371054,3398807,3429757,3461302,3491504,3519772,3546509,3571949,3596653,3621002,3644919,3668084,3690385,3711683,3731874,3750928,3768848,3785605,3801180,3815574,3828788,3840869,3851926,3862105,3871532,3880268,3888359,3895903,3903003,3909751,3916212,3922433,3928447,3934282,3939963,3945519,3950984,3956392,3961784,3967203
"Macao, China",100350,100580,99683,97900,95497,92763,90013,87584,85828,85082,85617,87566,90872,95258,100304,105641,111265,117106,122649,127255,130487,132163,132451,131719,130526,129328,128177,127091,126461,126752,128277,131203,135422,140625,146342,152200,158122,164116,169996,175558,180655,185211,189233,192776,195942,198832,201440,203804,206130,208679,211645,215053,218867,223128,227864,233055,238785,244945,251082,256590,261047,264259,266373,267734,268860,270134,271653,273311,275041,276716,278239,279616,280889,282046,283071,283953,284687,285272,285710,286007,286167,286192,286085,285857,285521,285087,284563,283952,283264,282507,281689,280815,279891,278920,277906,276850,275757,274629,273470,272283,271071
Colombia,5973026,6145582,6321957,6503295,6690560,6884534,7085813,7294814,7511774,7736761,7969692,8210359,8458448,8713547,8975121,9242443,9515915,9794677,10075248,10353121,10625290,10889996,11148650,11405357,11666045,11934986,12213498,12500231,12793549,13090750,13389805,13690252,13992603,14296902,14603407,14912199,15223325,15536314,15850140,16163483,16475465,16785447,17093815,17401965,17711908,18025024,18341789,18661544,18983151,19304941,19625668,19944787,20262526,20579327,20895952,21212840,21530015,21846872,22162465,22475534,22785114,23090718,23392351,23690126,23984367,24275249,24562638,24846170,25125520,25400294,25670153,25934848,26194235,26448205,26696694,26939590,27176762,27407957,27632798,27850842,28061730,28265272,28461399,28650036,28831162,29004757,29170830,29329347,29480220,29623347,29758713,29886422,30006687,30119804,30226112,30325972,30419751,30507817,30590540,30668287,30741432
Comoros,77707,79788,81734,83594,85404,87191,88974,90761,92553,94343,96129,97916,99726,101599,103588,105730,108071,110614,113303,116053,118820,121550,124306,127296,130805,135020,140021,145703,151842,158114,164275,170259,176106,181810,187393,192876,198232,203454,208612,213804,219103,224539,230100,235759,241473,247211,252977,258795,264679,270651,276730,282909,289195,295638,302304,309233,316441,323895,331526,339233,346938,354616,362267,369867,377395,384837,392178,399412,406548,413600,420583,427498,434346,441148,447927,454701,461476,468253,475041,481848,488679,495534,502407,509283,516144,522972,529759,536495,543158,549720,556160,562464,568623,574634,580495,586201,591748,597127,602327,607335,612136
"Congo, Rep.",396794,405103,413776,422840,432322,442248,452642,463529,474932,486874,499377,512464,526158,540484,555465,571125,587489,604577,622405,640987,660339,680462,701378,723146,745841,769510,794168,819788,846319,873693,901845,930730,960323,990603,1021557,1053152,1085254,1117763,1150710,1184162,1218090,1252775,1288013,1322727,1355479,1385383,1411760,1435270,1457987,1482805,1511733,1545769,1584143,1624957,1665406,1703550,1738635,1771557,1804007,1838456,1876637,1918983,1964742,2013004,2062375,2111746,2160960,2210075,2258443,2305328,2350232,2392788,2433128,2471900,2510071,2548356,2586946,2625665,2664423,2703016,2741296,2779277,2817041,2854572,2891849,2928851,2965559,3001955,3038018,3073728,3109061,3143990,3178482,3212505,3246022,3278995,3311385,3343151,3374253,3404648,3434292
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,492932,507129,522753,539469,557036,575311,594255,613924,634455,656036,678820,702832,727891,753572,779307,804670,829614,854218,878358,901924,924914,947177,968921,990956,1014364,1039916,1067935,1098201,1130269,1163432,1197161,1231340,1266101,1301448,1337443,1374118,1411478,1449455,1487942,1526803,1565962,1605222,1644638,1684685,1726017,1769024,1813840,1860075,1906952,1953400,1998586,2042336,2084694,2125324,2163898,2200247,2234104,2265648,2295718,2325482,2355785,2386946,2418745,2450820,2482574,2513569,2543725,2573199,2602066,2630461,2658475,2686108,2713287,2739945,2765992,2791358,2816014,2839961,2863191,2885704,2907499,2928565,2948888,2968466,2987297,3005381,3022716,3039299,3055129,3070205,3084527,3098097,3110921,3123006,3134358,3144986,3154900,3164110,3172625,3180458,3187619
Cote d'Ivoire,1269663,1305830,1345095,1386785,1430537,1476306,1524374,1575339,1630060,1689570,1754814,1826375,1904224,1987623,2075411,2166885,2261887,2361140,2465895,2577852,2698301,2827504,2965303,3112014,3267881,3432946,3607182,3790173,3981013,4178493,4381519,4589975,4803424,5020090,5237789,5455046,5670463,5884484,6099712,6319926,6547593,6783257,7025195,7270789,7516342,7758882,7998487,8235198,8466079,8687574,8897661,9094782,9280996,9462460,9647678,9842957,10050383,10268787,10497185,10733376,10975599,11223987,11478931,11739080,12002708,12268452,12535672,12804243,13073962,13344814,13616752,13889469,14162684,14436451,14710928,14986199,15262173,15538661,15815541,16092667,16369898,16647097,16924132,17200863,17477144,17752817,18027727,18301690,18574487,18845877,19115632,19383547,19649438,19913132,20174455,20433224,20689242,20942297,21192161,21438592,21681330
Croatia,1834394,1847734,1860082,1871412,1881756,1891197,1899880,1908003,1915809,1923563,1931504,1939777,1948385,1957169,1965865,1974297,1982444,1990422,1998350,2006399,2014704,2023247,2032016,2041158,2050853,2061195,2072224,2083804,2095634,2107305,2118489,2129246,2139590,2149112,2157304,2163902,2168201,2170470,2172559,2177013,2185399,2198957,2216478,2234130,2246590,2250226,2243502,2228097,2207553,2187049,2170376,2158636,2150805,2145974,2142475,2139061,2135672,2132755,2130121,2127594,2125027,2122285,2119291,2116046,2112596,2108973,2105141,2101050,2096706,2092124,2087312,2082269,2076983,2071445,2065644,2059573,2053236,2046641,2039784,2032663,2025280,2017643,2009773,2001710,1993505,1985199,1976814,1968365,1959882,1951397,1942936,1934517,1926150,1917842,1909594,1901410,1893290,1885235,1877248,1869331,1861485
Cuba,3057129,3122096,3184975,3245219,3302772,3358065,3412058,3466201,3522327,3582479,3648383,3720883,3799451,3881974,3965354,4047266,4126669,4203909,4279666,4355176,4431102,4507672,4583786,4657212,4724993,4785030,4837036,4881757,4919514,4950988,4977103,4997149,5012058,5026383,5046102,5075266,5115891,5166223,5221836,5276242,5324647,5365819,5400946,5430584,5456048,5478407,5497339,5512585,5525444,5537622,5550309,5564218,5578967,5593310,5605394,5613946,5618558,5619872,5618937,5617285,5616036,5615524,5615451,5615542,5615292,5614325,5612563,5610134,5607093,5603543,5599518,5595019,5589884,5583781,5576278,5567052,5555965,5543043,5528327,5511928,5493931,5474315,5453041,5430167,5405770,5379909,5352616,5323886,5293692,5261989,5228750,5193978,5157704,5119971,5080830,5040323,4998482,4955325,4910859,4865075,4817953
Cyprus,243634,246707,249352,252161,255510,259561,264252,269305,274267,278566,281698,283418,283912,283869,284274,285803,288755,292817,297311,301250,303939,305188,305281,304584,303657,302937,302480,302231,302392,303179,304734,307198,310517,314380,318344,322093,325488,328639,331770,335227,339241,343880,349012,354429,359833,365003,369882,374519,378936,383188,387322,391324,395190,399000,402861,406848,410995,415286,419687,424141,428603,433065,437540,442033,446553,451106,455687,460283,464881,469464,474015,478528,482995,487401,491730,495969,500112,504157,508096,511922,515633,519227,522710,526096,529403,532649,535839,538977,542082,545173,548263,551361,554469,557584,560701,563816,566926,570029,573126,576216,579304
Czech Rep.,4337014,4376434,4414900,4451419,4485294,4516120,4543800,4568533,4590769,4611147,4630289,4648585,4666007,4682022,4695828,4707025,4715298,4721370,4727128,4735103,4747087,4763538,4783835,4807301,4832804,4859301,4886913,4915330,4942537,4965967,4983843,4995322,5001017,5002450,5001929,5001220,5000574,4999689,4999116,4999393,5000814,5003997,5008746,5013535,5016227,5015389,5010758,5003174,4993707,4983924,4975186,4967210,4960226,4956679,4959671,4971127,4992354,5021977,5055890,5088338,5115138,5134760,5148281,5157322,5164606,5172121,5180136,5187878,5195093,5201287,5206103,5209592,5211942,5213084,5212935,5211463,5208688,5204719,5199728,5193944,5187573,5180701,5173431,5166013,5158737,5151830,5145389,5139440,5134039,5129215,5124965,5121261,5118044,5115226,5112691,5110296,5107869,5105212,5102098,5098272,5093454
