Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Brazil,22.63867,22.72772,22.81802,22.89804,22.9789,23.07389,23.17442,23.27956,23.38452,23.49948,23.60242,23.71304,23.82606,23.92823,24.03524,24.14789,24.25992,24.37651,24.4885,24.60608,24.73196,24.84949,24.97064,25.09147,25.2199,25.34959,25.48902,25.63555,25.78623
British Virgin Islands,23.74249,23.79803,23.85294,23.91227,23.97016,24.02379,24.07072,24.13198,24.20123,24.26937,24.36658,24.49622,24.65423,24.8368,25.04243,25.26959,25.48898,25.70132,25.89812,26.08206,26.26016,26.41788,26.56046,26.66719,26.78915,26.91179,27.03094,27.16578,27.31079
Brunei,23.23982,23.27246,23.30495,23.3387,23.37014,23.39392,23.40646,23.41929,23.44076,23.4571,23.48593,23.50616,23.52962,23.55589,23.61052,23.64776,23.69483,23.75058,23.81059,23.8489,23.87813,23.90486,23.93406,23.9798,24.02261,24.06445,24.09869,24.13907,24.18179
Bulgaria,25.28913,25.34139,25.39515,25.44814,25.5058,25.55694,25.61303,25.66821,25.72108,25.77352,25.79169,25.78741,25.7869,25.78218,25.77516,25.78474,25.77704,25.76761,25.77903,25.80308,25.84258,25.89594,25.95657,26.03088,26.11251,26.20561,26.30869,26.42397,26.54286
Burkina Faso,20.03144,20.06225,20.09198,20.11975,20.14327,20.17957,20.22333,20.25441,20.29278,20.3198,20.34378,20.37212,20.403,20.43103,20.46465,20.49193,20.52809,20.56636,20.60729,20.66053,20.70895,20.75999,20.81927,20.88506,20.95357,21.02654,21.10561,21.18575,21.27157
Burundi,21.08872,21.11359,21.12784,21.13206,21.12775,21.14807,21.17456,21.19978,21.23035,21.24526,21.27423,21.30618,21.33931,21.35314,21.35172,21.34265,21.33228,21.3182,21.30669,21.30712,21.29665,21.30016,21.31762,21.33669,21.36172,21.38838,21.42011,21.45897,21.50291
Cambodia,19.69966,19.70779,19.7174,19.73194,19.74852,19.77075,19.7942,19.81391,19.83981,19.86195,19.88134,19.90519,19.9375,19.96919,20.00377,20.03927,20.08239,20.12625,20.16351,20.21073,20.25863,20.31227,20.36407,20.42144,20.48485,20.55831,20.63655,20.72057,20.80496
Cameroon,21.78602,21.86229,21.94666,22.03968,22.11848,22.21209,22.30308,22.35705,22.39403,22.42781,22.4571,22.48289,22.50597,22.53125,22.56063,22.59547,22.63932,22.69765,22.76663,22.8312,22.90632,22.98135,23.07282,23.16918,23.27218,23.37502,23.47444,23.57521,23.68173
Canada,25.24074,25.33069,25.4102,25.48895,25.57519,25.66346,25.75539,25.85306,25.94492,26.04039,26.1324,26.22243,26.31568,26.40651,26.49979,26.58874,26.67114,26.75346,26.83631,26.91646,26.99336,27.06234,27.12542,27.18538,27.24205,27.29581,27.35018,27.40416,27.4521
Cape Verde,20.65607,20.71493,20.77269,20.84066,20.91738,20.99708,21.07982,21.19,21.30276,21.39508,21.48587,21.57392,21.66202,21.74446,21.83323,21.9515,22.0401,22.13422,22.24215,22.35591,22.47423,22.59267,22.71017,22.83106,22.95363,23.07864,23.22111,23.36939,23.51522
Central African Rep.,20.95858,20.96244,20.96119,20.94252,20.92022,20.89449,20.87539,20.85032,20.83262,20.82311,20.81775,20.81553,20.80177,20.78856,20.78073,20.78063,20.77539,20.7839,20.79623,20.81486,20.83702,20.861,20.8806,20.88965,20.90453,20.92015,20.94058,20.96435,20.99095
Chad,20.22551,20.2271,20.2314,20.25014,20.27327,20.31534,20.34928,20.37757,20.41912,20.46667,20.50477,20.54673,20.5876,20.61301,20.6328,20.66849,20.70319,20.74174,20.78687,20.83189,20.86887,20.91294,20.96196,21.02777,21.12698,21.22857,21.32338,21.40464,21.48569
Chile,24.48362,24.56329,24.62478,24.67812,24.73825,24.79547,24.8453,24.89825,24.96211,25.04196,25.12311,25.21,25.32067,25.43773,25.55295,25.66344,25.77917,25.88624,25.98953,26.08188,26.17741,26.26824,26.36532,26.46749,26.57109,26.67952,26.79366,26.90237,27.01542
China,21.5784,21.58356,21.5955,21.61408,21.64363,21.67833,21.71745,21.7639,21.81317,21.85731,21.90382,21.95193,22.00604,22.0732,22.1511,22.23897,22.31367,22.387,22.44676,22.49909,22.54068,22.57822,22.61654,22.65637,22.69719,22.74628,22.80042,22.86161,22.92176
Colombia,22.07035,22.1769,22.26799,22.36244,22.45181,22.54068,22.63499,22.73777,22.84228,22.9499,23.05701,23.16434,23.27852,23.39628,23.51334,23.6395,23.75218,23.86203,23.95979,24.05208,24.14347,24.23406,24.32036,24.40818,24.4994,24.59634,24.70577,24.82307,24.94041
Comoros,20.98163,21.0066,21.04036,21.07561,21.10763,21.14296,21.18685,21.2455,21.30362,21.36185,21.41916,21.47534,21.52733,21.57169,21.60407,21.63794,21.66373,21.68527,21.70443,21.72285,21.74088,21.76273,21.79129,21.82661,21.8694,21.91364,21.9634,22.01198,22.06131
"Congo, Dem. Rep.",20.74786,20.73587,20.72111,20.70907,20.70142,20.69308,20.68853,20.68344,20.6799,20.673,20.66681,20.6504,20.61508,20.5555,20.48951,20.40021,20.31166,20.22254,20.14174,20.05896,19.97498,19.89845,19.83696,19.80717,19.78927,19.78781,19.8018,19.8291,19.86692
"Congo, Rep.",20.63666,20.69499,20.76571,20.83255,20.90094,20.96044,21.00631,21.05228,21.09124,21.12095,21.14711,21.16591,21.18663,21.20412,21.21799,21.23934,21.27222,21.30124,21.33138,21.35159,21.38374,21.42314,21.47048,21.519,21.57437,21.64382,21.72486,21.79519,21.87134
Cook Islands,26.2025,26.43064,26.67362,26.90854,27.15532,27.40135,27.63931,27.86856,28.09469,28.31247,28.52606,28.74348,28.9611,29.18297,29.40326,29.61475,29.8242,30.02693,30.23299,30.44719,30.68088,30.92207,31.16078,31.41451,31.66918,31.92132,32.1719,32.4235,32.6744
Costa Rica,23.6937,23.76567,23.82701,23.88394,23.947,24.0221,24.09956,24.18361,24.26875,24.37064,24.48617,24.60423,24.73446,24.84882,24.95523,25.0535,25.14893,25.24253,25.33913,25.45658,25.56878,25.679,25.78377,25.88441,25.98928,26.10699,26.23096,26.3565,26.47897
Cote d'Ivoire,21.12741,21.18081,21.22675,21.27402,21.31013,21.34647,21.39242,21.43551,21.47739,21.52854,21.56519,21.60217,21.64058,21.67979,21.70943,21.75006,21.80476,21.85798,21.91746,21.9759,22.03598,22.09198,22.15328,22.21676,22.28061,22.34639,22.41761,22.48889,22.56469
Croatia,25.28752,25.3169,25.34765,25.37672,25.41073,25.44008,25.47011,25.50221,25.53267,25.56232,25.58771,25.58618,25.57456,25.55173,25.55107,25.57994,25.61993,25.66831,25.72217,25.78556,25.85519,25.93817,26.03011,26.12982,26.21837,26.30989,26.39597,26.49896,26.59629
Cuba,22.73085,22.80724,22.89338,22.98056,23.07165,23.16927,23.26024,23.34879,23.43399,23.51321,23.58502,23.63893,23.67952,23.68752,23.70158,23.71862,23.7573,23.80301,23.8616,23.94593,24.05065,24.16575,24.26055,24.39186,24.52858,24.65646,24.79302,24.93192,25.06867
Cyprus,25.33529,25.37046,25.42285,25.4805,25.54387,25.60054,25.66655,25.7255,25.77662,25.8437,25.92588,25.99995,26.09039,26.18266,26.25772,26.3608,26.43776,26.52202,26.60921,26.69027,26.77099,26.84331,26.9245,26.99325,27.07204,27.15274,27.24326,27.32855,27.41899
Czech Rep.,26.30589,26.35295,26.40544,26.45339,26.49958,26.54167,26.57995,26.62097,26.66796,26.71839,26.77285,26.80636,26.84969,26.89619,26.93426,26.98314,27.04343,27.101,27.16112,27.22247,27.28216,27.34798,27.41303,27.48463,27.56048,27.63067,27.73361,27.81401,27.90524
Denmark,24.5632,24.56873,24.57527,24.58004,24.58269,24.59358,24.6112,24.62859,24.65583,24.68136,24.7104,24.74973,24.80236,24.85176,24.90462,24.96431,25.02533,25.09952,25.17054,25.24724,25.33594,25.42577,25.52596,25.62415,25.72962,25.82771,25.92875,26.03329,26.13287
Djibouti,21.23864,21.31928,21.40683,21.48918,21.5751,21.658,21.74279,21.82127,21.89558,21.96332,22.03327,22.08923,22.1475,22.21,22.26702,22.33623,22.39746,22.45329,22.50722,22.56731,22.63424,22.70345,22.77671,22.85583,22.94165,23.04275,23.15419,23.26892,23.38403
Dominica,22.319,22.38872,22.46119,22.51509,22.57613,22.63925,22.71689,22.82212,22.95088,23.06797,23.17038,23.27171,23.37355,23.46711,23.53829,23.61304,23.70171,23.79924,23.88361,23.96444,24.05267,24.12374,24.18375,24.24105,24.30642,24.37049,24.43348,24.50453,24.5727
Dominican Rep.,22.92812,22.97861,23.02566,23.07558,23.12295,23.16528,23.21672,23.27431,23.32603,23.38897,23.44034,23.48433,23.53831,23.60267,23.67182,23.73003,23.79631,23.87457,23.96611,24.05981,24.15264,24.26207,24.38454,24.51173,24.63408,24.76461,24.90856,25.05235,25.19668
Ecuador,23.79064,23.85029,23.90204,23.94343,23.98012,24.02461,24.06992,24.1085,24.1838,24.25491,24.31515,24.37246,24.44259,24.50867,24.58842,24.65281,24.71664,24.79187,24.84832,24.91341,24.96302,25.0223,25.0947,25.16315,25.24706,25.33264,25.41453,25.49568,25.58841
Egypt,24.25654,24.34966,24.44688,24.54141,24.63365,24.72495,24.81456,24.9007,24.98559,25.06945,25.1531,25.23388,25.31826,25.40298,25.48856,25.57944,25.67577,25.76764,25.86074,25.95852,26.05777,26.15256,26.24082,26.32384,26.40268,26.48005,26.56054,26.64671,26.73243
El Salvador,23.77156,23.83422,23.8904,23.94184,23.99645,24.05124,24.10831,24.16901,24.23836,24.31059,24.38845,24.47169,24.56273,24.65915,24.75942,24.8631,24.9637,25.07297,25.18381,25.30405,25.43048,25.5534,25.67399,25.7896,25.8971,26.00695,26.12564,26.24783,26.36751
Equatorial Guinea,21.0889,21.10687,21.12008,21.13055,21.15667,21.16472,21.17019,21.18436,21.19979,21.21889,21.24399,21.26717,21.2967,21.33208,21.35662,21.4069,21.47658,21.61891,21.77227,21.96034,22.14823,22.37332,22.59892,22.81279,23.04308,23.25296,23.43077,23.60238,23.7664
Eritrea,20.01453,20.04318,20.06819,20.09359,20.11151,20.12814,20.14323,20.15587,20.17161,20.18797,20.20741,20.23979,20.28294,20.32333,20.38827,20.45346,20.52008,20.58793,20.65244,20.70602,20.73423,20.76801,20.79514,20.81538,20.83535,20.85448,20.86087,20.86923,20.88509
Estonia,24.68737,24.69421,24.70221,24.70975,24.71732,24.72067,24.73069,24.74468,24.75588,24.77373,24.79018,24.799,24.79527,24.79123,24.79648,24.82701,24.88001,24.94357,25.02112,25.12637,25.22421,25.33714,25.45733,25.58138,25.71923,25.85257,25.98743,26.13144,26.26446
Ethiopia,19.47815,19.50485,19.52747,19.55625,19.57007,19.57426,19.58084,19.58116,19.5922,19.59811,19.61111,19.61798,19.63097,19.64647,19.66306,19.68413,19.71305,19.7424,19.76632,19.79587,19.82768,19.86357,19.89855,19.92608,19.96905,20.02382,20.08834,20.16319,20.247
Fiji,22.28238,22.43676,22.57832,22.71827,22.86411,23.01144,23.15024,23.27566,23.40989,23.53817,23.68988,23.83829,23.9823,24.13829,24.28999,24.44879,24.61446,24.77189,24.93184,25.08671,25.23879,25.39149,25.5515,25.71604,25.88463,26.05042,26.22081,26.37474,26.53078
Finland,25.46078,25.4801,25.50321,25.52352,25.54429,25.56019,25.58275,25.61171,25.64807,25.69802,25.7386,25.77032,25.80032,25.82563,25.85309,25.87877,25.90909,25.94636,25.98993,26.03724,26.09098,26.15458,26.22336,26.29856,26.37982,26.46406,26.55016,26.64191,26.73339
France,24.70702,24.73514,24.76177,24.78531,24.80748,24.82895,24.85285,24.87929,24.90935,24.94199,24.97491,25.01122,25.05716,25.09455,25.13114,25.17051,25.20739,25.24361,25.28337,25.32587,25.37416,25.42911,25.49014,25.54863,25.60759,25.66854,25.72756,25.79057,25.85329
French Polynesia,25.41759,25.60073,25.7889,25.97905,26.17356,26.37292,26.58224,26.79378,27.01086,27.21275,27.41426,27.62614,27.84075,28.04665,28.24191,28.44179,28.62167,28.8028,28.98991,29.18193,29.37214,29.56011,29.74904,29.93783,30.12372,30.3085,30.49157,30.67857,30.86752
Gabon,22.27217,22.32139,22.37964,22.44393,22.52077,22.58744,22.64612,22.68952,22.74415,22.80386,22.85174,22.91242,22.97127,23.03261,23.09335,23.15467,23.2281,23.30589,23.38905,23.45478,23.5154,23.5732,23.62414,23.68267,23.74528,23.8153,23.89335,23.98256,24.0762
Gambia,19.94139,19.97059,20.00107,20.03257,20.0646,20.08321,20.11353,20.15348,20.19417,20.24274,20.29888,20.35389,20.41435,20.48088,20.5363,20.58593,20.63716,20.69583,20.76738,20.84354,20.91996,21.00113,21.07306,21.1578,21.2523,21.34863,21.44274,21.54302,21.65029
Georgia,24.61762,24.66646,24.71051,24.76342,24.8093,24.85546,24.89456,24.9333,24.97082,25.00293,25.02149,25.00377,24.92825,24.82921,24.73249,24.65405,24.61017,24.59323,24.60131,24.61786,24.6554,24.71795,24.79837,24.90761,25.0226,25.15806,25.27708,25.41457,25.54942
Germany,25.46227,25.50636,25.55565,25.59814,25.64293,25.69249,25.74425,25.79212,25.85154,25.91132,25.97675,26.05322,26.14012,26.20839,26.27577,26.34132,26.4141,26.48539,26.55047,26.61048,26.67425,26.72962,26.78618,26.84581,26.90287,26.96115,27.02184,27.0905,27.16509
Ghana,21.01212,21.01867,21.01856,21.01256,21.04529,21.07916,21.12201,21.16956,21.22088,21.27398,21.30206,21.36352,21.42402,21.49269,21.56186,21.64113,21.73307,21.82109,21.90907,21.99521,22.08191,22.16325,22.2469,22.32978,22.41644,22.51645,22.6204,22.73069,22.84247
Greece,24.80837,24.85004,24.88029,24.91068,24.94193,24.97295,24.99539,25.01424,25.06154,25.10876,25.14763,25.18922,25.24259,25.28895,25.34534,25.38483,25.43099,25.48494,25.53608,25.60453,25.66926,25.74295,25.82012,25.90066,25.99356,26.07865,26.16494,26.25289,26.33786
Greenland,24.46978,24.52714,24.57298,24.62106,24.66469,24.69663,24.74168,24.78147,24.83124,24.8881,24.93611,24.98535,25.02616,25.06717,25.11891,25.18005,25.23576,25.30131,25.3639,25.42475,25.49719,25.56386,25.63414,25.70048,25.76241,25.83021,25.88646,25.94868,26.01359
Grenada,23.27113,23.31463,23.36183,23.40248,23.44967,23.50168,23.55609,23.62251,23.68593,23.74835,23.81588,23.88011,23.93367,23.98792,24.05428,24.11636,24.18421,24.24889,24.325,24.40094,24.48022,24.55684,24.64323,24.73372,24.81219,24.90676,24.98739,25.08222,25.17988
Guatemala,23.18719,23.26498,23.33675,23.39964,23.46354,23.52726,23.58663,23.64597,23.7056,23.77519,23.84902,23.9222,23.99349,24.06859,24.14395,24.2273,24.30849,24.39249,24.47797,24.56244,24.64744,24.72662,24.80671,24.8839,24.96091,25.04007,25.12426,25.20987,25.29947
Guinea,21.14949,21.1717,21.19272,21.2101,21.22866,21.24527,21.26469,21.28652,21.30961,21.34284,21.38083,21.42148,21.47,21.52042,21.56541,21.61652,21.6695,21.72217,21.78149,21.84375,21.90431,21.96945,22.03964,22.11533,22.19452,22.27405,22.35562,22.43725,22.52449
Guinea-Bissau,20.71293,20.72467,20.74743,20.76258,20.78623,20.83811,20.89059,20.93714,20.98369,21.0406,21.0945,21.14396,21.17416,21.19819,21.23877,21.28187,21.33048,21.38461,21.38489,21.39546,21.43209,21.4434,21.45472,21.47358,21.4923,21.51679,21.54966,21.59109,21.64338
Guyana,22.71432,22.73525,22.74163,22.74203,22.73863,22.73909,22.74348,22.75543,22.76465,22.76998,22.76845,22.77741,22.80459,22.84753,22.90881,22.97709,23.05076,23.12913,23.19851,23.27014,23.34875,23.42045,23.46826,23.50962,23.54778,23.58721,23.61695,23.64781,23.68465
Haiti,22.90655,22.93626,22.9583,22.97473,22.98937,23.0032,23.01128,23.01336,23.01286,23.01159,23.01501,23.02191,23.01622,23.01219,23.00373,23.01138,23.02365,23.04808,23.08169,23.1246,23.17348,23.2232,23.27578,23.3296,23.38565,23.44359,23.50879,23.58323,23.66302
Honduras,23.13391,23.1985,23.25895,23.31384,23.36687,23.4218,23.47703,23.53606,23.60608,23.67884,23.74195,23.80441,23.87519,23.95347,24.0249,24.09955,24.18044,24.26988,24.34796,24.41586,24.48024,24.54868,24.62025,24.688,24.76042,24.84076,24.92453,25.01546,25.10872
"Hong Kong, China",21.63375,21.75267,21.86784,21.98671,22.11127,22.23343,22.36179,22.49845,22.64054,22.78243,22.92726,23.07181,23.22325,23.37374,23.52496,23.6696,23.80513,23.93306,24.04084,24.14409,24.24734,24.34116,24.43015,24.51804,24.61484,24.72025,24.8309,24.94447,25.05747
Hungary,25.28424,25.35008,25.42012,25.48757,25.55388,25.61893,25.68529,25.75694,25.82174,25.88606,25.93988,25.96832,25.99537,26.0249,26.05337,26.07566,26.10413,26.13989,26.1921,26.24871,26.32296,26.40176,26.48809,26.57555,26.68557,26.78605,26.90203,27.00873,27.11568
Iceland,24.82734,24.92462,25.00838,25.07729,25.13832,25.20076,25.27223,25.33542,25.39311,25.45393,25.50969,25.57076,25.63281,25.69722,25.77402,25.84124,25.91334,25.99882,26.09548,26.1939,26.29702,26.39685,26.50299,26.61204,26.73403,26.85805,26.97796,27.09734,27.20687
India,21.09132,21.04581,21.00317,20.96066,20.92134,20.88185,20.84291,20.80062,20.76272,20.72949,20.7024,20.67306,20.64642,20.62593,20.61725,20.62203,20.63797,20.6652,20.69815,20.7406,20.77932,20.81119,20.83562,20.8555,20.87218,20.88994,20.91145,20.93488,20.95956
Indonesia,19.85723,19.90366,19.94077,19.98318,20.03233,20.07793,20.12761,20.17621,20.23084,20.29108,20.35126,20.41887,20.49719,20.57903,20.66926,20.76345,20.85661,20.94721,21.01366,21.07734,21.14825,21.22,21.29583,21.37829,21.46416,21.55427,21.64688,21.74807,21.85576
Iran,23.16184,23.23424,23.31364,23.4015,23.49059,23.57426,23.64439,23.70826,23.75791,23.81757,23.90194,23.99346,24.09265,24.19475,24.30065,24.40843,24.51378,24.61608,24.70879,24.78711,24.85189,24.90839,24.96062,24.99582,25.05111,25.11463,25.17429,25.24163,25.31003
Iraq,24.98391,25.07866,25.16866,25.25453,25.33199,25.40363,25.47775,25.55415,25.62027,25.6894,25.74914,25.71613,25.71062,25.73522,25.76909,25.7876,25.84621,25.88685,25.96694,26.08411,26.18983,26.31219,26.41797,26.45662,26.49992,26.53882,26.58597,26.64623,26.71017
Ireland,25.80942,25.83961,25.86538,25.88202,25.90272,25.92826,25.95512,25.98481,26.02015,26.06396,26.1214,26.18222,26.25085,26.31231,26.38027,26.45337,26.54485,26.65412,26.76096,26.86328,26.96904,27.07264,27.17342,27.2638,27.34373,27.41975,27.48572,27.57676,27.65325
Israel,24.76857,24.79572,24.84701,24.8947,24.94352,24.9897,25.04481,25.10475,25.17435,25.23233,25.30622,25.37606,25.45771,25.53842,25.61811,25.71673,25.83036,25.94161,26.04805,26.15018,26.2625,26.3781,26.49152,26.59689,26.7023,26.81523,26.91824,27.02232,27.13151
Italy,25.4106,25.41417,25.41974,25.42467,25.42456,25.43023,25.44088,25.45918,25.48011,25.50611,25.53778,25.57722,25.61943,25.6544,25.69556,25.73105,25.77075,25.80452,25.84628,25.89138,25.94303,25.99564,26.05786,26.11983,26.19245,26.26249,26.33693,26.40849,26.4802
Jamaica,22.33166,22.35883,22.38478,22.4151,22.44398,22.46556,22.49161,22.53213,22.57322,22.61526,22.65921,22.70581,22.75759,22.82344,22.89494,22.9611,23.03603,23.10743,23.17743,23.25101,23.32343,23.40351,23.48137,23.56227,23.64944,23.73732,23.82337,23.91519,24.00421
Japan,22.1008,22.11807,22.1382,22.15686,22.17225,22.18911,22.20966,22.23754,22.27578,22.31904,22.36753,22.42054,22.48151,22.54894,22.62295,22.70061,22.7845,22.86718,22.93991,23.00911,23.07719,23.13928,23.19359,23.24493,23.29598,23.34532,23.39421,23.44693,23.50004
Jordan,24.65223,24.77498,24.90362,25.03078,25.15302,25.28247,25.40708,25.52928,25.64378,25.72128,25.8005,25.88009,25.9715,26.07142,26.17154,26.27064,26.35048,26.44347,26.53386,26.61774,26.71033,26.80006,26.89672,26.97629,27.07908,27.17381,27.2759,27.37429,27.47362
