"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Benin,43.61513231,43.99276723,45.49929799,44.81200245,43.67821444,47.39872639,43.54556723,46.50592426,50.26311701,50.44027181,51.96839601,52.16145973,51.88085343,52.07995385,51.38207925,53.29700577,53.89345928,55.58792646,51.4524925,51.66376769,52.28564043,54.4249432,52.37638005,51.48538193,49.61898729,51.75202423,54.22109469,54.3544841,52.22523678,49.37509991,50.69257347,50.99729053,50.74336168,52.83297392,51.82816979,51.40034843,48.61340854,48.05502343,48.29083115,48.45908028,49.58265807,50.03491287,52.58854193,54.19991296,54.5739407,54.38425824,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.39379601,90.62702851,92.42353481,90.08181551,87.60351989,88.41820265,89.0993487,89.09686377,89.00788098,88.71084583,89.68592326,90.48832507,89.69508445,90.43064506,91.43621753,
Bhutan,,,,,,,,,,,,,,,,,,,,,,41.95862883,38.94519714,36.49982144,35.18888478,35.48630652,36.59248947,36.77747402,37.67376269,39.32547746,39.62219349,39.61444671,38.5560307,37.58993792,36.06737555,34.11475626,34.15104628,34.45551545,35.7314649,36.66608364,36.29940522,35.80652958,35.12735031,34.96484299,36.08796122,39.53885985,38.92283109,35.43991093,36.54288717,38.08002876,,
Bolivia,,,,,,,,,,,46.19522088,47.73445732,44.8695434,42.26441632,40.32277935,45.47390379,45.74602755,45.20541371,46.64631211,47.86594066,48.55263805,48.04598358,47.65409174,43.6136484,43.92590799,44.58882553,46.52606555,48.97549719,48.85412996,48.97623959,48.49370623,49.25913005,50.41461252,51.7568265,51.2993706,50.00344834,51.3462523,52.20895945,54.96458913,56.24561942,55.19998835,55.60577713,55.80582464,55.19049505,53.65112996,53.59382444,51.04238449,50.73332132,48.17402291,49.92614961,49.85641594,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.29138812,53.6,43.48355664,47.94680942,47.14909915,54.18178332,66.39369101,66.10090753,68.22983744,67.64260543,64.35471234,64.36125317,64.89818448,62.61155472,62.44559524,63.90290602,64.39090006,
Botswana,43.2614701,45.84808472,48.23013834,50.09819441,48.12533395,46.95121951,46.34146341,,,,,,,,,36.48564939,38.56110271,39.33951333,37.60566598,34.82264666,34.57413249,38.44375963,39.13232576,37.02743098,35.02636022,32.40879624,31.98010237,31.0530936,28.51061501,30.08347302,34.12676088,36.24671802,39.00027714,41.94323084,43.69023496,44.74922373,42.80410296,41.47355976,42.43179831,42.57302329,44.65116265,41.0156414,43.13846187,48.02944667,47.01633681,47.61399591,43.88181485,44.7831521,45.42190449,56.64838416,52.43933867,
Brazil,42.34050103,38.75814421,49.32046193,44.60450924,47.76103477,47.71066364,49.18271507,51.04056365,49.4899848,49.42254373,49.35410602,48.93703786,48.56802829,47.63843935,47.01706015,47.72734662,47.28332198,46.68043493,48.25479592,48.34679995,45.16110998,45.54490953,45.4443929,45.11017938,42.82444941,43.14649587,43.68243239,44.11011027,46.23839733,48.81015047,53.21,56.05,53.58,50.83,50.15,66.70302028,68.50230176,68.47459928,68.81691003,68.58126095,66.66532896,67.10295062,66.3304347,64.76809331,62.97293875,65.0168028,65.74797731,66.62611928,66.19292736,68.50061644,67.41163857,
Brunei,,,,,,,,,,,,,,,8.149224065,9.146693618,8.421262194,14.21406265,18.30494655,14.89396598,14.5410097,17.45894086,19.46742644,21.70016864,25.46322117,26.9765102,39.26707688,38.56125774,45.51968678,39.23575933,37.47552406,39.40522174,38.63571387,41.68753226,44.97291847,44.56746259,42.57376362,42.72731009,47.05586578,43.58042824,35.30581388,38.82298594,38.24441199,34.63025702,31.01937734,27.49306761,26.11792075,28.00513587,25.25161904,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,30.89892021,29.72665414,24.96745621,25.12213062,24.11267455,25.25420257,21.73979777,29.09212322,30.95843155,31.76465624,33.77652913,39.29701243,43.56786841,51.51503801,51.88473544,56.43403018,60.58717758,47.29619749,54.31520996,59.023732,60.55558318,59.98447463,61.21531759,61.05105686,62.00131944,61.94508069,62.26201827,62.1693176,62.43091406,63.82042068,63.2572681,
Burkina Faso,39.62175646,39.83498644,40.32815126,38.43694427,38.41478577,43.19888061,42.40957644,43.179966,44.37765678,44.20960399,45.77846271,42.65072716,42.56174131,41.71624988,43.66773227,42.43320173,41.12109784,46.89238657,45.33869276,48.44535064,50.10796936,49.93736705,52.12789869,50.96632675,50.49237285,45.38265634,48.08537294,48.36281238,48.10281269,48.64940101,50.2443303,49.15861184,49.21346873,48.56103443,43.00281242,43.28940699,41.10442256,42.41868567,41.65270125,42.19550231,46.5983689,44.12904855,43.97735383,42.75785814,43.98211039,43.22205977,44.35713555,,,,,
Burundi,,,,,,,,,,,19.20103027,20.30396489,23.07286456,19.56423059,21.05286137,20.85039146,22.41766847,22.16264916,23.18920148,22.80649855,25.13108223,25.27002515,27.69609441,27.25348975,26.02882172,25.46079845,27.95960137,27.76169795,29.08767851,26.65656924,25.15805993,26.09317068,25.29380717,24.93330533,30.74383095,32.60719107,30.14807048,34.96308678,36.83370064,38.45445251,40.80735605,41.44899021,40.87340063,40.99740863,40.99740863,45.13917165,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4910724,37.94976063,35.55024577,37.70307646,36.57996467,36.25681607,37.55008704,39.1323305,40.34715143,41.51698634,40.14319268,41.6521161,41.2297062,40.77173839,41.33913917,41.33649617,41.29110022,40.72846334,
Cameroon,,,,,,46.96739559,47.48924795,48.76248506,48.99613844,49.84271131,50,49.76512168,49.17902564,50.58990574,52.59002376,52.63759475,53.42960421,47.96163001,52.68960439,48.53466589,43.13199544,40.73547764,39.24087554,40.96733067,38.75636686,42.47821334,44.04751736,45.12704645,46.16407019,44.23746017,45.97385234,45.68543372,46.9655116,47.01665302,44.0338448,45.01586638,45.56068884,44.69561753,45.44789121,43.55602664,41.8484406,45.2250601,45.84740478,47.59227026,48.85610249,50.10178872,48.75011132,49.89077684,,,,
Canada,,,,,,54.66319665,55.08193538,57.17959363,57.5565743,58.11951006,60.1970982,60.5184546,60.78953347,58.18162744,57.19768765,59.08810078,59.97397465,60.06218373,60.00170459,58.59508761,58.79860205,60.02280529,62.129414,62.02932904,61.10783237,61.43124805,63.77763597,63.69802265,63.60558567,64.36274115,65.83059341,68.01673343,68.65146002,68.32636282,67.26439189,66.36529065,66.08739033,66.63617841,67.41406724,66.31581609,64.51751623,65.8788173,66.85485878,66.65435265,66.21418576,65.79794665,66.45291146,66.76810368,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,66.43142246,64.73027577,63.14619785,63.15724082,64.26375176,65.13549066,66.34528522,65.82326142,67.43665505,66.90607031,67.24982218,70.05275926,71.39980248,69.78281855,71.77075511,74.75399228,74.90677525,75.14366464,75.07877747,75.28609801,75.62515146,77.13320031,76.52560444,74.33385164,73.49373808,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,38.21836494,36.08815978,36.33951724,33.49512136,34.40368477,38.46151709,35.82996677,34.23598341,34.03041825,38.00298063,39.33761175,39.62447815,40.06878591,37.95507839,38.37534582,39.93691104,41.41811906,45.23299848,44.95161201,42.97307692,36.48308302,36.13728111,37.78064705,35.06432513,34.87854449,32.74410526,34.14703745,33.18490776,32.81064468,33.05029015,32.67536546,30.9535048,29.36262938,27.78936392,27.21727662,31.03127256,30.08358506,30.4267712,24.61959534,30.69077875,31.41313615,30.74319189,31.91220105,32.91346867,28.71105737,,
