"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.34096335,55.18896283,55.16007363,54.95011213,54.98832984,55.85914858,56.39236612,56.38870307,56.90068901,57.46635902,57.92259836,57.74700898,58.47108523,58.99453442,59.86565568,59.53577259,59.96387542,59.72734972,59.50998896,60.43422159,60.34334371,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,22.45790978,23.83276507,23.80601636,28.23850795,27.76672281,27.80660312,29.25635913,29.36766029,27.77079074,22.14588564,21.17961841,15.00829324,8.241952662,11.8385003,7.168257533,4.248544579,4.257354945,4.920087466,5.312904836,3.812244735,2.963923659,2.853613671,2.746466155,2.294939595,4.218024108,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4187615,61.90274244,61.39951788,62.27056629,61.03984304,59.73776855,53.40685152,52.25969975,61.9323893,60.22231415,60.48167499,65.68901363,67.09120174,53.87012302,54.6262319,54.53792317,55.765625,63.02716921,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.45614378,36.94971821,38.40197694,33.74600357,42.03101805,52.21444978,58.68500588,60.19880268,61.23791256,63.414121,63.90265556,64.94824768,68.66441961,67.64779229,67.23246462,67.48584288,67.53558038,68.23610607,67.87738354,67.47189709,66.57737843,68.00245053,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,28.7609657,30.52176411,29.73506615,34.21845811,31.16890904,31.98710741,32.48382939,33.72378847,34.09122585,34.52258692,27.25096756,23.94022511,26.05000032,32.0501142,32.5563111,32.77730534,31.68940191,35.41675353,37.62590274,37.76684556,39.30866157,42.59651724,44.04099308,41.76167835,40.34553465,39.41623193,40.49003286,43.13081868,38.45558731,38.0326466,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,33.54633227,36.74698795,40.87870105,43.29044118,44.67178176,44.75308642,48.39857651,47.89816459,53.65457499,52.27765727,52.6613591,52.25334957,52.07606636,51.805096,55.9682802,58.44479005,56.9027457,55.84905932,58.86546383,58.40987554,61.87409741,64.50354898,62.18742623,59.01815379,55.74519723,58.78927208,53.74341195,55.61964357,55.08464677,54.69294556,54.33356758,53.51610387,55.63481806,55.88349364,57.68783438,58.77943945,58.82818927,60.64166076,61.60712281,61.78227092,63.22863429,62.22508697,66.77680985,66.56381169,67.97711671,67.88511537,69.43363997,68.24199243,
Finland,,,,,,48.35085659,49.96202583,50.93779435,50.69202018,49.41153351,49.10346165,50.15065109,50.25165217,49.80564248,48.33356086,49.95416488,51.94798187,52.72854013,52.78142398,52.30452355,52.00107802,53.36742628,54.15025024,54.57018758,55.20981278,56.81646751,57.95534491,58.86131538,58.70595891,58.46107064,60.10466469,64.07446492,65.1914174,64.43210872,63.15031527,62.22513713,63.37283458,62.97550611,62.09506449,62.47956995,61.87006626,62.64479477,63.68839326,64.04653668,64.62667099,64.78410902,64.03438611,63.24259632,65.09398554,69.34674706,68.06275031,
France,,,,,,,,,,,57.00892768,57.68025402,57.10158481,57.76201464,59.95919735,60.39284368,60.95621233,61.55631679,62.13496023,62.51104942,63.27212231,64.3220558,64.46175732,65.41569921,66.26455859,66.45813303,66.85204759,67.46990525,68.04564914,68.54593125,68.69911264,69.55477438,70.24659078,71.85808021,72.39381766,72.14264339,72.91343509,73.23744257,73.35395584,73.88051836,74.22893785,74.68615583,75.3927974,76.1737047,76.56792972,76.91620278,77.34280997,77.16570109,77.47457153,79.21231821,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,33.89587723,33.22279052,33.51280439,17.78305927,39.0651822,39.81981982,39.90063575,38.02393713,36.0768351,35.79192618,33.85475221,40.62798287,35.66819355,40.5338982,28.43691149,31.31487673,32.63801975,36.27933932,35.66394659,30.79429103,32.81353572,35.47403525,33.24080999,36.66331502,34.19868911,26.72109297,43.25443285,40.15918081,53.974258,49.58442531,49.67913119,47.76410723,48.42878954,46.26740874,38.29495057,39.60488041,37.54119747,39.13029494,49.83742911,43.89063044,37.53117898,42.28731873,42.21459327,41.91980904,39.06542549,33.75702816,33.88560553,34.90122051,31.6597318,41.14839717,36.19897365,
Gambia,,,,,,,55.77055978,55.15463918,55.09677419,55.0647821,56.58031088,56.71568627,55.24475524,55.24838013,55.77755578,55.59604373,52.97526187,53.62109755,55.63041386,55.53084223,54.29279031,51.56753754,44.42640214,50.32660049,50.29337209,52.61314247,51.91537398,52.56570359,58.06728574,56.87719134,57.87529516,58.51906139,59.56466721,60.47510814,58.93694408,56.65956922,56.29085489,56.96824019,57.75138768,52.69750887,51.13296327,50.82985567,57.88831845,54.91454167,53.14313998,54.58196039,55.49080387,56.49821979,56.40969023,57.07650979,57.33696174,
Georgia,,,,,,,,,,,,,,,,,,,,,40.11406844,38.88404534,38.81090008,39.82084691,38.29138063,34.85540335,36.171875,37.8030303,38.19648094,37.96992481,35.00352858,34.0832396,23.16395664,19.43123615,23.8454427,32.06687865,42.13551688,47.14365352,49.54305573,51.23494503,55.7114924,55.60194533,55.03459069,53.7966071,55.66148555,56.4649848,62.32454605,64.99568872,68.7307226,68.77807485,68.36608741,
Germany,,,,,,,,,,,48.2439659,49.82993347,50.90346353,51.63907496,52.73065704,54.79282289,54.511473,54.97215046,55.08119011,55.68297455,56.54148355,57.56552503,57.96349895,58.56629121,59.023806,59.02670314,58.94510929,59.88658697,60.12422264,60.44063768,61.16717073,62.02095594,63.27799997,65.6332398,65.9310551,66.58392895,67.42194774,67.62967068,67.73234494,68.30579523,68.23153116,68.77914807,69.53606558,69.9137289,69.41276707,69.72577204,69.11728052,68.55612566,69.35182679,72.42455874,70.95601337,
Ghana,,,,,,28.78372915,31.75586673,32.05271549,29.88444383,25.95541401,24.99231094,29.02287256,27.87087621,26.52255963,23.89203203,23.4947967,22.20684512,21.88595281,22.06850132,23.62780689,27.63778813,35.19554748,34.17542463,,36.94247048,33.57695204,34.72953359,32.94389403,33.68230188,33.70283412,38.07739626,37.45791223,37.58949753,30.83398421,30.36407871,30.55417442,29.56340337,31.21624301,31.54053338,31.71055652,32.19898843,32.5373633,32.59115505,32.00406752,31.39473076,31.60307866,48.79586572,50.2028979,48.61348269,49.19513905,51.43080834,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,54.51243195,54.78553863,55.46382116,55.2424138,54.38497403,53.96129656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,58.69835224,62.27525119,59.57106091,62.15510033,59.94041708,60.59163867,62.81407035,63.3437767,65.44794767,65.46515792,62.41528203,62.66823435,66.55296776,68.59708345,66.81037743,68.93369392,70.45817962,70.27413387,69.85562431,71.34760326,69.9892677,70.19787582,69.24606386,73.10953623,74.72179429,73.52341988,73.27046682,74.81909614,70.129681,72.89970143,74.03120435,75.52082288,79.68228033,80.42970671,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.80642407,55.71526251,56.27948258,56.24641852,57.29689289,57.72796843,57.86848669,68.20310195,67.68739274,67.55711025,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,41.49256551,43.00579126,42.84925405,42.03520236,42.89060021,49.5968445,55.20899108,52.60661802,53.1225588,51.54516508,51.45944231,48.95457401,45.80637374,47.35707726,47.23881136,43.48659688,43.84104335,46.2593159,41.26735334,36.92748256,32.80354726,31.26281915,28.3861854,30.95558713,39.59051118,
Guinea-Bissau,,,,,,,,,,,31.29893594,33.07141038,31.75658392,32.72355557,33.12838748,26.86623385,36.38382569,31.20653669,28.39973406,28.54866764,36.05755201,29.50900095,38.83624496,46.112504,44.31138338,37.87200757,34.95679157,29.20484393,27.36515804,32.9628916,20.59582271,36.12874792,39.91343683,34.6662139,32.84704521,32.74593869,30.81946949,30.09896618,24.9422498,28.41989563,30.5656492,35.76721938,29.57502647,,,,,,,,,
Guyana,42.7972561,42.48002779,39.48230668,40.31490297,40.40639574,40.94124885,42.29757381,41.74446519,41.2142152,39.87211692,40.55319149,41.35232745,43.37667232,48.28244275,36.54863187,34.55125476,42.1265548,43.61389052,42.97789749,43.68586363,40.86826347,47.25925926,47.68,53,50.92592593,48.53300733,46.21665572,39.94003528,44.38888889,30.63698522,37.03945109,29.61156343,30.22950621,28.10506531,26.34887937,26.12442062,27.30433481,30.81543098,34.60667108,35.38417593,39.87657885,40.77510099,40.59289011,41.37156001,41.72571722,45.42878525,46.09213329,45.63164263,43.01092499,45.13027468,46.35134004,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,43.70468029,42.86376274,41.69726066,42.74107619,42.58947874,40.82073434,41.66169154,40.71402484,40.57099288,42.13160486,45.37108148,46.01971452,46.46048345,45.13595378,45.24064171,47.75530505,48.21576488,46.21418827,48.52898148,50.03743369,52.01393085,54.68068411,53.92850372,53.49467051,53.33557951,54.17831616,55.90655346,56.12009113,54.75784686,54.21347966,51.20114708,49.96064447,50.03409465,49.29469095,46.85916631,47.76558573,46.92419825,47.11819089,50.19477925,51.71215203,51.6604881,54.72319948,56.44679196,57.17027797,57.50329923,57.62158551,57.04674865,58.42849383,58.8884238,61.34896554,60.9386027,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.34763472,88.62576934,88.78806817,89.0707076,89.92712279,90.85087677,91.73556222,92.44437863,92.37596656,92.56820933,,
Hungary,20.61603718,20.64934194,18.75334163,19.42895505,17.65075048,22.68231807,22.58546295,22.42154579,30.74332731,30.53126015,32.89545378,32.70604575,33.07169907,32.17257093,32.57968189,32.46812003,32.5841104,32.60719497,33.19491916,33.16203588,33.80890859,33.39815652,33.1510783,33.70905292,33.97690059,35.15179364,36.31318697,37.17720444,40.1242955,40.68527023,46.4014811,57.65904489,60.61704179,62.86330359,63.2911005,62.52539187,62.56211821,61.02249894,61.0347678,62.27745553,62.04596125,63.71434185,65.40722845,65.98296964,64.59662641,65.80536262,65.82064594,65.78446055,66.17205047,66.65350557,65.44032256,
Iceland,,,,,,,,,,,,,,47.71705341,51.66797906,53.19649497,51.21802909,50.46193145,51.95303714,51.20727845,51.16591108,52.1553062,53.05983346,54.67766731,52.56666146,53.23822884,52.01269051,52.26347043,54.06679045,56.12180262,57.41138338,57.15732948,57.98959569,58.62733826,59.87495536,59.59419772,60.17385319,60.25203414,61.41842397,64.04377231,64.80349188,63.54834692,66.07442976,68.68303322,68.95023846,69.30613644,67.07274764,68.49522206,66.51904282,67.66872169,,
India,37.62290041,37.79832775,39.26472316,37.73979304,36.61476175,37.9467885,37.44055048,36.02755454,36.46335157,35.92624675,36.88606594,37.80586473,37.74252545,35.80106733,37.45417964,39.47788403,40.10501539,39.01979863,39.55756305,40.60980999,39.61062481,40.07270009,41.21220513,40.50308261,41.5065834,42.72934869,43.71424241,44.25058071,43.35026968,43.83625779,43.83669364,44.5921019,44.87929135,45.20305498,44.67624041,45.68042323,45.61405874,47.10785244,47.91514292,49.69255958,50.45745074,51.4641569,52.66087826,52.79063262,53.04641079,53.04359986,52.85760661,52.70477158,54.19637242,55.27369755,54.73330775,
Indonesia,33.49514466,37.90322581,31.86657513,32.16184639,29.67587673,31.41886561,37.25184159,35.85642081,35.48089945,35.10877351,36.37093637,36.48424337,36.40199411,35.21507417,34.69188953,36.34933548,36.27887287,36.1699623,36.16331763,35.01850331,34.31220373,35.42560662,38.15233213,37.28711261,38.16416752,40.94424134,42.03691877,40.41576039,40.2506698,39.99670069,41.47144521,41.34143478,41.67777222,42.43971184,42.07169594,41.06080177,39.87199646,39.57892347,36.68892189,37.02725542,38.47263493,38.25489181,40.08062428,41.06508452,41.03660563,40.33232377,40.08263854,39.48417538,37.45751497,37.02218354,37.61597522,
Iran,,,,,,42.52402586,42.58816798,42.3712854,42.17904431,41.71589198,41.70124199,39.65760933,40.47517271,33.40056885,29.29489339,35.25133258,35.25918777,40.11957086,46.04635535,45.8965745,52.7724495,50.25448479,45.18290687,49.04192486,50.91712511,53.884764,56.50398634,54.93945302,56.40910934,54.48831817,52.19449799,52.73609288,52.1836021,46.47903178,45.89301196,47.38688631,47.49845787,51.20325939,55.15253235,51.67028834,49.53433576,51.78417769,46.57603447,47.07725199,46.03742439,45.10354552,45.99402874,45.30837187,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48034781,18.95904938,13.51941771,10.2609439,13.29570354,17.63618206,21.27933911,,,,,,,,
Ireland,,,,,,,,,,,49.1344417,49.65816904,48.03888383,47.78105203,49.49081282,48.95290808,49.83060132,48.37685699,48.77834823,50.90036475,52.86318761,54.39084512,53.47893858,53.08707187,52.81994616,53.28258555,55.02005206,54.92590335,54.96246067,55.39654987,56.57912323,57.39566265,56.06087625,57.57045088,56.36276215,55.20899916,57.09418754,56.57621418,54.2234637,53.95551914,55.35526499,56.73050816,56.78674852,60.28742985,62.37410123,63.91218524,64.30401414,65.03094785,67.28320308,67.14970539,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,51.95610235,53.35382162,54.98190132,53.27552101,52.52780405,53.9316072,53.31812781,54.23571455,55.38421991,55.83055517,55.90862562,57.27583802,58.41540836,59.4978753,60.20708985,61.05330278,62.22981312,62.63659435,63.40869637,63.2158493,64.42113381,65.30262262,66.07259667,66.70564789,66.7469434,66.58382629,67.14193557,67.4868344,67.72736444,68.48773793,68.97696878,69.39952099,69.81034951,70.53226373,70.61318222,71.09202758,70.87722686,70.60667173,71.15410976,73.04274545,72.93850517,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8646485,54.60160193,54.21327189,57.46955072,58.99101845,66.05787801,66.48384333,67.42826847,67.67838967,69.53751357,69.37474856,68.6004499,68.67367854,69.57808469,69.34448269,71.25246377,71.74208614,71.27632477,
Japan,,,,,,,,,,,48.64292249,49.95181502,50.37419444,49.13780579,51.19213948,53.50895258,53.58924947,54.88500216,55.07350631,55.43318431,55.68294454,55.92840061,56.63066893,57.496745,57.13810215,57.48487804,58.24504769,58.43201255,58.41524913,58.54313746,58.39377326,58.75631752,59.94372786,61.55042457,62.85800906,63.76754466,63.8062039,64.17916127,64.81791504,65.33563422,65.82400501,67.28224538,67.85714941,67.95040511,67.89600042,68.02235754,68.51715345,69.1352567,70.22372044,71.90540864,,
Jordan,,,,,,65.2572593,68.767507,66.66666667,65.88555858,65.93981683,69.3800284,69.03914591,66.7816092,66.99438202,65.49640288,68.41967556,67.66729206,66.48275862,64.71625992,65.36059057,64.07646947,64.10511038,63.66254336,64.77866202,64.55617277,68.68443198,69.34314587,68.75399361,70.33802527,66.66666667,63.80296838,65.2857599,64.63762744,66.58112982,65.63935353,66.75365405,70.0383639,70.83630067,70.49028307,71.69695683,72.10904748,71.96600594,70.36409399,70.12373819,68.59065901,68.05483865,69.43562418,66.96029161,64.78128029,65.45922572,66.49830008,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.70018975,43.09677021,44.54139368,55.73808659,60.28495968,61.2029507,59.70970904,54.59039103,50.84882321,51.80275276,52.79583744,53.93609132,54.80490813,53.11252675,52.0198804,53.26420183,50.99915768,53.2723521,52.76365488,
Kenya,43.55955988,44.66722723,42.7321984,43.35157521,43.48077677,46.57995804,44.35726636,44.54301823,46.12778888,46.48456952,46.87438818,48.24756166,44.39467915,43.79607346,43.93481572,45.59874196,43.49346686,40.06216859,43.00379769,45.55380681,46.55847445,47.22493796,46.69771103,46.40880002,47.11676384,48.33190549,48.37906846,49.95777438,50.50322808,50.7831278,51.44406384,52.18484315,52.8841431,51.58245197,49.43266233,52.84930355,50.93299227,51.32144135,51.2732411,50.81217997,50.71601713,51.44678472,53.45729139,53.39547006,53.7287781,53.70923198,54.75584513,56.4499521,54.40147058,53.62333612,55.00296505,
Kiribati,,,,,,,,,,,,,,,,,,,23.38709677,33.922994,70.23773955,63.70168581,65.45733788,65.11804065,49.96244452,57.24364478,64.44469594,63.67932724,60.46213094,65.02496879,73.80991384,59.84543942,60.12274822,59.79294365,60.82388037,61.46559548,63.99565748,66.2671044,63.6359019,62.55349225,65.68261005,65.84233309,65.19315387,64.09536473,63.7620723,67.47824432,66.44178145,64.73693134,63.72074893,61.84313179,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,39.32719516,41.3982446,44.66269326,44.83756916,44.58331695,44.72367794,45.36164777,45.05694178,44.04311387,44.96494359,43.59662048,43.19518331,43.24808977,42.98189708,43.03162894,47.27859993,46.65149086,47.04083224,46.91624275,46.5613312,47.38295678,47.61027068,47.75733049,47.46338825,49.06982,49.49142376,49.433657,50.99743408,51.4224283,51.69897758,51.79757179,52.77313699,53.41745617,54.21977515,54.50746728,57.30916686,59.00368201,59.78190326,59.63112435,58.13111324,58.96481691,59.67486622,59.99515994,60.84082863,60.44698989,58.1696912,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,68,68,68,68,
Kuwait,,,,,,29.10547397,31.49882904,35.77981651,35.01577287,35.18705763,32.51485819,27.73918206,30.18442623,29.96696026,14.50301624,21.51993078,24.81704237,28.66487153,29.78214456,23.78578341,24.96318243,30.96423952,45.84775427,42.99869825,40.4539158,42.40938647,53.25449249,47.55628026,54.17099711,44.93272765,47.0474091,79.79423973,57.54912858,47.76426742,48.0230382,45.02776682,40.2954506,42.75155597,52.21622378,46.99713241,40.48055315,45.52471732,50.34253667,48.53017453,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.44221081,27.56643436,23.1636882,26.98732888,33.66816796,36.55486338,31.96474881,32.57693462,37.70305122,37.34170042,31.86384716,33.77882878,38.97252184,40.6200803,42.59344502,45.65943777,47.17248622,49.63805576,49.44500443,52.35865731,51.30923564,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0264114,24.26338158,24.9533585,20.43388211,24.71657958,24.28294653,25.08311593,25.60003203,26.14742993,24.19817848,23.65230835,24.56971514,25.05569234,24.99337964,25.31402559,25.73701145,39.50373017,37.40650957,37.49184626,37.4197337,39.31170086,36.770623,
Latvia,,,,,,,,,,,,,,,,,,,,,37.23012112,36.23152709,37.25628377,38.97041696,38.49250727,35.18177635,35.36096257,35.93406593,34.93422426,36.14961078,31.94882871,32.90584474,47.515521,53.21122892,59.24134667,60.57311823,64.00592079,65.36653696,68.42679844,71.30659358,71.82730971,72.42779975,72.68294563,73.54912081,73.31882318,74.45886368,74.58645547,73.16564663,73.90986459,76.05596096,74.0534918,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.030815,67.54171527,68.24812985,67.6547756,66.20653731,68.28784338,70.13055288,70.03084304,70.82857609,71.45743374,71.65669246,72.41521188,72.64190173,71.00543843,71.31319488,70.7439379,72.15994158,
Lesotho,,,,7.817683917,7.643390671,11.43380364,35.03042926,38.98803202,40.22155493,41.94651543,40.83920101,58.55214414,41.12085833,30.22472404,39.87843616,43.50714168,43.80111656,38.67824014,35.47295094,32.71791647,48.85953916,48.55523073,48.45184856,52.74269368,50.72305006,50.03940371,51.22314959,41.73887525,41.38360322,42.31088972,40.6560797,42.16552771,38.40143994,38.52272999,40.53165999,38.36362398,37.54591531,32.0852904,40.28404147,35.35058175,56.11022117,53.20157344,54.88134754,55.89318365,57.89810234,57.8961607,56.77340334,56.42081726,54.72059155,59.39284382,59.50778756,
Liberia,,,,,35.33541342,33.55679705,35.38246836,34.60909201,36.33559694,35.02086305,34.35517919,35.04999803,34.60913762,31.79611659,28.75679554,28.25251258,30.66685845,35.47323021,36.25000022,35.72477217,35.98401616,35.43473779,36.1830389,35.7668804,36.08734967,35.74724386,34.85633142,38.62047697,38.0236914,37.59379219,28.82414152,27.64367816,33.10961969,34.28927681,33.50983359,12.90801187,4.140526976,12.80838121,14.26585078,16.61385111,16.36655415,17.14548755,16.43125225,17.72305862,18.43478116,18.4270083,25.99,26.09,21.9,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7157521,20.55143768,28.40584048,22.19269323,19.49587451,21.49925555,19.936649,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.05748865,32.53576073,42.82121554,43.66419841,53.37707109,57.59856378,58.02186567,58.65574426,60.22193953,62.67709513,63.87107468,63.80803228,64.9064064,63.4326096,62.27982259,62.32825894,62.83764523,63.4613527,64.69638222,69.69015609,68.33602645,
Luxembourg,,,,,,,,,,,57.48659719,60.50208212,60.59960726,59.50579636,58.3883599,65.29842746,65.15816299,67.27750103,66.95210306,67.16904081,67.95350065,68.51048012,67.52446112,68.57621306,68.35379333,68.2339007,68.48745462,70.7271114,70.3261973,69.82040299,71.35960946,74.24588054,74.9580971,76.59161868,77.24359518,77.23380451,78.89185003,78.23990029,78.19618128,80.25444122,80.96252433,80.7453263,80.90260048,81.40157433,81.70477746,82.9434057,84.0963745,83.42098725,85.43081994,87.26853221,86.88281566,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.42521763,80.81786255,82.82925611,83.99828073,85.27428536,85.81428185,85.70704821,84.46220875,84.3416844,85.28327075,86.99673598,87.82734615,87.1531323,87.88459988,84.76084346,80.15584908,80.77982114,82.70726564,88.96079734,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99611277,50.7714018,43.8515961,53.14100606,56.29777051,56.80683969,57.18323486,52.68546864,52.92454943,54.49944614,54.24561048,56.10408236,57.45957285,57.82149459,59.41978493,59.51330671,59.29669518,58.48289194,58.66747312,61.35785554,60.88649507,
Madagascar,,,,,,,60.83702365,60.46420879,60.98920934,60.83993009,59.26578274,59.21805217,58.02151843,55.27941803,49.90768842,50.11135204,50.61706704,50.20387157,50.55352883,53.05939892,53.8934091,52.77449414,52.36440071,50.71474248,51.74809057,51.53743539,50.35007946,50.11758994,53.35021027,52.28338636,58.59702269,57.21641235,58.39273745,59.40114008,66.46825072,64.08963031,61.43713444,55.00462107,55.79533419,56.21766084,56.55729629,57.52415988,53.90941565,55.42561251,55.25014593,55.9338366,56.37456527,58.05306471,59.01659262,54.8869426,,
Malawi,39.64444444,39.25311203,39.63607595,39.86332574,37.42559524,36.78526048,38.11634349,38.01295896,38.78287777,39.05126977,38.56382979,39.86534373,36.92713485,41.60798122,41.77244403,42.42975541,42.27909156,39.55256431,40.98316675,18.58275754,33.72305235,38.46862778,37.88361327,36.25469345,37.88879593,35.17868953,35.36838603,26.07803862,26.00366017,24.39955591,26.10982424,29.37100029,29.65746566,26.98509249,53.23313381,49.95370271,45.97183788,49.32733685,46.13641798,43.92537982,42.54418909,44.5301597,45.45142241,44.88410697,47.93422402,50.34368314,51.87340956,53.37378415,53.83521134,53.3597095,,
Malaysia,46.28397001,43.10160028,41.97295358,42.43684161,42.17842145,43.76714718,43.30863943,44.75222015,46.19713012,43.60437486,43.16787239,44.64024124,43.64788498,43.41268409,35.76977598,37.15017541,37.30673224,37.38239913,36.27529299,36.45913585,36.3478931,38.25440719,40.99437763,41.47259913,41.49360444,41.55588999,41.65173085,41.51199259,41.57194251,42.1141655,42.58530137,43.53736974,44.28133059,46.12789535,46.29745584,45.64843994,44.79156961,44.32477362,42.81200073,42.69859452,43.08040662,45.78633441,45.8995389,44.11525208,42.1986803,41.89270782,41.53023126,42.38850929,41.88747342,46.6683222,44.96550559,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00760821,76.45341975,76.19788123,75.56743741,75.23941615,76.20248377,69.43208823,68.99239217,68.27362679,64.5701499,59.36778637,62.7654729,76.22760813,77.8138283,81.4977924,82.32194302,
Mali,,,,,,,,21.0739362,23.43611894,24.1330722,22.29979354,22.13711958,25.68138903,29.51315645,34.9876065,25.57591277,27.85732075,27.79209555,30.86241592,28.71592569,38.48098972,40.25250625,42.16893555,43.72193724,41.32878518,44.16185262,41.56894829,38.91669753,39.15609045,38.02201391,38.62002114,38.02784754,38.03295527,39.27445767,34.60859631,31.80293615,30.25764813,39.88302701,36.23765907,36.78190788,37.86392804,35.84450553,37.4186551,37.58501514,39.76262221,39.26297282,39.05479358,,,,,
Malta,,,,,,,,,,,41.01372673,45.56951634,38.93220096,36.74722177,32.72744199,29.53061587,27.43161153,28.47864334,29.82231859,30.99735443,32.57512706,34.73786301,35.54173868,37.4917459,36.40087498,36.89942203,36.23190724,38.40936913,39.48645738,39.36851413,41.16048196,41.97642772,45.84948257,47.58945826,46.41958775,47.28737438,48.64286425,50.59883797,49.55049826,50.98605206,46.75849585,53.92791185,53.23238271,53.18221566,57.02668035,57.92344428,59.0804442,59.3678173,60.17516847,65.19115902,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,33.16547403,28.05814299,32.39584342,35.19042543,35.96931014,32.2247636,30.45970361,30.94273341,29.34171889,30.69139294,32.25136419,32.46596323,36.57465159,31.22356622,31.09304918,36.32328345,37.6518981,40.95590438,42.97282148,42.72343272,43.6303542,41.91579277,43.51012754,44.97394401,45.98640324,44.63236985,42.22467411,40.93396504,40.08094502,38.39491748,41.57336894,38.33617791,39.13426908,37.38718187,38.33291263,37.39391525,38.36173471,40.17975872,34.30022532,33.92136203,35.34717019,35.90681426,38.59246288,38.67607404,37.16391117,36.29696447,30.53327214,34.82528788,40.60560463,44.71423226,38.94348909,
Mauritius,,,,,,,,,,,,,,,,,50.79106621,53.45229897,54.72765819,53.90305257,60.66082678,59.654477,58.84464569,60.49705666,57.77519185,53.98778862,51.58126217,51.60559662,53.03416475,54.03716172,54.35582822,55.22729617,55.19611655,56.35345713,57.78566844,57.58789246,57.96086364,59.68583929,59.86652918,62.6668463,62.06297528,61.50042021,63.11132096,63.43542071,64.41556896,66.3817618,66.86242149,68.55683276,67.81737217,68.12326792,69.41517496,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
