"Expenditure per student, secondary (% of GDP per capita)",1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,
Algeria,,,,,17.13736,17.16166,,,,,,,,
American Samoa,,,,,,,,,,,,,,
Andorra,,,,,7.1291,7.82093,8.36732,8.79499,12.27574,13.46356,,17.23521,,
Angola,,,,,,,,,41.68302,,,,,
Antigua and Barbuda,,,,,,,,,,,,12.21061,,
Argentina,15.13034917,18.23305,17.61911,18.90266,16.9411,14.30438,15.65612,19.60804,20.2606,21.85452,23.77231,27.06579,,
Armenia,,,,,,,,,,,19.74778,23.3388,17.82015,
Aruba,,18.44359,19.23304,20.351,19.61321,,,,,17.50607,18.90312,20.51794,,
Australia,14.85674283,15.00407,13.27645,15.27159,14.61301,14.55848,15.00458,15.20149,14.64404,14.5217,14.40922,18.76141,,
Austria,,30.00357,27.82916,27.8599,27.76882,28.71626,27.46764,26.32676,26.62593,26.34749,27.37474,,,
Azerbaijan,15.4370975,16.99519,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,
Bahrain,,,,,16.24432,,,,,,,,,
Bangladesh,,11.52322,10.60317,,12.13813,13.14866,14.36714,,14.62237,14.20172,13.57636,11.97926,,
Barbados,,20.92064,25.44346,30.45764,30.60249,35.20228,29.47206,27.62612,,29.4189,26.4727,26.36517,,
Belarus,,,,,,,,,,,,,,
Belgium,,,,23.68813,24.34144,22.54006,33.12874,32.84222,32.6728,33.19529,36.47787,,,
Belize,,18.62526,16.64032,,,,19.57228,21.20755,21.25388,,23.21693,24.89939,,
Benin,,,24.04488,24.00463,18.86969,21.05794,24.11776,23.41054,,,,,,
Bermuda,,,,,,,12.31588,13.9617,,,,,17.78459,
Bhutan,,,76.93973,,,,,,,,,34.91273,27.36565,
Bolivia,11.96765965,11.71331,9.57669,10.24311,12.65818,13.03695,,,14.41247,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,
Botswana,,,,,,,,41.08553,,38.29542,,,,
Brazil,,9.5256,10.31504,10.41605,10.20626,,11.53154,13.13757,,17.98501,19.50915,,,
Brunei,,,,,,,,,,,,,7.79646,
Bulgaria,,,,18.39991,18.47938,20.1852,10.56972,22.02439,20.98652,20.90981,24.22092,,,
Burkina Faso,,,,,,,,22.13929,23.75236,30.84891,,,,
Burundi,,,,67.79183,,75.99174,70.24445,71.53436,,,56.97564,58.1562,64.08352,
Cambodia,11.4541244,,,6.17988,,,,,,,,,6.81772,
Cameroon,,,,,,,,36.34772,38.62709,,26.13978,29.70788,28.04658,
Canada,,,,,,,,,,,,,,
Cape Verde,,,,,22.31903,20.65009,20.01344,,19.62526,19.05646,18.33475,15.2692,,
Cayman Islands,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,16.91952,15.96474,14.51483,
Chad,,,,,,,24.41271,30.07798,,,,22.99566,19.0876,
Channel Islands,,,,,,,,,,,,,,
Chile,13.78681581,,14.84671,,15.74963,15.94122,14.10882,13.23179,12.39906,13.44353,15.97263,17.72353,,
China,,11.54033,,,,,,,,,,,,
Colombia,14.06334019,16.09042,12.87777,13.14139,13.76984,,15.23805,14.45597,10.97937,9.97383,14.80306,15.08596,15.25851,
Comoros,,,,,26.78282,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,
"Congo, Rep.",,,,,16.40071,,,,,,,,,
Costa Rica,,21.37485,18.86508,20.62268,22.84132,,16.97945,,,,12.77611,14.42779,,
Cote d'Ivoire,,41.29376,33.28921,,,,,,,,,,,
Croatia,,,,,24.52541758,21.12742239,20.67149197,20.95941725,20.73043413,20.47274465,25.20399777,,,
Cuba,38.46691843,37.07803,41.11618,40.49959,43.97008,43.00421,44.17433,47.74213,42.71885,53.59329,52.14296,51.87002,,
Cyprus,,28.21276,29.31878,30.24131,33.57489,37.31911,34.94188,36.61926,36.72145,36.66631,38.33543,,,
Czech Rep.,,21.65925,21.17484,21.03052,22.42993,23.2608,23.03107,22.92448,23.06469,22.01256,22.77102,,,
Denmark,,38.10663,38.14784,34.77108,35.78857,34.75882,35.3567,35.13637,34.56976,32.15128,31.50676,,,
Djibouti,,,,,,,,,,,33.10959,,,
Dominica,,,,,,,,,,12.02546,14.33412,13.13488,15.30885,
Dominican Rep.,,,,,,,3.28053,4.97471,,4.06806,6.33795,7.16065,6.73941,
Ecuador,,9.56649,6.02791,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,
El Salvador,7.979379532,,7.46311,,9.61355,8.91786,,9.17409,7.96631,9.37601,9.37607,,,
Equatorial Guinea,,,,2.85578,,,,,,,,,,
Eritrea,,,,37.3865,35.0593,24.32842,14.77652,,,,,,,
Estonia,,27.17029,,24.74407,24.67542,25.81298,24.70545,23.07066,,23.56805,29.58884,,,
Ethiopia,,,,,,,,,,,,,9.84323,
Faeroe Islands,,,,,,,,,,,,,,
Fiji,,,,,,,16.13491,,,,,,,
Finland,,25.87399,23.94139,25.20712,26.14682,27.07747,32.3337,32.20125,31.76373,30.70287,32.16913,,,
France,,29.47522,29.10669,29.04293,29.26194,30.60464,30.07212,27.89975,27.87396,27.30397,27.79409,,,
French Polynesia,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,16.8374,15.51142,16.20878,
Georgia,,,,,,,,,,,15.49349,,,
Germany,,,,,,,,,20.73337,21.82719,21.82719,,,
Ghana,,,,40.41896,,,,33.22365,17.46502,26.98603,26.39245,27.93888,27.2025,
Gibraltar,,,,,,,,,,,,,,
Greece,13.85092695,15.62787,20.30669,18.38709,17.87527,20.21285,20.69563,21.54991,,,,,,
Greenland,,,,,,,,,,,,,,
Grenada,,,,,,9.64206,,,,,,,,
Guam,,,,,,,,,,,,,,
Guatemala,,,4.27573,5.24659,3.99343,,4.25291,4.34222,4.85768,5.92109,6.19075,,,
Guinea,,,,,,,,,,,6.14444,,,
Guinea-Bissau,,,,,,,,,,,,,,
Guyana,,,,,,,15.77818,,,10.34843,,9.82404,11.62201,
Haiti,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,279.69096,
"Hong Kong, China",,,,17.67975,18.08594,19.56593,20.8042,19.57605,17.84787,16.35384,15.61227,16.74311,17.98205,
Hungary,18.62084392,18.97133,20.44417,19.87562,20.86176,26.64071,23.54051,23.16164,23.3089,23.49982,22.95695,,,
Iceland,,19.12073,18.94919,21.46204,22.46935,21.82901,23.07778,22.75389,22.73317,21.69534,21.80302,,,
India,,24.72991,24.83828,23.43895,,19.7812,17.80324,16.22125,15.71242,,,,,
Indonesia,,,,,,,,,,14.03763,12.87974,,,
Iran,,,,10.09092,11.97556,12.0222,12.60313,12.42613,18.77136,22.43123,20.41895,21.10246,,
Iraq,,,,,,,,,,,,,,
Ireland,17.25384556,16.79307,16.38955,17.25898,17.91483,19.24521,21.03639,21.65091,22.41891,23.23296,27.51855,,,
Isle of Man,,,,,,,,,,,,,,
Israel,,21.88226,20.86102,21.83369,22.40003,21.73601,20.96273,20.07245,20.18802,18.9747,20.39898,,,
Italy,,27.72838,26.65658,30.13383,26.9566,28.39286,27.18915,26.7756,28.44804,25.20074,26.73092,,,
Jamaica,,,,20.99931,20.95981,20.10834,17.59734,18.84688,,19.89459,26.79211,22.23856,22.61013,
Japan,20.15258222,20.88086,21.15899,21.2319,21.96414,22.59295,22.66473,22.39146,22.37285,22.38402,22.27902,,,
Jordan,,15.80779,,,17.0018,18.74644,17.58369,19.05519,15.66814,15.55096,14.31939,,,
Kazakhstan,,,,,,,,,,,,,,
Kenya,,,14.37168,,,20.29172,22.20451,,21.06544,,,,,
Kiribati,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,
"Korea, Rep.",14.94739663,15.65886,,20.27532,22.63928,23.74887,23.53116,21.88768,22.16187,22.15756,23.21881,,,
Kosovo,,,,,,,,,,,,,,
Kuwait,,,,,19.85653,18.41386,15.79359,15.10078,13.0391,,13.65651,,,
Kyrgyzstan,,,,,,,,,,,,,,
Laos,,4.4007,,,8.85117,,,,,,,,,
Latvia,,23.74199,23.2129,24.34387,25.53774,24.48052,24.02188,,19.30696,24.14818,28.78589,32.30201,,
Lebanon,,,,,,,,,,,,,,
Lesotho,,82.42285,85.52813,70.04862,,,,61.54339,54.65407,,55.71557,,,
Liberia,,,,,,,,,,8.397395847,,,,
Libya,,,,,,,,,,,,,,
Liechtenstein,,,,,,17.56545,16.46657,,16.76298,15.89166,18.90861,,,
Lithuania,,,,,,20.07389,21.12062,19.98052,20.32122,20.14457,22.63562,,,
Luxembourg,,,,,,23.72673,22.77916,22.41598,20.15449,18.35267,21.52109,,,
"Macao, China",,,11.22052,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,
Madagascar,,,,,,,,20.97058,15.03531,12.22607,13.31352,11.46687,,
Malawi,,9.60891,25.24674,21.97656,,20.59383,,,,,,,23.30126,
Malaysia,,,21.87765,26.66762,27.35148,25.4729,20.58896,,14.55619,14.45014,12.56316,20.22865,,
Maldives,,,,,,,,,28.97657,,,,,
Mali,,59.74001,,,,,,,,,39.23989,37.51097,,
Malta,,,,,22.41648,,18.48232,,,30.66799,33.29741,,,
Marshall Islands,,,,,27.64147,,,,,,,,,
Mauritania,,36.40958,,,,,,24.88357,,,34.24441,,31.21775,
Mauritius,,,,14.18997,12.80029,18.2644,17.95192,17.78151,16.27793,,14.57095,14.30272,,
Mayotte,,,,,,,,,,,,,,
Mexico,,14.50025,,19.22148,16.11579,15.72327,14.53493,15.27633,14.20968,13.80368,13.56757,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,
Moldova,,,,,,,,,,38.35186,31.6128,39.37065,39.37382,
Monaco,,7.5802,7.32903,,,,6.53454,,,,,5.52705,,
Mongolia,,,,,,,10.71573,,,,,,,
Montenegro,,,,,,,,,,,,,,
Morocco,,45.52537,44.83896,43.24489,44.57384,42.51624,39.91915,,,39.07418,,,,
Mozambique,,,,,,,,,84.79719,,,,,
Myanmar,,,,6.6396,,2.67602,,,,,,,,
Namibia,,36.33977,34.22194,28.72852,23.64415,22.5522,,,19.44324,,16.39964,,,
Nepal,,13.10187,11.54449,13.75627,10.75308,9.64161,,,,,11.31737,,,
Netherlands,,22.24062,22.78162,23.01049,23.48945,23.85013,24.94628,24.99924,24.91066,24.33547,24.96798,,,
New Caledonia,,,,,,,,,,,,,,
New Zealand,,23.74437,22.35928,22.71282,20.48354,20.81946,22.11894,21.12702,20.17297,19.27207,17.94633,18.72034,23.59891,
Nicaragua,,,,,,,,3.85079,4.52813,,,,,
Niger,,,,,,,,,44.59331,50.94692,48.66995,56.72131,41.86859,
Nigeria,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,
Norway,30.35272669,,,,30.53526,32.22513,30.06501,28.7292,26.02338,26.52834,25.57343,,,
Oman,,20.86599,,18.46448,16.19692,,,,,,,14.64166,,
Pakistan,,,,,,,,,,,,,,
Palau,,,,9.48547,,,,,,,,,,
