Natural Gas Proved reserves per person (tonnes oil equivalent),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,178.0755683,170.5670047,162.3110757,153.662916,145.1602972,136.9519435,129.5393652,122.412616,121.8647339,119.3845878,118.3589755,127.0327221,124.9126705,123.7270098,96.91085608,118.2583946,116.4536282,126.2141616,124.2934332,135.7688512,133.8636536,131.9448852,130.1077612,128.9820346,127.313603,124.6095634,123.1026055,121.6084281,120.1435641
Argentina,20.33500484,20.20591812,21.22599985,20.50549828,19.88386329,19.98040167,19.38934885,19.72428504,21.67901392,18.5481102,17.98789796,17.27896208,14.33790041,13.52145465,13.81063341,15.77693146,16.16061492,17.00389822,16.87326478,17.69712046,18.67313134,18.13455651,15.59046499,14.21756651,12.46144023,9.992932612,10.05464854,9.870495771,9.779398598
Australia,11.15771181,27.55497123,27.59710752,29.65407477,43.52285711,43.72225002,49.8309751,59.17975421,60.31886043,53.86515743,49.79516962,50.46146244,49.36055001,52.09600916,65.47079884,58.37991203,62.37059104,66.89115081,79.34771228,95.03938183,98.66777788,119.2570972,111.7027525,113.6647217,103.9981667,104.2451426,105.9583897,106.3604892,109.6494764
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.25925395,95.02608256,144.3677312,144.0131173,143.5881993,143.0836104,142.4940283,141.8127236,138.9725894,138.1060201,130.5433453,133.5783858
Bahrain,603.3351747,557.1958055,528.6175777,499.2086957,471.7327729,443.6843967,417.6942187,391.9826137,364.2296649,339.7340297,318.2969813,302.1927901,283.857516,263.0524377,246.5987461,231.0356088,218.0712468,213.5120731,209.2450967,170.5656935,156.1176843,153.4025143,150.8233584,124.0936517,119.4891176,117.6735503,115.9486677,107.9634702,106.5005722
Bangladesh,2.922442995,3.146714314,3.278022532,2.934443771,3.254730682,3.184875145,3.13062362,3.070421919,2.978128173,6.052507941,5.937380698,5.789030211,2.3983203,2.31533421,2.309862721,2.053924788,2.227919719,2.167614449,2.128646864,2.272100521,2.111856399,2.301187669,2.255692472,2.814770953,2.68712835,2.538116298,2.339084427,2.237312836,2.168718469
Bolivia,20.17900876,24.99448174,23.288689,21.01984964,19.28254203,19.56213505,20.40934559,20.75898959,21.05627038,16.25374525,15.47026879,15.50921015,15.66704398,15.05209769,13.46906231,15.49498128,12.89874814,13.80442022,17.20029411,58.26094455,74.51592249,84.03145704,86.64160924,81.96642079,78.09351415,75.18737575,74.09017598,70.07230497,69.09739554
Brazil,0.3821178741,0.4223784169,0.4949328892,0.5511566233,0.5531314941,0.6004569473,0.6074009866,0.6512085695,0.6628282896,0.6921702303,0.6747744889,0.7160762399,0.7559144974,0.7663877994,0.8039355093,0.8347738304,0.8434017642,1.199204596,1.171931916,1.181702061,1.115997765,1.096399247,1.204968263,1.194807442,1.570188618,1.459433076,1.639828355,1.285352973,1.532250525
Brunei,1005.830904,989.4674611,997.1524255,951.7157077,1005.548827,972.6857843,1343.926637,1265.736732,1192.607316,1138.681237,1153.881908,1340.469465,1315.303927,1278.43633,1243.454593,1210.051494,1178.145403,1122.262512,1069.791612,1023.165612,979.2613028,932.3358155,897.6967666,867.0810784,845.172224,821.783162,785.096088,798.683608,800.4045219
Canada,91.19556953,92.63855422,92.52873791,92.38184654,98.36276058,96.58617818,94.31456506,91.28916711,89.38159049,89.80507171,88.24926414,86.77483142,84.30942316,69.45903418,58.37510925,58.61439896,58.29271776,53.72231355,51.36321472,49.97574217,48.42685922,48.25782326,46.94337092,44.7944527,44.29696018,44.78897009,44.5857528,44.03819678,43.66014779
China,0.6446162234,0.6333481241,0.7729727946,0.7679069822,0.7723772093,0.7466889938,0.7297593716,0.7422269576,0.7533291577,0.8228847271,0.792029493,0.7834859834,1.080723109,1.27594956,1.260854061,1.24722892,0.8651472219,0.8489482349,0.9905590872,0.9820193417,0.9743118612,0.9678263946,0.8912777882,0.9333310152,1.005871191,1.059800884,1.155880014,1.539103676,1.665485713
Colombia,4.130488683,4.042802006,3.889839178,3.582323232,3.379504624,3.244784632,3.353467548,2.81938087,3.618305091,3.045018125,2.766400823,2.658224789,4.868033745,5.441795101,5.411823165,5.383000188,5.282516445,4.684284782,4.600946527,4.336669827,2.925490331,2.855061891,2.633617884,2.462671505,2.531270108,2.367633734,2.539396488,2.542782958,2.246939997
Denmark,14.40554578,14.40963829,14.42023053,17.245772,18.13515444,16.01582888,12.47916721,12.28783013,13.86095686,18.93779616,17.33141359,17.63558251,22.45043067,21.85650798,21.43843854,20.63978755,19.49801172,18.90733758,17.65116212,24.02195133,24.28141258,23.69382426,21.60123378,22.69129933,21.94557497,20.21230281,19.81411062,11.35673687,9.025068358
Egypt,1.773223689,1.690194231,3.999403614,3.822222081,4.356319769,4.585196456,5.058783353,5.233047511,5.480872219,5.716322114,6.016465855,6.130115626,6.605816169,8.825422755,9.16226162,9.1674857,11.80897173,12.61524071,13.57938729,15.93676352,18.29560437,19.48915006,20.34167161,20.77549509,22.11057571,22.00481729,23.35365569,23.21074699,23.92331838
Germany,3.046058551,2.846872324,2.768867856,3.686557844,3.537325891,3.429237548,4.42394264,4.354186964,4.18682052,4.016788676,2.460305249,2.194182144,2.210979451,2.196413284,2.454118426,2.424874747,2.450828737,2.886195624,2.852834972,2.960714679,2.890936184,2.592350165,2.448067484,2.260968263,2.085542195,1.943434413,1.692503142,1.503986675,1.306793622
India,0.4546391753,0.5345375723,0.5338983051,0.5751037344,0.5821380244,0.5721854305,0.6315175097,0.6304568528,0.6708074534,0.7510948905,0.7508939213,0.7675233645,0.7586009174,0.7252525253,0.695814978,0.6564174757,0.6120668081,0.6496704901,0.6228553846,0.5880501084,0.6786024043,0.6708301175,0.65331361,0.7322091203,0.7799482913,0.9172754476,0.8832777084,0.8551000877,0.8717146293
Indonesia,5.032824246,5.177394861,5.634427395,6.834053747,9.558481013,10.91766981,12.25708307,12.5847728,13.37562538,13.10054799,14.43831933,9.117536944,8.862869016,8.709708294,8.558977521,9.011321917,9.365339614,9.7190859,9.737573172,11.56398197,11.70242164,11.22800123,10.90353454,10.72882138,11.53926294,10.20850022,10.71898856,12.08552269,12.67530096
Iran,320.6116948,306.820885,293.9700787,281.9454475,270.551695,259.8557488,249.8245937,241.4699057,239.6922487,278.9364783,268.3003003,301.457639,308.4540602,306.8681237,306.9931524,282.5820604,331.4835271,326.8696982,338.0441476,346.5982705,356.3797899,353.6272521,359.016298,369.5291172,366.6492576,364.933563,351.8059584,364.5168996,379.3987382
Iraq,52.87300783,50.77937457,51.79217739,50.44150995,48.56025634,47.09429692,45.48873846,54.40305373,142.093442,159.5761575,154.1960822,159.6878497,156.198345,151.5917295,147.7898343,154.6229896,149.9855669,138.10363,134.0887768,134.1951417,123.3968628,119.9255014,119.6159491,115.58416,112.4348667,109.4155431,106.521271,103.7468202,101.0942809
Italy,2.550873677,2.851201829,2.865449325,3.750653649,3.96846653,4.124713352,4.203840766,4.759411485,5.187363132,5.218767987,5.107248158,5.836384366,4.765938833,4.608363942,4.690495503,4.666995876,4.361390005,4.290227525,4.144199516,3.24979497,3.102946245,2.847267982,2.672329012,2.094887074,1.937734911,1.812297819,1.455270832,1.984825788,1.84346596
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.1992242,106.8373326,99.34902169,99.69588745,99.56269246,102.6390081,102.4327664,102.1884287,109.4136398,109.0731866,108.7043627,106.9193032
Kuwait,692.525528,657.315939,625.0442406,595.4699832,570.4586903,538.3408817,579.7992701,573.3584212,628.5387614,612.6083551,637.8118506,1425.365617,948.8080841,904.9901838,869.7507823,829.5862311,791.6034859,759.6248892,726.5248006,700.067078,710.0323677,686.2520881,663.6322607,648.0511515,626.6973607,605.7419611,662.423353,639.3782785,616.9133614
Libya,201.1179745,186.7936135,175.7437186,165.3020163,155.9206824,153.2885203,177.103195,172.1912341,190.1968511,272.2229079,262.6197967,277.0465488,267.8656735,259.2008944,257.1419037,253.8968668,251.7748967,248.4626035,242.7872593,237.0121925,231.1820074,225.6612269,251.9658346,244.0229028,238.2810523,205.4265993,216.582491,229.5875012,224.5051047
Malaysia,55.57835196,87.46750915,86.3112623,85.17485079,82.53433587,86.4971102,84.7427963,81.9445027,79.99791024,84.85886707,84.32547646,84.13711569,85.33528914,87.60980763,90.37386438,104.2215038,107.7599109,108.3019215,103.720466,104.3529129,96.51134411,100.4091945,100.0778162,96.02934923,94.27576563,93.18195329,91.52845883,86.55940992,85.05797794
Mexico,24.0579466,27.4491958,26.80870694,26.75603757,26.03618017,25.40537319,24.62187875,23.8023051,22.86816424,22.23905919,21.46297983,20.90578266,20.25512583,19.78514758,19.0862728,18.56582091,17.2566157,16.86529577,7.869504282,7.857679168,7.520518557,7.084657089,3.723656048,3.653172771,3.592811154,3.457532606,3.249583095,4.238192746,4.09063745
Myanmar,2.507991714,3.862497329,3.788879046,6.235014404,6.489143663,6.564959691,6.449702455,6.342598453,6.224783055,6.117725742,6.014314219,6.230840073,6.170687125,5.885249206,5.801233296,5.719193164,5.939855244,5.889307789,5.862858215,5.839318371,5.778233544,6.876690921,8.783264366,7.918689635,9.383034021,10.30288218,10.21893401,9.316426599,9.244593895
Netherlands,100.4107707,97.92188697,95.28034889,121.5675869,118.5851173,115.2064193,112.0995068,108.6239211,105.4782361,104.5531499,118.5833404,116.4857542,114.4702827,110.4750512,107.9494621,105.6662329,102.300331,103.0666609,101.5270848,97.62088178,93.633,90.80099854,87.47223657,82.77010867,79.9169075,76.08110222,71.8189856,75.49509484,75.15629174
Nigeria,15.24466554,14.57710781,17.06626026,16.62734114,16.14661481,15.54661552,27.22271687,26.56357601,26.58702173,29.59059792,28.87797737,33.65571882,35.82292167,34.58034492,31.55857367,30.96866827,30.19782428,29.51477056,29.03005159,28.3275565,32.32881362,35.61566751,37.50835875,37.05092308,37.42590389,36.00957049,35.59464261,34.75864283,33.94120647
Norway,289.4542322,309.3151649,314.961625,444.5029009,486.0758026,482.899245,495.9444112,491.263207,491.4072633,488.7436343,477.5806541,496.9105291,578.6732183,585.4640716,595.207624,619.3937695,616.2586844,746.4468531,768.4901228,767.8490972,769.4995993,764.0201586,727.644975,629.8458972,621.5023959,589.2174705,564.4982888,559.6891567,563.5104384
Oman,62.05010482,56.70688116,57.41525293,108.9357382,135.9305553,132.425568,134.031607,153.5872794,154.1933695,146.7012378,142.134064,45.40880128,70.48842737,90.50929581,111.9232781,191.3245553,251.7273674,213.6068154,216.2391727,305.2369591,305.164347,324.6894399,313.7689048,317.4065993,308.4564604,298.3425746,284.3116997,275.2038521,266.5103462
Pakistan,4.752454781,4.733248426,4.733108652,4.875338342,4.850249983,5.660185823,5.600378838,5.356181252,5.405778753,5.246523418,5.042831866,5.783070252,4.774913429,4.783344732,4.24568951,4.168146803,4.011452792,3.950139459,3.96236832,4.434885862,4.163507478,4.460046218,4.458828469,4.553971684,4.511410363,4.721095031,4.597609364,4.519390391,4.439275428
