Natural Gas Proved reserves per person (tonnes oil equivalent),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Papua New Guinea,-,-,-,-,-,4.262583427,11.43717324,21.80937815,31.66547188,54.53221999,56.70904027,92.68594225,97.51163915,119.4717083,90.9529446,88.65729766,86.43009383,84.27032661,82.17563185,80.14531019,78.18170305,76.29150405,74.47748303,72.73666608,71.06643937,69.46463183,69.04099501,67.54790078,67.18296329
Peru,1.66519247,1.622096743,1.340680113,1.26370765,1.188734474,1.25588366,2.50354859,15.15157217,14.83630465,14.52729327,14.18314894,14.05271969,13.08043366,13.04803266,13.09092365,7.586054542,7.44294391,7.200546369,8.830508928,8.689746498,8.556673547,8.428105925,8.304246679,8.185171481,10.61925505,10.76430582,10.5439789,10.50522068,10.37252503
Poland,2.6308381,2.506826856,2.409779498,2.313281919,2.219263565,2.320971438,3.959548611,3.88704929,4.064241959,3.887263563,3.753993241,3.599696778,3.705953009,3.626414711,3.618837004,3.567298181,3.471409487,3.608851512,3.281719226,3.398374972,2.770723485,2.678319054,2.702844324,2.564577287,2.542738945,2.474195746,2.639031209,2.570210826,2.571382086
Qatar,10926.11863,10504.21901,11218.78716,10777.4561,12237.62338,11579.95705,10655.6306,9936.986179,9677.914789,9106.119803,8626.580294,11466.49066,11412.37517,11423.53431,10870.08514,12476.71828,11943.34639,11463.49066,14143.76175,13959.70561,17460.03602,30169.19933,29249.33919,27915.84869,27163.12226,26733.53023,25965.15687,25262.00839,24679.69289
Romania,12.20061278,11.32250904,10.26536712,9.238068644,8.417287987,10.78983597,9.358540418,7.85493634,6.522055065,5.238025369,4.132783491,18.96558152,18.39713573,17.59006222,16.82155692,16.14166237,15.47228111,14.91858733,14.38987976,13.93205773,13.42869503,12.92132297,12.49311685,12.26526593,11.87624496,25.31126655,25.34125506,25.37253453,25.44628541
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266.3275318,264.9056289,259.2060647,259.2226493,261.0458265,263.5197305,270.3925074,270.410705,271.568348,272.53527,273.8210706,274.748668
Saudi Arabia,286.5147386,283.3684109,274.45962,267.7606138,257.5731304,248.9334825,258.5243417,257.9080552,296.5903727,296.6992793,292.6654596,288.1519148,278.7654823,261.6165474,247.7456532,249.9148846,248.4271883,249.3575174,250.0208076,246.0188831,244.9305903,243.7813457,244.1235302,241.6301389,235.7464187,232.4132485,235.5944994,238.1794573,241.9077471
Syria,9.232261122,8.927280358,9.850704968,9.592731169,9.254423684,10.64820164,11.77124872,10.00636227,8.742979611,11.75692569,13.17138904,14.00904128,13.61669988,15.04527612,15.17329953,14.78022848,14.39705834,14.2032871,13.83665601,13.6510248,13.30213026,12.9656578,13.1150874,14.84173929,14.48641979,14.14729842,13.82315607,13.23341176,12.94335419
Thailand,5.588425953,7.547484064,6.451327499,3.042605839,3.74007263,3.821446961,3.521999722,3.129822899,3.269165361,3.785423672,3.652390807,3.95851519,3.668795798,2.837945177,2.709503172,2.691323631,2.961753686,3.063935262,6.2124008,5.05744113,5.237385466,5.457662806,6.319384662,5.945849997,4.999102719,4.262644857,4.60920081,4.384633717,4.177526684
Trinidad and Tobago,245.1139968,277.7182811,269.2392781,251.7504732,243.3011771,244.6086219,235.6088808,228.9026773,220.7958665,214.4458524,189.2765014,179.6351444,177.1610138,176.2557155,220.8115296,271.1140535,357.2737506,408.8389343,445.4996579,483.8387204,448.3081799,466.9357432,481.1078277,438.0018772,441.6134941,443.6936895,405.3133579,409.9641016,413.5816415
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,553.5393036,518.6189499,492.296427,483.1066761,474.1885147,465.5198677,457.0799547,448.8442485,440.785487,432.8455409,424.979379,1366.568376
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.97845699,18.34825089,18.35108822,18.44761132,18.63663139,18.81176708,18.88047079,19.10966009,19.06360159,19.18030299,18.06606239,17.99359585
United Arab Emirates,2132.392268,2068.512372,2223.017961,2085.21723,1945.269307,1804.3343,2843.565886,2876.574831,2770.941083,2680.86762,2594.177134,2604.865093,2545.56565,2491.409879,2855.616566,2422.887652,2349.568235,2420.610522,2353.763234,2314.748278,2277.016301,2264.710525,2227.56521,2190.220773,2169.130101,2147.110735,2227.25287,2192.300968,2157.788267
United Kingdom,11.8105622,10.59901515,10.11187421,11.36520378,11.55639838,10.3002036,10.04643616,10.17170098,9.289777607,8.792056558,8.531427841,8.427894834,9.487379271,9.771326826,10.20399083,10.78286806,11.66863871,11.70753785,11.50999399,19.20115116,18.09904791,16.57646086,14.9918804,13.55361962,12.33434988,7.162302524,6.117887838,5.079287731,5.065313169
United States,22.27269926,22.35598757,22.1181552,21.78049878,21.2922086,20.66556667,20.28915647,19.65005684,17.4765107,17.21900871,17.25414014,16.79577339,16.37029829,15.90427648,15.8498389,15.78938697,15.7327786,15.61569112,15.14082028,15.27551126,16.0153655,16.40391771,16.56153974,16.59356324,16.74322165,17.61306812,18.02526497,20.11850767,19.94073363
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.40449723,59.4449989,58.50349501,60.86672366,59.89996026,58.94305598,58.30777896,57.36116123,56.11621136,55.77578836,51.454598,50.27751697
Venezuela,76.93509364,81.00813286,84.76524135,87.41983001,90.64449361,91.85581252,135.230844,142.6116161,139.8588157,142.8820604,159.6928615,162.7999067,164.0072866,160.5306684,168.8456718,169.7089734,165.9800655,165.7573089,163.9132788,161.3481507,158.7406838,157.2952246,154.9304647,154.0112402,154.2247398,153.0426402,164.6765785,166.9256822,164.7007131
Vietnam,-,-,-,-,-,-,-,-,-,-,0.2006459193,0.196679677,1.36401211,1.339060864,1.66255561,1.793355143,2.053610715,2.01186088,1.984631867,1.959285886,1.935229023,2.171264846,2.558456814,2.420810076,2.395273327,2.370247618,2.345889124,5.039775982,5.821416641
"Yemen, Rep.",-,-,-,-,-,-,1.407598086,9.064704341,12.11277407,14.86685902,17.75922836,27.66560941,28.88241223,27.80547202,26.82227896,25.74138209,28.12627163,27.23912942,26.36300755,25.50205507,24.6635917,23.84661829,23.0519264,22.27920678,21.52823287,20.79889466,20.34378148,19.77332441,19.17899047
