Male 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,14.32970156,13.93819855,13.61540004,13.38782925,13.21614583,13.08181555,12.98880752,12.8293601,12.77965063,12.35068259,12.01014942,11.82448401,11.81854357,12.02549495,12.32368588,12.78789962,13.45442057,14.37865973,15.52500078,16.72485736,17.85919916
Albania,14.28571429,14.82014388,14.33868974,13.6219641,13.98148148,14.40329218,15.52975327,16.17550753,16.77534084,18.83322765,21.03538663,23.03698897,23.9769821,23.50374065,21.95121951,22.26890756,24.62552427,27.82451923,30.15776699,28.98284314,26.58385093
Algeria,15.86021505,15.22224477,14.00183993,12.65653698,11.45492413,11.68206556,12.31062613,11.50800792,11.30134297,12.23172956,13.91632017,16.57018813,19.21033499,21.25247061,23.65507487,26.17660656,28.05678793,28.93108782,27.76847744,26.10440123,25.17721927
Angola,14.51771654,14.34997751,14.08221408,13.63467951,13.27077748,12.82127914,12.3156533,11.77879382,11.21477532,11.07154419,11.1963626,11.42578125,11.83128671,12.09315376,12.57450331,13.29488317,14.32383748,15.62443026,16.80991182,18.16586675,19.26848025
Argentina,21.47711826,21.74542446,21.77527231,21.91841824,22.01735358,21.55572755,20.60283433,19.9502755,19.7796695,20.1019153,20.70829656,21.23190313,21.41782814,21.94701289,23.41766329,24.51237393,25.64534231,26.46810665,26.31970875,26.21228777,26.14994567
Armenia,16.51090343,15.01340483,12.34705228,11.12149533,14.22764228,16.6062364,20.27833002,19.25199264,17.61627907,18.78272251,20.19363762,24.05594406,24.35808466,22.54098361,20.60606061,21.5003349,25.65480188,28.67746289,28.56173677,27.17913521,25.31380753
Aruba,12.5,15.78947368,17.39130435,14.81481481,14.81481481,16.66666667,19.35483871,20,25,25,27.27272727,30.6122449,34,34.61538462,30.18867925,27.45098039,24.52830189,25.49019608,26.41509434,26.41509434,28
Australia,23.14189189,23.14297982,22.8785838,22.97623148,22.551466,21.53823658,21.23194331,21.29359543,22.67871816,24.47847315,26.42481598,27.47729964,27.19027583,27.03904652,26.12276085,25.45972335,25.24492515,25.05501176,25.1124051,24.79006675,24.56766786
Austria,27.80366573,27.81908302,24.34411226,22.22875625,21.35342622,21.16727171,23.45852018,24.70030666,24.97276688,25.47687484,27.05912729,28.7428143,30.60376436,31.1534749,29.9522673,28.19664382,26.62902846,26.434619,26.26238792,25.40925267,24.55261274
Azerbaijan,17.0212766,15.73604061,12.50670961,10.99547511,12.81337047,14.88288288,18.21214143,17.13318979,15.38679513,15.06309148,17.31109426,21.73913043,23.78774016,23.6881883,22.48606236,22.58064516,25.34381139,27.66369624,28.0398926,27.07657056,26.23421355
Bahamas,13.88888889,14.63414634,13.46153846,14.49275362,14.28571429,13.04347826,13.46153846,15.51724138,14.51612903,16.54676259,18.54304636,21.25,23.95209581,25.98870056,25.94594595,26.15384615,26.23762376,26.44230769,27.10280374,26.38888889,26.60550459
Bahrain,12.90322581,12.67605634,13.25301205,11.57894737,14.28571429,12.24489796,14.4278607,15.22633745,15.33101045,17.6119403,21.33333333,22.48803828,24.13793103,29.28286853,31.35435993,31.48788927,30.37766831,28.72841444,27.66917293,27.5,26.94524496
Bangladesh,17.0312767,16.23140112,15.50411954,15.08650303,14.71068886,14.11339552,13.65111431,12.9070804,12.63804305,13.40115877,14.39271738,15.87078289,17.71258104,19.67602006,22.08341342,24.5621173,26.55666556,27.85839534,28.49681918,28.53476053,28.04088433
Barbados,17.5257732,19.60784314,20.19230769,18.51851852,17.11711712,15.51724138,14.40677966,14.04958678,15.87301587,19.51219512,25.20325203,28.92561983,30.95238095,32.03125,30.70866142,28.90625,28.34645669,27.64227642,26.82926829,25.61983471,24.78632479
Belarus,20.72992701,19.86792995,17.23484848,16.41182467,18.45783133,21.23873353,25.11150758,24.13127413,22.81613977,23.47573621,25.40896537,28.68691282,29.2546026,29.52293155,29.41733775,30.87051939,33.9055794,34.32914046,32.65194876,29.88081725,27.35346359
Belgium,27.2812794,27.59412305,25.32293987,24.33714163,24.00848356,23.80255177,25,23.4407702,24.51546392,25.486618,27.27090435,29.12087912,29.25572519,28.85843034,27.54988914,25.98468271,24.93224932,24.44324713,24.16815742,23.86993032,23.88006425
Belize,15.15151515,15.38461538,15.2173913,14.54545455,13.33333333,10.60606061,12.5,9.87654321,9.677419355,10,11.9047619,14.78873239,17.08860759,18.3908046,19.78609626,21.07843137,22.68518519,24.12280702,26.47058824,26.93877551,27.09163347
Benin,18.7434555,18.17269076,16.99346405,15.60644614,13.97114655,12.65907569,11.8466899,11.64179104,11.21971951,11.51281151,11.80012041,12.33569262,13.11545904,13.70982723,14.3436638,15.02583238,15.78542094,16.72457725,17.79983108,19.03836814,20.54819223
Bhutan,13.79310345,13.86138614,14.15929204,14.72868217,15.23178808,15.84699454,16.36363636,16.32653061,16.42857143,14.78599222,14.38596491,14.95601173,17.11229947,18.82640587,21.39534884,25.61247216,28.11158798,30.02070393,29.55465587,27.66798419,26.07003891
Bolivia,14.85587583,14.73543202,14.21686747,13.78378378,13.9009139,13.65187713,13.6312003,13.64562118,13.68452922,13.8283562,14.23392943,14.81643357,15.56754596,16.70974889,17.79383927,19.10312449,20.68488943,22.47356052,24.14281666,25.66749243,26.6487214
Bosnia and Herzegovina,17.12062257,16.15384615,13.60412637,12.63473054,15.22610189,18.03367735,20.997921,21.32678133,22.38385734,23.82425743,25.63237774,28.36723474,29.46379215,28.92976589,28.69269949,29.31332949,30.9509746,31.34146341,31.269741,29.15567282,26.52920962
Botswana,12.62626263,12,11.11111111,10.60070671,10.54216867,10.37974684,10.18711019,10.03521127,10.69277108,12.2875817,13.34894614,13.75545852,14.06882591,14.70311027,16.53333333,19.36026936,22.14170692,23.89449185,24.24924925,23.74362709,23.81289865
