"Primary completion rate, male (% of relevant age group)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,26.23178,,,26.73849,29.07336,,40.01639,48.30713,17.28688,,23.32496,24.62096,,,,,,,,38.75994,,,,,,,,,,,,48.3607,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,92.00994,,,102.1416,101.19881,103.35154,,101.90853,99.10666,,,,89.44897,88.83622,86.49044,88.18113
Algeria,,,55.3917,57.41252,60.71733,66.29215,72.58079,75.0438,77.39284,76.08493,74.14495,79.81293,79.17959,82.05522,87.95805,105.11991,85.30478,86.84667,87.73683,90.84413,88.98967,85.5203,87.70946,86.37179,84.10695,84.15162,86.85244,86.53181,,85.95268,82.59953,88.9309,90.34439,92.04006,92.68131,94.66572,,95.47622,121.33472,93.1644,96.09082,94.51607
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8309,105.91549,98.16273,,,,,,,59.91471
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.04942,50.34417,53.20401,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,80.59172,82.34611,,,,,,,,,,,,,,,,103.47985,,,,,,,,,,,,,,,,102.88221,94.79554,102.46914,102.96296
Argentina,67.68698,68.6233,,,,75.8335,75.7229,,,,,,,,,,,,,,,,,,,,91.91536,90.21366,98.61157,97.52099,97.3034,97.0289,100.35518,98.45804,97.60872,95.81857,97.91143,100.66476,103.55536,104.46568,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.81714,87.73945,99.31841,90.82341,91.53127,99.7926,,,,81.88611
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.22324,97.74436,88.95349,90.18233,92.42219,92.93194,87.43655,93.46734,91.48936,89.84962,94.72362,87.94416,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,95.12992,96.59683,96.47663,,,,,,,,,,,,,,,,,,,,,,,,,101.02238,100.60136,,,100.78501,101.70456,99.60148,98.92664,100.63802,103.22096,101.64451,99.21713,98.51931,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,96.54392,92.93121,,77.78479,100.39475,95.40736,92.55349,93.76524,96.32161,94.59821,95.09535,96.28642,97.25189,91.68856,97.80458,91.66038,92.07533,89.98708,93.34938
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.14888,,,,,,100.61449,99.76959,103.81398,99.6594,100.20935,95.15896,
Bahrain,,,,,,,,,,,,,104.7619,96.02778,94.37264,98.7309,92.95065,92.94324,100.56373,104.07923,,102.1815,101.90009,101.50175,93.86839,92.31198,90.84494,,90.66833,95.35714,91.22492,91.93574,105.55928,110.92924,111.02769,107.45061,,,,,,
Bangladesh,,,,,,,56.68875,,,,,35.17463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.85224,97.8551,103.79687,99.95267,102.41249,96.11374,86.79065,92.61939,88.11736,89.88095,91.96746,95.69378,108.49487
Belarus,,,,,,,,,,,,,,,,,,,,,,,,94.9671,97.71485,95.91478,94.85574,95.48765,,96.83154,99.70217,103.82667,128.95123,99.84731,101.09933,97.84334,95.96147,93.55611,95.25102,,,103.83901
Belgium,,,,,68.00473,70.20273,70.7837,71.46997,74.67719,66.35531,65.44195,71.30108,71.97297,67.42427,70.58665,68.88204,67.59017,67.09734,68.85961,,,74.86797,,,,,,,,,,,,,,,88.84928,87.76347,87.69977,88.62604,89.49743,
Belize,,,,,,,,,,,,,,,,,,,,,,,94.52527,,,86.05121,92.93333,,,94.04037,97.3924,95.92649,93.58513,93.91713,97.13625,100.17202,102.6911,102.45714,101.54022,106.86414,113.1362,113.68272
Benin,,27.15646,31.55421,32.17449,30.73399,38.56211,37.1926,36.8572,39.49314,40.85589,42.15626,45.89973,47.95421,54.95356,43.07456,49.33133,44.97114,43.46736,39.68943,39.20515,27.5057,30.69537,31.4293,34.62795,37.3722,43.72943,47.50243,50.78761,54.59197,,53.06782,58.02765,60.72833,65.09427,67.39069,,,,78.31977,73.68022,,84.27581
Bermuda,,,,,,69.41581,,,,,,,,,,,,,,,,,,,,,,,,,,98.6014,100.47393,98.30918,,,,,,,100,97.56098
Bhutan,,,,,,,,,12.90392,14.1015,,,,,,,,,,,,,,27.41863,31.63713,,,,52.31751,55.15815,55.14223,56.07189,,,,64.84833,72.70079,,80.09383,83.09412,88.71947,92.18595
Bolivia,,,,,,,,,,,,,,,,,,,,,78.45913,,,,,,,,,101.15273,101.74573,101.62679,105.36163,103.07519,102.11685,,102.67834,98.73953,99.9974,94.72044,94.74976,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.60846,75.08782
Botswana,35.69464,39.51188,45.794,,,,,,,50.0165,,65.32097,69.14153,62.8046,67.9948,71.75823,81.44739,83.55785,81.64323,77.3894,80.54103,81.6582,83.03219,82.88697,86.37777,84.30611,86.41277,,88.50471,86.07277,86.7674,88.74036,90.86012,90.86573,90.95909,89.75314,94.11288,92.22388,93.97683,96.61342,,
Brazil,,77.7898,60.77528,62.32482,64.44465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,113.65741,111.57025,113.83148,105.61385,120.79787,114.88,106.88735,113.63636,101.40916,95.89104,87.87097,82.21057,61.00725,,114.87965,,,,,,,,,,,112.07966,121.09424,124.14747,123.22347,133.15332,126.85103,130.04418,117.6815,110.10873,113.7737,115.3892,115.72932,114.12617,118.04309,119.52576
Bulgaria,,,,,,,,,,,,,,,,,99.27021,104.35258,103.33849,101.85929,99.95648,87.69476,88.17657,86.54475,88.57494,88.44877,90.69747,95.06211,94.98869,97.88871,97.49502,104.11524,98.44986,100.22116,100.38913,98.76896,97.95108,98.70502,91.65761,95.29666,105.66896,
Burkina Faso,,9.33065,8.64302,8.77701,8.18826,9.21433,9.11948,10.10475,10.39414,11.39537,11.04982,12.28781,12.48036,13.21285,13.86172,16.19252,,18.30406,19.51871,19.14932,22.57346,22.62593,29.06349,30.4224,31.22017,20.38531,25.28647,,,25.8157,27.8671,29.47775,29.8986,31.19023,32.43473,33.71488,34.483,37.00692,41.11507,45.04789,47.8241,
Burundi,,8.24259,,14.65419,14.27706,15.04256,13.7508,14.12514,13.80729,13.65226,13.79056,14.10205,16.55161,22.36745,30.56931,32.2318,32.99473,33.28474,46.04567,38.47875,47.99092,49.30696,56.36323,60.48783,,,,,,25.46823,28.66903,29.63291,30.39797,36.72019,40.90659,41.47613,,45.39401,48.27509,54.19228,57.38346,62.07853
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,43.27285,,19.6864,36.65859,46.30102,,57.15039,63.51604,69.03544,79.69731,88.03751,90.30289,91.22084,86.60377,84.63631,87.26771,90.10595
Cameroon,,,,54.80712,53.78769,55.82234,57.10172,57.60057,68.44278,57.51926,54.83586,54.63493,53.10886,52.94744,54.64149,56.04139,56.33735,57.81075,58.32607,,56.37489,57.29544,,,,,,,,53.89074,54.45279,,53.47687,62.5246,65.38,57.15741,57.14797,62.42028,81.15174,81.92591,84.9339,84.28441
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.17708,95.53626,97.33086,,,,,,95.98202,,,,,
