Male 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,15.30000019,14.69999981,13.10000038,10.39999962,13,18.20000076,19.89999962,18.89999962,16.89999962,15.10000038,15.60000038,16.70000076,15.19999981,13.80000019,12.69999981,14.5,13.69999981,12.69999981,11.89999962,11
Canada,13.5,20.29999924,21.5,18.79999924,17.39999962,15.89999962,14.19999981,12.19999981,12,13.39999962,18.29999924,19.5,19.5,17.79999924,16.29999924,16.79999924,17.10000038,16.5,15.19999981,13.80000019,14.39999962,15.30000019,15.19999981,14.80000019,14.10000038
Czech Rep.,,,,,,,,,,,,,6.900000095,7.900000095,7.199999809,6.400000095,7.400000095,10.69999981,15.80000019,16.60000038,15.89999962,15,16.70000076,21.10000038,22.79999924
Estonia,,,,,,,,,,,,,,,,,,,,22,18.39999962,14,15.19999981,20,16.10000038
Finland,8.800000191,9.600000381,10.30000019,9.399999619,9.399999619,10.30000019,9.600000381,8.300000191,7.699999809,9.399999619,16.39999962,25.89999962,31.29999924,31.5,25.60000038,24.29999924,22,20,18.60000038,18.79999924,17.60000038,18.60000038,19.39999962,19.70000076,18.39999962
France,12.30000019,13.80000019,15,18.79999924,19.20000076,18.29999924,16.60000038,15.19999981,13.5,12.80000019,14.60000038,16.60000038,20.60000038,21.10000038,18.79999924,20.60000038,21.29999924,19.89999962,19.5,16.20000076,15.69999981,18.10000038,20.20000076,21.29999924,21.10000038
Germany,,,,,,,,,,,4.900000095,5.699999809,7.400000095,8.199999809,8.300000191,9.600000381,10.69999981,9.699999809,8.699999809,8.899999619,9.199999809,10.69999981,13,14.80000019,16.10000038
"Hong Kong, China",,,,,6.300000191,5.900000095,3.700000048,3.599999905,3.099999905,3.400000095,4.599999905,4.699999809,5,5.199999809,7.699999809,7.300000191,5.599999905,11.80000019,15.60000038,11.89999962,13.5,18.20000076,18.60000038,15.30000019,13.80000019
Ireland,,,22.10000038,24.79999924,24.70000076,28.29999924,27.20000076,26,22.5,18.89999962,23.39999962,24.89999962,27,25.39999962,20.5,19.20000076,16.89999962,12,8.600000381,6.099999905,6.400000095,8.800000191,8.699999809,8.600000381,9.100000381
Japan,4.199999809,4.199999809,4.599999905,4.900000095,4.800000191,5.199999809,5.400000095,5.099999905,4.699999809,4.5,4.699999809,4.599999905,4.900000095,5.599999905,6.099999905,6.800000191,6.900000095,8.199999809,10.30000019,10.39999962,10.39999962,11.30000019,11.60000038,10.60000038,9.899999619
