Female 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,14.80000019,14.80000019,13.39999962,11.69999981,12.69999981,16.29999924,17.10000038,16.89999962,15.69999981,14.19999981,14.19999981,14.30000019,13.69999981,12.5,11.19999981,12.5,11.89999962,11.5,11.10000038,10.5
Canada,11.69999981,15.5,16.29999924,15.39999962,14.30000019,13.30000019,11.89999962,10.5,9.600000381,11,12.89999962,14.5,14.39999962,13.69999981,13.19999981,13.80000019,15.19999981,13.60000038,12.69999981,11.39999962,11.10000038,11.69999981,11.80000019,11.69999981,10.60000038
Czech Rep.,,,,,,,,,,,,,10.5,9.899999619,8.800000191,8.199999809,10.10000038,14.80000019,18.5,17.39999962,17.39999962,17.10000038,18.70000076,19.60000038,17.60000038
Estonia,,,,,,,,,,,,,,,,,,,,23.5,27.29999924,22.20000076,25.79999924,21.70000076,13.60000038
Finland,9.600000381,10.19999981,10.80000019,10.39999962,8.699999809,8.399999619,8,7.300000191,8.699999809,8.300000191,13.19999981,22.70000076,30.39999962,30.70000076,28.70000076,26,25,24.5,22.20000076,21.79999924,20.10000038,20.5,21.39999962,19.20000076,19.39999962
France,23.70000076,24.89999962,25.29999924,28.70000076,28.20000076,27,26.20000076,24.5,22.5,21.10000038,22.39999962,25.29999924,28.10000038,29.89999962,29.39999962,30.10000038,29.70000076,27.60000038,25,21.70000076,21,20.60000038,22.29999924,23.79999924,24.29999924
Germany,,,,,,,,,,,6,6.800000191,7.800000191,8.300000191,8,9,9.600000381,8.199999809,7.5,7.699999809,7,8.300000191,9.300000191,10.89999962,14
"Hong Kong, China",,,,,5.099999905,5.300000191,3.900000095,3.099999905,2.400000095,3.200000048,3.599999905,3.799999952,4.199999809,3.700000048,5.900000095,5.300000191,4.400000095,8.800000191,10.80000019,9.399999619,9.199999809,11.80000019,11.39999962,9.100000381,8
Ireland,,,17.60000038,19.10000038,22,22.20000076,21.29999924,21.5,18.29999924,16.10000038,19.70000076,21,23.10000038,20.79999924,17.5,17,15.19999981,11,8.300000191,6.699999809,5.699999809,6.400000095,6.699999809,7.400000095,7.300000191
Japan,3.799999952,4.300000191,4.400000095,5,4.699999809,5.099999905,5,4.699999809,4.199999809,4.099999905,4.199999809,4.099999905,5.300000191,5.300000191,6.099999905,6.699999809,6.300000191,7.300000191,8.199999809,7.900000095,8.699999809,8.699999809,8.699999809,8.300000191,7.400000095
"Korea, Rep.",,,,,,,,,,,,6.5,7,6,5.300000191,4.800000191,6.5,12.5,11.5,8.899999619,8.600000381,7.300000191,8.899999619,9.199999809,8.899999619
Latvia,,,,,,,,,,,,,,,,31.89999962,25.39999962,28.10000038,22.39999962,24.5,22.20000076,24.60000038,19.60000038,21.79999924,14.5
Lithuania,,,,,,,,,,,,,,,,,,19.39999962,24.20000076,27.5,24.20000076,23,28.20000076,22.70000076,15.30000019
Netherlands,,,,,,,16.89999962,14.30000019,13.69999981,12.30000019,10.89999962,7.699999809,9.600000381,9.399999619,13.69999981,12.30000019,9.399999619,8.199999809,7.5,6.199999809,6.099999905,5.599999905,7.800000191,8.800000191,9.699999809
New Zealand,,,,,,7.900000095,7.599999905,9.899999619,12.5,13.19999981,16.79999924,16.39999962,15.89999962,14.30000019,11.80000019,11.10000038,13,13.5,12.80000019,12,11.5,11.39999962,10.39999962,10.10000038,9.800000191
Norway,6.199999809,8.100000381,9.600000381,7.800000191,7.400000095,6.300000191,6.699999809,8.600000381,11,10.89999962,12.10000038,12.69999981,13.19999981,12.10000038,11.60000038,13.10000038,11.10000038,9.399999619,9.5,10.89999962,10.30000019,10.5,10.69999981,10.69999981,11.60000038
Philippines,,,,,,21.20000076,23.10000038,22.20000076,23.5,20,27.29999924,18.60000038,16.5,17.39999962,18.39999962,16.60000038,21.79999924,19.39999962,19.20000076,23.20000076,22.29999924,23.39999962,22.10000038,22.89999962,19.60000038
Poland,,,,,,,,,,,,,32.5,34.5,33.70000076,31.20000076,28,25.29999924,34.79999924,37.29999924,42.09999847,44.40000153,44.20000076,43.29999924,39.20000076
Portugal,,,,,,,,,,,,11.60000038,14.89999962,16.79999924,18,19.70000076,18.79999924,12.89999962,10.80000019,11.60000038,12.10000038,13.89999962,17,17.60000038,19.10000038
Romania,,,,,,,,,,,,,,25.70000076,23.10000038,23.89999962,20.70000076,19.70000076,18.60000038,17.20000076,17.39999962,21.60000038,18.70000076,18.89999962,18.39999962
Singapore,4.199999809,4.099999905,4.5,4.300000191,6.400000095,8,6.300000191,4.300000191,3.400000095,3,3.299999952,4.800000191,5.099999905,5.199999809,4.300000191,5.400000095,4.599999905,7.199999809,7.800000191,,6.900000095,8.899999619,9.100000381,9.100000381,
Slovak Republic,,,,,,,,,,,,,,,,,22.60000038,23.39999962,32.09999847,33.79999924,35.70000076,35.5,31.60000038,30.79999924,
