Reported Deaths per 100000,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Nicaragua,,,,,,,,,,,,0.0385791976,0.1522060459,0.1314491784,0.01854051306,0.1098390327,0.01807544909
Panama,,,,,,,,,,,,0,0.06529902218,0.0961806966,0.09447756583,,
Paraguay,,,,,,,,,,,,0,0,0,0,,
Peru,,,,,,,,,,,,0.09617114956,0.04559091756,0.09383871864,0.04451277815,,
Suriname,,,,,,,,,,,,5.225894991,3.607796448,4.03038011,1.557012227,0.4420202092,0.2196489132
Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,
Afghanistan,,,,,0.1275970642,,,,,,,,,,,,0.09583077481
Egypt,,,,,0,,,,,,,,,0,0,,0
Iran,,,,,,,,0.03442036012,,0.004584678554,0.006049126926,0.002995379403,0.002968123629,0.00735288138,0.001456258565,0.001440494463,0.001423078771
Iraq,,,,,0,,,,,,,0,0,0,0,0,0
Morocco,,,,,,,,0,,,,,,,0.006633105365,0.00327922707,0.00648235831
Pakistan,,,,,,,,,,,,,,0.01899401525,,0.03289461386,0.005592040027
Saudi Arabia,,,,,,,,0.03126217922,0.1420032685,,,0,0,0,0,0,0
Somalia,,,,,,,,,,,,,0.1067510142,0.6994305858,0.9931912341,0.1830072855,0.686764799
Sudan,,,,,3.243178763,,6.424145269,5.878674719,6.151411689,8.042548579,6.483025523,6.611195255,6.114696689,6.995635559,5.018641459,4.615207795,0.262547357
Syrian Arab Republic,,,,,,,,,,,,,0,,0,0.01058543769,0.01030526514
Yemen,,,,,,,,,,,,,,0.1458936056,,,0.3128795137
Armenia,,,,,,,,,0,0,,0,0,0,0,0,0
Azerbaijan,,,,,,,,,0,0,,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Russian Federation,0.0006728799731,0.0006707304256,,0.0006695298979,0.002009737177,0.001341167081,0.002014419686,0.002690578447,,0.00202802631,0.001356640075,,0.001368371002,,,,
Tajikistan,,,,,,,,0.1179017067,0,,,0,0,0,,,
Turkey,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,
Turkmenistan,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,
Uzbekistan,0,0.004759964283,0,0.004544454146,0,0,0,0,,0,,0,0,0,0,0,0
Bangladesh,,,,,,1.10295877,0.6158819941,0.3565880738,0.3936570399,0.4036350259,0.3471166967,0.3305979983,0.41257548,0.8460739377,0.2730384387,,
Bhutan,,,,,,,4.911649253,2.709492125,3.214315426,,,2.437767284,1.861620659,2.469237417,0.802465173,0.7849133377,0.9248326824
"Korea, Dem. Rep.",,,,,,,,,,,,0,0,0,,,
Democratic Republic of Timor-Leste,,,,,,,,,,,,,,10.48315828,6.414285898,8.245220349,6.105680348
India,,,,,,,0.288087442,0.08865234985,0.0659467817,,0.0896547761,0.09538073273,0.08993444437,0.09149662509,0.08496084357,0.08489045606,0.148295883
Indonesia,,,,,,,0.0738998738,0.09797090683,0.02184784393,,,0.03169058609,0.09058890074,,,,0.2158482619
Myanmar,,,,,,,7.832885569,6.64508298,7.094743702,8.037912152,6.006450134,6.072073571,5.632055745,5.249119479,4.166885838,3.558676869,3.404355169
Nepal,,,,,0,0,0.06752005109,0.008784782192,0.03001633274,,0,0.004006657462,0.01176878573,0.01921517242,0.02636149198,0.03690900925,0.1519461974
Sri Lanka,,,,,,,0.1425886218,0.3320027642,0.621672834,,,0.2818350204,0.1588381014,0.01054654684,0.01050415093,0,0
Thailand,2.370544553,,,,,,1.419861162,1.2986543,1.156782518,1.231456081,1.030238081,0.6929056641,0.5853302174,0.5231261096,0.3676172604,0.1126932056,0.1781099639
Cambodia,10.51807934,11.58374726,13.55451451,10.24734959,9.112971036,5.388506018,6.367571982,6.764457986,5.063730019,7.113022251,4.75759431,3.654931189,3.446778608,3.647327725,2.784200754,2.121026488,2.789397921
China,0.00304843076,,0.004422696244,0.001599051151,0.003582816685,0.002786087902,0.002434270335,0.003696995437,0.001911177212,0.005289117361,0.003053877579,0.002176145409,0.003241537076,0.003987104731,0.002362026009,0.003634960974,0.002860424767
Laos,9.125927496,10.88184884,10.12775773,9.393562398,13.31757675,13.21312234,12.64667964,12.32025089,8.496973028,6.592483671,6.699885336,4.590304074,3.609490183,3.407914417,1.883903462,1.359484879,0.3646210615
Malaysia,0.237525217,,0.1309766272,0.1174753765,0.1394488007,0.1699528094,0.1893485388,0.1153774407,0.1215432427,0.09229831236,0.1503848886,0.1934817919,0.1607697557,0.08492325506,0.1389360555,0.1286400004,0.08041745698
Papua New Guinea,11.06273418,,11.49329114,10.03270483,6.129089531,8.813768678,10.62648065,7.84787044,12.75170914,10.8148524,11.46580357,11.2134309,11.98010454,9.641278885,10.85087361,12.04340899,10.77125751
Philippines,1.491197232,1.474392954,1.347213457,1.236106076,1.168488988,0.9374952797,0.7648304913,0.718087005,0.767528189,1.011613104,0.7032915356,0.5640222997,0.123286058,0.1995753701,0.2015254949,0.1714633783,0.1263567205
"Korea, Rep.",0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
Solomon Islands,10.52295918,14.2564929,9.938382031,11.70507883,13.93335874,14.09571822,8.061200635,7.054987092,8.387278786,5.687958592,9.147236812,12.89200485,13.47213437,15.80017892,7.377511609,8.043706964,2.479231273
Vanuatu,21.4119867,20.80258992,16.40047435,7.957787001,4.762159878,2.322610614,0,0,0,0,,1.029913848,4.017052387,3.912745769,0.4763764899,4.643258453,2.717699015
Viet Nam,5.047411439,6.868291986,3.807626885,1.45353841,0.8389378269,0.4745691291,0.2722099081,0.2006839732,0.238104854,0.2437006961,0.1871181872,0.1133874281,0.06139464242,0.06050355585,0.02862613072,0.02116933702,0.04756056801
