Urban population (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,8,8.265,8.537,8.809,9.081,9.353,9.6886,10.0242,10.3598,10.6954,11.031,11.4804,11.9298,12.3792,12.8286,13.278,13.7574,14.2368,14.7162,15.1956,15.675,15.9234,16.1718,16.4202,16.6686,16.917,17.165,17.413,17.661,17.909,18.157,18.3938,18.6306,18.8674,19.1042,19.341,19.5894,19.8378,20.0862,20.3346,20.583,20.8428,21.1026,21.3624,21.6222,21.882,22.1534,22.4248,22.6962,22.9676,23.239,23.5472
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,30.7,30.81,30.915,31.02,31.125,31.23,31.332,31.434,31.536,31.638,31.74,31.9344,32.1288,32.3232,32.5176,32.712,32.922,33.132,33.342,33.552,33.762,34.0262,34.2904,34.5546,34.8188,35.083,35.352,35.621,35.89,36.159,36.428,36.9246,37.4212,37.9178,38.4144,38.911,39.477,40.043,40.609,41.175,41.741,42.7536,43.7662,44.7788,45.7914,46.804,47.9076,49.0112,50.1148,51.2184,52.322,53.3846
Algeria,30.5,31.9366,33.3632,34.7898,36.2164,37.643,38.0144,38.3858,38.7572,39.1286,39.5,39.666,39.832,39.998,40.164,40.33,40.9724,41.6148,42.2572,42.8996,43.542,44.4272,45.3124,46.1976,47.0828,47.968,48.7914,49.6148,50.4382,51.2616,52.085,52.8674,53.6498,54.4322,55.2146,55.997,56.955,57.913,58.871,59.829,60.787,61.9674,63.1478,64.3282,65.5086,66.689,67.756,68.823,69.89,70.957,72.024,72.865
American Samoa,66.2,66.6356,67.0602,67.4848,67.9094,68.334,68.744,69.154,69.564,69.974,70.384,70.778,71.172,71.566,71.96,72.354,72.7492,73.1444,73.5396,73.9348,74.33,75.0164,75.7028,76.3892,77.0756,77.762,78.3992,79.0364,79.6736,80.3108,80.948,81.8144,82.6808,83.5472,84.4136,85.28,85.9772,86.6744,87.3716,88.0688,88.766,89.2694,89.7728,90.2762,90.7796,91.283,91.622,91.961,92.3,92.639,92.978,93.2038
Andorra,58.5,60.849,63.248,65.647,68.046,70.445,72.387,74.329,76.271,78.213,80.155,81.5744,82.9938,84.4132,85.8326,87.252,88.2144,89.1768,90.1392,91.1016,92.064,92.683,93.302,93.921,94.54,95.159,95.0696,94.9802,94.8908,94.8014,94.712,94.5018,94.2916,94.0814,93.8712,93.661,93.4078,93.1546,92.9014,92.6482,92.395,91.975,91.555,91.135,90.715,90.295,89.7994,89.3038,88.8082,88.3126,87.817,87.283
Angola,10.4,10.8488,11.2626,11.6764,12.0902,12.504,12.9946,13.4852,13.9758,14.4664,14.957,15.7912,16.6254,17.4596,18.2938,19.128,20.162,21.196,22.23,23.264,24.298,25.506,26.714,27.922,29.13,30.338,31.6992,33.0604,34.4216,35.7828,37.144,38.5128,39.8816,41.2504,42.6192,43.988,44.9878,45.9876,46.9874,47.9872,48.987,49.9782,50.9694,51.9606,52.9518,53.943,54.8302,55.7174,56.6046,57.4918,58.379,59.1426
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,39.7,39.0468,38.4376,37.8284,37.2192,36.61,36.0518,35.4936,34.9354,34.3772,33.819,33.8986,33.9782,34.0578,34.1374,34.217,34.2972,34.3774,34.4576,34.5378,34.618,34.6986,34.7792,34.8598,34.9404,35.021,35.102,35.183,35.264,35.345,35.426,35.133,34.84,34.547,34.254,33.961,33.5942,33.2274,32.8606,32.4938,32.127,31.8282,31.5294,31.2306,30.9318,30.633,30.4828,30.3326,30.1824,30.0322,29.882,29.8746
