GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahrain,,,,,,,,,,,,,,,,,,,,,3983298875.27887,3771518971.99949,3486534795.14867,3708849408.78416,3894427038.02205,3709119795.53414,3752998516.91499,4143273092.17727,4433301952.76498,4449439408.51332,4646905410.67276,5168752875.42893,5514542260.82,6224264259.13648,6208703536.25128,6452705103.50879,6717911630.61662,6925696586.95316,7257437617.29078,7569507492.92248,7970690894.22308,8337342675.35734,8775886900.08113,9407750756.88697,9934584799.27265,10709482413.6159,11427017735.3282,12380031014.4545,13159972968.3652,13567932130.3845,14178489076.2518,
Bangladesh,12767231590,13540691011.3705,14279069087.6649,14213971625.8925,15770797882.5204,16024117621.2892,16435426595.3311,16127120356.5672,17657496027.7989,17873068964.2921,18877509041.9808,17843119136.474,15349770078.3859,15860254341.0247,17381563007.1162,16670967498.7941,17614771184.5711,18085623890.4146,19364971578.5606,20294806753.9657,20461050012.5987,21238978734.4088,21743716016.4747,22616962795.3335,23788673521.704,24555449225.9824,25598704785.4833,26554115959.4773,27127473044.2533,27836138077.805,29489968538.012,30474743435.1771,32010406325.1369,33474682525.5183,34842024064.8115,36558011930.5676,38247711533.0204,40308326777.0521,42415457211.493,44480763466.5509,47124925462.1348,49610300682.3455,51800799317.3846,54523446362.1137,57942340647.679,61393084271.9686,65463038830.4324,69670899875.7772,73983829245.0437,78231358239.3412,82979485251.466,88507817580.7322
Barbados,784120376,844470434.073808,920985861.543196,874214321.45663,917967662.010973,1022935827.52033,1063887746.44761,1177044295.56449,1258517198.53154,1353137615.92344,1481812924.89291,1539792151.66567,1559406034.43933,1580312997.76213,1506815149.08009,1567165345.39397,1565871988.95823,1634412707.00087,1734637071.19335,1867622970.52765,1955993038.78771,1893271872.9327,1798435850.15374,1801668965.35649,1862234629.11413,1871718231.39203,2048242624.58179,2069149587.90459,2198471437.14863,2309257154.66768,2198255969.70487,2134241585.35742,2027982063.59025,2048027019.19473,2129432329.94191,2161163704.47557,2200799782.20824,2341534922.63586,2437827350.83809,2501031835.55101,2558850048,2429524573.33614,2343386638.98934,2390441630.89799,2478549703.36207,2557427999.41024,2644872131.78276,2657506213.16503,2662289724.61664,2521188368.59594,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14364231694.5382,14191860914.2039,12829442266.4403,11854404654.1908,10467439309.6505,9378825621.44682,9641432738.84734,10740556071.0759,11642762781.0463,12038616715.6019,12736856485.1068,13338711929.6066,14011685603.183,14998555617.2527,16715851678.1922,18293979126.1542,20123008724.942,21863108809.4652,24103693966.2057,24143111980.4323,26002131602.9256,27380244577.8807
Belgium,68236665814,71634993489.536,75368611864.0659,78648340531.256,84119657630.0981,87114872496.7614,89864126386.2304,93340202847.3987,97255011947.0076,103702824529.984,109689339513.507,114061367201.661,120101605986.915,127766132692.25,133598986388.212,130972508361.677,138376051430.276,139242499720.306,143199627555.223,146552035421.787,153064887076.956,152637401920.567,153545574534.466,154024395244.569,157823226219.459,160430138974.464,163354398788.796,167122428431.457,175015969845.375,181087565789.272,186769011524.937,190192626270.857,193103818853.334,191246405182.565,197417872112.78,202125809075.273,205004919349.184,212661589174.824,216763650417.28,224436421791.722,232672747374.24,234552028141.578,237741668285.246,239659286073.542,247490005974.329,251845091555.105,258690550017.284,266243709886.338,268825324877.619,261295933961.558,267143096398.002,272271056321.282
Belize,86532304,90765703.9998198,95206559.999811,99925399.9998016,104921535.999792,110094727.999781,115347207.999771,121014359.99976,129929751.999742,136564463.999729,143130063.999716,148797215.999704,164001759.999674,172778927.999657,196207743.99961,203257135.999596,203188015.999596,216388319.99957,233527999.999536,251082335.999501,289162815.999426,292894847.999418,292065503.99942,285914559.999432,291512607.999421,294622623.999415,308099391.999388,342655167.999319,374308255.999257,423308351.999159,468299999.99907,517457662.392533,579737611.059762,616125222.723035,617098317.48775,621072230.61203,629945630.256988,652278360.61488,676679801.381355,736094778.686615,832072464.652776,873319741.819566,917848110.522823,1003404009.29221,1049766699.38183,1081553523.1614,1131878725.66606,1147049999.99772,1187100523.57821,1187100523.57821,1221526438.76198,1245956967.53722
Benin,621797131,641329522.64888,619354945.004825,648650606.941273,691790796.382284,728413252.181091,754460310.366416,762596400.381573,791897913.447572,814684759.995729,831774871.313582,819324516.984375,871977321.854187,904294242.846743,934491450.59949,888744866.06222,896604537.392572,941288292.558632,953102194.98947,1015394547.05014,1084256207.62882,1192185577.10725,1218831715.46025,1165839073.21114,1258288241.35603,1353041433.32163,1382417878.59512,1361681569.83577,1408050167.19365,1367862155.73081,1411814142.21063,1478487197.21769,1537774239.26893,1591893790.19516,1661498638.6,1737998382.57052,1834412162.8522,1947193116.28197,2035610256.74914,2131227490.08824,2254838684.51335,2367580618.73902,2474121746.58228,2570612494.69899,2650301482.03466,2727160225.01366,2838973721.02899,2969566512.19632,3121014404.31833,3239612951.68243,3336801340.23289,3440241814.68618
Bermuda,869734404,910437973.820249,951134551.250014,961311690.948389,1068113419.81276,1118955618.59584,1279678334.72143,1449556142.27189,1480073113.68814,1530934732.71522,1627571808.86668,1683519589.79647,1714036561.21272,1739467370.72626,1754725856.43439,1820845961.1696,1983603142.05627,2100584865.81856,2131101837.23481,2176877294.35918,2349806799.05127,2405754579.98106,2278600532.41335,2324375989.53773,2335565545.72369,2288772856.21877,2441357713.30002,2532908627.54877,2635649097.98348,2647347270.35971,2647855886.54998,2554270507.54015,2552744658.96934,2629545703.70023,2645312805.59863,2761684027.17541,2833500958.75602,2963842002.85879,3079431840.97029,3183598202.53779,3480219000,3707139236.2249,3650836316.06316,3777695796.71571,3875730341.07018,3952316190.64918,4174472363.28381,4296865389.75633,4336981750.44014,4127676753.06407,4049266696.58192,
Bhutan,,,,,,,,,,,,,,,,,,,,,,115128647.045009,124563583.673307,133702372.50187,143885322.451141,150142926.497489,162085319.771502,194873231.634153,224258402.536176,238148537.889345,259814622.197506,272535249.146048,278212050.358402,287093618.684419,297172074.99177,315112476.458823,334630530.817104,352689439.672248,372333012.895015,397898220.047355,427808817.307063,457700055.242553,498509593.500467,541274885.398078,584394624.347077,635666173.056036,679205223.402165,800957405.139017,838356459.987534,894764298.172628,961365501.949434,1042216340.66338
Bolivia,3001815692,3064252968.32705,3234938743.54951,3442644494.95585,3607704141.57968,3810638169.47981,4058226602.81642,4338604113.55226,3810638169.47981,3928616028.06903,3909176407.4404,4107111160.76925,4434344635.17724,4688838836.2771,4826670433.64814,5179549164.67117,5418562956.3234,5687931406.25999,5804687265.4674,5812427470.19121,5732694164.87781,5748494408.6796,5522076279.14336,5298867252.14951,5288233917.15919,5199582623.91849,5065751742.95617,5190545501.64019,5341564705.13223,5544016865.96613,5801025729.1485,6106538029.62286,6207082180.79385,6472080850.66869,6774150097.0207,7091063596.49616,7400329011.59946,7766956760.95582,8157584560.9046,8192408095.41669,8397858205.82571,8539261261.18335,8751510219.96846,8988793402.47698,9363922318.53188,9777941879.37294,10246990605.7814,10714702654.9381,11373495913.043,11755304106.0109,12240412986.0726,12863340654.3939
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342817884.18867,1622124019.82166,3065127655.79155,4119212034.19355,4761808952.81294,5218942612.28298,5505984455.95855,5748247772.02073,6052904903.93782,6295021100.09534,6679017387.20115,7012968256.56122,7447772288.46802,7957050957.55348,8388323119.45285,8144222916.67677,8209376700.01018,8349796021.11129
Botswana,124460933,132351054.309395,141174460.692079,149533468.542861,159750039.448103,169037837.202607,179761624.092506,190411714.882527,210532629.269984,242372325.091596,283867117.158973,357164756.998023,451320315.421487,547465906.131643,595630843.210659,645939309.388566,714714904.049734,800566746.06568,915310388.478142,1026507684.24507,1149554147.71389,1253759594.17021,1406286114.58812,1591166745.39771,1727138045.69313,1850201316.49203,2001416865.1642,2239223778.37555,2674752122.57273,3024058863.49235,3228872987.76923,3469705220.39383,3570918962.09705,3639341602.82667,3771373857.1617,3937459474.90577,4156073603.98098,4578731951.38502,5062855230.74023,5319318419.80241,5632391130.00782,5832008812.63875,6357436298.94717,6756370184.78166,7160256353.33685,7277848792.05788,7651617601.75573,8019553718.59284,8255372642.11327,7857039299.88531,8408166868.0876,8833027410.51872
Brazil,105343379555,116168372088.549,122227783363.761,123296876305.001,127594490402.842,131490572734.285,136947905157.207,143679258550.13,160097893160.754,175684746848.311,191092206861.259,212676237580.201,238309683977.781,271622259839.185,296182671358.383,311611051517.837,342119051572.998,357878143242.35,369443725457.079,394441340691.644,430378734063.393,411470658990.699,413858199196.67,399746489303.713,420809704087.758,454246661386.664,490533225221.11,508190603691.941,507668830626.158,524317621031.587,501771963327.229,509359093915.486,506980820288.782,530632240834.099,558938074182.596,583625429865.925,596173376608.04,616293863302.667,616527313474.616,618073920863.76,644701831101.394,653149809198.705,670512665737.212,678217761978.683,716959543488.882,739613124999.306,768867489436.037,815703390473.873,857885609995.67,855069617296.566,919487274118.018,944612348873.746
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,3547350293.21621,3559959840.18212,4277483738.50037,4744443735.81859,5065919390.18604,6208913808.70887,5774494577.75428,4629601947.86025,4812779345.18223,4836913746.90193,4865929263.57617,4793390471.89056,4663227406.43601,4756917696.25798,4809118508.96632,4757460042.36404,4809288783.36108,4960586183.10812,5196639649.03338,5212467260.7471,5376420034.07738,5617214139.65332,5778895441.92045,5693877965.82142,5662077179.52173,5834892611.69814,6001153317.86543,6165827449.63033,6404574284.02905,6590560241.40492,6623797619.27426,6649465292.75195,6941890186.57972,6952621061.7992,6817818067.15013,6697458250.49918,6871522907.36344,
Bulgaria,,,,,,,,,,,,,,,,,,,,,11464296023.1523,12026065056.7382,12306821433.0843,12728983092.5703,13161315817.8897,13514491917.7946,14083127965.0748,14935792898.5764,16570469408.7969,16025320519.7426,14564231601.6249,13334230508.3636,12364513547.943,12181492190.4244,12402953053.4989,12757701009.5527,11605673634.6949,11414698748.4741,11969608571.8622,12204708617.9941,12903546576.0887,13439228305.399,14064179291.3145,14838464301.6194,15839807529.7419,16846951092.1855,17952499282.0294,19101459236.0793,20285749708.7162,19170033474.7368,19246713608.6358,19573907739.9826
Burkina Faso,596612183,620738750.269491,658782579.24595,650429108.324783,665277229.097888,690321892.208778,694033153.022472,755269884.229694,778462514.914721,794234796.338237,795164206.872852,806402579.679416,825042565.091797,828749707.461849,897423442.735643,924331633.708498,1003222367.76542,1006937837.53801,1053335771.04235,1091936540.32066,1100637951.84322,1147473436.0414,1257197102.08997,1261546812.18355,1239107720.9123,1344647048.21971,1451618598.24715,1448187889.43502,1532118964.9041,1565063617.55922,1555627403.27858,1696722567.02594,1700671023.03889,1759537793.58894,1782675843.58129,1884580259.68408,2092161948.32751,2224320360.91557,2386867456.67332,2563595394.81877,2610945548.69944,2784535504.33477,2915395385.21952,3149921832.99475,3295911699.12522,3581061359.44162,3823420768.6819,3961301219.35675,4191056890.72339,4315340132.35803,4655655008.48177,4849461450.3539
Burundi,341126765,294235019.028648,320902003.498097,334172608.746398,355135383.214658,369224405.086855,386256700.61343,439643242.327043,438333616.911449,431935957.43442,524049197.455722,538443931.279036,503962170.792592,538680380.366229,534765038.242283,538497271.645508,581268284.30652,647936577.271411,641842241.370881,652528625.537153,658995547.878107,739150992.311433,731363298.806667,758535836.83684,759715693.898184,849234362.959352,876836012.29591,925089140.830345,971630600.888471,984742777.541863,1019207023.28111,1070135131.38782,1080943478.71619,1013492605.6443,974675838.848123,897481512.411354,825682991.418443,812554631.854888,851150976.867996,842554352.001632,835334806.597295,852507678.913873,890414598.42312,879518346.03862,922031252.835539,930329534.11106,980424592.197328,1027346065.58507,1079207715.28003,1116639230.08754,1158914103.08753,1207491444.21715
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211084361.71757,2412281198.43619,2567702131.22231,2706674884.7909,2858784408.45381,3001981855.74101,3359510627.74334,3654031716.27649,3947765865.55704,4211787742.80549,4570038145.41315,5042604252.66581,5710753630.44345,6325863881.6222,6971897273.0078,7438427180.48109,7444876070.67246,7888819880.59449,8435594576.25924
Cameroon,2537944080,2785779138.97129,2870510256.64342,2977940547.40671,3083572854.20594,3146047696.62389,3291236401.52405,2932094526.77194,3118174741.05792,3271011437.59184,3372153343.12893,3489494426.69317,3582798039.28706,3774681265.17437,4179865451.78192,4649893778.53338,4394375680.11085,4998157252.73654,6097902039.08099,6465917669.78348,6338843528.53572,7421688026.76565,7979517135.67734,8527457057.34824,9164848021.14132,9903824534.08141,10574478163.5911,10347481105.6893,9537932265.35782,9364425782.9455,8792662258.33932,8457784978.87578,8195593372.92412,7933334601.80442,7735001163.11329,7990255903.37695,8389769052.04668,8817647111.67982,9261990653.33969,9668944995.62582,10075040330.7629,10529854963.3835,10952001542.1493,11393475992.2268,11815245845.1736,12086601213.5544,12476049221.7969,12912710944.5598,13287179561.952,13552923153.191,13986616694.0932,14518108128.4687
Canada,167894860728,173205864894.771,185532543976.469,195146424965.075,208220175171.959,222038801085.539,236659979328.265,243559352224.452,256456652565.332,269946274608.461,276920125853.583,288322748522.828,304024389011.232,325197264382.241,337200255235.943,343347325296.68,361198991147.09,373690085184.997,388464263752.535,403245029407.579,411965674556.968,426397324574.186,414206601726.559,425463934274.565,450202400112.652,471722414995.236,483141789895.893,503690868080.071,528746831535.954,542596841726.38,543644188639.857,532270264642.992,536928652927.34,549484959131.558,575883371021.194,592056646975.038,601640859296.483,627065699652.711,652759293179.189,688868389470.388,724918860682.782,737849972166.1,759428612127.489,773714028802.07,797853728385.849,821941389978.329,845145064427.484,863738436331.086,869687235057.888,845598914756.658,872784483603.278,894251850391.428
Cape Verde,,,,,,,,,,,,,,,,,,,,,168002515.530989,182201352.955356,187348595.415712,205185586.172582,212948312.65933,231351490.425217,237994645.566196,248249986.146001,263137178.068394,278130601.207596,280055742.454722,283988137.116832,292633758.485896,314026757.673889,335787330.600821,360942910.034502,385103610.710095,414523320.4853,449397101.686959,502696350.706094,539227052.669436,572322732.857064,602555643.262388,630774693.698518,657771850.588814,700664444.374931,771724177.0959,838471844.899543,890437199.988446,923495946.345076,971606714.922306,1020632796.90027
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,534982718,561479896.311694,540628553.566112,536804991.241327,547972473.653755,553164890.787858,556732800.347069,582768491.154702,590951707.350212,632858495.177974,647622868.97913,654941830.027949,654936702.631633,667306943.437332,709608468.564597,712482410.308298,751187608.546063,779779920.260584,789209202.086224,769754632.775812,735280403.101173,723923942.429106,779779920.260584,716411512.44041,784338464.453156,815141622.799038,844307119.648237,802606510.925871,816333273.03305,832474749.9378,814596168.934574,810096120.390118,758054780.984254,760595369.750546,797864535.935505,855310801.010375,821098357.415264,864616592.023328,905253518.76904,937842672.020526,959413050.588324,961916948.874593,956312926.479159,883633144.066743,892469475.50741,913888742.919589,948616515.150534,983715326.211103,1003389632.73533,1020447256.49183,1054122015.95606,1086799798.45069
Chad,750173439,760658940.916148,801431143.423246,788612620.753747,768811034.169193,773471780.239333,759494430.58562,765321282.377907,761822089.097985,814245430.39498,829387598.226209,810746063.887088,820066531.108165,751337714.511473,788617984.32704,859674572.772848,885299453.813494,905082575.429743,900831998.262312,707683819.538894,664885432.250815,671819642.726556,707739212.203933,818703645.948981,835478055.990017,1017551896.68722,976018811.4377,952703591.10517,1100204581.95739,1153946661.42191,1105729318.9317,1200104833.04015,1296130541.30164,1092510545.41268,1203257111.7857,1218135979.32997,1245111272.14945,1315502297.23187,1406950490.75446,1397343126.21184,1385050963.9347,1546522070.26705,1677840504.22094,1924846596.21627,2572160415.60851,3017980987.38989,3024016949.36467,3030064983.2634,3017944723.33035,2981729386.65038,3369354206.91493,3473804187.3293
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5864053631.92424,6085143915.87338,6439703434.71024,6342273216.46648,6238754214.58881,6038979513.40895,6052518748.2409,6135906366.39204,6435479683.90113,6815065490.95454,,,,
Chile,14087170195,14657690859.8721,15418876405.2851,16361981977.4922,16798498658.7145,16868577798.1002,18555706498.2144,19231279565.2073,19952775456.6964,20645399592.5055,21083602245.9872,22984914081.8992,22796622696.6896,21670218613.3682,22210640171.6614,19686893962.7247,20357505084.7315,22128086935.3716,23779489868.095,25844101252.8644,27950035374.9051,29274115494.3915,26252080505.4995,25258026489.5833,27271935216.2928,29213486581.2762,30848376501.6582,32882584739.2423,35286696751.7067,39013086690.102,40455626742.1496,43679935489.348,49042927668.5114,52469207192.7431,55464212029.0987,61358713992.5471,65907537052.9766,70261111896.9799,72531163201.7837,71979306356.5425,75210511779.6437,77750400227.5249,79448554862.667,82560485563.2678,87548035975.0412,91287855655.9846,96486092629.0965,101465571561.571,104806280193.518,103720034589.473,110041983987.146,116631547326.928
China,70348527260,51282752582.4615,48151766858.48,53131628622.9233,61546062211.0954,71616855291.9858,79279858808.2283,74760906856.1593,71695709675.0568,83812284610.1414,100071867824.509,107076898572.224,111145820717.969,119926340554.688,122684646387.446,133358210623.154,131224479253.183,141197539676.426,157717651818.568,169704193356.779,182941120438.607,192454058701.415,209967378043.243,232853822249.958,268247603231.951,304461029668.264,331253600279.071,369679017911.443,411452746935.436,428322309559.79,444598557323.062,485501624596.783,554442855289.526,632064855030.061,714865351038.998,792785674302.248,872064241732.474,953166216213.594,1027513181078.26,1105604182840.2,1198474934198.78,1297948353737.28,1416061653927.37,1557667819320.1,1714992269071.44,1908786395476.51,2151202267702.02,2456672989715.72,2692513596728.42,2940224847627.44,3246008231780.7,3547886997336.3
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,19017657851,20019008355.1764,21113347503.444,21726503327.2777,23160961293.5841,23858682287.3303,25128529189.52,26181574240.9898,27864380351.7214,29681398501.2379,31746189469.5145,33635476030.2564,36216465586.3412,38652921702.932,40872574277.3252,41791408981.4884,43804579414.3928,45621599255.3876,49482760497.3275,52146344939.7819,54283406010.7621,55511957161.245,56038477149.7624,56926337502.9282,58836273631.0017,60653293471.9965,64194410100.9944,67642617208.827,70388786388.7808,72794271537.331,77192529433.1123,78950382026.4,82923700136.1282,84885385124.6164,89839136186.8444,94512961180.6338,96456010346.6599,99764734771.911,100333178357.927,96115156245.2714,100363791870.832,102048140770.442,104603036182.3,108702006197.463,114498365687.52,119887295311.926,127916765207.493,136743824883.31,141593861545.275,143932353897.004,149691353901.11,158566346502.298
Comoros,,,,,,,,,,,,,,,,,,,,,135611414.109865,140852688.385978,149844193.501457,157068223.944182,163524143.080682,167253101.604548,170376071.300396,173166816.199882,177820706.759127,172164807.402101,180930393.845359,171168115.492478,185770336.366621,191354476.529812,181257309.238064,187800932.7896,185375167.455236,192846418.242855,195319986.821808,199078184.913551,201900820.25544,208622519.671295,217279132.956167,222655960.919106,222121733.32615,231517228.555508,234393020.871821,235543869.368091,237840250.663187,242145965.591493,247231030.868914,252737368.22782
