,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03
Albania,,,,,,,,,,,,,,,,,,,,,6.68,,,7.29
Algeria,,,,,,,,,,,,,,,,,,,,,0.96,,,0.69
Andorra,,,,,,,,,,,,,,,,,,,,,15.48,,,10.17
Angola,,,,,,,,,,,,,,,,,,,,,5.4,,,5.57
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,7.22,,,8.17
Argentina,,,,,,,,,,,,,,,,,,,,,10,,,9.35
Armenia,,,,,,,,,,,,,,,,,,,,,11.35,,,13.66
Australia,,,,,,,,,,,,,,,,,,,,,10.02,,,10.21
Austria,,,,,,,,,,12.62,,,,,,,,,,,13.24,,,12.4
Azerbaijan,,,,,,,,,,,,,,,,,,,,,10.6,,,13.34
Bahamas,,,,,,,,,,,,,,,,,,,,,8.76,,,8.65
Bahrain,,,,,,,,,,,,,,,,,,,,,3.66,,,4.19
Bangladesh,,,,,,,,,,,,,,,,,,,,,0.17,,,0.17
Barbados,,,,,,,,,,,,,,,,,,,,,6.91,,,6.42
Belarus,,,,,,,,,,,,,,,,,,,,,15.13,,,18.85
Belgium,,,,,,,,,,,,,,,,,,,,,10.77,,,10.41
Belize,,,,,,,,,,,,,,,,,,,,,6.07,,,5.92
Benin,,,,,,,,,,,,,,,,,,,,,2.15,,,2.08
Bhutan,,,,,,,,,,,,,,,,,,,,,0.55,,,0.54
Bolivia,,,,,,,,,,,,,,,,,,,,,5.12,,,5.78
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,9.63,,,9.6
Botswana,,,,,,,,,,,,,,,,,,,,,7.96,,,6.97
Brazil,,,,,,,,,,,,14.01,,,,,,,,,9.16,,,10.08
Brunei,,,,,,,,,,,,,,,,,,,,,2.01,,,1.86
Bulgaria,,,,,,,,,,,,,,,,,,,,,12.44,,,11.4
Burkina Faso,,,,,,,,,,,,,,,,,,,,,6.98,,,7.32
Burundi,,,,,,,,,,,,,,,,,,,,,9.47,,,9.65
Cambodia,,,,,,,,,,,,,,,,,,,,,4.77,,,4.71
Cameroon,,,,,,,,,,,,,,,,,,,,,7.57,,,7.9
Canada,,,,,,,,,,,,,,,,,,,,,9.77,,,10.2
Cape Verde,,,,,,,,,,,,,,,,,,,,,4.96,,,4.98
Central African Republic,,,,,,,,,,,,,,,,,,,,,3.35,,,3.17
Chad,,,,,,,,,,,,,,,,,,,,,4.38,,,4.39
Chile,,,,,,9.43,,,,,,,,,,,,,,,8.55,,,8.81
China,,,,,,,,,,,,,,,,,,,,,5.91,,,5.56
Colombia,,,,,,,,,,,,,,,,,,,,,6.17,,,6.59
Comoros,,,,,,,,,,,,,,,,,,,,,0.36,,,0.28
Congo [DRC],,,,,,,,,,,,,,,,,,,,,3.3,,,3.39
Congo [Republic],,,,,,,,,,,,,,,,,,,,,4.2,,,4.46
Cook Islands,,,,,,,,,,,,,,,,,,,,,3.7,,,3.23
Costa Rica,,,,,,,,,,,,,,,,,,,,,5.55,,,5.81
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,6.48,,,6.47
Croatia,,,,,,,,,,,,,,,,,,,,,15.11,,,15
