"Energy production, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,2417.555,2961.497,3001.078,2706.852,2908.727,3077.547,3170.348,3476.12,3385.785,3428.061,2686.667,2650.119,2808.069,3010.542,2809.17,2998.016,2902.55,2891.344,2901.368,2449.231,1914.788,1398.195,1326.482,1277.909,1235.984,1324.645,1101.871,1085.445,1069.951,986.025,882.889,959.262,1045.889,1152.894,1166.305,1191.732,1054.78,1153.343,1253.804,,
Algeria,,,,,,,,,,,,41508.705,54737.006,56492.399,53270.536,53041.934,58787.9,62082.146,69510.583,75783.874,65739.42,67188.604,67341.132,74106.118,77039.619,80760.694,84112.169,88807.379,90974.24,94782.835,100113.919,102591.249,104211.719,104941.104,100625.354,106733.897,112671.344,121658.483,127111.297,136998.197,142245.063,136800.251,143142.601,155315.759,157890.88,166666.786,164941.043,164296.83,162044.04,152291.931,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,9118.183,10517.158,11679.821,12114.147,11395.378,11157.755,10713.492,10180.688,10995.003,11300.57,10304.325,10399.685,12906.697,14288.149,15743.473,18336.721,22321.409,27063.631,27188.633,28652.03,29955.51,32754.745,30535.47,32947.805,36414.566,39794.024,41559.425,42968.403,43552.195,43680.183,43455.459,51433.983,51348.855,57609.529,70906.346,79992.848,95054.152,105776.517,100957.649,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,30558.034,30963.026,30525.439,30875.03,30636.421,31039.932,32698.548,33923.963,36350.125,38813.502,39452.23,39982.124,41994.521,42932.576,42555.241,42869.722,43317.808,46258.197,47240.937,48417.108,50216.944,54321.957,56949.771,62400.778,66876.734,72042.808,77473.134,79678.457,80057.948,82264.724,84487.151,81336.356,84268.092,87129.602,84685.03,86192.461,82870.055,82859.384,80818.691,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.312,135.225,262.715,370.129,303.135,245.189,741.771,539.265,547.288,645.742,631.964,602.075,738.294,692.146,746.425,861.287,845.953,825.946,797.069,824.933,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,21305.663,22543.838,22892.249,23566.29,25360.451,28290.001,29575.697,31223.692,35271.863,38706.305,47695.623,53851.584,62427.822,67986.076,67501.708,74960.477,75251.097,82245.542,81624.831,86523.293,85411.452,97195.974,98612.83,107447.975,118360.201,128061.251,136469.836,148893.304,136730.36,144697.975,157522.76,167009.605,172132.957,174930.373,173463.768,186897.52,189754.402,201014.656,216482.029,213540.449,233553.007,253785.78,263493.155,263592.776,269289.248,280113.535,281479.879,298607.28,301041.055,310697.653,324019.303,
Austria,7358.354,7121.96,7285.118,7749.021,7698.167,7995.427,8153.308,7793.059,7557.63,7361.629,7953.093,7365.7,7333.098,7918.982,7815.792,7804.693,7235.834,7668.037,7827.508,8007.214,7631.624,7413.602,7491.028,7302.108,7351.998,7562.182,7662.97,8057.586,9189.82,8619.318,8106.591,8348.914,8555.253,8765.442,8397.036,8737.636,8634.448,8706.485,8880.723,9721.241,9780.19,9774.678,9818.513,9601.387,9897.677,10057.715,10139.932,10880.39,11224.21,11399.489,11173.349,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20640.721,18972.549,18149.805,16391.978,14936.725,14725.108,14386.611,14096.118,16334.831,19035.164,18961.739,19580.733,19751.898,19825.795,20052.879,27228.541,38126.643,52118.813,58633.693,64558.519,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,10668.372,10078.285,10834.016,11460.81,9960.307,10332.558,11988.633,11707.175,12094.941,11988.279,12947.323,10613.614,9913.123,11134.007,11088.597,12610.764,12890.039,13160.143,13360.681,13436.582,12976.631,13479.028,13855.595,13586.621,13645.589,13924.198,14288.56,14727.116,14529.192,14860.259,14868.471,15269.583,15632.907,15825.429,16130.536,16496.284,17017.255,17492.745,17548,,
Bangladesh,,,,,,,,,,,,4848.384,5034.911,5342.521,5475.474,5454.962,5783.482,6022.901,6174.731,6403.336,6745.045,6877.708,7329.992,7779.706,7972.613,8416.695,8950.266,8779.616,9823.543,10227.282,10757.524,10848.011,11365.841,11955.994,12453.644,12776.677,12959.232,13096.902,13698.027,14435.544,15156.007,16178.19,16738.683,17549.391,18425.632,19344.268,21229.75,22132.222,23394.896,24837.91,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3340.088,3474.9,3500.689,3221.591,3444.546,3318.85,3326.451,3316.914,3194.437,3506.372,3517.753,3599.105,3679.303,3578.115,3626.828,3813.381,3916.899,4010.158,4032.309,4045.351,,
Belgium,13996.645,13423.798,13229.727,13356.704,13285.133,12353.817,10925.263,10284.824,9266.035,8260.674,7120.809,6844.569,6567.806,6508.643,6157.899,7964.727,8679.685,9058.49,8275.251,7618.412,8092.643,8174.805,9067.335,10952.515,12113.818,13955.585,14690.864,14483.725,13436.521,12962.132,13104.995,12974.006,12725.902,12101.77,11621.576,11934.801,12356.736,13402.557,13107.929,13906.126,13733.959,13324.558,13497.086,13697.137,13747.918,13906.965,13771.036,14368.96,14544.923,15318.384,15354.166,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,1002.244,1022.016,1042.649,1063.758,1085.68,1107.65,1130.718,1155.935,1182.538,1211.576,1459.031,1503.883,1326.809,1342.723,1703.77,1780.652,1764.291,1727.287,1718.723,1773.571,1803.51,1780.254,1837.652,1850.554,1851.796,1922.699,1887.643,1849.654,1785.703,1445.199,1490.212,1545.447,1576.18,1623.353,1672.092,1827.13,1884.586,1939.868,1995.556,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
