"Energy production, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bolivia,,,,,,,,,,,,2295.122,3787.575,4566.603,4456.973,4264.549,4368.592,4168.967,4035.518,3960.951,4365.117,4513.145,4718.857,4809.148,4746.601,4724.652,4653.17,4426.754,4632.118,4753.042,4923.208,5051.706,5057.839,5148.215,5570.967,5773.392,5943.53,5795.725,5988.921,5189.814,5542.668,6225.027,7051.317,8048.395,10762.932,13924.507,14650.617,15512.347,16167.737,14194.63,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4604.298,4322.258,3642.464,3128.127,758.133,816.863,1109.307,2145.891,2576.134,2614.257,3075.985,3095.547,3311.308,3484.746,3589.199,3646.38,3964.409,3947.139,4348.682,4473.804,,
Botswana,,,,,,,,,,,,,,,,,,,,,,603.918,637.549,638.312,650.523,691.869,739.048,725.809,868.258,914.501,910.476,935.692,1039.383,1050.945,1067.065,1059.385,973.138,991.699,1114.932,1125.408,1126.641,1116.165,1119.258,1028.451,1018.456,1062.824,1055.099,979.211,1036.929,938.127,,
Brazil,,,,,,,,,,,,49123.539,50384.563,51242.141,53580.326,53914.063,54170.17,55851.786,57175.993,60567.522,64350.716,66540.713,71070.003,80091.316,94046.112,102392.228,101971.493,105482.226,104727.038,107654.361,104182.81,104779.115,104744.459,105667.578,110690.157,112076.973,118613.659,126313.08,133517.35,141457.914,148281.611,152151.862,167435.338,178327.102,182645.171,194816.957,206475.901,216357.092,228204.15,230306.734,,
Brunei,,,,,,,,,,,,6650.612,9348.182,13157.206,13599.245,14267.909,17663.933,18877.121,18915.842,20329.516,21136.366,16721.95,16979.587,17205.741,16405.699,16063.442,15638.318,15533.858,15146.276,15280.745,15641.969,16361.923,17520.15,17172.934,17616.735,18240.947,17670.023,17547.633,16962.739,18582.591,19684.298,19851.99,20265.051,21196.8,20749.304,21060.28,22317.078,20746.827,21126.399,18939.296,,
Bulgaria,,,,,,,,,,,,5711.711,5597.002,5473.678,5153.642,6138.401,6358.382,6563.719,6730.364,7324.449,7737.163,8530.339,9355.015,9647.03,9942.621,9529.828,9875.372,10042.621,10500.489,10141.536,9612.796,8503.472,8832.572,9283.871,9422.651,10298.072,10675.137,10216.19,10157.108,9160.102,9917.047,10408.272,10650.49,10223.419,10270.719,10648.893,11036.788,9972.111,10244.088,9826.067,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900.656,2958.66,3017.811,3078.18,3139.742,3202.547,3256.396,3314.626,3369.603,3422.287,3478.611,3535.784,3593.846,3608.069,3667.95,,
Cameroon,,,,,,,,,,,,2452.428,2500.934,2551.798,2618.934,2689.837,2758.003,2871.384,3428.534,5034.208,6707.204,8068.285,9046.784,9371.365,12394.558,12483.645,12424.024,12578.839,12020.082,11582.22,10975.515,10727.395,10837.544,10449.639,10448.163,9796.431,10270.713,10909.132,11251.785,10991.555,11144.664,10695.343,11027.134,10896.919,10807.87,10507.542,10259.914,9245.818,9302.138,8848.61,,
Canada,57089.465,64250.584,74148.432,78851.55,85280.016,89719.358,96839.546,104066.264,113248.316,125516.022,144762.088,155839.438,176817.621,198220.176,191869.231,187550.298,182130.378,189911.283,191056.298,210133.116,207418.672,200691.897,202696.562,207186.156,228717.541,241236.447,239695.667,252692.583,272776.353,274008.837,273717.336,285200.007,294239.746,315911.326,338450.582,348853.145,358347.485,365071.997,365402.523,364446.152,372706.35,376977.296,384070.236,386182.572,397858.88,401068.547,410759.509,416352.836,406069.703,389809.663,395774.822,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,5343.844,5406.665,5080.909,5096.815,4984.5,5182.813,5272.385,5313.172,5015.159,5800.682,6213.418,6354.188,6486.608,6751.039,6807.336,7013.529,7074.463,7248.873,7443.246,7470.39,7890.765,8177.554,7776.334,7857.382,7846.042,7874.127,7909.037,7649.946,7497.308,8116.106,8607.815,8603.595,8095.68,8082.955,8873.013,9157.06,8498.54,9056.046,9298.844,9555.788,
China,,,,,,,,,,,,394149.333,414703.206,431362.966,446053.537,497137.764,511819.109,556142,604187.729,618544.895,615471.891,612319.199,637816.706,669299.62,717156.779,743484.096,762984.661,785556.699,817105.857,858568.847,886291.565,894967.654,912063.523,940492.223,992406.692,1066177.709,1096048.854,1095419.446,1085191.677,1061660.836,1063987.071,1093818.81,1171213.405,1317293.326,1493307.914,1622910.757,1728256.827,1824494.206,1989750.545,2084939.71,,
Colombia,,,,,,,,,,,,19370.235,18160.506,17185.764,16875.231,17071.41,16696.594,16696.213,17493.729,17618.657,17706.875,18449.195,19610.784,20596.631,22742.238,24932.079,32865.635,39552.901,40169.913,44058.023,48179.174,46545.109,48443.408,49354.568,51263.864,60102.161,65701.575,67589.557,73583.985,76500.602,73293.529,72965.829,69064.48,74274.256,76184.293,79475.82,84588.182,87602.492,93595.657,99149.913,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,5931.695,6094.387,6282.338,6406.558,6636.989,8055.379,8155.097,8106.467,8448.383,8581.616,8940.906,9264.073,9657.791,10283.366,10658.11,10911.181,11144.025,11360.628,11690.963,12018.786,12226.447,12458.655,12681.89,13112.782,13698.435,14154.59,14367.468,14651.938,15050.791,17509.047,18187.103,18696.506,19416.642,20222.559,20760.088,21406.607,22069.96,22660.32,23346.441,,
"Congo, Rep.",,,,,,,,,,,,334.485,671.87,2439.235,2858.984,2217.464,2509.669,2247.567,2875.264,3230.136,3818.581,4597.087,5135.737,5869.469,6539.904,6414.496,6551.966,6938.628,7689.78,8664.86,8746.18,8783.052,9388.828,10317.445,9807.072,10050.528,11200.941,12463.329,13658.269,14597.953,14583.648,13595.407,13129.842,12067.737,12543.116,13641.675,15356.076,12512.842,13246.662,15275.776,,
Costa Rica,,,,,,,,,,,,663.104,681.088,685.144,691.958,699.63,718.51,693.666,717.493,736.387,766.998,784.101,789.841,831.677,993.49,1003.206,987.306,1011.414,1008.755,994.202,1031.848,1055.914,1277.035,973.981,974.688,961.475,994.319,1028.917,952.537,1107.885,1279.397,1266.914,1414.206,1443.648,2088.518,2310.655,2515.549,2756.119,2670.193,2707.89,,
Cote d'Ivoire,,,,,,,,,,,,1639.185,1703.716,1758.142,1828.099,1899.256,1963.148,2022.29,2089.534,2212.577,2418.893,2847.052,3300.061,3599.273,3618.402,3801.072,3818.248,3748.738,3590.379,3305.066,3382.49,3457.034,3786.314,3929.169,4050.265,4247.599,5158.505,5440.845,5413.304,6024.716,6012.421,5973.247,6528.463,6781.152,9546.539,10628.354,11942.03,11500.375,11415.161,11890.695,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5134.293,4802.691,4335.583,4545.747,4076.305,4181.238,4244.13,4118.037,4018.113,3598.425,3584.157,3752.048,3709.962,3747.444,3876.064,3804.557,4152.055,4060.964,3955.144,4065.695,,
Cuba,,,,,,,,,,,,5346.486,5028.697,5296.5,5494.043,5568.604,5599.666,6054.936,6594.018,6837.441,6522.338,6561.143,7139.824,7287.229,7474.208,7423.875,7766.504,7893.069,8086.953,8665.844,9435.236,8350.959,8375.46,6548.551,6709.586,6185.915,6673.146,6530.663,6065.027,6906.836,7911.764,8163.004,8212.328,8021.473,7480.903,6286.453,5977.874,5809.185,5699.096,5565.053,,
Cyprus,,,,,,,,,,,,9.122,9.122,9.122,4.107,6.257,7.928,7.928,8.167,8.406,6.257,6.018,6.018,5.779,6.615,6.734,6.734,6.495,6.018,6.018,6.137,5.54,5.492,5.469,11.701,42.435,43.151,41.623,42.96,43.653,44.25,44.464,44.727,48.094,50.076,51.023,51.548,73.125,82.874,84.619,,
Czech Rep.,,,,,,,,,,,,39948.987,39665.441,38505.902,39085.323,40489.323,41544.926,43276.52,41983.176,43237.335,41207.375,41336.799,41862.382,42473.601,43118.807,42666.495,43600.113,44693.787,44072.706,42428.042,40908.009,38581.563,36253.394,35750.191,33281.689,32412.846,33084.758,33457.189,31487.653,28764.074,30652.438,31358.846,31449.137,33502.019,34537.954,32917.911,33561.596,33751.674,32819.026,31198.67,31437.491,
Denmark,995.007,932.314,918.984,903.848,805.379,784.74,739.676,538.353,328.602,186.79,377.717,329.22,434.147,426.16,447.428,526.4,596.202,912.53,877.031,972.047,952.353,1562.655,2576.993,3099.001,3534.249,4978.662,6507.83,8156.036,8307.663,9531.944,10081.315,11917.763,12918.732,13891.163,15094.98,15588.285,17666.216,20244.138,20387.902,23783.727,27734.946,27137.503,28585.729,28471.376,31106.424,31304.336,29548.093,27082.494,26622.984,23912.977,23206.644,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,1212.347,1245.876,1207.557,1244.814,1256.345,1333.307,1308.223,1356.011,1398.315,1326.858,1555.592,1731.441,1757.359,1921.465,1351.559,1380.967,1411.596,1175.976,1010.746,1031.016,1043.505,1342.832,1447.484,1454.137,1438.918,1453.813,1463.818,1379.877,1490.587,1420.961,1497.36,1512.792,1540.484,1612.477,1876.714,1887.674,1901.776,1881.941,1891.639,,
Ecuador,,,,,,,,,,,,1384.26,5300.272,11902.269,10248.167,9469.489,10838.059,10718.361,11600.236,11917.285,11752.435,12050.885,11938.1,13654.299,14944.565,15977.934,16430.222,10556.78,17110.784,16032.076,16473.853,17284.752,18355.178,19689.768,21489.165,22127.298,21892.071,21973.09,21439.843,21443.287,22651.694,22988.72,22201.206,23709.054,29307.337,29419.823,29888.3,28914.874,28546.762,27324.043,,
Egypt,,,,,,,,,,,,16356.106,12067.633,9836.17,8830.719,13252.866,18368.855,23114.779,27697.742,29012.221,33478.58,36156.557,37580.491,40809.402,46961.549,51207.605,47872.288,53278.027,51691.527,53591.39,54869.055,55531.998,56559.618,59780.959,59200.388,59807.533,58665.375,57687.601,57200.052,59319.239,56445.821,57004.664,60884.043,64430.766,64661.723,76909.468,79736.685,82278.588,87487.141,88186.134,,
El Salvador,,,,,,,,,,,,1254.892,1294.219,1331.474,1392.418,1560.391,1900.439,1964.42,2093.834,2054.563,1912.451,2147.68,2249.54,2140.146,2182.884,2008.121,1650.616,1799.07,1641.557,1654.572,1692.471,1717.533,1748.195,1733.922,1752.977,1791.133,1822.41,1850.588,1849.547,2002.591,2119.483,2284.551,2321.301,2394.748,2391.597,2489.458,2630.712,2900.363,3109.857,3164.434,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.517,707.517,707.517,730.394,755.444,779.243,481.674,496.097,507.799,531.273,547.463,563.678,481.698,499.775,514.643,529.902,545.591,561.519,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5414.66,4738.618,4453.553,3236.563,3411.502,3216.332,3751.483,3681.095,3243.011,2992.1,3180.758,3169.981,3374.699,3906.158,3709.894,3868.19,3746.133,4407.975,4225.365,4156.687,4897.452,
Ethiopia,,,,,,,,,,,,8127.935,8340.821,8559.744,8785.554,9019.115,9262.271,9513.995,9776.069,10047.868,10329.988,10619.72,10923.59,11235.345,11557.441,11882.948,12243.638,12633.513,13057.158,13520.058,14052.081,14537.73,15044.475,14646.858,15089.204,15501.528,15893.024,16260.41,16774.901,17170.775,17569.777,18014.281,18444.351,18902.144,19368.948,19852.509,20356.763,28760.512,29581.16,30372.986,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,5292.107,5499.125,5559.289,5389.243,5386.061,5443.646,5461.958,5419.274,5201.282,5031.284,4995.416,4983.174,4876.977,4883.565,4985.57,4369.485,4159.816,5056.34,5340.601,6432.483,6912.459,8963.357,10095.299,10177.807,10529.418,10376.081,11320.635,10690.654,11208.183,11649.568,12080.846,11169.618,12121.623,11811.901,12999.282,13159.423,13613.464,15039.707,13587.455,15402.865,15072.918,15087.67,16083.47,16013.029,15803.637,16660.502,18190.311,16136.524,16512.085,16553.006,17152.648,
France,45296.571,44090.551,44676.266,42565.162,45794.23,45991.736,45897.653,44351.278,41145.039,41393.152,50092.132,47608.053,46850.829,44172.997,42307.016,43569.56,41106.903,44503.531,45713.214,47845.912,52600.13,63971.144,63555.77,73000.499,85058.268,93319.642,99848.288,103756.056,104458.649,109318.308,111869.066,118501.932,120176.755,126391.077,123777.663,127845.133,131803.58,128743.218,125423.357,127148.97,130801.53,132120.519,134183.805,135848.52,137042.127,137044.531,137227.49,135289.133,137272.047,129500.866,135794.587,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,6453.321,7006.439,8639.835,11165.269,11944.803,11854.541,11839.246,11165.111,10905.229,9441.05,8345.786,8590.628,8605.646,8681.022,9432.838,9126.39,8645.033,8835.542,11159.957,14630.226,15932.105,15862.087,16826.211,18485.592,19766.904,19914.779,20144.103,19164.724,17234.045,15141.132,14427.661,14120.809,15115.696,15112.604,14940.737,13535.557,13785.418,13509.674,13586.888,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.506,1662.627,1491.558,1779.868,1030.758,1200.24,1612.579,1441.2,1378.973,1328.794,1325.606,1264.69,1328.84,1376.97,1288.344,980.714,929.084,1075.485,1078.52,1258.363,,
Germany,125261.502,126462.572,127209.596,129868.413,131674.436,126093.421,119545.925,110256.188,113318.348,116600.664,174692.29,175207.813,171884.71,171660.616,173142.376,172162.031,174081.666,173317.584,174861.169,182173.019,185624.892,192313.814,193061.382,189724.098,197716.189,209322.801,200065.217,199527.381,202316.314,200505.497,186166.593,168303.511,163241.575,151998.991,145140.276,145026.649,143255.737,143576.406,135969.709,137173.141,135336.203,134702.341,134518.425,135857.882,137996.052,135352.609,136403.034,137534.653,133533.076,127089.305,129196.907,
Ghana,,,,,,,,,,,,2337.286,2473.014,2625.472,2763.161,2823.158,2916.536,3012.636,3025.658,3207.209,3305.056,3376.937,3417.09,3290.478,3333.142,3552.322,3793.22,3948.316,4091.008,4265.89,4391.61,4637.51,4835.128,4973.154,5127.116,5252.582,5411.468,5542.256,5413.265,5640.273,5883.694,5995.137,5987.512,6017.144,6266.104,6424.722,6552.097,6517.478,6858.415,7047.452,,
Gibraltar,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Greece,322.352,341.367,385.021,495.112,520,641.121,764.426,800.035,867.219,1039.093,1688.159,2084.944,2167.551,2334.359,2446.358,2927.152,3456.12,3616.021,3484.023,3763.643,3695.947,4416.729,5511.167,5947.508,6423.983,6932.202,7224.954,8050.485,8251.188,8857.861,9198.313,9035.093,8955.649,8977.658,9150.012,9298.369,9120.281,9558.713,9831.605,9534.359,9986.056,9964.677,10228.615,9904.765,10300.222,10314.473,10066.929,10171.351,9862.455,10079.843,9187.557,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,1933.763,1982.878,2041.313,2097.522,2444.566,2603.714,2644.207,2660.269,2775.081,2583.096,2668.612,2882.04,2893.348,2819.389,2783.945,3046.882,3081.745,3150.054,3254.021,3390.607,3504.5,3622.851,3616.686,3609.918,3830.064,4238.93,4673.177,4966.398,5366.851,5237.755,5229.4,5407.693,5474.923,5438.354,5496.848,5431.648,5443.257,5385.061,6051.621,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,1378.001,1430.735,1467.199,1519.861,1575.66,1623.177,1672.713,1735.007,1807.493,1876.832,1568.957,1588.128,1610.168,1617.542,1632.386,1222.614,1243.299,1272.535,1281.667,1252.525,1267.876,1347.072,1339.065,1373.341,1392.327,1596.439,1588.146,1626.133,1619.22,1541.745,1542.748,1732.741,1673.351,1653.722,1920.51,1968.475,2005.6,1989.224,1866.663,,
Honduras,,,,,,,,,,,,1012.19,1038.752,1059.004,1089.944,1112.081,1135.656,1170.264,1210.503,1245.929,1314.624,1333.237,1367.792,1389.141,1404.659,1467.898,1477.855,1561.383,1598.97,1631.149,1694.034,1701.815,1694.934,1704.192,1669.848,1661.022,1697.561,1903.542,1896.033,1476.831,1522.207,1494.385,1545.723,1621.57,1665.928,1772.997,1976.494,2119.478,2078.03,2194.857,,
"Hong Kong, China",,,,,,,,,,,,31.02,32.668,32.668,34.053,34.292,35.701,34.292,35.701,37.324,38.709,38.948,40.357,40.357,40.357,41.981,41.981,41.981,43.39,43.39,43.39,43.39,43.629,45.014,45.014,46.662,48.047,48.453,48.858,49.312,49.766,50.124,50.339,50.244,50.649,50.864,51.285,51.786,52.168,52.383,,
Hungary,,,,,,10404.974,10356.314,10141.219,10706.942,11040.559,11771.672,11848.455,11786.111,12698.794,12728.657,12535.657,13483.988,14051.707,15351.575,14656.614,14489.459,14420.646,14917.923,15058.196,15614.058,16408.225,16079.79,16795.226,16375.501,16050.636,14587.588,14309.287,13915.618,13697.738,13284.761,13891.507,13643.666,13325.705,12463.756,11919.493,11617.764,11301.989,11198.632,10411.103,10236.113,10368.943,10335.673,10224.681,10496.496,11004.352,10977.234,
Iceland,150.857,157.923,170.011,184.426,198.932,201.41,222.367,241.171,272.651,310.429,394.988,422.95,458.871,541.292,530.83,578.569,614.933,676.616,709.187,844.894,904.105,1096.287,1161.586,1229.884,1250.893,1252.467,1275.971,1316.087,1371.745,1409.711,1400.157,1437.41,1389.667,1491.415,1480.871,1565.249,1615.973,1682.159,1813.88,2190.615,2305.522,2451.178,2461.946,2457.164,2519.101,2636.109,3258.679,3951.965,4355.136,4402.322,4567.625,
India,,,,,,,,,,,,141561.494,145862.106,148982.316,156525.893,165652.696,169843.514,174143.393,177541.583,180834.349,186872.69,200048.86,210683.407,221459.562,233159.094,239406.879,251182.059,259229.068,272977.496,281492.909,291815.571,301566.903,306200.264,309855.966,321067.025,335773.05,342259.315,353067.096,351942.917,359444.218,366405.465,374521.605,383620.378,396350.997,409452.197,422377.46,437872.637,452732.114,468291.227,502469.734,,
Indonesia,,,,,,,,,,,,71735.86,81687.75,94890.732,97027.786,94310.087,105666.991,118438.185,120219.258,121860.921,125588.163,127910.793,114613.332,117569.801,134795.369,128764.805,136895.973,136886.024,139586.363,149120.144,169076.363,183415.117,187526.62,194514.953,208006.036,216049.303,224487.095,229242.198,230457.749,244210.864,236255.839,241572.525,248022.386,254899.234,264844.637,279975.911,313672.858,318303.276,323803.222,351841.454,,
Iran,,,,,,,,,,,,238648.402,266820.622,309730.543,318594.453,284876.552,313373.7,300611.211,277024.394,171849.969,80757.06,79428.622,129632.389,132998.865,119790.363,122499.23,101707.327,128653.755,125071.751,160208.241,179315.451,196109.214,202073.956,214688.392,218142.234,223718.726,224920.219,225491.136,229484.092,256528.236,267095.203,259463.823,265425.087,294489.196,306846.356,317858.448,328552.991,344920.782,344753.949,349781.692,,
