People living with HIV,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Colombia,,,,,,1885,,,,,,47000,60000,72000,84000,93000,100000,110000,110000,120000,130000,130000,130000,140000,140000,140000,140000,150000,150000,150000,150000,150000,150000
Comoros,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,160,160,160,160,160,350,350,350,350
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",70,,,,,,,,,,,63000,68000,71000,73000,74000,75000,75000,75000,75000,75000,74000,74000,74000,74000,74000,74000,75000,76000,77000,79000,81000,83000
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,1200,1400,1700,1900,2300,2600,2900,3300,3700,4100,4500,5000,5500,6000,6500,6900,7300,7700,8100,8400,8700,8800
Cote d'Ivoire,4562,,,,,,,,,,,350000,400000,440000,480000,520000,540000,570000,580000,590000,590000,580000,560000,540000,520000,490000,470000,440000,420000,400000,380000,370000,360000
Croatia,,,,,,,,,,,,160,160,160,350,350,350,350,350,600,600,600,600,600,600,600,600,600,600,1000,1100,1100,1200
Cuba,,,,,,,,,,,,1100,1200,1300,1400,1600,1800,2000,2200,2500,2800,3100,3600,4100,4700,5400,6200,7100,8100,9300,11000,12000,14000
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,160,350,350,350,600,600,600,600,1000,1100,1300,1400,1500,1600,1600,1700,1800,1800,1900,2000,2000,2100
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,360,,,,,,,,1300,1500,1600,1700,1900,2000,2200,2400,2700,2900,3200,3500,3700,4000,4300,4500,4800,5100,5300,5600,5800,6100
Djibouti,,,,,25,,,,,,,1800,2700,3900,5100,6400,7700,8900,10000,11000,12000,12000,12000,12000,12000,11000,11000,11000,10000,10000,9700,9400,9200
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,1510,,,,,,,,,,,16000,21000,27000,32000,36000,41000,44000,47000,49000,50000,51000,52000,52000,51000,50000,49000,48000,47000,46000,45000,45000,44000
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,464,,,,,,,,,,,12000,13000,15000,16000,18000,20000,22000,24000,26000,28000,30000,32000,33000,34000,34000,35000,35000,35000,34000,34000,35000,35000
Egypt,,,,,,,,,,,,600,600,600,1200,1700,2300,3100,4300,5700,7300,8400,9100,9300,9100,8800,8400,8100,8000,8000,8300,8800,9500
El Salvador,,,,,,,297,,,,,3200,3900,4800,5700,6600,7500,8300,9000,9700,10000,11000,12000,12000,13000,14000,15000,16000,18000,19000,21000,22000,24000
Equatorial Guinea,113,,,,,,,,,,,2000,2300,2700,3000,3400,3900,4400,4900,5500,6200,7000,7900,8800,9800,11000,12000,13000,14000,16000,17000,18000,20000
Eritrea,,,,,,,153,,,,,2500,3200,4200,6000,8800,12000,16000,18000,20000,21000,22000,23000,24000,24000,24000,24000,24000,24000,24000,23000,23000,23000
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,60,160,350,350,350,600,600,1400,1900,2700,3600,4700,5700,6700,7500,8100,8600,9000,9300,9500,9700,9900
Ethiopia,,,,,,,,,,,,330000,430000,550000,670000,790000,910000,1000000,1100000,1200000,1200000,1300000,1300000,1300000,1200000,1200000,1100000,1100000,990000,930000,870000,830000,790000
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,160,160,160,160,350,350
