"Falls, age adjusted mortality per 100 000",2002,2004
Suriname,9.670567,4.316963196
Swaziland,2.761676,5.824388027
Sweden,2.481098,2.894412994
Switzerland,5.883059,7.417273521
Syria,1.273022,1.18450439
Tajikistan,1.154919,1.235026121
Thailand,5.23597,4.485964298
"Macedonia, FYR",3.306002,1.972636819
Timor-Leste,10.55452,8.450176239
Togo,5.389999,3.774657011
Tonga,0.0309489,0.02262083814
Trinidad and Tobago,3.835178,2.598762274
Tunisia,4.751326,3.453145027
Turkey,1.675977,8.000944138
Turkmenistan,2.024848,1.935352325
Tuvalu,0.1500323,0.1165668145
Uganda,4.178698,4.589588642
Ukraine,5.370097,6.721670151
United Arab Emirates,3.707171,1.791452646
United Kingdom,4.474754,3.453276873
Tanzania,4.008013,4.368362904
United States,3.064667,3.96007967
Uruguay,0.657182,0.9455425739
Uzbekistan,1.284248,2.608140707
Vanuatu,0.0733076,0.05870917067
Venezuela,5.330313,4.966413975
Vietnam,8.69049,7.921552181
"Yemen, Rep.",6.485294,6.745578289
Zambia,3.54413,4.415143013
Zimbabwe,4.323385,5.279467106
