"Exports unit value (index, 2000=100)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,120.94,93.4,105.14,115.96,121.07,100,49.92,72.83,104.87,222.12,279.66,297.13,361.95,393.31,293.81
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,64.0692840647,66.4942263279,60.831408776,58.6743648961,59.1362586605,59.4041570439,38.129330254,43.7413394919,38.9330254042,47.2147806005,67.9307159353,61.4919168591,56.1062355658,50.1801385681,45.9399538106,50.74,63.85,66.53,50.34,56.84,100,86.91,85.48,111.9,145.6,208.8,247.89,273.08,359.93,205.14
American Samoa,,,,,,,,,,,,,,,,78.4,90.33,122.52,119.78,99.65,100,91.74,112.07,132.69,128.67,107.94,126.48,129.95,132.83,153.05
Angola,24.0087182588,23.6653257599,20.5663381187,23.0067759077,25.6668909732,29.050426035,16.9934260944,29.3155537824,31.4618260232,38.0521443153,49.0347456226,43.5478637647,48.3896014372,36.6191919664,38.0849696555,47.2,64.6,63.48,44.92,65.38,100,82.85,105.59,120.55,170.85,305.63,403.98,562.9,915.16,519.65
Antigua and Barbuda,,,,,,,,,,,,,,,,101.5,74.25,74.09,71.39,72.35,100,85.29,64.26,85.42,109.11,158.02,141.38,144.35,150.23,137.22
Argentina,30.4521468433,34.7101476785,28.9468888805,29.7486807638,30.7786340686,31.874644091,26.0134391253,24.1456284879,34.6790175012,36.3665008921,46.8945749972,45.4720777495,46.4481226985,49.7995520292,60.1313541627,79.58,90.39,100.34,100.35,88.49,100,100.77,97.37,112.24,131.26,153.19,176.79,211.76,267.98,212.84
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,13.7198480916,15.0890467575,17.6446684663,13.2399609246,16.146336106,14.8545945352,4.9946300268,7.1351857525,6.7954150024,53.39,68.78,68.5,46.16,55.06,100,96.02,58.96,81.31,107.92,138.03,145.32,106.64,146.83,57.28
Australia,31.56978,30.73436,31.10741,28.1632,32.60442,32.48613,32.63052,39.69968,49.73109,55.09213,59.23759,62.25864,62.95778,62.79278,71.08926,79.88346,90.22785,99.32533,87.28667,87.54524,100,102.9848,101.7576,101.5192,129.9328,182.1229,245.6617,281.3841,464.9132,356.0373
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,30.55,31.26,31.5,52.14,80.27,100,73.47,77.48,73.75,82.83,95.33,120.54,139.24,165.97,115.61
Bahrain,58.2145134343,70.175546211,61.1685324337,50.3540787254,51.7193843372,46.7608293852,35.5042413579,39.2177499415,38.9258993212,45.7004495597,60.7049290148,56.6693839337,55.9223238283,60.1037942195,58.3823921097,66.39,75.88,70.77,52.79,70.43,100,90.06,93.41,106.93,121.98,164.03,186.67,216.23,279.54,191.68
Bangladesh,11.8532403421,12.3552429456,12.0239968621,11.3217339124,14.5555439221,15.6079147764,13.7505801534,16.6754438466,20.1741788388,20.3912382387,26.1180746878,26.3915476538,32.7830015455,35.5974290416,41.5794548355,54.8,66.5,75.63,80.15,86.04,100,95.16,96.24,109.41,129.99,145.52,184.72,194.91,240.72,235.93
Barbados,83.602717092,71.7899761337,95.0071599045,118.5999632825,144.5511290619,130.9792546356,102.2008445016,59.2002937397,65.0255186341,68.9722783183,78.9715439692,76.1417293923,69.8134753075,68.6642188361,66.6487975032,87.71,103.04,103.89,92.36,96.86,100,95.23,88.67,91.7,102.17,131.98,162,171.02,166,138.98
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,66.83337,76.21291,93.57407,93.43913,91.4268,95.25197,95.35072,100,101.258,114.5647,135.8699,163.5655,178.8306,195.4882,229.6071,250.8278,196.6996
Belize,50.6449220967,54.4714293561,41.6585803475,35.5778209048,53.4571303026,52.8186162324,50.6952708764,47.0674124389,53.2099635658,57.0103810029,60.8584009228,55.7132133507,64.3137003607,62.4736813197,69.1105659203,65.54,70.44,72.96,71.71,77.81,100,77.52,77.52,94.04,97.71,95.41,122.13,116.49,137.38,116.57
Benin,16.008909526,8.5730741687,6.0779481586,16.9542214486,42.4723934667,38.2039251865,26.5022719801,29.0601928189,17.9683171547,55.557112967,73.3965529105,84.1002168766,85.4980644208,97.7410172049,101.3970829967,107,134.55,106.27,105.57,107.4,100,95.3,114.16,134.3,144.94,147.35,187.43,266.75,293.06,256.29
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,100.3,97.37,114.27,104.84,112.48,100,102.91,109.71,129.13,177.67,250.49,402.26,654.14,504.14,481.23
Bolivia,76.6327775519,74.2090280602,67.3200488003,61.4233428223,58.9263928426,50.7035380236,51.8747458316,46.3196421309,48.8165921106,66.838552257,75.3216754778,69.0178934526,57.7551850346,59.1703944693,83.9690931273,89.52,92.48,94.88,89.78,85.5,100,104.5,105.63,129.96,174.55,227.01,315.13,362.61,524.43,391.92
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,18.5913011426,14.6647991154,17.5026170291,23.7241061555,27.6809067453,30.9197935864,38.4268337634,69.8739402875,66.2838186509,68.336527829,65.7825285662,67.9424990785,64.3678584593,64.7685219314,68.1113158865,77.54,91.82,102.86,74.42,95.81,100,91.69,88.5,101.68,127.08,160.38,163.11,183.61,175.13,123.61
Brazil,36.5467563211,42.2850981019,36.624816649,39.7544911919,49.023701294,46.543924365,40.5714016004,47.6059078961,60.803549385,62.4166751383,57.0272448698,57.4022975151,64.9770538943,69.9907053749,79.0498787342,84.37,86.62,96.15,92.78,87.11,100,105.75,109.65,132.81,175.4,215.04,250.02,291.46,359.12,277.57
Brunei,108.744279136,95.8129553287,90.0545898884,79.9596464277,75.551858723,69.6510739141,42.6770441965,45.1455240446,40.5325960598,44.6973873249,52.5278898647,63.6600996914,56.9902682174,51.4360313316,52.4566816995,61.55,63.57,63.21,52.73,66.08,100,93.27,94.85,113.28,129.57,160.12,194.08,196.47,267.01,176.67
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,43.083923445,35.6053110048,26.8922009569,27.6933014354,37.701291866,33.7399043062,39.5106220096,74.2846889952,67.8392344498,45.2742105263,72.5473684211,50.6985645933,30.4190430622,33.223492823,51.0358851675,134.45,113.17,113.05,155.21,124.01,100,108.67,119.18,155.89,233.09,227.55,286.09,303,337.1,362.95
Burundi,130.718453822,149.7542115879,175.4537440002,159.8538263628,205.4147417073,224.3721350507,307.1445563714,179.4109474299,265.4115031776,155.770480202,149.5872873715,181.4722116159,145.8146001715,123.7600129541,241.5523352398,211.2,79.73,173.02,129.08,108.62,100,77,60.39,75.32,93.77,111.78,116.7,124.78,108.16,129.94
Cambodia,1.141943588,0.7137147425,0.856457691,1.0705721137,1.2846865365,1.427429485,1.4988009592,1.5701724335,2.283887176,3.140344867,6.1379467854,15.2021240151,18.913440676,20.2694986868,34.9720223821,61.55,46.32,52.97,57.72,81.35,100,107.9,138.4,152.45,201.34,209.45,265.74,294.25,338.84,297.48
