Male 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,7.699999809,7.699999809,6.699999809,5.599999905,6.699999809,9.800000191,11,11.10000038,9.699999809,8.5,8.399999619,8.399999619,7.900000095,7,6.400000095,7,6.5,5.900000095,5.400000095,4.900000095
Canada,7.099999905,11.10000038,12.19999981,11.30000019,10.5,9.5,8.399999619,7.400000095,7.300000191,8.100000381,10.69999981,11.89999962,11.80000019,10.80000019,9.699999809,9.899999619,9.199999809,8.5,7.800000191,6.900000095,7.5,8.100000381,7.900000095,7.400000095,7
Czech Rep.,,,,,,,,,,,,,3.400000095,3.599999905,3.400000095,3.299999952,3.900000095,5,7.300000191,7.400000095,6.800000191,5.900000095,6.199999809,7.099999905,7.300000191
Estonia,,,,,,,,,,,,,,,,,,,,14.30000019,13,10.69999981,10,10.39999962,9
Finland,5,5.400000095,5.599999905,5.099999905,5.300000191,5.900000095,5.699999809,4.900000095,3.099999905,3.599999905,7.800000191,13.30000019,17.79999924,17.79999924,15.39999962,14,12.10000038,10.69999981,9.600000381,9,8.600000381,9,9,8.600000381,8.100000381
France,5.300000191,6,6.5,7.900000095,8.399999619,8.5,8.399999619,7.800000191,7.099999905,6.699999809,7.300000191,8.199999809,9.899999619,10.39999962,9.600000381,10.39999962,10.60000038,9.899999619,9.300000191,7.900000095,7.199999809,8,8.899999619,9.100000381,9.100000381
Germany,,,,,,,,,,,4.5,5.300000191,6.599999905,7.199999809,7.199999809,8.300000191,9.199999809,8.699999809,8.199999809,7.699999809,8.199999809,8.899999619,10.39999962,11.5,11.30000019
"Hong Kong, China",,,,,3.299999952,2.900000095,1.700000048,1.299999952,1.100000024,1.299999952,1.899999976,1.899999976,2,2,3.299999952,3,2.299999952,5,7.099999905,5.5,6,8.399999619,9.300000191,7.800000191,6.5
Ireland,,,13.19999981,15,16.10000038,16.39999962,16.5,15.89999962,14.89999962,12.5,14.19999981,15,15.60000038,14.69999981,12.10000038,11.89999962,10.39999962,8,5.900000095,4.300000191,3.700000048,4.5,4.699999809,4.900000095,4.599999905
Japan,2.299999952,2.400000095,2.700000048,2.700000048,2.599999905,2.799999952,2.799999952,2.5,2.200000048,2.099999905,2,2.099999905,2.400000095,2.799999952,3.099999905,3.400000095,3.400000095,4.099999905,4.800000191,4.900000095,5.199999809,5.599999905,5.5,4.900000095,4.599999905
"Korea, Rep.",,,,,,,,,,,,2.799999952,3.200000048,2.799999952,2.299999952,2.400000095,2.799999952,7.800000191,7.099999905,4.900000095,4.5,3.599999905,3.700000048,3.900000095,4
Latvia,,,,,,,,,,,,,,,,21.10000038,15.30000019,14.5,15.10000038,15.39999962,14.30000019,12.89999962,10.69999981,10.60000038,9
Lithuania,,,,,,,,,,,,,,,,,,14.60000038,16.10000038,18.60000038,19.79999924,14.5,12.60000038,10.89999962,8.100000381
Netherlands,,,,,,,7.199999809,7.099999905,6.300000191,5.400000095,5.300000191,4.300000191,5.199999809,6,5.900000095,5.099999905,4.400000095,3.299999952,2.700000048,2.299999952,2.200000048,2.900000095,4.199999809,5.099999905,4.900000095
New Zealand,,,,,,3.5,3.900000095,5.5,7.199999809,8.100000381,10.69999981,10.69999981,10,8.5,6.199999809,6.099999905,6.599999905,7.5,7,6.099999905,5.300000191,5,4.300000191,3.5,3.400000095
