Male 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Norway,1.600000024,2.400000095,3.299999952,3.200000048,2.099999905,1.5,1.700000048,2.900000095,5.099999905,5.5,5.900000095,6.5,6.5,5.900000095,5.199999809,4.800000191,3.900000095,3.299999952,3.400000095,3.599999905,3.599999905,4.099999905,4.900000095,4.900000095,4.900000095
Philippines,,,,,,11,10,8.600000381,8.100000381,7.400000095,9.300000191,6.599999905,6.199999809,6.599999905,6.599999905,5.900000095,8.199999809,7.5,7.300000191,8.5,8.199999809,8.699999809,8.5,8.899999619,7.800000191
Poland,,,,,,,,,,,,,12.5,12.89999962,12,10.89999962,9.399999619,8.899999619,12.19999981,14.19999981,16.70000076,19,18.79999924,18.10000038,16.5
Portugal,,,,,,,,,,,,3.400000095,4.5,5.800000191,6.300000191,6.300000191,5.900000095,3.900000095,3.799999952,3.099999905,3.099999905,4.099999905,5.400000095,5.800000191,6.699999809
Romania,,,,,,,,,,,,,,8.199999809,8.100000381,6.699999809,6.199999809,7.099999905,8,8.399999619,7.699999809,9.399999619,7.900000095,9.300000191,8.100000381
Singapore,2.599999905,2.400000095,2.900000095,2.599999905,4,6,4.5,3.200000048,2.099999905,1.899999976,2,2.400000095,2.400000095,2.400000095,2.599999905,2.599999905,2.299999952,3.5,4.300000191,,4.099999905,5.300000191,5.199999809,5,
Slovak Republic,,,,,,,,,,,,,,,,,11,11.89999962,16,18.70000076,19.5,18.39999962,17.20000076,17.20000076,
Slovenia,,,,,,,,,,,,,9.800000191,9.600000381,7.800000191,7.5,7.099999905,7.599999905,7.300000191,7.099999905,5.300000191,5.800000191,6,5.900000095,6.199999809
Spain,12.89999962,14.39999962,15.60000038,18.39999962,19.5,18.89999962,16.70000076,14.80000019,12.69999981,11.69999981,12,13.89999962,18.70000076,19.60000038,18,17.39999962,15.80000019,13.60000038,10.89999962,9.600000381,7.5,8.199999809,8.399999619,8.199999809,7
Sweden,2.400000095,3,3.400000095,3,2.799999952,2.700000048,2.299999952,1.899999976,1.600000024,1.899999976,3.599999905,6.900000095,11.10000038,11.10000038,10.10000038,10.5,10.60000038,8.899999619,7.5,6.300000191,5.5,5.699999809,6.400000095,7,8
Switzerland,,,,,,,,,,,1.200000048,2.299999952,3.099999905,3.5,2.900000095,3.400000095,4.300000191,3.200000048,2.700000048,2.299999952,1.700000048,2.799999952,3.799999952,3.900000095,3.900000095
Turkey,,,,,,,,,,,,8.800000191,8.800000191,8.800000191,7.800000191,6.900000095,6.5,6.900000095,7.699999809,6.599999905,8.699999809,10.69999981,10.69999981,10.5,10.30000019
United Kingdom,,,,,,,,,,,,,,,,,,,,,5.300000191,5.699999809,5.5,5,5
United States,7.199999809,9.600000381,9.600000381,7.199999809,6.800000191,6.699999809,6,5.300000191,5,5.5,7,7.699999809,7,6,5.599999905,5.400000095,4.900000095,4.400000095,4.099999905,3.900000095,4.800000191,5.900000095,6.300000191,5.599999905,5.099999905
