Population policies aid (% of total),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Italy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.085915426,3.164763116,2.052642454,0.4553434764,0.1280277142,1.525323891,0.01561108203,-,-,0.003151790217,0.450951322,0.6618745997,0.2785649104,0.3316191666,2.112700034,0.5619975813,2.631844054,0.4210324865,0.7879351372,1.439946197,0.5379926458,2.257788828
Japan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.122261033,0.08939934373,0.1365096945,0.1144342413,0.08262770582,0.1244597122,0.1645885504,0.1285636757,0.2350584505,0.250143415,0.1387050221,0.2868016717,0.1905675149,0.2838081718,0.1596500793,0.2027511518,0.238604964,0.1195546089,0.05482934802,0.1167903443,0.295937402
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.718153382,-,-,-,-,4.037903967,6.450990481,9.382070136,9.738921333
Netherlands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.218722435,0.6141798779,1.339252059,0.4246592187,0.1508219336,0.851693406,0.5671520123,0.3417428887,4.573557425,0.2440697207,0.170427712,0.3389929742,0.0861082605,0.1993672258,2.788699942,4.443668064,5.034402558,2.960309714,3.851781377,3.851543198,5.061559508,5.106600184,4.242521502,1.754121006
New Zealand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4499550045,0.3107113655,-,-,-,-,-,0.03396450709,0.08174705127,0.4608825902,0.5253564919,0.5214017218,-,-,-,0.9649608479,1.345419847,1.189565808,0.6275758711,0.9982014388,2.822653839,5.302118997,5.505491411,4.070340332
Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.767465624,-,0.02041288461,0.05391639517,9.031811696,0.1746969475,0.6098346072,2.976648704,4.815094498,2.06590722,3.119963584,3.186816026,3.055094625,4.017078951,5.738400393,3.909181216,3.552912367,3.170072572,3.581459418,3.242880906
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4953861098,0.05631026959,0.02174291181,0.03630935571,0.01991635132,-,-,0.2027898974,0.0621385211,0.004812782751,0.1499013807
Spain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03510750343,0.02648928656,0.9868873189,0.2383693918,0.3519684778,0.2864031451,0.4425324575,1.185066276,0.8668429202,1.158321247,1.058876329,1.205765534,2.555581279,2.898915899,2.204628455
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.982389596,-,-,-,0.0398676983,0.01233384882,0.1569637386,0.3797366082,2.62631501,1.681437859,0.3170363989,0.117192449,0.1125386852,1.234613605,3.505101713,5.058319729,4.337608801,2.602002526,5.57172774,5.053225956,6.329569629,7.526836278,6.527826716,6.244301747
Switzerland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.583777198,-,0.03031352849,0.06840633362,-,-,-,0.2991336778,-,0.1271403671,2.015528825,0.2319198281,-,-,0.5291501698,0.8795008645,0.4653220099,0.525446868,0.296783862,0.2537817762,0.5727744021,0.3830428233,0.4249224159
United Kingdom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3844768081,0.8739743517,0.09089342638,0.1451712467,0.3687694371,1.708517071,2.430512546,2.869731472,3.013620512,2.823461171,3.062354449,6.354428583,5.85507129,5.624279677,5.142959623,5.45530113,5.850349637,6.747222991,10.21187161,8.861077604,8.432991266
United States,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.700504948,7.003800881,5.965148379,7.477627658,7.458461495,7.458256448,7.458522857,10.22737936,12.26740557,12.29495206,7.610341329,14.44691285,10.54260779,10.22167096,14.28524268,16.77854481,12.50478864,8.508562506,13.81071413,16.84245476,24.0480497
