Total 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,8.100000381,8,7.199999809,6.099999905,6.900000095,9.5,10.39999962,10.5,9.399999619,8.199999809,8.199999809,8.199999809,7.699999809,6.900000095,6.199999809,6.699999809,6.400000095,6,5.5,5.099999905
Canada,7.599999905,11,11.89999962,11.30000019,10.60000038,9.600000381,8.800000191,7.699999809,7.5,8.100000381,10.30000019,11.10000038,11.30000019,10.30000019,9.399999619,9.600000381,9.100000381,8.300000191,7.599999905,6.800000191,7.199999809,7.599999905,7.599999905,7.199999809,6.699999809
Czech Rep.,,,,,,,,,,,,,4.300000191,4.300000191,4,3.900000095,4.800000191,6.400000095,8.699999809,8.800000191,8.199999809,7.300000191,7.800000191,8.300000191,8.300000191
Estonia,,,,,,,,,,,,,,,,,,,,13.69999981,12.5,10.19999981,10,9.5,7.900000095
Finland,4.800000191,5.300000191,5.400000095,5,4.900000095,5.199999809,5,4.400000095,3.099999905,3.099999905,6.5,11.60000038,16.10000038,16.39999962,15.19999981,14.39999962,12.60000038,11.30000019,10.19999981,9.699999809,9.100000381,9,9,8.800000191,8.300000191
France,7.400000095,8.100000381,8.399999619,9.800000191,10.19999981,10.39999962,10.5,10,9.399999619,8.899999619,9.399999619,10.19999981,11.5,12.10000038,11.39999962,12,12.10000038,11.5,10.80000019,9.5,8.699999809,9,9.800000191,10,9.899999619
Germany,,,,,,,,,,,5.599999905,6.599999905,7.900000095,8.399999619,8.100000381,8.899999619,9.800000191,9.199999809,8.600000381,8.100000381,8.199999809,8.699999809,10,11,11.10000038
"Hong Kong, China",,,,,3,2.700000048,1.700000048,1.299999952,1.100000024,1.299999952,1.700000048,1.899999976,1.899999976,1.899999976,3.099999905,2.700000048,2.099999905,4.599999905,6.099999905,4.800000191,5.099999905,7.300000191,7.900000095,6.800000191,5.599999905
Ireland,,,13.60000038,15.39999962,16.79999924,17.10000038,16.89999962,16.29999924,15.10000038,12.89999962,14.69999981,15.10000038,15.69999981,14.69999981,12.19999981,11.89999962,10.30000019,7.800000191,5.699999809,4.300000191,3.599999905,4.199999809,4.400000095,4.400000095,4.300000191
Japan,2.200000048,2.299999952,2.599999905,2.700000048,2.599999905,2.799999952,2.799999952,2.5,2.200000048,2.099999905,2.099999905,2.200000048,2.5,2.900000095,3.200000048,3.400000095,3.400000095,4.099999905,4.699999809,4.699999809,5,5.400000095,5.199999809,4.699999809,4.400000095
"Korea, Rep.",,,,,,,,,,,,2.5,2.900000095,2.5,2,2,2.599999905,6.900000095,6.300000191,4.400000095,4,3.200000048,3.5,3.599999905,3.700000048
Latvia,,,,,,,,,,,,,,,,20.70000076,15.19999981,14.10000038,14.30000019,14.5,13.10000038,11.89999962,10.60000038,10.5,8.600000381
Lithuania,,,,,,,,,,,,,,,,,,13.19999981,14.5,16.29999924,17.29999924,13.69999981,12.39999962,11.30000019,8.199999809
Netherlands,,,,,,,9.600000381,9.199999809,8.300000191,7.5,7,5.5,6.199999809,6.800000191,7.099999905,6.400000095,5.400000095,4.199999809,3.400000095,2.900000095,2.799999952,3.200000048,4.400000095,5.099999905,5.199999809
New Zealand,,,,,,4,4,5.5,7.099999905,7.699999809,10.10000038,10.19999981,9.399999619,8.100000381,6.300000191,6.099999905,6.599999905,7.400000095,6.800000191,6,5.300000191,5.199999809,4.599999905,3.900000095,3.700000048
Norway,2,2.599999905,3.5,3.099999905,2.599999905,1.899999976,2.099999905,3.200000048,4.900000095,5.199999809,5.5,5.900000095,5.900000095,5.400000095,4.900000095,4.800000191,4.099999905,3.200000048,3.099999905,3.400000095,3.599999905,3.900000095,4.5,4.5,4.599999905
Philippines,,,,,,10.89999962,10.69999981,9.5,9.199999809,8.399999619,10.60000038,7.300000191,6.699999809,7,7.199999809,6.400000095,8.800000191,7.800000191,7.5,8.899999619,8.600000381,9.100000381,8.899999619,9.300000191,7.800000191
Poland,,,,,,,,,,,,,13.89999962,14.30000019,13.19999981,12.30000019,11.19999981,10.5,13.89999962,16,18.20000076,19.89999962,19.60000038,18.89999962,17.70000076
Portugal,,,,,,,,,,,,4.099999905,5.400000095,6.699999809,7.099999905,7.099999905,6.599999905,4.900000095,4.400000095,3.900000095,4,5,6.300000191,6.599999905,7.599999905
Romania,,,,,,,,,,,,,,8.800000191,8.699999809,7.300000191,6.5,6.900000095,7.5,7.800000191,7.199999809,8.899999619,7.400000095,8.399999619,7.5
Singapore,2.700000048,2.400000095,2.799999952,2.599999905,3.900000095,5.5,4.099999905,2.799999952,1.899999976,1.700000048,1.899999976,2.299999952,2.299999952,2.299999952,2.400000095,2.5,2.200000048,3.400000095,4.099999905,,3.799999952,5,5.099999905,4.800000191,
Slovak Republic,,,,,,,,,,,,,,,,,11.80000019,12.5,16.20000076,18.60000038,19.20000076,18.5,17.39999962,18.10000038,
Slovenia,,,,,,,,,,,,,9,9.100000381,7.400000095,7.199999809,7.099999905,7.699999809,7.400000095,7.199999809,5.800000191,5.900000095,6.5,6,6.5
Spain,13.80000019,15.60000038,17,19.70000076,21.10000038,20.79999924,20.10000038,19.10000038,16.89999962,15.89999962,16,18.10000038,22.60000038,24.10000038,22.89999962,22.10000038,20.60000038,18.60000038,15.60000038,13.89999962,10.60000038,11.5,11.5,11,9.199999809
Sweden,2.5,3.200000048,3.5,3.099999905,2.799999952,2.700000048,2.299999952,1.899999976,1.600000024,1.799999952,3.299999952,5.800000191,9.5,9.800000191,9.199999809,10,10.19999981,8.399999619,7.099999905,5.900000095,5.099999905,5.300000191,5.599999905,6.599999905,7.800000191
Switzerland,,,,,,,,,,,1.799999952,2.799999952,3.700000048,3.900000095,3.299999952,3.700000048,4.099999905,3.599999905,3.099999905,2.700000048,2.5,2.900000095,4.099999905,4.300000191,4.400000095
Turkey,,,,,,,,,,,8,8.5,8.899999619,8.600000381,7.599999905,6.599999905,6.800000191,6.900000095,7.699999809,6.5,8.399999619,10.30000019,10.5,10.30000019,10.30000019
United Kingdom,,,,,,,,,,,,,,,,,,,,,4.800000191,5.099999905,4.800000191,4.599999905,4.599999905
United States,7.5,9.5,9.399999619,7.400000095,7.099999905,6.900000095,6.099999905,5.400000095,5.199999809,5.5,6.699999809,7.400000095,6.800000191,6,5.599999905,5.400000095,4.900000095,4.5,4.199999809,4,4.699999809,5.800000191,6,5.5,5.099999905
