pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,1040.609016,981.9173847,929.6147891,995.2989085,1059.086472,1087.81782,1162.776371,1171.521331,1204.879248,1147.549062,1141.51765,1285.374326,1424.361623,1512.052378,1501.257066,1465.890154,1510.819773,1364.761225,1242.811631,1128.137625,1089.492842,969.8450071,902.0617023,600.9031287,431.8470381,619.0443429,570.3822708,527.1998243,490.5892594,453.9752842,427.411598,406.1702875,614.7942892,703.8568755,696.6011998,775.734064,799.4455125,894.2075646,894.0371751,1018.121511,1049.356133
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,2886.177799,2930.383472,2974.425473,3051.505718,3099.490618,3156.23543,3214.46069,3251.654487,3338.793031,3402.942192,3375.143664,3626.586729,3613.342983,3560.267403,3397.521692,3446.643652,3616.286492,3616.125438,3503.751397,3698.982311,3230.616293,2339.245643,2295.083197,2516.334297,2680.774727,2985.901631,3231.052239,3076.33435,2959.316211,3296.698134,3416.415578,3526.936631,3628.65636,4064.412687,4559.671027,4938.805347,5397.972202,5902.053388,6606.319782,6789.507472,6616.631137
Algeria,,,,,,,,,,,4073.276031,3898.51268,2481.648264,3015.75532,3198.685101,3383.34543,3093.694762,3363.61106,3612.463823,3793.563003,4050.207899,3454.165052,4234.729555,4189.91435,4004.199457,4084.10113,4217.259462,4409.063231,4752.366851,5168.972332,4867.890188,4764.416995,4972.913523,5064.669082,5201.522502,5208.539543,5216.770539,5172.374421,5016.982184,5030.590015,5002.348993,4902.001359,4840.259734,4641.318415,4487.264361,4568.667549,4730.198113,4699.634704,4887.762673,4964.239702,4990.691871,5066.097961,5253.006563,5552.084328,5762.474283,5988.778111,6003.40773,6109.958662,6178.589285,6179.046101,6260.207696
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,2366.505659,2445.13346,2390.349285,2527.378411,2623.65487,2532.307726,2382.285981,2311.794547,2141.954679,2095.849339,2049.940762,1994.560387,1869.478521,1904.238327,1972.247796,1979.594235,1819.352192,1920.926184,2010.230749,1988.849826,1938.661169,1866.03549,1978.67133,1613.516441,1736.749826,1921.761545,2576.114343,2192.374054,2396.158576,2404.482125,2331.818747,2191.448192,2485.730898,2458.157315,2598.929104,3055.026874,3598.646361,4465.243661,4965.336029,5166.696136,5108.190171
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,4593.211865,4886.085971,5195.064477,5568.941385,5772.180934,5426.076845,4842.943215,5396.62823,5400.077109,5633.812233,6566.325817,6708.56908,6661.287581,7669.341568,8413.648403,9019.404627,9742.578428,9945.692341,10832.25371,11534.67946,11671.67024,11705.92396,11537.38645,11939.40824,12856.56509,12602.14831,13223.10773,13328.97553,13704.41673,14264.62104,13899.35073,14118.63519,14768.15562,14217.78147,14955.63922,15007.77247,16044.35259,17671.22324,16789.6058,15211.89804,14472.06932
