Electricity generation per person (kilowatt-hours),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Lithuania,7687.756642,7931.367189,5055.566095,3823.525266,2717.116584,3767.44519,4576.759472,4055.538029,4815.403172,3699.65018,3126.379335,4042.244292,4877.475482,5383.285627,5342.167284,4110.612834,3480.821862,3917.728704,3929.647804
Malaysia,1443.245384,1582.38761,1740.604084,1897.759114,2088.494438,2377.835101,2635.079044,2865.48834,2891.692163,2929.271119,3059.565161,3251.602408,3323.92493,3638.428022,3854.227628,4017.21929,4134.814531,4228.225725,4210.938585
Mexico,1442.041381,1466.179737,1476.580174,1504.482366,1598.317964,1642.414085,1721.699645,1826.463667,1867.977214,1949.635308,2045.23079,2070.60042,2089.19938,2091.988568,2115.185392,2194.648107,2279.395837,2333.844715,2335.046755
Netherlands,4806.604818,4928.376195,5087.699921,5040.411937,5177.868598,5242.752888,5477.141044,5547.963711,5786.260358,5485.399995,5624.077618,5851.12045,5972.276579,5960.890199,6277.653557,6120.618929,5993.101521,6346.41579,6464.222091
New Zealand,9568.687262,9818.178821,9520.099928,9810.475269,9929.004416,10094.84042,10052.44118,10106.50438,10019.33866,10015.61698,10280.45726,10271.31858,10396.72859,10330.91076,10643.32692,10646.8629,10695.43735,10631.73826,10525.37954
Norway,28724.14608,26047.85424,27413.95549,27851.57761,26169.58114,28261.10246,23909.69573,25339.15371,26390.80582,27481.4339,31827.97614,27002.15605,28794.48345,23548.75532,24177.66321,30061.26464,26386.47941,29755.99934,30717.69595
Pakistan,401.3406427,426.8456615,446.2166178,465.4515273,461.5673301,495.3753891,511.2880738,460.8938628,477.6423511,458.3838502,441.7704882,499.6914719,532.1716077,541.1476225,556.9098022,536.3072833,580.3614832,583.6157613,550.5732035
Peru,641.8909229,659.2532766,585.0083518,646.6374416,678.7601133,676.9998039,710.9595477,725.4449449,738.1598387,744.6522487,766.8480825,788.0449649,821.1715779,844.0447207,881.0169652,913.4978093,967.0488612,1044.228553,1123.457656
Philippines,409.324775,389.8686026,385.051798,387.3870993,434.4344569,467.8639032,500.2040101,530.5347922,542.9625979,530.2690696,567.9721519,578.2124121,583.9743191,625.6324305,648.8392732,643.8580358,634.6816741,654.5187046,643.2369595
Poland,3577.285356,3521.585711,3459.097967,3479.980345,3511.179846,3601.131815,3706.27972,3693.420226,3692.153945,3675.831339,3755.947225,3769.184172,3731.32319,3927.973925,3995.780764,4070.129808,4197.071641,4136.949037,4015.693638
Portugal,2872.205306,3011.490362,3030.617425,3130.570419,3129.335496,3304.640395,3417.948542,3368.117589,3812.680272,4209.413227,4234.298222,4477.72273,4418.975247,4470.629883,4285.858851,4408.864785,4623.948813,4457.552479,4319.039872
Qatar,10056.55514,9254.138992,9790.347167,9981.903312,9993.713356,9806.863663,10327.48187,10354.60398,11773.4922,12427.25627,12268.91682,12937.62481,13789.7827,14701.63466,15748.13457,16680.3584,17309.36264,19290.6091,21220.39337
Romania,2788.819793,2493.43291,2377.283669,2436.520079,2424.766961,2611.705988,2711.295189,2532.880061,2375.929036,2255.863486,2313.165096,2401.725269,2451.980614,2531.023639,2526.53133,2660.683439,2811.076908,2768.578064,2905.398523
Russia,7313.439642,7201.627228,6792.377308,6442.379102,5903.820844,5805.582093,5710.668951,5632.187408,5588.29234,5742.025337,5982.344356,6104.000708,6135.420538,6308.209613,6472.693807,6645.502347,6969.874215,7124.918658,7305.190256
Saudi Arabia,4365.671091,4573.471949,4699.083676,4868.730954,5071.145235,5001.102319,5012.256346,5053.707864,5159.139901,5337.214081,5450.287629,5608.771322,5784.822417,6081.895707,6179.81017,6623.236275,6653.730194,6735.07279,6878.276047
Singapore,5125.529192,5277.977063,5421.425183,5697.452702,6031.5422,6225.750565,6387.850177,6887.393949,7243.641229,7439.979253,7844.175752,8030.866253,8257.944207,8261.106232,8454.502672,8634.301311,8780.227731,9035.277549,9052.796915
Slovak Republic,4564.079918,4303.990639,4196.76976,4588.831908,4628.396278,4831.585532,4701.304067,4505.100306,4638.015849,5141.649735,5682.070692,5929.304616,5993.842573,5756.215468,5635.95877,5791.363973,5775.953736,5150.250518,5405.279569
South Africa,4307.90016,4295.567375,4199.162555,4295.857437,4427.168203,4503.15539,4728.968125,4910.983435,4739.26114,4642.794541,4780.761998,4743.090642,4899.713105,5265.7147,5503.159051,5523.165453,5743.64273,6051.07143,6250.5888
Spain,3856.112698,4039.185819,4073.509211,4060.050389,4143.93994,4249.162541,4434.497998,4613.648495,4912.665903,5228.934618,5617.216738,5922.528103,6130.724009,6574.589967,6951.37979,7289.696144,7501.663084,7575.122457,7658.478488
Sweden,17034.19967,17003.01057,16796.21905,16646.17088,16180.16342,16627.48694,15708.7634,16791.79565,17324.43834,17414.43962,16333.93545,18090.66417,16386.88098,15073.39883,16430.04985,17597.97569,15892.91569,16449.51306,16500.78289
Switzerland,8162.505891,8353.367833,8452.068896,8680.244895,9340.462406,8813.618242,7921.989956,8717.971031,8723.230246,9615.35138,9268.163128,9835.818481,9054.088582,9042.267213,8797.499674,7980.911612,8523.490703,9004.510218,9115.673374
Taiwan,4448.009826,4839.506881,5101.194871,5516.56485,5910.268902,6254.666614,6618.669093,6943.859763,7463.631071,7705.608849,8345.177292,8452.31957,8854.096547,9248.816529,9598.793627,9930.685534,10209.45962,10471.68902,10199.04009
Thailand,836.5714181,938.439868,1053.503801,1155.125568,1280.812255,1421.440246,1531.280384,1620.032935,1549.303733,1535.426097,1551.446126,1643.074146,1735.689292,1848.919113,1972.762673,2059.608414,2146.659076,2222.227038,2252.719049
Turkey,1026.002988,1054.441959,1157.493826,1246.493351,1300.583338,1409.518419,1526.882595,1617.824056,1734.285694,1798.746613,1902.349954,1845.65608,1968.267865,2074.307759,2171.570501,2325.318693,2502.870241,2679.772706,2769.108737
Turkmenistan,3983.544498,3962.087345,3403.990828,3212.461207,2611.704097,2389.079663,2413.764095,2202.916756,2091.846305,2029.804293,2178.932281,2423.073815,2388.587839,2261.522457,2349.291172,2588.810643,2706.765128,2843.604941,2931.111297
Ukraine,5782.387545,5393.351737,4869.950629,4430.907621,3929.732535,3785.919555,3576.067473,3494.148473,3442.213407,3455.43584,3448.447616,3533.255323,3615.02413,3765.688911,3851.218183,3936.441157,4113.06452,4202.146662,4151.762326
United Arab Emirates,8755.930924,8669.393922,9121.671254,10380.27738,11112.90063,11478.74672,11993.37773,12626.72639,14564.68422,15928.02508,16860.03394,17932.59286,19045.8747,19937.07386,20768.13205,23680.44469,25653.23184,27211.80852,28787.65683
United Kingdom,5561.325599,5599.08754,5548.008567,5568.139753,5609.75562,5775.235668,5985.585171,5962.886238,6143.779017,6208.996224,6334.918774,6442.818251,6463.533419,6626.363799,6535.994235,6590.823911,6564.272561,6518.040817,6399.50714
United States,12734.98933,12715.51214,12594.39932,12885.55634,12934.3948,13193.29749,13389.4424,13413.89979,13751.8137,13876.67872,14133.72299,13767.55491,14079.35898,14038.01456,14224.31338,14395.93513,14295.24069,14494.90193,14205.68429
Uzbekistan,2731.031838,2562.550672,2361.845785,2209.411241,2092.39798,2074.662917,1956.053967,1949.435293,1914.298803,1859.352502,1890.487531,1851.555615,1928.770074,1874.400033,1879.069228,1776.680703,1805.352404,1763.819148,1772.259099
Venezuela,3069.615449,3198.657934,3327.812802,3351.066232,3369.820919,3407.233898,3440.728727,3489.077114,3552.703775,3479.161813,3619.431271,3767.935607,3680.670068,3652.866266,3872.087041,4112.569236,4332.546263,4391.001885,4512.425822
