"Foreign direct investment, net outflows (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1822493007,0.04848721794,0.1162871888,0.1393291802,0.6494808814,0.3256561995,0.001585638856,
Algeria,,,,,,,,,,,,,,,,,,0.02644729806,0.0009563983949,0.04683995519,0.07938565084,0.03291529814,0.0250482148,0.02995292966,0.02727965749,0.00411946431,-0.008346683213,0.02255294636,0.008297614604,0.01464767301,0.007557089959,0.1100066656,,,,,,,,,,,,,,-0.01954287264,0.02901783491,0.2172255337,0.1859765825,0.1556617999,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008771764511,,,,,,,,,,,,0.251055429,0.1693146011,0.1782028309,0.7161120516,0.4219916167,1.508283552,3.052612713,0.008945400793,1.578145206,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,-0.001761152495,-0.03959859411,-0.08519569073,-0.1429278202,-0.1359993573,-0.03558402833,0.00192346334,,,,,,,,,0.5096238507,0.2978075555,0.3934292143,0.580218619,0.5881868175,1.247296274,0.7778858471,0.6102795401,0.3170360047,0.05987296396,-0.6146001035,0.5970658154,0.4414499362,0.7156698527,1.13923153,0.5768445298,0.4257787942,0.2317135233,0.2616399044,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01282480142,0.06290863984,0.1371906707,0.04823543863,-0.02324500869,0.08754712259,0.6096099355,0.08803580427,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0242914962,-0.1094091829,0.08386447502,-0.2464331984,-0.01803426437,-0.2706678326,-0.3215434075,,,,,,,,,
Australia,0.09537893754,0.118362235,0.08359742756,0.08245694698,0.09330548238,0.1751921661,0.1219570927,0.1751142262,0.1798464677,0.2905445128,0.2685918836,0.2284781602,0.2451831852,0.4017600765,0.27246938,0.1628421874,0.2506850856,0.2394792131,0.1975230898,0.2521716015,0.3047194164,0.4105779441,0.3560588884,0.2916892284,0.7209792019,1.031867303,1.813436867,2.686309491,2.441578249,0.9566822619,0.3224765768,0.3675592238,1.565902184,0.6165429536,0.8644064624,0.8808250457,1.747167554,1.455057918,0.8339372192,-0.1081507552,0.7856336235,3.145434426,1.962279773,3.675468081,1.796177223,-4.873190975,3.191907215,2.32960294,3.589952302,1.70102012,2.167370691,
Austria,,,,,,,,0.01727200484,0.1344849539,0.09146183579,0.05670466432,0.2037498068,0.1751967206,0.1322846351,0.05646648372,0.06496046441,0.1317939378,0.1683478946,0.1459066947,0.1156039918,0.1236279179,0.2992108622,0.1970730762,0.2638249861,0.1043190637,0.1067562462,0.3223752283,0.2546767894,0.2345591754,0.6575223027,1.031693296,0.7512550043,0.8765724055,0.6315437311,0.6244166663,0.4757792798,0.8183785306,0.9549972793,1.304397987,1.558146049,2.914683251,1.634005036,2.767665868,2.812976091,2.890772354,26.83487369,2.632863965,19.0864408,7.131380195,3.119057617,-5.375686804,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001009410185,0.0004498024697,,0.01441409402,,5.221499313,12.82684168,13.87955009,9.216535426,3.362314827,0.8642824527,1.137299409,0.7363129958,0.4480550214,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01306335728,-0.003158559697,-0.04178505766,0.009649404953,0.003234152652,-0.003068425898,0.002916302129,-0.008312551953,0.008062697146,0.0186792849,0.003322274589,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5910462574,1.08313647,1.113972197,0.7466884959,3.568357796,-0.2748257893,4.995559015,0.7504178089,2.924094512,2.467102276,0.1198479331,2.723640292,2.237970507,7.605509404,9.217413826,8.435034284,6.181373181,9.035566012,7.398469025,-8.698703885,,
