"Total GNI, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belize,,,,,,,,,,,,,,,,,,,,230632333.1,255545726.1,265573438.4,269773765.6,280978067,291730155.9,321061968.1,365067330.8,411581389.8,479921884.2,561315676.4,636214787,721587095,781458320.8,796836198.5,823202138.1,847460530.9,895811983.2,935903832.6,1017242157,1160612586,1222070976,1312389177,1456595352,1530495168,1637747574,1767911230,1799949066,1911325676,2021413351,2028931037,2164586795
Benin,,,,,,,,,,,,,,,,,,,,1950957913,2345237639,2537990603,2504881369,2759567087,3082509901,3222844213,3271359880,3511250845,3502953587,3769400947,4101067122,4303683543,4595834361,4871699521,5222279211,5616373175,6120139475,6541151387,6943202229,7513316746,8039008413,8534388444,9029815537,9587385049,10229954474,10806614589,11657036807,12775199777,13490573399,14024013138,14850087113
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,183805527.7,208728257.2,229897317.6,263302419.5,281483447,335098607.3,435770307,510473970.5,664523342.4,716801943.6,754157163.4,767973871.2,840140317.1,929343081.6,941813773.5,1050691537,1168137270,1156561547,1178595364,1340620384,1497689369,1646185885,1776133605,1992613870,1996665792,2567439897,2807161341,2803967778,3205529088,3606387530,4047913128
Bolivia,,,,,,,,,,,,,,,,,,,,9666784434,11323147955,10058754512,10419413631,10374494732,10396827521,10375287565,11158090088,11924357079,12892492848,14050983991,15360368532,16137858910,17159926195,18407837843,19685899838,21140210809,22556449391,24163348894,24507334132,25581681000,26627285699,27733486477,28743645261,30576889245,33141749560,36028315803,38659901153,42168169838,43742744045,45837159601,49662380889
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170338536,3926720203,7984737038,11146543804,16670219747,17899594153,18487603564,19498500598,20537600004,21549303256,23216269932,24999561036,27988301305,30804663711,33972904813,33522209341,33368909256,34533276119
Botswana,,,,,,,,,,,,,,,,,,,,1560608232,2015638191,2383250204,2633800764,2787873332,3096059176,3450779451,3797930065,4979462816,5718440595,6743257300,7830570874,8319117065,9031179529,8458704075,9464517972,9696700683,11173553028,13185716077,13126049326,13936849789,15381838991,15437718273,17246023348,18646697906,19885510141,21882037174,23828348572,25407776655,25554504204,27375653354,29568428972
Brazil,,,,,,,,,,,,,,,,,,,,405324339076,435266416493,470753014633,466335028354,508514714840,566627582328,631253832146,678045574388,699340395965,822723935319,754843503469,795693989536,811593620415,863229813877,935068831087,1001422653897,1040962314203,1092300570976,1104537323434,1111675994489,1189808981749,1223689729643,1276354277694,1321915385639,1440154387693,1537249095460,1656326231904,1815822822992,1945823980630,1967872211653,2144299854271,2261060112142
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8745593846,9176167161,9786493353,10468136407,10730220537,11293070455,12073348426,12640797387,12694929813,12801375936,13385528833,14064818063,14778374983,15599884044,16391047401,16936858200,17566847030,18931013114,19609357097,19628794491,19508063793,,
