"Total GNI, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guatemala,,,,,,,,,,,,,,,,,,,,12937178018,14179926974,14467738313,14661948935,15143228678,15579449755,15753980547,16864633521,18183749078,19635270837,21032270069,22753171566,24371181460,25915956074,27466861558,29499699596,30791722029,32795282345,35113149139,36885279065,39013371069,41160578154,43027818738,45019481518,47585588662,50731582394,54921934962,59941845799,63325997123,63974329263,66604567113,70791246221
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,1806654869,1958632866,2168024175,2302976352,2531266743,2687997940,2870683016,3138018422,3341896970,3572576799,3819860724,4040711477,4280842754,4601250616,4785682214,5008232960,5387690519,5444412377,5704437514,7910987532,8232339135,8811238968,9220707037,9365374093,9834236247,10748570352
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,341583273.1,461330786.6,508025721.2,516365737.1,585700451.8,697662628.8,634070248.5,643547512.2,687038683.8,758883903.6,848212765.4,900085558.8,935578500.8,971042117.2,1027754794,1084910098,1235082057,1360938219,978031216.7,1075039008,1188440070,1188305984,1167564299,1205265378,1275210166,1362777976,1451892963,1547939556,1616260945,1688847865,1787542855,1934966635
Guyana,,,,,,,,,,,,,,,,,,,,710381590.5,754722416.4,680760331.1,648703359.3,620737666.7,667539906.3,658062084.6,612540728,636029063,548986226.4,568006622,638200906,755020277.5,923472091.7,1076820759,1185807545,1315473087,1387810457,1390192328,1477627226,1502441200,1551001094,1607466374,1639127907,1606586075,1845806162,1992164408,2215517811,2339687875,2441442068,2613641033,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9284485527,9733916666,8763509774,11013648705,11102220093,11542275319,11168826632,12006564670
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,4622131094,5215609660,5349855026,5628976666,6092587473,6553625576,6718991301,7273750535,7924436056,8614703859,8610378869,9156115107,9778836789,11065156899,11179465954,11736915665,12414810736,13548456813,14217054771,14296888844,15583353047,15926053569,16780923772,17997608990,19524324510,21475703571,23573920760,26226000958,27780620264,27480576273,28525312546,29784642013
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162807614852,177282621923,184977512933,188155501877,201568214539,223692560869,243370362539,273514291758,302062998935,322678438553,310402059787,334078932383,364102552863
Hungary,,,,,,,,,,,,,,,,,,,,53884926784,59460267501,64117690589,67944711576,71953151046,73939414313,76778956894,82434393571,85345176686,88325469568,88820605551,79596458210,79542716901,84226164220,88161850330,89886816650,92263457780,96866143253,103225318376,106809687558,115324361120,129585385365,141269717749,148198683315,155058681737,161981831236,174360259411,177092652759,191948847764,193086665059,195554194761,202035157245
Iceland,,,,,,,,,,,,,,,,,,,,2686312909,3042310982,3277510545,3308109109,3552902142,3803843553,4161333670,4698306398,4844850008,4989660460,5251881960,5465688408,5428365284,5610179644,5893801438,6040347330,6355165548,6913843953,7457153455,7780803812,7886740815,8403920705,8923890989,8763230316,9468728233,9979827190,10268348652,11004024141,9903629398,9418941841,9338397997,9812596854
India,,,,,,,,,,,,,,,,,,,,294613387259,340870965718,372917773646,415550780036,446989429441,485142858861,519349569959,554902422465,627496429482,689056547654,753655073455,785840711051,846314038069,907319802905,988481841037,1089768326623,1194934412603,1268343596025,1365838525172,1504109345780,1593206503285,1713230527593,1812642671665,1996443482039,2214557101567,2500080158148,2817915403695,3195443115983,3387278124900,3705239226881,4087748407285,4491066551322
Indonesia,,,,,,,,,,,,,,,,,,,,91344858644,108965859785,115006414406,130686297566,142677010363,153135777726,166172704988,179661559576,199147770506,225721265372,255199806076,260901368877,288895885008,347624876878,385908993863,426901888596,468923048312,499170225471,427440477406,427976281704,452326502478,470450363648,492433381548,575012655904,616113542270,670844893055,735230241865,805791583321,878228582430,929169912648,1005225271358,1098924981964
Iran,,,,,,,,,,,,,,,,,,,,132919349827,137854790968,164505143239,192474573924,196504488909,206242937115,191690271088,194442499428,188760821255,208210290453,245486186582,286642902171,305189485511,302036708586,306025867567,324763758442,354196367727,375108998351,391911795914,404387803256,435123879243,462096477728,495138834468,540201433232,584748846115,631733000466,692100952633,772100131690,809934760049,833429516705,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62683243017,73706162204,83289882255,88831474801,101795281772,108904319317,110729424121,124321546219
Ireland,,,,,,,,,,,,,,,,,,,,21250978801,23861564774,25218746786,25849232758,27386063010,28750204873,29491308510,31846836551,34247909606,37165990344,42335602444,44865587430,46863934423,49399560338,53580888117,58956472699,65215873862,71962154200,79897579848,84759626179,95002854581,100704231775,108738656873,118964575746,128372936845,139578752883,158878503662,171844769660,163931394991,147757731772,150169388489,149118965096
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,27952698027,32672412224,34100886132,36631207965,38321285212,40523884888,43055355389,47376342790,51369818411,54675698832,60791316633,67118568120,73439235214,78253383630,85636136745,94661899352,104262190666,109834719719,114398093637,118321686102,135061486077,143427834610,148342476954,142789036462,156692659399,160052733866,168153582767,183259475618,183293634439,185690610406,196372676294,210599676916
Italy,,,,,,,,,,,,,,,,,,,,521220363511,570549379915,607183870478,639458411657,684752164923,724493809187,759790652513,808705298675,872085444961,933680231406,983048599516,1032025612910,1066444272477,1082551060272,1127291380181,1187512668284,1230110579274,1282231063435,1346656064222,1378794861088,1455575262823,1543655030756,1529461117364,1560030676597,1595877564014,1657879368498,1797173478998,1902296952746,1974941038176,1932259880856,1920405954399,1987729652990
Jamaica,,,,,,,,,,,,,,,,,,,,4890095485,5641828624,6124442625,6322764560,6203833427,6138827795,6597431873,7276550060,7970743723,8956607838,9531737454,10247194961,10879196243,12774090190,13073744770,13788649727,14337968768,14483530709,14095933450,14417740704,14835324033,15199756031,15380984198,16526988769,17289369700,17957688916,19377154387,19979660376,20298124626,19844082977,20194806756,21051986734
Japan,,,,,,,,,,,,,,,,,,,,996850891828,1134079312333,1246456289473,1336586578087,1449724545543,1591380749598,1672558854805,1796146132620,1991431405695,2179641415145,2389174829023,2556810588290,2643571197821,2707050035909,2785327606515,2896451002084,3038931256070,3148252292958,3120576307515,3159013405661,3343127667301,3438587431970,3527675230504,3630190969843,3817449779755,3979979312516,4178042294744,4406655872233,4430798872146,4205289687551,4436507264629,4541095028924
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,4142976418,4779537973,5443697149,5714281539,6308315358,6687755253,7265194837,7619227111,7601206371,6853680653,7135248998,7250709870,8986327513,9713848789,10458720813,11473050341,11888310344,12716996821,13439217357,14076950207,15462956918,16747799045,17828082466,19052765026,21502294183,24083501673,26963434785,30300726778,32945926419,34769505596,35109703937,36898591838
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68976642456,61351859283,57481013388,58594630921,60509749868,60215676643,61484351479,66483592185,78223411746,88215730812,97327863897,108542025464,119386957297,132998884226,147874581587,152345652668,162259542691,173284825554,187329459210
Kenya,,,,,,,,,,,,,,,,,,,,10352869052,11741182785,12536558321,13309048941,14035702672,15067690622,16527669049,17984325359,19690780993,21596582204,23037844354,24083625467,24461895277,24576876710,26065108198,28295423271,30507868994,31422755136,33043052111,34155543383,35217331115,37333911024,38229092987,40102203156,43436935823,47935525344,52465786636,57638728248,60040804542,62301004850,66273699803,71728066834
Kiribati,,,,,,,,,,,,,,,,,,,,79374856.45,80496117.17,104612615.9,121327580.7,106945891.6,115249798.2,124815000.5,126789678.1,149061786.6,146160488.2,171385090.3,158823480.8,163427090.8,164815746.1,177107563.9,189240545.7,176046524.7,224034758.5,265716671.4,253801456.3,283048472.5,299490885.5,297635442.3,299100441,314651376.5,324118719.9,339359774.6,340570528.9,354082794.8,324648495.2,350131065.7,351817751.2
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,89063637325,103408464785,118482033964,138685163373,157459843036,173801274685,199533586858,232031278262,269525468448,299989661520,341007175494,387498002451,419073491607,454000202568,503458665864,560148795023,611362851789,654905754434,615277412328,693284108872,804280007668,857579966616,936636428432,966622932706,1041869971520,1095709390430,1174646227991,1270816944381,1316140841093,1330400799923,1424679225271,1510113651618
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,30734951530,30399661526,27612947989,30817792106,33351829635,32542136026,42188814112,41068055153,41053711167,53523878822,,,42858119667,53850355118,57921114596,65017569968,65716482041,71139916048,75973803445,72224703527,77774866062,77589778169,77418864442,91298353432,105087746809,120261161261,132885889993,142738102604,148274109487,141144145557,147286887192,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,5838403751,6839226940,7294662982,8003095800,7616325412,6704628877,5776177662,4661413611,4473504410,4874026500,5376886755,5501530039,5718559061,6155173200,6778530700,6907164715,7577305498,8220197849,8567961594,9297017990,10419269741,11295325730,11679033583,11272142947,12628803814
Lao,,,,,,,,,,,,,,,,,,,,,,,,1823570067,1974538972,2117304745,2148267448,2178389633,2581157226,2858668659,3082815015,3322759638,3596374544,3964343336,4332105671,4712692411,5027757955,5275598417,5822321809,6131995330,6644690983,7170431863,7608792881,8452616495,9519318683,10332758332,11684997553,12717958516,14087634434,14877908528,16327890711
Latvia,,,,,,,,,,,,,,,,,,,,10652087421,12143436983,13186100624,14423149934,15839520734,16229983791,17384067250,18317744852,19933937294,21835564249,20865301638,18866493312,13092745803,12741588413,13272610971,13481360902,14299430289,15802433573,16839238286,17556181676,19032490281,21045781442,23143049203,24610850100,26547922716,29620207985,33294941680,37843913737,40591862631,38812763497,37229924682,39557878380
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11662830983,14893957703,18921066205,19440103130,21014610090,23207996379,25494125462,26942139039,26599998171,27623255300,27996391936,29176709877,30323834155,30540928223,27949805761,35865651974,38552594750,40710012859,45987280478,50613063997,54346779059,58435378554,59623069442
Lesotho,,,,,,,,,,,,,,,,,,,,838957279.8,957723813.3,1158030079,1199414886,1370321754,1398732854,1433201545,1471648254,1553029712,1635631827,1759873111,1816970591,1882961603,1900710601,2015427527,2052763009,2168955681,2260206693,2318525477,2331607716,2502706746,2572977670,2636430780,2837436365,2939465444,3406536508,3517604795,3667322676,4133534568,4276854133,4305581050,4536523442
Liberia,,,,,,,,,,,,,,,,,,,,1260992256,1339705234,1316960376,1205239961,1266001042,1289992688,1211154098,1130555665,1148251047,802226639.6,,,,,,,,366188628.8,484103766.3,512038539.4,844117899.6,767752510.9,1028609708,641445252.7,642424910.2,800726082.2,933162082.1,1174677604,1362409848,1601137914,1749588470,2141990813
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58273002687,67838450638,70691521890,80348150611,90080557410,99462762258,102696436774,104919854432,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34525449699,33672607721,27123222877,23202634502,21365563242,22517207933,23782708858,25673440733,27790467984,27585352597,29639244402,32758139127,36204759112,40460394259,43337486269,47962798500,53676118897,59437057612,63989733944,57976990716,59199420852,63073602607
Luxembourg,,,,,,,,,,,,,,,,,,,,3972599197,4490773670,5280098947,5794317921,6306519207,6731544088,7382396466,7988464508,8793432095,9918471587,11020736518,12489765210,12950480028,13530257960,13815725203,14750282637,15527252078,16508591845,16906393679,18981278455,20400814669,21137319235,21295233762,21256052499,25997709969,27292893941,28220500309,32636803903,32805150873,27729282046,31065583764,33297469177
"Macao, China",,,,,,,,,,,,,,,,,,,,,,2758364428,3163496208,3536127081,3667670754,4039571036,4706070264,5228173278,5657707312,6247835161,6712242386,7683970758,8201024424,8715887790,9090772875,9115421247,9288982293,8998683166,8785990225,9295905383,9176390399,10641149725,12033562999,15132875592,16782396760,19026278253,24871246376,23562245219,24620257525,31022652182,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10502424952,10252398656,9536011982,9099523131,9200375064,9355635006,9607569034,9904258618,10400355950,10900205720,11707563344,11668402338,12062399563,12873138609,14173423144,15736820866,17834104860,18537396650,21753294378,22899869867,22866139982,23715131539
Madagascar,,,,,,,,,,,,,,,,,,,,5273030138,5149601037,5345180915,5572562811,5761711552,6042294806,6276410200,6430091951,6809994373,7312602292,8105781303,7664636415,8076504191,8468441191,8548209471,8889884672,9344366434,10017255467,10622720354,11378034801,12092947301,13178944372,11659000287,13091292982,14115166970,15295582802,16599135113,18276758332,20053949001,19234749817,19763121630,20335857593
Malawi,,,,,,,,,,,,,,,,,,,,1885756023,1982555170,2173455595,2347039369,2597902565,2797898735,2840801499,2981413582,3213653343,3406405434,3768976171,4245609311,4014858845,4507355843,4059172060,4861771447,5402302374,5724692812,5981008067,6254467340,6508138300,6334506674,6565780777,7072177079,7671807092,8143295168,9078611384,9944839715,11018968762,12026045326,12826820020,13369216025
Malaysia,,,,,,,,,,,,,,,,,,,,31009168389,36310269550,40335003620,43761785687,48699253210,49430718201,51356862256,55987645138,64128627577,72489424601,83196403679,93468242051,103608698050,116987789634,130345612204,146719318522,164275587341,178373708620,167475759482,177163888607,194857074727,202146218583,218202219547,238615561898,262613761766,287500409408,319308190364,352860740981,374431400669,375868097560,402101107862,438252051391
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620930900.2,690381297.8,772476711.2,861715176.4,937029219.6,1007831885,1066286067,1149061253,1362586573,1544633360,1487787904,1836863887,2090091721,2400953653,2317220431,2475261352,2732685061
Mali,,,,,,,,,,,,,,,,,,,,2566868879,2648052466,2689504811,2920484158,3184568903,2899550547,3231194415,3322758310,3478780625,,4138501053,4372131114,4829222082,4845863206,4919817420,5314240947,5583334095,6060633175,6529323641,7087142269,7509708517,8167121484,8564037972,9751534187,10209070992,11201466040,11929611320,13597001647,14070449543,14625699053,15759774617,16566025538
Malta,,,,,,,,,,,,,,,,,,,,1885962828,2163768254,2387020594,2401193132,2550378748,2654154251,2749400340,2949132077,3280117567,3705302061,4171267946,4526035764,4774872803,5049920570,5344562817,5768792132,5481608194,5861599282,6042453854,6524164762,7080641073,7241902258,7702365924,7807526853,7902810979,8104080977,8700362032,9238323735,10026955208,9714785123,10054956346,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,1371687730,1504105523,1569740550,1659955734,1712350319,1773518673,1894270504,1991415601,2119860567,2338950950,2393528881,2560501296,2663726057,2853750280,2858577494,3229167824,3643835351,3554012755,3785949816,4144151047,4185040343,4223189687,4852980759,4971278608,5398795925,6041944268,7015726749,7508787010,8034050097,8089658991,8301115328,8548791743
Mauritius,,,,,,,,,,,,,,,,,,,,1684787322,1912414110,2134896570,2238222268,2417318834,2668466754,3009835075,3425786724,3790972612,4157657981,4627679458,5050535176,5500540693,5893182359,6211679402,6643452125,7101481562,7694279672,8258169587,8605561717,9575595970,10140585833,10520924291,11045500238,12045965590,12612067197,13657590603,15187334630,16041554570,16502663087,17675940433,18983704424
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,257581892029,304137893681,310357541395,311863392300,336611171822,359763655846,350535531580,371255822385,418506897234,453689972910,497378573682,539781946587,573233937065,596042208927,635168527282,598395468933,644179662381,707187949612,750657845759,794832795229,878098259031,900336374403,937620218882,1089076335175,1171560096708,1274145083946,1416014648245,1506298062379,1606228288602,1522976827597,1632396497654,1728264552369
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262434601.8,267298106.5,279995753.7,275312774.3,255080496.6,263312829.6,277955273.8,296476119.5,306622601.5,312462918.2,323965412.3,326634903.1,350507308.7,366256372,371569715.8,363294027.6,376798922.5,385945438.6,402610283.7
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12076597716,12233781583,10625604684,7692235181,7767202993,5424483564,5433501230,5503674405,5655686247,5343874631,5237670310,5440566620,6181844703,6780612486,7741428000,8635605263,9511348244,10264695906,10662600510,11790539322,10762099325,11991587549,13051485802
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,1801237223,2063588698,2262546074,2468765258,2684029261,3062565676,3251031394,3511485790,3528322223,3789915300,3632497287,3303792578,3220406020,3405077099,3715962475,3896973858,4129017438,4372825183,4571981667,4702389511,4965857744,5276675910,5742167916,6541795375,7140057323,8066590478,9053449319,9997021862,9852566683,10073281579,12209203153
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4188674547,4328694983,4507558095,4728115736,5043836749,5213070957,6583824194,7791803272,8716263034,8112614398,8075053178,8673798046
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,21489087102,22675563007,26675759218,27225716259,29264634063,31577637998,35304375257,35386448954,40449666738,42222365660,46664551242,51476260358,50595576248,50760739202,57547974476,54933023957,63012219268,62831575879,69298840618,70703199999,73299266744,80629607725,84837230848,92387087590,99905551343,106783802790,118612351716,125507003632,134965253634,141480359709,148640440399,161175851408
Mozambique,,,,,,,,,,,,,,,,,,,,2538275968,2894867762,2843837167,2480860722,2395672273,2473087860,2442000924,2769651636,3155935156,3399118528,3646467638,3960334786,3710316920,4142047077,4479760913,4761506385,5354200050,6048355420,6780152672,7461583405,7644186508,8560159876,9809045556,10606043860,11638509267,13145354403,13919902483,15620673467,17228590326,19272327890,21167475355,23441711612
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,1998047850,2462444543,2538484391,2698497684,2717380579,2410156588,2734075336,3280876536,3178548889,3600159532,4139072183,4733599551,5016936575,5092579543,5555044323,6087177218,6245262882,6618633883,6983643579,7104459124,7614089512,7809818399,8402890875,9265770062,10349851799,10659358093,11889033047,12715470097,13372391512,13669962328,14308907975,15343176817
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,4095753612,4843660807,5336875545,5384169288,6190854247,6666611517,7126394261,7457214501,8305713993,9016840138,9808417696,10784546388,11471562725,12152971985,13430453272,14195267556,15223733748,16298018825,17022691072,18052162189,19610758860,21022411601,21279337778,22583463940,24262672622,26094088696,27975430689,29846364242,32353674131,34252593852,36163479695,38512780350
Netherlands,,,,,,,,,,,,,,,,,,,,140944617611,151756932473,158987423059,169580594193,181938564016,189839437349,199720298624,211997392035,225999079185,245460773230,261798453174,278874631484,289216055229,301441961232,318991043416,338456645106,355014620135,381367985129,396107486414,430414795996,478443071618,497572742634,520508143708,520194995563,554775768746,575665753340,639123032887,678256726318,690770071825,662098148776,695010604754,722330334030
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,25976645318,29300507363,32292375301,34107843608,36632934724,37821381491,39820226019,41024620925,43423327819,45320836292,47173258076,47054999276,49181740030,52427367005,56928846444,60700650741,62660632224,66511944016,68943196309,72841271381,76634673731,81389206240,85824324257,90198347787,94758179744,97766735310,105618880655,112277327188,115639570008,122031644273,126550035999,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,4006245807,4544104834,4824105121,5245204984,5398871157,5309370912,5601426334,5825940745,4566475962,4278813134,5492667809,4508616017,4296959886,4558628922,5357813679,6104898914,6745028062,7301696669,7898736641,8571942416,9129343609,9538714941,9857991906,10335163827,11252637392,12278897046,13285959632,14180737411,14872418874,14560112540,15386504122,16677540420
Niger,,,,,,,,,,,,,,,,,,,,2602999133,2809619978,3017988066,3028447583,2574331407,2881193594,3198077197,3233134663,3604292944,3883611991,3855614453,4111119428,3940767315,4077672842,4306430650,4488007282,4785265333,5005039293,5628517385,5687725518,5732433853,6288345192,6559158968,7095991888,7306545045,7904298850,8654211402,9206984687,10194137326,10178727354,11127240817,11642451213
Nigeria,,,,,,,,,,,,,,,,,,,,56460226916,54914450361,58398106124,57621558148,56413556650,63240908322,63912995762,63096021745,78136568660,81124021604,89711397022,98413804997,103391494599,105642321751,109166363931,117098304238,126428717319,132553887125,133117028140,143367091358,141138370589,156200078220,156429031103,175198661432,199755152796,215508778655,257979315878,272779302241,299179197432,314444648957,339572253074,374124177032
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,37928136593,42157558024,44704066214,48398142127,53327951493,58426196309,62252282384,65319923531,66755000410,69795497523,73766769243,78468505518,84090693496,88188424248,95160460154,101680075662,112901402031,121975883804,120177887319,131852845805,160100240392,167513534834,168694748703,175754807016,195394884542,221701992693,251154042292,262116239832,291142390351,265610284802,283293670369,311812595592
Oman,,,,,,,,,,,,,,,,,,,,5299971377,6856239664,8221540879,9942011830,12023063571,14007981420,14952660990,14835217286,15838391066,18573468418,19264301683,21348045980,23251295065,25221517030,26689352653,28785671402,30091628817,32452789279,33432667136,33900247196,36707036473,40449243279,41603817629,43643722165,46838969796,49443862506,54680359261,60025028707,67344120455,67449441728,71695822351,
Pakistan,,,,,,,,,,,,,,,,,,,,50835918698,60053208072,67665850215,77194347605,83102854400,91033133879,93354269307,105835910034,115604593885,125097648516,136511712598,145509479147,157973303002,163797846090,172533072242,186227204528,196562108159,201449062063,209249980479,220179229019,233617638226,243549893178,260210851444,285723570776,312628312125,347301061670,380270124258,412928478272,429731310340,452922389759,482214576163,509614517665
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168986827.9,161344011,150270338.2,157489752.5,184475599.7,208328489.1,217059074.4,217587484.6,217188102.2,223319534.8,231821736.4,226822659.2,226556757.5,246400709.1,264584151.8,277012192.2,290945629.5,230915366,212555060.7,224177459.4,254198286.8
Panama,,,,,,,,,,,,,,,,,,,,5445917022,6387525510,7547880881,7891205704,8048883304,9003238666,9089398766,10252422235,8775937012,8928914253,10072378020,11199535567,12460949260,13695431177,14534600787,14876636898,15762622669,16984116082,18349140244,19096549828,20200099878,20815649587,22323550978,22855495461,24832691963,27525045453,30813175816,35831834570,40233184579,42303036317,45902376170,52650320001
Papua New Guinea,,,,,,,,,,,,,,,,,,,,2888863913,3114024372,3262337964,3481091042,3690272570,3935279707,4249517287,4413388814,4735428881,4847754592,4877166477,5556678179,6069596221,7363219074,8077502591,8131865597,8612952204,8657129319,8406748456,8576921458,8729866881,8737261368,8919693224,8905231864,9630478708,10513301411,10608589181,13143284284,14346561060,15332484952,16490369354,18155093724
Paraguay,,,,,,,,,,,,,,,,,,,,6229746160,7416538426,7568217047,7643528967,8052813751,8567542113,8739949455,9235339122,10422466081,11702531157,12547542683,12797806753,13641558451,14702765627,15689310587,16883046561,17233223962,17933689964,18236612434,18261739552,18044493084,18821086652,19232467798,20189483551,21218662233,22828123246,24534482426,26876227560,29025458965,27883705431,32627242984,34861421733
Peru,,,,,,,,,,,,,,,,,,,,47872051654,56468499305,59473891547,53522198234,57982166758,61674272890,70561185786,78644740718,69079009088,61151248197,68021769417,69251723370,72877804114,76735556901,88785987132,98278694599,103890813497,113561338177,115607025053,118292455232,123802824279,127416570139,135532083120,142297121946,150735078946,166227421759,190029140241,214742994926,235694628951,241457005277,271018267321,298599049689
Philippines,,,,,,,,,,,,,,,,,,,,62664699138,70793865600,76772911065,81493680311,76664686445,73549204853,77651141917,84021897862,93280661012,102486662204,111663823658,116216408678,120935817997,126943337930,136789655107,146886486517,159480992470,173818636638,180080885542,171215245643,184934755440,194527309011,203963165374,219020704449,240889313513,260232716840,280606045851,309183470145,331337560126,338113659232,369113407554,394937769571
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211638905940,219786050383,234634515094,260335943951,282547473044,309096632910,337414619906,360130648985,380393679678,402910357989,417760262838,440566992607,453355505011,483009780775,514253227303,558608640511,614306471606,670632684217,694646433816,732811618268,782618019447
Portugal,,,,,,,,,,,,,,,,,,,,51490164149,56317089818,60015251499,62522119896,63006349590,67282466204,73160844449,80976118837,90747088571,100760561414,109524158943,118622985785,123336044931,123570721626,126832081852,135666426725,141210815247,149717288163,158139495199,168636097264,178224566628,185631089208,195341459408,201180208517,206282914932,222086499245,235754358029,248584235530,255442858051,254351055985,261846750162,260363514748
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86216212093,103619879051,114987281106,134499723896,162744911650
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123387617972,120221471617,108725154886,100785639753,104351075553,110837806204,121231318901,128513424231,123138552790,118966701956,118626279049,126107577610,141012031923,151375253058,164956799464,185363341184,200671970186,234875638784,273077236925,314325468613,314233354545,306521157301,323881732629
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180577436181,1186007286910,1163560520736,1008260474066,940600257542,843853622497,824490060168,805569754180,824785948195,771734928086,836377744151,973727861357,1059524738505,1144425550265,1297234744324,1442678076518,1654480751296,2066639467097,2322957032629,2817892181859,2592689603437,2722795060504,2830508925414
Rwanda,,,,,,,,,,,,,,,,,,,,2018634606,2339505334,2530378105,2773732493,2750286890,2942192547,3171012716,3259393328,3527779692,3665326088,3710917944,3736524503,4042126735,3785661672,1926440883,2691110847,3043878193,3536460135,3925740705,4274295075,4706642904,5198157261,5874672679,6099748703,6736623495,7652284824,8637480869,9420301079,10676511103,11237396720,12174895384,13568517097
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
