Total sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
West Bank and Gaza,107.877,107.779,107.715,106.602,105.238,104.395,106.729,105.882,105.141,103.102,103.269,103.475,103.64,103.738,103.783,103.778,103.725,103.626,103.49,103.329,103.151
OCEANIA,103.684,103.615,103.116,102.269,102.187,101.531,101.891,101.46,100.859,100.324,99.64,99.785,99.926,100.025,100.085,100.106,100.086,100.042,100.031,100.076,100.177
Oman,103.084,100.125,97.994,96.585,96.72,101.69,111.209,117.453,125.554,143.706,137.725,131.478,128.97,126.095,123.523,121.223,119.133,117.163,115.234,113.363,111.591
Pakistan,124.534,121.913,119.346,116.922,114.602,112.554,110.85,109.294,108.266,107.506,106.811,106.394,106.11,105.998,105.883,105.772,105.613,105.381,105.102,104.794,104.47
Panama,105.053,104.608,104.25,104.287,104.26,103.844,103.346,103.015,102.49,102.077,101.965,101.788,101.638,101.448,101.219,100.958,100.667,100.352,100.02,99.686,99.368
Papua New Guinea,111.391,108.932,107.348,105.479,105.528,105.049,113.517,110.055,107.39,105.488,104.023,103.52,103.306,103.168,103.081,103.017,102.981,102.963,102.971,102.996,103.033
Paraguay,96.886,96.616,97.031,98.144,99.545,100.759,101.736,102.176,102.163,102.255,102.423,102.282,101.874,101.5,101.107,100.724,100.349,99.986,99.645,99.329,99.036
Peru,101.37,101.493,101.553,101.585,101.594,101.573,101.363,101.065,100.784,100.769,100.696,100.579,100.455,100.308,100.14,99.979,99.782,99.533,99.242,98.917,98.572
Philippines,98.913,99.731,100.452,100.975,101.309,101.558,101.659,101.747,101.754,101.68,101.643,101.57,101.468,101.563,101.573,101.588,101.59,101.562,101.496,101.457,101.403
Poland,91.042,92.69,93.716,94.312,94.414,94.745,95.013,95.197,95.073,94.797,94.16,93.59,93.085,92.696,92.486,92.224,91.881,91.613,91.527,91.664,91.913
Polynesia,104.947,104.164,103.578,103.236,103.38,105.019,105.93,106.239,107.059,106.333,105.812,105.163,104.749,104.38,104.037,103.724,103.44,103.161,102.906,102.691,102.527
Portugal,92.687,92.704,91.762,91.024,90.916,90.294,92.802,93.12,93.075,92.974,93.258,93.737,93.902,93.946,93.974,94.031,94.096,94.149,94.173,94.184,94.208
Puerto Rico,100.942,99.291,97.87,96.053,96.222,95.75,94.934,95.515,93.902,93.258,92.855,92.394,92.079,91.858,91.726,91.714,91.799,91.992,92.304,92.735,93.221
Qatar,102.774,120.709,132.078,159.115,182.42,204.036,175.127,206.04,203.017,192.961,185.053,272.597,306.88,285.457,283.804,277.989,272.688,267.226,261.247,254.644,247.643
"Korea, Rep.",99.225,99.514,100.487,101.019,100.523,100.991,100.28,99.991,100.347,100.349,99.197,98.145,98.086,97.96,97.734,97.403,96.957,96.378,95.695,95,94.426
Moldova,87.648,87.614,87.904,87.976,87.819,88.618,89.668,90.4,91.061,91.459,91.451,90.766,90.432,90.335,90.282,90.138,89.941,89.874,90.088,90.58,91.15
Reunion,92.063,93.877,95.047,95.32,93.412,94.609,95.82,95.768,96.154,95.878,95.654,95.392,95.099,94.813,94.523,94.201,93.854,93.535,93.268,93.087,93.051
Romania,93.167,94.375,95.279,95.923,96.483,96.988,97.385,97.427,97.377,96.253,95.509,94.988,94.522,94.212,94.028,93.908,93.789,93.636,93.509,93.526,93.582
Russia,75.187,78.027,80.489,82.404,83.589,84.207,85.448,86.569,87.99,88.214,87.728,86.492,85.801,85.4,85.176,84.996,84.87,84.955,85.354,86.04,86.866
Rwanda,97.755,97.583,97.511,97.501,97.528,97.566,92.134,93.174,93.709,92.06,92.49,93.354,94.043,94.56,94.909,95.127,95.253,95.322,95.344,95.312,95.224
Saint Lucia,97.154,100.007,92.494,92.444,92.611,93.89,95.684,96.194,96.44,96.09,95.975,95.986,95.876,95.732,95.568,95.382,95.152,94.909,94.656,94.408,94.223
Saint Vincent and the Grenadines,88.849,88.602,88.251,88.069,89.745,91.221,93.901,96.056,98.88,100.282,101.425,101.977,101.955,101.793,101.45,100.96,100.365,99.713,99.06,98.463,98.002
Samoa,106.504,104.35,102.906,102.202,101.941,103.31,105.138,107.94,110.647,108.64,108.463,108.57,108.797,108.953,109.159,109.359,109.54,109.577,109.629,109.699,109.794
Sao Tome and Principe,124.888,124.894,125.403,112.274,103.128,101.378,98.962,98.323,98.324,98.398,98.354,98.218,98.118,98.17,98.386,98.584,98.733,98.82,98.848,98.818,98.703
Saudi Arabia,103.061,102.913,102.715,103.995,105.905,110.57,117.48,123.702,124.871,126.358,124.033,123.461,120.722,118.362,116.291,114.422,112.665,110.946,109.254,107.6,106.058
Senegal,100.107,101.005,101.842,102.432,103.229,103.368,102.227,101.341,100.66,99.731,99.054,98.578,98.278,98.054,97.864,97.691,97.537,97.405,97.274,97.126,96.958
Serbia,94.435,95.779,96.728,97.682,97.686,98.143,98.248,98.471,98.76,98.459,98.185,97.841,97.959,98.128,98.296,98.417,98.463,98.519,98.665,98.887,99.127
Sierra Leone,95.987,95.635,95.44,95.174,94.939,94.849,94.661,94.594,94.545,94.031,93.906,94.444,95.061,95.621,96.117,96.569,96.964,97.297,97.566,97.781,97.938
Singapore,107.408,110.967,111.357,106.468,104.899,104.501,104.187,103.853,101.279,101.413,101.414,101.312,100.896,100.418,99.889,99.309,98.665,97.987,97.367,96.981,96.955
Slovak Republic,94.352,94.83,95.367,95.899,97.432,97.329,96.627,96.521,95.692,94.922,94.469,94.312,94.195,94.153,94.1,93.965,93.739,93.561,93.503,93.553,93.653
Slovenia,91.586,91.527,91.579,91.891,93.795,93.836,93.372,93.413,93.943,94.644,94.956,95.249,95.542,95.904,96.252,96.48,96.488,96.432,96.309,96.316,96.459
Solomon Islands,122.817,118.352,116.664,113.031,111.918,109.434,108.733,108.035,107.605,107.403,107.352,107.342,107.325,107.28,107.217,107.135,107.031,106.903,106.75,106.541,106.278
Somalia,98.562,98.141,97.882,97.732,97.675,97.686,97.724,97.754,97.87,97.897,98.008,98.18,98.421,98.618,98.77,98.89,98.979,99.034,99.047,99.024,98.964
South Africa,99.243,99.736,99.977,98.819,99.113,99.316,98.974,98.856,97.945,97.09,96.692,96.92,97.315,97.553,97.993,98.594,99.103,99.522,99.872,100.117,100.199
South America,100.093,100.165,100.04,99.922,99.786,99.627,99.476,99.169,98.839,98.488,98.196,97.942,97.697,97.447,97.212,96.959,96.676,96.379,96.078,95.785,95.514
South-Central Asia,109.442,109.196,108.997,108.746,108.432,108.109,107.635,107.27,107.036,106.598,106.256,105.912,105.526,105.195,104.858,104.517,104.159,103.79,103.42,103.064,102.713
South-Eastern Asia,99.156,99.449,99.715,99.892,100.009,100.047,99.18,99.149,99.056,99.063,99.039,98.997,99.031,99.043,99.049,99.002,98.911,98.778,98.62,98.498,98.42
Southern Africa,98.454,98.863,98.965,97.835,98.14,98.361,98.024,97.902,97.17,96.579,96.297,96.615,97.095,97.458,98,98.669,99.221,99.667,100.026,100.258,100.303
Southern Europe,94.197,94.423,94.316,94.396,94.97,95.102,95.421,95.608,95.487,95.163,95.118,95.6,96.019,96.518,96.879,97.159,97.334,97.455,97.58,97.687,97.795
Spain,93.393,94.069,94.25,94.177,95.369,95.673,96.256,96.301,96.025,95.967,95.969,96.857,97.403,98.487,99.18,99.639,99.86,99.972,100.141,100.283,100.387
Sri Lanka,120.258,114.634,110.761,108.02,106.357,104.99,104.113,103.105,101.877,100.875,99.361,97.761,96.86,96.062,95.308,94.586,93.929,93.394,93.02,92.899,92.953
Sub- Saharan Africa,97.305,97.498,97.688,97.783,98.001,98.219,98.382,98.466,98.472,98.564,98.699,98.993,99.296,99.57,99.79,99.962,100.076,100.144,100.167,100.137,100.047
Sudan,99.453,99.486,99.592,99.75,99.974,100.241,100.522,100.774,100.978,101.147,101.267,101.35,101.437,101.499,101.532,101.539,101.512,101.454,101.367,101.257,101.107
Suriname,99.073,101.61,100,99.278,99.625,100.568,102.061,103.516,103.218,102.66,102.208,100.814,100.422,100.074,99.697,99.348,99.114,98.858,98.605,98.459,98.442
Swaziland,94.62,93.911,93.835,91.433,90.361,90.489,90.419,89.449,89.103,92.192,93.023,94.538,95.93,97.389,98.68,99.968,100.955,101.624,102.032,102.163,101.914
Sweden,99.205,99.341,99.52,99.742,99.744,98.944,98.208,97.576,97.628,97.657,97.705,98.179,98.591,98.953,99.186,99.249,99.193,99.119,99.125,99.211,99.319
Switzerland,93.014,93.499,93.972,94.968,95.514,95.1,94.73,95.042,95.331,95.402,95.467,95.804,95.366,94.909,94.417,93.879,93.264,92.6,91.981,91.483,91.151
Syria,108.071,105.864,104.477,103.509,102.86,102.335,101.465,101.579,101.625,101.784,101.898,101.971,101.986,103.016,103.651,103.447,103.215,102.945,102.628,102.272,101.879
Tajikistan,93.781,93.764,95.266,96.382,96.997,97.516,97.864,98.672,98.692,100.036,100.452,98.153,97.459,97.39,97.311,97.186,97.021,96.842,96.676,96.537,96.432
"Macedonia, FYR",100.473,101.368,102.038,102.626,102.733,102.735,102.652,101.216,100.784,100.215,100.234,99.923,99.725,99.637,99.615,99.582,99.465,99.343,99.252,99.225,99.259
Thailand,100.651,100.708,100.716,100.7,100.633,100.495,100.33,98.286,99.191,97.97,96.681,96.944,96.714,96.406,96.147,95.87,95.586,95.354,95.267,95.362,95.633
Timor-Leste,102.523,103.033,103.125,103.412,103.808,103.512,103.89,103.585,106.044,105.434,104.342,103.738,103.678,103.619,103.612,103.564,103.479,103.361,103.217,103.047,102.846
Togo,97.185,96.835,96.706,96.741,96.89,97.127,97.39,97.596,97.728,97.764,97.777,97.883,98.072,98.269,98.442,98.593,98.707,98.784,98.82,98.805,98.733
Tonga,103.263,104.067,104.652,105.084,105.309,104.817,103.741,101.253,101.532,102.449,103.017,102.825,102.561,102.465,102.389,102.408,102.516,102.678,102.855,103.043,103.238
Trinidad and Tobago,99.373,99.722,98.821,99.42,97.445,98.772,99.908,98.924,97.204,96.386,95.622,94.951,94.415,93.934,93.446,92.922,92.336,91.792,91.308,90.916,90.586
Tunisia,99.322,98.56,101.938,104.298,97.969,102.819,102.708,102.463,102.179,102.016,101.899,101.384,101.115,100.872,100.663,100.469,100.23,99.999,99.815,99.722,99.713
Turkey,99.628,100.75,103.042,104.21,103.31,104.39,102.105,102.213,101.972,101.704,101.453,101.149,100.87,100.63,100.358,100.035,99.668,99.261,98.83,98.449,98.148
Turkmenistan,96.148,96.032,96.305,96.701,96.95,97.016,96.642,96.656,97.268,97.518,97.495,97.387,97.092,96.888,96.651,96.363,96.042,95.75,95.529,95.379,95.273
Uganda,99.488,99.052,98.846,98.774,98.833,98.974,99.072,99.126,99.098,99.102,99.469,100.017,100.401,100.604,100.663,100.614,100.471,100.263,100.003,99.704,99.384
Ukraine,75.198,77.613,79.624,81.38,82.595,83.172,84.126,85.074,86.042,86.48,86.262,85.815,85.526,85.476,85.659,85.94,86.249,86.64,87.226,88.016,88.876
United Arab Emirates,102.765,102.583,102.418,138.436,167.431,225.469,223.212,184.87,189.276,194.888,207.702,212.878,203.63,198.253,196.416,194.821,192.981,190.773,188.569,186.835,185.795
United Kingdom,94.37,93.401,93.248,94.232,94.295,94.769,94.775,94.576,94.56,94.585,94.958,95.774,96.434,97.155,97.518,97.805,97.999,98.213,98.485,98.825,99.209
Tanzania,95.229,95.626,96.026,96.395,96.764,97.13,97.479,97.811,98.034,98.165,98.449,99.005,99.521,99.923,100.238,100.502,100.699,100.84,100.927,100.953,100.917
United States,99.807,98.546,97.985,97.309,96.361,96.532,96.099,96.141,96.257,96.381,96.803,97.108,97.481,98.114,98.604,98.976,99.177,99.287,99.357,99.496,99.673
Virgin Islands (U.S.),96.243,98.178,97.961,99.666,99.461,95.577,92.44,93.964,93.891,92.164,91.528,90.505,89.954,89.375,88.804,88.298,87.899,87.728,87.896,88.492,89.492
Uruguay,102.356,101.169,100.147,99.445,98.822,98.121,96.276,95.186,94.19,93.954,93.786,93.289,93.288,93.545,93.928,94.286,94.573,94.792,94.956,95.092,95.212
Uzbekistan,93.84,92.901,93.629,94.409,94.892,96.43,96.737,97.412,97.747,98.442,98.851,98.89,98.829,98.737,98.613,98.439,98.207,97.94,97.696,97.507,97.357
Vanuatu,109.4,107.798,106.63,105.781,113.019,113.117,112.241,108.884,106.171,105.614,104.938,104.399,104.006,103.71,103.472,103.28,103.134,103.03,102.956,102.902,102.88
Venezuela,102.582,103.416,103.933,103.226,102.557,102.44,102.486,102.09,101.799,101.577,101.32,101.042,100.745,100.438,100.11,99.767,99.392,99.016,98.629,98.262,97.927
Vietnam,98.931,99.129,99.176,99.125,98.973,98.653,94.279,95.409,93.751,94.854,96.015,96.776,97.763,98.25,98.626,98.909,99.103,99.199,99.205,99.157,99.115
Western Africa,97.918,98.109,98.317,98.566,98.81,99.068,99.516,99.413,99.524,99.837,100.073,100.344,100.55,100.713,100.843,100.941,101.002,101.031,101.023,100.971,100.869
Western Asia,99.251,99.766,101.052,101.968,101.913,103.003,103.29,104.325,104.817,105.291,105.409,105.804,105.731,105.57,105.404,105.104,104.758,104.369,103.956,103.552,103.173
Western Europe,89.472,90.179,90.79,92.124,92.661,93.135,93.204,93.273,94.181,94.898,95.203,95.466,95.846,96.116,96.289,96.382,96.374,96.286,96.168,96.072,96.087
Western Sahara,98.043,109.374,115.915,119.292,122.127,117.213,117.034,113.901,111.144,109.415,110.917,112.855,112.112,111.291,110.432,108.899,107.431,105.989,104.561,103.206,101.969
WORLD,100.178,100.247,100.019,100.485,100.752,101.117,101.231,101.348,101.509,101.588,101.624,101.655,101.667,101.684,101.643,101.54,101.379,101.192,101.006,100.838,100.685
"Yemen, Rep.",101.984,102.059,101.96,101.813,100.186,98.398,99.518,100.734,101.609,102.947,102.717,102.466,102.232,102.034,101.885,101.731,101.57,101.401,101.215,101,100.747
Zambia,99.147,98.829,98.687,98.698,98.743,98.779,98.859,98.888,98.926,98.918,98.868,99.192,99.617,99.946,100.249,100.589,100.913,101.21,101.456,101.616,101.658
Zimbabwe,99.441,99.452,99.472,99.501,99.433,99.392,98.904,99.043,98.871,97.551,95.821,94.145,93.737,95.722,97.341,98.4,99.293,100.045,100.611,100.901,100.883
