"Murder per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.586306,,16.20858765,16.20858765
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.55343,,21.49711037,21.49711037
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.771502,,3.154995918,3.154995918
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.612222,6.358838,,,5.980554,4.808393,3.758907,4.485522,5.642064,7.427256,8.925299,10.30639,12.1545,13.21212,11.38737,9.225978,9.023389,8.299627,7.922535,9.278551,9.428175,6.792128,8.655103,7.634339,8.074108
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.889,0.658,1.864,2.269,1.835008,1.058,1.238471627,1.508513403
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.425425,1.897068,2.09195,1.773819,1.559057,2.321193,2.247283,2.185297,2.546126,2.865572,6.193229,3.218044,3.084815,5.052623272,5.052623272
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.29057,,14.55940342,14.55940342
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44767,,25.08997154,25.08997154
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111,1.74,9.732512,1.828,10.23367786,1.595
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11.22516,0,2.291650057,2.291650057
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92186,,23.46518135,23.46518135
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813,1.464,0.445,1.755,2.196,0.752,2.767,1.581336,0,0.7949433923,0.448
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.789776,,1.743935227,1.743935227
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.156,3.91,2.583,3.736,2.585,4.5
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.47325,,17.61217117,17.61217117
Mauritius,,,,,,,,,,,,1.256061,0.8253586,0.8220101,2.449451,2.601908,4.134292,2.643501,8.366676,3.437795,3.436134,2.956692,1.522529,2.483271,3.956586,2.034579,1.858171,0.7206501,1.541333,2.705578,1.868162,0.8964615,1.749983,1.259756,1.813111,0.6463649,0.7620261,2.122602,2.569857,2.829672,2.548236,3.212855,3.217462,2.507493,2.02928,1.312297,2.675642,1.747284,2.520509,2.914178,2.887276,2.178728,2.418501,2.693497,2.761122,3.662321
Mexico,,,,,,43.08897,41.17896,39.51859,39.68304,42.43299,41.05476,37.51915,34.14079,28.85665,29.0467,26.69292,25.95837,26.35994,25.47663,13.84285,23.38363,21.01264,19.47209,17.25031,30.48429,24.34697,22.42617,25.11749,23.75779,23.85378,24.01949,23.68312,24.31582,23.69015,20.73918,24.32968,25.07912,24.58558,22.93769,22.46254,20.72219,20.59214,22.29644,21.07028,20.18551,19.30374,17.25858,15.75612,15.56178,13.66574,11.75996,10.8476,10.52935,10.40824,9.457928,9.913541
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26571,,0.7856183648,0.7856183648
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.651366,9.523454,,,7.667125,6.033095,5.77071,7.614844,8.549297,9.317978,8.946944,14.1898,12.88254,14.52122,16.75018,13.66011,13.26033,11.50598,11.21539,11.6989,10.96043,9.836945,8.689896,7.007469,7.531115
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9546278,,0.9239075184,0.9220285582
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.579561,,3.251965523,2.997322924
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.320688,,1.244666934,1.213684381
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96291,,25.61878204,25.61878204
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.51446,,16.31876755,16.31876755
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.62024,,15.81996918,15.81996918
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89266,,12.57899666,12.57899666
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.82063,,16.85650063,20.42463565
Netherlands,0.4109435,0.3729836,0.3440608,0.2915138,0.2709479,0.2799462,0.166841,0.3269826,0.3254438,0.3396671,0.2993443,0.3744552,0.2445946,0.3789141,0.3924395,0.3429949,0.4103544,0.4455893,0.4091909,0.5184458,0.5087731,0.5705204,0.5488947,0.6267912,0.8026437,0.7344384,0.8341736,0.8801276,0.8161094,0.8654015,0.7761069,0.814266,0.8285628,0.9334918,0.9287044,0.8730244,0.9804189,0.8861549,0.8897052,0.9208265,0.8875334,1.10225,1.235862,1.218792,1.028975,1.194141,1.327621,1.311095,1.086001,1.276515,1.130492,1.23159,1.227461,1.209087,1.144522,1.077595
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.229,7.801,1.364,3.799,5.073,6.378,10.083,7.837,9.411,8.041,10.711,9.795,8.611,,,,,
New Zealand,1.027081,1.260948,1.059907,0.8239908,0.9166012,1.106067,0.4652868,0.623136,1.062022,1.075729,1.00995,1.037137,0.774874,0.6185628,1.26482,1.061885,0.746235,1.360893,0.7289011,1.163834,1.225661,0.9538575,1.037983,0.9030724,1.563006,1.091953,1.082277,1.791214,1.903208,1.627751,1.297088,1.327058,1.339569,1.60982,1.182601,1.957445,2.248333,1.958547,1.746615,2.150694,2.265727,1.913273,2.310724,1.430429,1.974128,1.253802,1.84682,1.833982,1.536815,1.355613,1.481022,1.413323,1.800873,1.42839,1.238464,1.788827
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.206,10.382,8.654,8.712,8.784,13.72253,10.764,17.58759689,19.59689186
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.04651,,26.87460136,26.87460136
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7515,,21.39646149,21.39646149
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.068902,,1.01415503,1.01415503
Norway,,0.3348083,0.3396994,0.3372009,0.3578937,0.2529688,0.3879992,0.5842232,0.4899746,0.4223156,0.4226689,0.4415044,0.3952536,0.6613888,0.5094936,0.4917571,0.4029262,0.458298,0.5577922,0.6605324,0.6552606,0.6272403,0.7381408,0.7590604,0.6410407,0.7158178,0.748258,0.8573765,0.7381769,0.896017,1.143412,1.400737,1.064951,1.27701,1.049728,0.9698852,1.547702,1.393312,1.12276,1.287842,1.157431,1.454013,1.095696,0.9742841,0.7541594,0.9985016,0.9835143,0.9251252,0.9411492,0.8502018,1.208367,0.8043834,0.9062888,1.095167,0.8762801,0.6321173
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08602,,2.039650917,2.039650917
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.610594,,5.146722317,4.989642973
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9599229,,0.8448251486,0.8448251486
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.475225,6.031132,6.411689,7.617,7.341163,5.622486,,,,,,,7.817172,10.70813,9.188002,8.488029,9.732984,10.36609,12.07569,11.48944,10.22105,10.22105
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.11217,,19.13257217,19.13257217
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.21434,13.09286,14.80377,12.27576,13.11637,12.40226,14.74066,14.47701,14.07247,14.78462,14.57042,13.22784
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.478,2.197,,4.027861,,3.447263479,3.129320452
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9626201,14.02112,,,,18.30815,18.64484,17.83115,18.73532,19.8742,19.9592,19.27522,24.66102409,24.54733501
Poland,,,,,,,,,,1.159051,1.038138,1.202806,1.173459,0.9114408,0.8227317,0.8853467,1.038734,1.031088,0.991339,1.076307,1.125203,1.156404,0.9144451,0.9627845,0.8646192,1.031023,1.200513,1.281182,1.251861,1.010459,,,,1.434843,1.761699,1.51852,1.559487,1.670521,1.716665,1.994499,2.835477,2.781778,2.83556,2.589063,2.837371,2.672536,2.490299,,,2.169291,1.954382,1.611275,1.629137,1.412361,1.344503,1.287969
Portugal,,,,,,1.409754,1.556294,1.361702,1.057732,0.8532765,0.9604234,1.478395,0.9815496,1.034279,1.245411,1.003335,0.9322463,1.423728,0.8989838,0.9390897,0.8084441,1.228641,0.7653589,0.8449528,1.355796,1.951188,1.730278,1.714179,1.575485,1.589347,1.31413,1.237713,1.27325,1.544738,1.723369,1.405253,1.405564,1.271322,1.361142,1.522364,1.626188,1.564062,1.513369,1.472311,1.446622,1.665766,1.205444,1.198592,1.240486,1.101068,0.8998459,1.223134,1.603441,1.459518,1.550166368,1.423684355
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.247,18.646,20.782,19.895,19.01057318,18.51074509,19.29520618
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.413354,,0.931163013,0.838196991
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.921,1.967,2.134,2.611,2.702
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.804826,5.142927,4.371929,4.726933,4.079419,4.195367,3.929675,3.56062,3.505577,3.074771,3.308062,3.330809,3.137206,3.301978,3.478905,2.828714,2.27234
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38859,12.34525,12.04913,,,10.05467,7.121026,7.533179,9.428469,12.219,13.89925,14.87684,22.24079,29.52303,31.16932,29.39174,25.31057,22.62991,21.58119,24.42798,26.14551,27.12315,27.95784,26.08022,24.34952,22.11637
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.38679,,34.3848381,34.3848381
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07877,,11.32761383,11.32761383
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.873,9.935,10.297,11.272,19.508,17.853,7.342349,,22.40785027,22.40785027
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.744,,,,,,,,,,12.907,10.959,14.58163,9.616,16.57776642,16.57776642
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.063751,,1.035062551,1.035062551
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.337597,,6.294122219,6.294122219
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.853259,,3.138149738,2.794184353
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2608,,17.15166855,17.15166855
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.208708,3.012695,2.524775,2.657624,2.104964,2.195288,1.628466,1.945646
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.990811,2.648738,2.431323,2.111734,2.704244,2.153355,,2.615807533,2.615807533
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.491718,,3.226769209,3.226769209
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.71098,,39.78190994,39.78190994
Singapore,,,,,,,,,,,,,,0.8664555,1.722316,2.674145,2.240636,2.29635,1.598621,1.955272,1.788287,2.234291,2.704908,1.799065,2.30859,1.97683,1.685327,1.685871,1.677153,1.534513,2.277955,1.696764,1.482547,2.384981,2.80377,2.285639,2.335094,1.677325,1.803938,2.482252,1.400921,1.228659,1.239585,1.162547,0.883844,0.870547,0.5445764,0.9213319,0.7040512,0.9411684,1.081257,0.7526584,0.6338096,0.7694505,0.5995114,0.5392558
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.244212,2.317791,2.126362,2.038692,1.903759,2.522231,1.991744,2.263085,2.042834,1.924713,2.0758,1.793732,1.603952,1.447291
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.866427,1.612425,1.371736,1.51633,2.213042,1.980282,2.31554,2.117339,1.330095,2.031385,2.285359,2.055285,2.047146,0.9227628,1.321307,0.9669458,0.7495914,1.357321,1.265802,1.755289,1.068586
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.467809,,1.211966634,1.211966634
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62496,,1.850624681,1.850624681
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.60541,,70.84754944,70.84754944
Spain,,0.497398,0.4399333,0.3237087,0.3496617,0.3120825,0.4480765,0.506321,0.5141282,0.4473418,0.277398,0.1819635,0.0992549,0.1379387,0.0631875,0.1405538,0.1721259,0.1208939,0.1013535,0.2554326,0.6298069,0.244298,0.3084218,0.3083633,0.357081,0.6486256,0.5243633,0.6792051,0.9453756,1.073014,1.025024,0.8669157,0.8081269,1.043836,1.182219,1.051184,1.025902,1.166397,0.8725086,0.8400703,0.9294019,0.8548889,0.8325312,0.8998166,0.8365313,0.8206903,0.8090152,0.7899951,0.8044699,0.7884014,0.925922,0.9197907,0.9529994,0.9422686,1.271933,0.8138936
Sri Lanka,4.757464,4.599387,4.700021,4.710718,6.39093,5.12184,4.846832,4.693985,6.019674,5.46434,4.22847,3.513386,4.047946,3.047455,3.113432,3.775704,4.360252,3.433661,2.824626,,,,,,,,,8.161267,,,2.791561,3.54964,4.119729,7.913969,6.348057,7.985486,7.915632,,,,,,,,,,,,,,,,7.810002,,6.769152164,5.950301804
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.07623,,30.99819756,30.99819756
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.494,6.409,7.413,10.883,11.17,8.06,,4.907821,,12.92808819,10.55114324
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.757167,,25.77063751,25.77063751
Sweden,,0.630275,0.6711559,0.6395733,0.7590327,0.6609249,0.9057601,0.7476782,0.7104605,0.6676214,0.6299006,0.5334964,0.5207717,0.8734624,0.7931545,0.7466563,0.8652834,0.899379,0.6573941,0.8847176,0.8607374,0.9734138,1.07595,0.9911423,1.214687,1.164512,1.295462,1.251092,0.9735842,1.39388,1.194371,1.473743,1.275177,1.176759,1.099291,1.248243,1.412139,1.211998,1.351748,1.490315,1.225056,1.396173,1.341657,1.231795,1.187343,0.9970379,1.168251,1.013073,1.10129,1.164987,1.006437,0.9226385,1.164675,0.8929303,1.081935,0.8964828
Switzerland,,1.261463,1.182642,1.096905,1.063179,1.164299,0.649732,0.7746162,0.6450433,0.9393429,0.5957924,0.709636,1.050246,0.6847189,0.7380834,0.5840994,0.668267,0.8037757,0.7446772,0.5285148,0.7289131,0.9627704,0.9600084,0.6520748,0.9833294,0.9373286,0.8968752,0.899411,0.7372473,0.9505411,0.9993344,1.164913,1.314285,1.401249,0.935819,1.564968,0.9949891,1.270794,1.228241,1.209169,1.4682,1.318906,1.432198,1.627612,1.316442,0.9392157,1.073634,1.341891,0.7992321,0.9771137,0.8315645,1.076498,0.9412885,0.6691455,0.8976272,0.9867374
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.163519,,3.045423031,3.068919959
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.994594,,3.300565481,3.603290113
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11056,,33.26519394,33.26519394
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.089,8.596,8.97,,8.734,6.077,9.731,6.086,8.061,11.305,8.634,,9.094048,,6.704381466,7.46439254
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.90244,,16.25145912,16.25145912
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78982,,16.7136364,16.7136364
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7089299,,0.6161080599,0.6161080599
Trinidad and Tobago,,5.285422,5.637808,8.218946,7.26672,7.330607,8.85862,7.807506,4.463632,,5.479152,5.865497,7.16896,5.406381,,,,10.96659,6.417873,,5.956782,4.966209,4.840188,5.87974,8.276239,6.38172,5.910255,6.803732,5.332064,5.23864,2.461087,3.933475,3.197786,5.636579,5.983555,9.914154,7.596319,10.09508,8.244746,8.626121,6.863705,8.109323,10.76273,9.933276,12.14634,10.84493,10.13651,8.493176,8.686745,8.977898,11.99742,15.1188,13.30952,,12.90443611,12.90443611
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.296477,,1.732626796,1.732626796
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.665506,,2.863645554,3.13938962
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.629137,6.451636,,,5.489501,4.757417,4.463094,7.088835,8.076968,8.482519,6.461533,6.50205,7.155424,5.421618,4.731087,7.016544,6.305056,8.551657,,,,11.47042,,9.862192154,9.862192154
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.153927,,1.924120665,1.924120665
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.86223,,33.07697678,38.93825186
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.964277,5.994931,,,4.720931,3.991722,4.443394,5.263985,7.048805,7.818129,8.44949,11.06337,11.45395,13.19406,14.30349,14.30472,12.36567,11.38498,11.72764,11.99343,11.37523,10.67148,9.911981,9.253424,8.444859
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8575909,,0.4595613778,0.9167434431
United Kingdom,0.4908065,0.4237003,0.4559619,0.4620897,0.4789333,0.4391601,0.4176784,0.5674084,0.5255578,0.5422628,0.5570214,0.5706324,0.6097995,0.5810043,0.6143002,0.6251877,0.7402124,0.7542395,0.7662346,0.7705812,0.7821516,0.92928,0.9876348,1.295027,1.458894,1.427712,1.600204,1.448645,1.475185,1.252984,0.9794062,0.6777576,0.9400575,0.8872405,0.9109018,0.8411146,0.8214133,0.9436224,1.014247,1.11985,0.7234759,0.7319118,0.8749219,1.246275,1.028505,1.008703,0.8939682,0.6880592,0.7150413,0.77187,0.9370933,0.4269404,0.4645172,0.4746277,0.5013992,0.4350143
United States,5.267048,4.942489,5.288298,4.989332,5.007898,4.747335,4.856393,4.808373,4.85766,5.018033,5.151813,5.14941,5.345843,5.402577,5.678855,6.16462,6.604659,7.550201,8.113482,8.410311,8.943892,9.808649,10.04183,10.25958,10.56126,10.18211,9.160279,9.182912,9.205917,9.789822,10.35707,9.975545,9.296999,8.288172,8.002052,7.954372,8.59793,8.277267,8.637181,8.965712,9.775562,10.43069,9.976996,10.19313,9.732418,8.916731,8.094801,7.591979,6.926581,6.494246,6.204801,7.345334,6.389568,6.372896,6.173078,6.410039
Uruguay,,,,,,4.991515,5.280823,5.244687,5.209609,4.899441,5.30914,,,4.581804,4.615892,3.942724,4.660774,5.788184,4.637242,3.997629,3.694997,3.714285,4.024067,3.222178,4.181178,2.955193,3.092066,2.81164,2.025474,,2.690093,3.283331,3.221567,2.278773,2.576359,2.735164,3.00464,3.192129,3.524472,4.652094,4.382768,,,4.759497,4.569326,4.699674,4.431779,4.877281,5.848986,5.454373,5.741081,4.973733,5.720987,,4.574656,4.298429587
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.365624,9.103575,8.742507,7.707999,5.672336,6.017002,7.457407,9.735944,11.17646,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.969616,5.826916,,,4.717783,3.949347,3.531774,5.075684,7.363868,8.063683,7.333512,6.770595,5.661372,5.915518,6.241645,6.010993,4.710768,4.259888,3.712894,3.928299,3.776941,3.641898,2.531598,2.840008,3.20092
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.089423,,1.013819337,1.013819337
Venezuela,,,,,,6.474123,6.04271,4.978441,9.298527,8.558088,9.264576,10.45484,12.28099,14.01957,12.92576,11.85086,10.64974,10.00556,10.10482,10.3235,9.682922,10.04514,9.972059,11.03924,11.2063,9.546487,10.01577,10.19409,10.87997,11.32474,13.34342,11.03222,12.79574,14.502,,10.50017,8.857681,8.49733,9.362282,12.43344,13.46857,,13.50624,15.09737,16.04507,,15.08996,12.73583,12.18425,17.04455,26.05696,26.33243,29.30516,33.79287,27.62771,27.94007
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.877869,,4.341927052,4.341927052
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.238,22.788,31.367,43.276,35.912,,35.461
West Germany,,,0.9375789,1.013276,1.014338,1.057295,0.9665763,0.9446544,0.9250395,0.9875365,0.9067535,1.044798,0.9845111,1.029202,1.078364,1.122084,1.162027,1.232283,1.122592,1.324142,1.44802,1.374803,1.416449,1.294152,1.216049,1.271181,1.321141,1.232943,1.267958,1.127664,1.171888,1.276869,1.254891,1.217579,1.234981,1.17305,1.18731,1.090025,1.046457,0.9630599,0.969422,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.076941,,3.195386887,4.541511733
Yugoslavia,,,,,,,,,,,,,,,,,,,3.798254,3.482374,,,,,,,,,2.226562,2.130206,1.715057,2.230399,2.141408,1.92931,1.876686,1.679544,1.714479,1.736511,1.630812,1.663319,1.881648,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.119065,,30.48897171,30.48897171
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58732,,37.71518707,37.71518707
