Female 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,3.200000048,2.900000095,3,2.900000095,2.799999952,3.5,3.299999952,4.099999905,4.5,3.400000095,3.799999952,3.799999952,3.900000095,3.099999905,2.799999952,2.799999952,2.599999905,2.900000095,2.700000048,2.5
Canada,4.099999905,6.199999809,7.400000095,6.800000191,7,6.900000095,7.199999809,5.699999809,5.5,5.199999809,7.599999905,8.199999809,9,8.100000381,7.699999809,7.199999809,7.099999905,6.300000191,5,5.300000191,5.5,5.5,5.300000191,5.5,5.199999809
Czech Rep.,,,,,,,,,,,,,5.900000095,3.799999952,3.599999905,4.099999905,4.599999905,4.699999809,5.099999905,5.099999905,5.5,4.699999809,5.099999905,6,5.599999905
Estonia,,,,,,,,,,,,,,,,,,,,6.800000191,8.300000191,5.5,5.599999905,5.400000095,3.400000095
Finland,5.199999809,6.5,6.5,7.199999809,7.199999809,6.300000191,4.300000191,4.300000191,3.400000095,2.599999905,4.400000095,9,13.80000019,16.5,17.79999924,20.79999924,14.30000019,12.5,9.100000381,9.100000381,8.600000381,7.800000191,7.300000191,6.800000191,6.300000191
France,6.099999905,6.300000191,6.599999905,7.300000191,7.5,7.5,8.5,8.300000191,8.100000381,7.900000095,8.300000191,8.899999619,8.800000191,8.199999809,8.100000381,8.699999809,9.300000191,9.199999809,8.800000191,8,7.099999905,7.199999809,7.800000191,7.599999905,7.099999905
Germany,,,,,,,,,,,8.600000381,9.899999619,11.60000038,12.39999962,12.60000038,14.69999981,16.20000076,15.5,14.60000038,13.5,12.80000019,11.69999981,12.19999981,12.60000038,11.89999962
"Hong Kong, China",,,,,0.8999999762,1.100000024,0.6000000238,0.400000006,0.3000000119,0.1000000015,0.3000000119,0.8000000119,1,0.5,1.600000024,0.8999999762,0.6000000238,2.099999905,2.599999905,1.799999952,2.299999952,4.900000095,5.199999809,6,4.900000095
Ireland,,,5,8.399999619,7.199999809,8.899999619,8.5,9.300000191,8,7,7.699999809,7.400000095,7.199999809,8.199999809,8,7.699999809,5.199999809,3.799999952,3.900000095,2.299999952,2.5,2.099999905,2,1.5,2.5
Japan,1.399999976,1.299999952,1.5,1.5,1.5,1.700000048,1.600000024,1.600000024,1.299999952,1.200000048,1.200000048,1.100000024,1.299999952,1.5,1.600000024,2,1.899999976,2.200000048,2.5,2.799999952,2.900000095,3,3.099999905,2.5,2.200000048
"Korea, Rep.",,,,,,,,,,,,0.200000003,0.3000000119,0.200000003,0.3000000119,0.3000000119,0.400000006,1.600000024,1.700000048,1.100000024,0.6999999881,0.6000000238,0.8999999762,1,1.100000024
Latvia,,,,,,,,,,,,,,,,26.5,6.800000191,0,9.100000381,8.199999809,7.599999905,8.100000381,6.599999905,8.199999809,5.800000191
Lithuania,,,,,,,,,,,,,,,,,,5.199999809,2.5,6.599999905,7.300000191,7.300000191,11.60000038,10.80000019,5.599999905
Netherlands,,,,,,,6.400000095,5.300000191,5.900000095,5.900000095,4.5,5.300000191,4.099999905,5.300000191,4.400000095,4.699999809,4.199999809,4.400000095,3.700000048,1.799999952,1.799999952,2.400000095,2.900000095,3.299999952,4
