Female 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
New Zealand,,,,,,1.799999952,1.5,2.599999905,3.200000048,3.799999952,3,4.099999905,3.599999905,3.299999952,2.5,2.599999905,2.799999952,3.900000095,3.799999952,3.299999952,2.599999905,3,3.400000095,2.400000095,1.899999976
Norway,0.6999999881,0.6999999881,1.399999976,1.399999976,0.6999999881,0.6999999881,0.6999999881,1.399999976,1.5,1.5,2.299999952,1.600000024,1.700000048,1.600000024,1.600000024,1.600000024,1.5,1.5,1.399999976,1.299999952,1.200000048,1.100000024,1.100000024,1.100000024,1.600000024
Philippines,,,,,,6.900000095,7,6.099999905,6.099999905,5.699999809,7.099999905,4.599999905,4.099999905,4.5,4.599999905,4.300000191,5.199999809,4.699999809,4.300000191,4.699999809,4.5,4.900000095,5.199999809,5.400000095,1.399999976
Poland,,,,,,,,,,,,,4.900000095,5.099999905,4,4,3.799999952,4.400000095,7.699999809,8.100000381,7,7.800000191,8.100000381,7.800000191,7.5
Portugal,,,2.099999905,1.5,1.899999976,1.899999976,1.5,1.100000024,1,1.299999952,1.5,0.8000000119,1.700000048,1.899999976,2.099999905,2.599999905,2.400000095,1.899999976,1.299999952,1.799999952,2,2.400000095,2.599999905,3.5,3.599999905
Romania,,,,,,,,,,,,,,0.8000000119,0.6999999881,0.6000000238,0.5,0.200000003,0.400000006,0.400000006,0.400000006,0.5,0.8999999762,1.399999976,1.200000048
Singapore,2.200000048,0.6999999881,0.6000000238,1.200000048,0.6000000238,3.200000048,1.899999976,0.6000000238,0.5,0.5,0.8999999762,0.8000000119,0.8000000119,1.100000024,1,1.399999976,1,2,3.799999952,,2.299999952,3.799999952,3.099999905,3.5,
Slovak Republic,,,,,,,,,,,,,,,,,5.900000095,7.800000191,7.800000191,10,10.89999962,14.80000019,9.699999809,14.69999981,
Slovenia,,,,,,,,,,,,,4.199999809,4.199999809,4.199999809,4,3,0,0,0,6.900000095,0,0,0,0
Spain,1.899999976,2.400000095,2.400000095,3.700000048,4.599999905,5.400000095,5.900000095,6.099999905,5.800000191,6.400000095,6.400000095,7.800000191,8.100000381,9.300000191,10.60000038,11.30000019,12.30000019,11.39999962,10.19999981,10.80000019,8,9.5,9,9,7.199999809
Sweden,1.700000048,3.099999905,3.799999952,5.199999809,4.599999905,3.799999952,2.099999905,1.700000048,1.399999976,1.799999952,2.099999905,2.900000095,4.400000095,5.199999809,6.5,7,6.599999905,5.099999905,6.099999905,5.400000095,4.5,4,3.799999952,3.900000095,3.400000095
Switzerland,,,,,,,,,,,0.400000006,2.200000048,2.700000048,2.700000048,1.399999976,3,2.700000048,1.700000048,2.5,2.099999905,1.899999976,1.5,2.200000048,2.900000095,3.099999905
Turkey,,,,,,,,,1.200000048,0.6000000238,0.3000000119,0.5,0.5,0.3000000119,0.3000000119,0.400000006,0.6000000238,0.5,0.200000003,0.3000000119,0.400000006,1,0.8999999762,0.5,0.400000006
United Kingdom,,,,,,,,,,,,,,,,,,,,,1.799999952,2.200000048,2,2,1.700000048
United States,3.799999952,4.800000191,4.699999809,4.199999809,4.099999905,3.599999905,3,2.799999952,2.900000095,2.799999952,3.400000095,4.199999809,3.799999952,3.900000095,3.599999905,3.5,2.900000095,2.599999905,2.799999952,2.599999905,2.700000048,3.599999905,3.700000048,3.599999905,3.400000095
