Male 25-54 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5.5,5.599999905,4.699999809,4.099999905,4.800000191,7.5,8.5,8.899999619,7.599999905,6.800000191,6.599999905,6.5,6.300000191,5.599999905,5.099999905,5.400000095,5.099999905,4.599999905,4,3.599999905
Canada,5.199999809,8.699999809,9.899999619,9.399999619,8.800000191,7.900000095,7.099999905,6.199999809,6.199999809,7.099999905,9.300000191,10.60000038,10.39999962,9.5,8.600000381,8.699999809,7.900000095,7.099999905,6.400000095,5.699999809,6.300000191,6.800000191,6.5,6.099999905,5.800000191
Czech Rep.,,,,,,,,,,,,,2.5,2.5,2.5,2.5,3.099999905,4,5.800000191,5.900000095,5.5,4.900000095,5,5.599999905,5.900000095
Estonia,,,,,,,,,,,,,,,,,,,,13.60000038,12.80000019,10.69999981,9.5,9.5,8.399999619
Finland,4.099999905,4.5,4.599999905,4,4.400000095,5,5,4.300000191,2.200000048,2.5,6.5,11.30000019,15.80000019,15.5,13.19999981,11.69999981,10.30000019,8.899999619,8,7.199999809,6.900000095,7.400000095,7.5,7,6.5
France,3.799999952,4.300000191,4.599999905,5.599999905,6.199999809,6.599999905,6.800000191,6.400000095,6,5.800000191,6.300000191,7.099999905,8.699999809,9.399999619,8.699999809,9.399999619,9.600000381,9,8.199999809,7.099999905,6.5,7,7.699999809,7.900000095,8.100000381
Germany,,,,,,,,,,,4.199999809,4.900000095,6,6.5,6.5,7.400000095,8.199999809,7.800000191,7.300000191,6.900000095,7.400000095,8.300000191,9.699999809,10.80000019,10.60000038
"Hong Kong, China",,,,,2.5,2.099999905,1.299999952,0.8999999762,0.6999999881,0.8999999762,1.5,1.5,1.5,1.600000024,2.799999952,2.5,1.899999976,4.199999809,6,4.599999905,5.199999809,7.199999809,8.100000381,6.699999809,5.599999905
Ireland,,,11.89999962,13.39999962,15,14.60000038,14.89999962,14.5,14.19999981,11.80000019,13.19999981,14,14.39999962,13.39999962,11.19999981,11.19999981,9.699999809,7.699999809,5.699999809,4.300000191,3.400000095,4,4.300000191,4.5,4
Japan,1.700000048,1.799999952,2,1.899999976,1.799999952,2,2,1.700000048,1.5,1.399999976,1.399999976,1.399999976,1.700000048,2,2.200000048,2.5,2.5,3.099999905,3.700000048,3.900000095,4.199999809,4.699999809,4.599999905,4.300000191,4
"Korea, Rep.",,,,,,,,,,,,2.299999952,2.599999905,2.400000095,1.899999976,2,2.400000095,7.199999809,6.599999905,4.5,4.099999905,3.400000095,3.400000095,3.5,3.700000048
Latvia,,,,,,,,,,,,,,,,18.5,13.69999981,13,14.19999981,15.30000019,13.60000038,12.39999962,10,10.19999981,8.399999619
Lithuania,,,,,,,,,,,,,,,,,,14.10000038,15.30000019,17.70000076,18.39999962,13.80000019,11.80000019,9.899999619,7.5
Netherlands,,,,,,,5.900000095,5.800000191,5.5,4.5,4.300000191,3.799999952,4.5,5.300000191,5,4.199999809,3.700000048,2.700000048,2.200000048,1.799999952,1.600000024,2.299999952,3.700000048,4.199999809,4
New Zealand,,,,,,2.200000048,2.599999905,4,5.400000095,6.400000095,8.600000381,8.600000381,8.199999809,7,5.099999905,4.800000191,5.300000191,6.099999905,5.5,4.400000095,4,3.799999952,3.200000048,2.5,2.400000095
Norway,1,1.5,2.400000095,2.599999905,1.600000024,1,1.100000024,2,3.900000095,4.5,4.900000095,5.400000095,5.699999809,5,4.400000095,3.799999952,3.099999905,2.299999952,2.5,2.900000095,2.799999952,3.200000048,4.300000191,4.300000191,4.199999809
Philippines,,,,,,8.199999809,7.199999809,5.800000191,5.199999809,5.400000095,6,4.699999809,4.5,4.800000191,4.699999809,4.199999809,5.5,5.5,5.5,6.199999809,6.199999809,6.599999905,6.5,6.699999809,6
Poland,,,,,,,,,,,,,11.19999981,11.30000019,10.39999962,9.300000191,8.199999809,7.599999905,10.39999962,12.10000038,14.19999981,16.5,16.5,16,14.5
Portugal,,,2.5,4,4.400000095,4.5,3.700000048,2.700000048,2.299999952,2.099999905,2,2.5,3.5,4.800000191,5.199999809,5.300000191,5.199999809,3.400000095,3.5,2.700000048,2.599999905,3.5,4.900000095,5.199999809,6.199999809
Romania,,,,,,,,,,,,,,6.099999905,6.099999905,4.800000191,4.5,5.5,6.5,6.900000095,6.5,7.800000191,6.699999809,7.599999905,6.699999809
Singapore,1.899999976,1.700000048,2.200000048,2.099999905,3.5,5.599999905,4.300000191,2.900000095,1.899999976,1.700000048,1.799999952,2.099999905,2,2.099999905,2.299999952,2.400000095,2.099999905,3.400000095,4.300000191,,4,5.199999809,5.199999809,4.599999905,
Slovak Republic,,,,,,,,,,,,,,,,,8.899999619,9.399999619,12.69999981,15.19999981,15.89999962,14.89999962,14.5,14.60000038,
Slovenia,,,,,,,,,,,,,7.300000191,8.199999809,6.5,6,5.800000191,6.400000095,6.099999905,6.099999905,4.300000191,5,5.5,5.400000095,5.199999809
Spain,9.5,10.30000019,11.5,13.89999962,15.39999962,14.39999962,12.69999981,11.39999962,10,9.199999809,9.699999809,11.69999981,15.5,16.39999962,15.39999962,14.89999962,13.60000038,11.5,9.100000381,7.900000095,6.400000095,6.900000095,7.099999905,6.900000095,5.900000095
Sweden,1.700000048,2,2.299999952,2.099999905,2,1.899999976,1.600000024,1.399999976,1.100000024,1.299999952,2.799999952,5.800000191,9.300000191,9.399999619,8.600000381,9,9.199999809,7.800000191,6.5,5.300000191,4.300000191,4.599999905,5.300000191,5.599999905,6.199999809
Switzerland,,,,,,,,,,,0.8000000119,1.799999952,2.200000048,3,2.299999952,3.200000048,3.900000095,2.799999952,2.200000048,1.600000024,1,2.200000048,3.400000095,3.5,3.099999905
Turkey,,,,,,,,,5.5,5.199999809,5.800000191,6,5.900000095,6.199999809,5.099999905,4.800000191,4.5,5,5.900000095,5,7.099999905,9,8.899999619,9,8.899999619
United Kingdom,,,,,,,,,,,,,,,,,,,,,4.099999905,4.400000095,4.099999905,3.799999952,3.599999905
United States,5.300000191,7.800000191,8,5.800000191,5.400000095,5.5,4.900000095,4.300000191,4,4.5,5.800000191,6.5,5.900000095,4.800000191,4.400000095,4.199999809,3.700000048,3.299999952,3,2.900000095,3.700000048,4.800000191,5.199999809,4.599999905,3.900000095
