Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,6.290690583,5.288021687,5.225978688,7.266421069,8.31380678,
Albania,,,,,,13.42276821,9.409979069,10.18576229,13.59804854,,,,16.10891826,17.07192842,17.29176039,,,,,,,
Algeria,,,,,,,,,,,,,,,,,40.70077538,37.20343036,45.25581817,34.91183401,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,9.818953787,12.51878465,14.19743288,,,,,,,
Armenia,,,,,,,,,,,,,,13.99978702,13.99640565,14.33566341,14.39598656,15.96253173,17.32175873,16.50586323,16.86806041,
Aruba,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,22.37688363,22.98473961,24.68702348,23.38029691,24.22422572,24.21900191,24.73190587,24.48653938,23.99872485,24.09120043,22.1470618,,
Austria,,,,,,17.81183049,18.88865061,19.99588576,20.18741523,20.09151084,19.79204637,21.5196505,20.9647772,21.07203633,20.78866734,20.08946507,19.6800212,19.97658716,20.10830258,18.68656943,,
Azerbaijan,,,,,,,,,,,,,,,,,,,15.85377533,,,
Bahamas,13.86291851,13.63799997,15.43261499,15.39456662,16.71678429,17.34616506,17.04904406,13.26845818,12.72886794,13.17710448,13.63024753,12.58468499,11.48641074,11.85584137,12.03430079,12.76615182,14.35733307,14.49842024,15.48389015,14.47309801,14.40004363,
Bahrain,5.187374245,5.041193848,5.39072996,5.349562814,5.173401963,4.796762893,5.042932696,5.097809036,5.664272426,5.013055024,4.244385729,4.645780223,4.043726117,3.757162347,4.935495325,1.378410955,1.361112509,1.347020459,,,,
Bangladesh,,,,,,,,,,,,7.596540909,7.697522703,8.071474792,8.111350136,8.220669855,8.17180158,8.049301331,8.81827076,8.599140543,,
Barbados,,,,,,,,,,,,,,,,,,35.5908036,33.15248161,,,
Belarus,,,20.44348296,26.63094223,24.74990446,19.88771245,18.79975521,20.7345853,17.1123265,16.67247785,16.6247345,15.75466424,14.20103832,17.68812191,18.3713469,20.14965628,22.22309662,23.72669873,25.35338921,19.25962841,17.07281288,
Belgium,,,,,,25.43097838,25.92988163,26.4817703,27.09914929,27.07863061,27.32783591,26.94398181,25.93723615,25.31495404,25.89270358,26.01453502,25.72455969,25.05327606,25.36482669,23.9449103,24.61014032,
Belize,21.406126,20.71097534,19.93925706,19.52534438,19.91966697,18.75621626,19.54227384,19.21008269,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,15.46708082,15.68166678,15.66473594,16.34987526,15.4720147,15.95774259,,17.24793502,16.14974008,16.18775113,
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Bhutan,4.704247472,5.084302659,5.313133285,6.452235973,6.335644011,6.994249553,7.916896747,6.979449578,8.492297427,7.410280084,10.28361565,8.914451756,9.792078818,9.534310109,7.820351606,8.346584663,9.030973408,7.519482778,8.420716138,9.235149902,,
Bolivia,,,,,,,,,,,,,13.18410497,12.97300032,15.0163488,16.21516411,16.81616816,16.96486573,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,19.762774,19.03101363,20.73482472,22.76998808,22.15017311,20.96064036,19.57339858,20.39269907,
Botswana,27.50161294,25.55719349,27.84554007,23.68457601,19.54581255,16.61555531,15.08622099,,,,,,,,,,,,,,,
Brazil,12.00912428,9.529726601,9.73379589,10.50015033,11.8960101,,,10.33601125,12.23393629,13.44847074,14.00387664,14.71204884,15.83672033,15.40582113,15.88464474,16.70867902,16.45533091,16.80935035,16.71857023,15.6402087,,
Brunei,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,23.83312952,22.33382461,16.90338645,15.21378387,21.23896499,20.06808568,19.36174462,18.52321817,18.11353701,17.52573286,17.87998994,17.11366746,16.38622416,18.22701502,21.27927437,21.61056154,22.50214588,23.13009158,23.26969608,21.01526881,,
Burkina Faso,,,,,,,,,,,,,10.58849082,10.92299786,12.02681578,11.82919575,12.21724341,12.69370653,12.3416894,12.8662535,12.95067232,
Burundi,,15.14266298,15.12278396,14.92891631,15.61605477,16.67820658,13.43899658,11.42036173,14.34765867,13.59744181,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,8.17291193,7.537844434,8.117265023,7.893242768,8.178914876,9.696979265,10.55519636,9.668701768,10.12137915,
Cameroon,9.76735862,8.905155245,9.753700886,8.357862317,7.279764283,8.601291143,,,11.14503132,11.19808252,,,,,,,,,,,,
