Total 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,14.333047,13.9952289,13.70917412,13.48473426,13.27814849,13.11623021,12.9705313,12.78776539,12.71166229,12.27604512,11.9394264,11.76494593,11.76329166,11.98131114,12.2827405,12.74433499,13.40796462,14.33379389,15.47154667,16.66153011,17.7827069
Albania,14.33278418,14.85507246,14.33891993,13.69716426,14.1253508,14.49396085,15.67527123,16.36240703,16.38297872,18.25726141,20.5345502,22.74043101,24.0769959,23.96440626,22.85115304,23.34412717,25.25607258,27.75821596,29.45002957,27.88059701,25.5222525
Algeria,15.1930546,14.47395512,13.64015187,12.59750063,11.95082921,12.31739293,12.6953748,11.92017016,11.79495293,12.63001486,14.14240755,16.68391574,19.19308846,21.25810601,23.67650316,26.17942679,28.00321953,28.80337261,27.56989699,25.85028428,24.87250297
Angola,14.90593343,14.67667182,14.35416251,13.96658191,13.54594772,13.09453905,12.56684492,12.02314616,11.46018944,11.31849725,11.4651912,11.71019377,12.11036226,12.34670355,12.77698429,13.4516564,14.45997041,15.76283875,16.96811435,18.35692323,19.47428193
Argentina,20.58189027,21.21100337,21.53838716,21.90352604,22.14630895,21.7899431,20.91709881,20.24282123,19.95630231,20.13976763,20.62589675,21.11228732,21.30034919,21.8041225,23.22589382,24.27260641,25.34019004,26.09189703,25.86859305,25.69121216,25.56436732
Armenia,16.64201183,16.57069738,14.13276231,12.92517007,15.32962669,17.19136894,20.62621046,19.38286399,17.97404063,19.27374302,21.02697433,25.44919961,26.17275962,24.58598726,22.85894207,23.3113415,26.87697161,29.21562401,28.27829433,26.24228646,24.03049387
Aruba,13.51351351,13.95348837,14,15.38461538,15.51724138,16.94915254,18.33333333,18.46153846,23.80952381,25,28.08988764,31.31313131,33.33333333,33.63636364,30.35714286,26.54867257,23.89380531,24.10714286,24.54545455,25.45454545,25.47169811
Australia,23.03199903,22.88043478,22.64279459,22.7978825,22.38547969,21.25660599,20.84779207,20.79615214,22.16826586,24.08787327,26.16066771,27.41136665,27.24187625,27.11227108,26.13727561,25.37343642,25.02923521,24.69829537,24.66214979,24.30976671,24.07226902
Austria,28.38811995,28.65168539,25.55034796,24.16448907,22.83074451,21.79994722,23.42963159,23.7962963,24.05838655,24.68809074,26.26779915,27.97619048,29.88313856,30.5102764,29.42967561,27.79069767,26.20426123,25.85947448,25.62405666,24.74623731,23.85202584
Azerbaijan,17.96200345,17.95488722,15.04106776,13.13948404,14.07579273,15.55633679,18.59785784,17.28894887,15.6843711,15.40537068,17.46520507,22.19592996,25.0111957,25.33418205,24.33146924,24.14848455,26.22045719,28.15515429,28.1146533,26.75963441,25.58381394
Bahamas,15.18987342,15.90909091,15.74074074,14.08450704,14.61988304,14.28571429,13.80952381,14.16309013,15.41501976,17.08185053,19.07894737,21.91358025,24.05797101,25.88555858,26.04166667,26.3681592,26.20192308,26.45011601,27.04545455,26.50334076,26.31578947
Bahrain,13.04347826,13.33333333,12.10191083,11.51832461,12.90322581,12.36363636,13.54466859,13.80145278,13.82113821,15.74394464,18.86503067,19.91758242,21.26081582,25.87968218,28.60147213,29.38295788,28.94009217,28.23426573,27.54590985,27.39726027,26.80250784
Bangladesh,16.21516229,15.47830395,14.78259263,14.38817042,14.00156119,13.48294707,13.06488191,12.64382325,12.56572575,13.36680043,14.4160208,15.85120556,17.72866326,19.77878985,22.22916858,24.69386499,26.61319292,27.80246843,28.31455665,28.2322885,27.64556507
Barbados,18.95734597,19.91150442,19.82758621,18.6440678,17.64705882,17.07317073,15.32258065,15.29411765,16.21621622,20.07722008,24.90118577,28.96825397,31.25,31.78294574,29.50191571,28.24427481,27.69230769,26.77165354,26.19047619,24.89795918,23.52941176
Belarus,21.57799587,22.0812508,19.98289972,19.41443012,21.17022453,22.99807816,26.31742416,24.55,22.8460039,23.3271647,24.99254102,28.32263978,29.12844037,29.44634459,29.12642669,30.18079096,32.61707346,32.61896113,30.81475885,27.9784579,25.42605827
Belgium,27.58460825,27.65117329,25.19117326,24.30173508,23.894081,23.64249923,24.73544974,23.19918492,24.0008054,24.80912246,26.50838811,28.34101382,28.52336449,28.18532819,26.955105,25.487042,24.44700053,23.94341446,23.59471982,23.22642496,23.19004525
Belize,17.39130435,15.38461538,14.89361702,14.28571429,12.29508197,11.19402985,11.80555556,11.04294479,10.47120419,10.50228311,11.9047619,14.53900709,16.56050955,18.36734694,19.51871658,20.84367246,22.55813953,24.28256071,26.05932203,26.6802444,26.87747036
Benin,18.78965349,18.26741996,17.36447774,16.07431341,14.82958666,13.8030888,13.14606742,12.93375394,12.57297748,12.36897275,12.3592131,12.58261312,13.0793444,13.60818933,14.22587269,14.92916818,15.71428571,16.69498975,17.79805742,19.04341428,20.53043399
