Income share held by lowest 10%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Mongolia,,,,,,,,,,,,,,,,,,3.06,,,3.04,,,,3.08,,,2.9,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,2.65,,,,,,2.73,,,,,,,,2.65,,2.65,,,,,,2.66
Mozambique,,,,,,,,,,,,,,,,,,,,2.21,,,,,,2.12,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,3.34,,,,,,,,2.74,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,2.490095718,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,2.21939285,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,0.86,,,,,1.03,,,1.66,,,,1.35,,
Niger,,,,,,,,,,,,,,,3,,2.5,,,,,,,,,,,2.33,,
Nigeria,,,,,,,,,2.47,,,,,,,1.42,,,2.03,,,,,,,,1.99,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,3.859976825,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,3.64,,,,3.46,,4.23,,,,4.52,,3.75,,,4.1,,,3.93,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,1.49,,,,,,,,,,,,0.59,,,,0.7,0.72,1.19,,,0.76,,0.87,,0.95,,0.83,
Papua New Guinea,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,2.31,,,,,0.71,,,0.49,0.63,,,0.64,,,0.98,,1.09
Peru,,,,,,,,,1.84,,,,2.17,,,,1.91,,1.52,,,,,,1.08,,,1.42,1.45,
Philippines,,,,,,,,2.77,,,2.83,,,2.55,,,2.56,,,2.28,,,2.3,,,2.31,,,2.41,
Poland,,,,,,,,4.12,,4.08,,3.85,,,,1.98,,,3.45,,,3.27,,,3.12,,,3.03,,
Portugal,,,,,,,,,,,,,,,,,,,,1.994591318,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,4.08,,,3.75,,3.59,,,,3.57,,3.29,,3.14,,,3.34,,
Russia,,,,,,,,,,,4.22,,,,,1.52,,,1.46,,,2.41,,,2.74,,,2.57,,
Rwanda,,,,,,,,4.41,,,,,,,,,,,,,,,2.09,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,1.36,,,,2.79,,,,,,2.84,,,,2.54,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,1.22,,,,,,,,,,,,,2.63,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,1.854974705,,,,,,,,,
Slovak Republic,,,,,,,,,,,5.34,,,,4.96,,,,3.06,,,,,,,,,,,
Slovenia,,,,,,,,,,4.55,,,,,,3.97,,,,,3.79,,,,3.58,,3.38,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,1.25,,1.53,,,,,1.28,,,,,,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,2.574723381,,,,,,,
Sri Lanka,,,,,,,,3.59,,,,,,3.75,,,,,3.57,,,,,,2.86,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,1.04,,,,,,1.82,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,3.58015678,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,2.875513501,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,3.27,,,,3.37,3.21,,,
Tanzania,,,,,,,,,,,,,,,3.04,,,,,,,,3.05,,,,,,,
Thailand,,,,2.29,,,,,,,2.68,,,,2.46,,,,2.52,,,2.61,,,2.67,,2.58,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,1.86,,,,2.07,,,,,,,,,,,,,,,
Tunisia,,,,,,,,2.19,,,,,2.28,,,,,2.21,,,,,2.37,,,,,,,
Turkey,,,,,,,,,,2.37,,,,,,,2.27,,,,,,,,2.21,,,1.91,,
Turkmenistan,,,,,,,,,,,5.12,,,,,2.85,,,,,2.46,,,,,,,,,
Uganda,,,,,,,,,,,,1.93,,,2.47,,,,3.17,,,2.51,,,2.47,,,2.59,,
Ukraine,,,,,,,,,,,4.38,,,,4.09,,,,2.81,,,3.65,,,3.72,,,3.78,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,2.062337122,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,1.878162066,,,,,,,
Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,1.89,,,,1.77,,1.59,,1.81,1.72,,,,1.8,1.73,
Uzbekistan,,,,,,,,,,,5.56,,,,,,,,,,1.09,,,,3.38,2.85,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,1.18,,,,,,1.32,,1.73,,,,2.12,,,1.2,,0.66,,,,,0.96,,1.09,1.74,
Vietnam,,,,,,,,,,,,,,,,3.46,,,,,3.57,,,,3.32,,3.16,,3.08,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,2.32,,,,,,2.99,,,,,,,2.91,,
Zambia,,,,,,,,,,,,,,-0.11,,1.07,,,1.63,,1.22,,,,,2.59,1.32,,,
Zimbabwe,,,,,,,,,,,,,,,,,,1.829128618,,,,,,,,,,,,
