RTI 45-59 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,17.72365,21.03505,21.82396,22.74233,25.07696,,,,,,,21.35505,19.14103,19.23713,17.93011,18.66514,15.37069,14.78644,15.13523,12.79149,13.8536,14.14879,13.70951,13.19241,12.16681,12.61825,13.30447,13.48475,14.85819,13.47706,12.78224,12.40357,14.50643,14.0449,12.42658,12.4851,11.50249,12.05538,12.12958,11.9534,13.4249,13.37677,
Australia,19.7032,20.68878,22.91603,21.13359,22.30248,24.10796,23.52254,25.02258,25.59807,24.83744,27.26624,26.65084,23.86633,26.75557,29.31405,29.8497,28.92241,28.56339,27.54217,29.9029,31.0079,26.4907,25.84317,25.06351,25.30655,23.02235,21.18467,22.34741,22.27996,19.72564,17.9123,17.74808,16.64665,13.64329,13.8973,14.89568,13.63873,12.50053,13.64145,12.57718,10.11583,9.992461,8.785127,8.156166,8.339878,8.081961,8.225456,6.661316,7.506323,6.571095,7.019114,7.339835,7.12019,6.131061,6.200885,,5.211579,,
Austria,,,,,,7.739872,18.92669,28.03054,24.45607,30.8231,26.97304,20.23181,21.91404,26.22066,28.37831,24.40013,27.4357,33.10538,31.8248,30.16453,33.20845,34.34048,36.26978,30.32683,30.8856,29.20591,24.98078,22.07989,25.19738,25.11756,21.90476,22.9969,20.64716,22.03082,22.1158,17.55361,17.35401,16.70831,16.93583,15.79835,15.31849,13.34729,13.70321,12.56769,12.41229,11.80711,9.321181,10.44461,8.599666,9.588133,8.272195,8.620366,9.39805,9.443366,7.485268,7.435309,6.919518,6.341173,6.562839
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.14373,17.18444,,,19.37061,22.13714,16.1678,21.95754,23.3666,24.02019,21.37402,22.51061,18.45235,2.850952,5.720182,7.896607,7.797876,8.050947,6.221158,8.267088,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,12.15299,17.00423,,,,,,,,,21.62651,21.19041,3.827489,9.816655,4.754323,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68693,16.73328,,,12.65635,11.73072,11.42518,17.69024,23.18498,28.4692,30.0561,27.32211,20.80893,19.87596,22.10704,,17.59112,23.62498,21.06674,17.29543,17.92752,27.26107,28.83592,,,,22.75914,
Belgium,,,,,11.63194,11.84977,13.62378,16.474,15.86639,15.67708,19.87538,20.2403,17.57043,18.00586,23.81669,25.47931,25.93633,25.21519,26.51638,29.57561,27.60047,28.53578,29.12741,24.0437,23.16064,21.39505,19.08134,20.08418,20.27879,19.93461,20.61711,18.21143,19.03197,19.72373,15.39856,15.17421,18.56914,15.93572,16.7101,15.04096,13.72457,14.78575,13.71051,13.87148,15.30145,12.53742,12.10765,10.74834,12.35648,10.65275,,,,,8.612188,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.21655,23.05979,25.2888,26.83078,31.13402,31.00579,29.99589,29.54145,28.69988,26.85079,24.88366,24.86127,24.97886,28.10488,25.4247,26.95177,23.60398,21.92105,20.78779,21.54862,22.24533,21.88661,23.38258,22.95839,,,
Bulgaria,,,,,,,,,,,,,,,6.821084,6.010712,13.93203,12.40853,14.85928,13.76668,14.06248,15.36202,15.48793,15.18945,13.35855,15.57495,14.82151,16.31677,14.51961,17.85637,15.61009,15.71251,14.74029,13.48778,13.77178,15.10315,13.82477,14.79572,13.63769,15.38664,18.08317,11.60789,13.87369,14.37171,16.32587,14.32853,12.28716,11.56851,11.74522,10.98716,12.604,13.48545,12.38836,11.33051,9.947715,11.51689,14.23701,13.52325,12.25227
Canada,18.00594,21.10717,20.86746,20.53574,18.1499,19.28756,23.29705,23.89408,21.14685,21.62206,21.43446,22.32921,24.96495,25.00846,25.47568,25.93013,26.60108,27.33498,25.86855,26.05598,22.19787,23.32927,24.7196,25.87412,22.07491,21.67434,19.20867,17.85465,17.11507,18.57142,16.88468,17.54915,13.58492,13.28483,12.92566,13.14922,12.66936,13.1125,11.71216,12.00507,10.76196,10.26125,9.795335,10.72468,9.28386,8.196051,8.736346,7.991615,7.643427,8.325659,8.1549,7.498101,8.592411,7.473758,7.482367,,,,
