Physicians per 1000 people,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.03484424949,,,,,0.06342779845,,,,,0.06490000337,,,,,,,,,,,0.07699999958,,,,,0.1831,0.1790000051,,0.1291999966,0.1092000008,,,0.1428000033,,,,0.11,,,,0.186,,,,0.2,,,,0.21,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.2762912214,,,,,0.4812834263,,,,,0.7394999862,0.9108999968,0.8454999924,,,,,1.036499977,,,1.366799951,,,1.414800048,1.406599998,1.406299949,,,,1.403300047,1.37409997,1.470299959,1.650099993,1.425400019,1.315399051,1.306,1.354,1.295,1.289,1.282,1.389,,1.305,,,,1.15,1.146,,,,
Algeria,0.1731481552,,,,,0.1164136529,,,,,0.123499997,,,,,,,,,0.3801000118,,,,,0.4271000028,,,,0.4287999868,,0.9416000247,,,0.82099998,,0.846,,,1,,,,1.13,,,,,1.207,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,0.772300005,,,,,,,,,,,,,,,0.781,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.231,,2.435,2.47,2.594,2.549,2.594,,3.697,,,3.64,3.716,,,,
Angola,0.06706810743,,,,,0.07606177777,,,,,0.1163000017,,,,,,,,,,,,,,0.05939999968,,,,,,0.0421000011,,,,,,,0.077,,,,,,,0.08,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.2935779691,,,,,,,,,,0.3492999971,,,,,,,,,,,,,,,,,,,,0.7599999905,0.9185000062,,3.030299902,,0.76,1.141,,,0.17,,,,,,,,,,,,
Argentina,1.350698471,,,,,1.666651726,,,,,1.892199993,,,,,1.869300008,,,,,,,,,2.683300018,2.704999924,2.984400034,,3.032000065,,2.680000067,,2.684000015,,,2.68,,,3.01,,,,,,3.155,3.21,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,3.210500002,3.277899981,3.405800104,3.453500032,3.50090003,3.577199936,3.673899889,3.735500097,3.762700081,3.881200075,3.924400091,3.701499939,3.596999884,3.345499992,3.122100115,3.042,3.591,3.156,3.156,3.051,2.987,3.526,,3.588,,,3.7,3.697,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,
Australia,,1.1,,,,,1.2,,,,,1.2,,,,,1.5,,,,,1.8,,,1.8,1.9,2,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.47,2.5,,,,0.963,,,2.991,,
Austria,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.1,3.2,3.3,3.3,3.4,,,3.66,3.794,,4.749,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,3.362099886,,,,,3.799499989,3.877199888,3.906199932,3.963500023,3.989900112,3.917200089,3.916399956,3.881299973,3.927700043,3.896100044,3.925,3.899,3.831,3.602,3.521,3.607,3.536,,3.547,,,3.63,3.794,,,,
Bahamas,0.4955752194,,,,,,,,,,0.7602000237,,,,,,,,,,0.9380999804,,,,0.9431999922,,,,,,1.290099978,,,1.445700049,,1.49,1.518,,1.05,,,,,,,,,,,,,
Bahrain,0.4496644437,,,,,,,,,,0.4286000133,,,,,,,,,,1.086799979,,,,,1.218799949,,,,,,1.315000057,,0.1098999977,,,,1,,,,1.596,,,1.087,2.72,,2.965,1.442,,,
Bangladesh,,,,,,0.1230748221,,,,,0.1186999977,,,,,,,,,,0.1204999983,,,,,0.1538999975,0.1440999955,,,,0.176699996,0.1884000003,,,,0.201,,0.2,,,,0.231,,,0.257,0.3,,0.295,,,,
Barbados,0.3294321597,,,,,,,,,,0.5225999951,,,,,,,,,,,,,,0.8906999826,,,,,,1.139500022,,,1.253999949,,1.28,,,,1.21,,,,,,1.811,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,2.961600065,,,,,3.328500032,3.375200033,3.4454,3.512399912,3.576200008,3.560400009,3.576400042,3.638200045,4.076200008,4.142499924,4.155,4.286,4.365,4.431,4.551,4.579,4.497,4.52589255,4.55,4.622401812,4.68,4.78,4.869,4.98,5.11,,
Belgium,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,,1.5,1.6,1.7,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.5,2.8,2.7,2.8,2.9,3,3.1,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,,,,4.23,,2.987,,,
Belize,0.2416254878,,,,,,,,,,0.3418000042,,,,,,,,,,,,,,0.2718999982,,0.4507000148,,0.4715999961,,0.6391999722,,,0.4927000105,,0.6,0.548,,,,1.05,,,,,,,,,0.828,,
Benin,0.03978542611,,,,,0.02962962911,,,,,0.03440000117,,,,,,,,,,0.05900000036,0.05900000036,,0.07500000298,,0.07349999994,,,,0.07079999894,0.0505000018,0.0421999991,0.0551000014,0.057,0.060800001,0.058,,,,,,,,,0.04,,,,0.059,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.766,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,0.1246000007,0.1024999991,,,,,,,,0.3332999945,,,,0.1703999937,0.16,,,,0.051,,,,,0.051,,,0.023,,,,
Bolivia,0.2670844495,,,,,0.3105656207,,,,,0.5088000298,,,,,0.4902000129,,,,,,0.5232999921,,,0.6974999905,,,,,,0.4499999881,,,0.4259000123,,0.34,,1.299,,,,1.22,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,1.032699943,1.089100003,1.17019999,1.207000017,1.280300021,1.362100005,1.41869998,1.484799981,1.520099998,1.556599975,1.570299983,1.555199981,,,,,,,1.427,1.401,1.422,1.338,,1.34,,1.4179,,,,,,
Botswana,0.04166666791,,,,,0.03641660511,,,,,0.06440000236,,,,,0.133100003,,,,,0.1225000024,0.1342000067,,0.143900007,,,,,0.2004999965,0.1941000074,,,,0.1941000074,0.2380000055,,,,,0.288,,,,,0.4,,0.336,,,,,
Brazil,0.3739242852,,,,,0.3998316228,,,,,0.4921999872,,,,,0.6244000196,,,,,,0.7670999765,,,0.926699996,1.466899991,,,1.185299993,,1.360000014,,,,,1.31,1.272,1.308,,1.396,1.15,,,,,,1.694,1.72,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0.146341458,,,,,,,,,,0.3000000119,,,,,,,,,,0.4352000058,0.4867999852,,,0.5338000059,,,,,,,0.7462000251,,,,,0.848,,,,1.006,,1.14,,,,,,1.417,,,
Bulgaria,1.404728651,,,,,1.666625977,,,,,1.863299966,1.895799994,1.984899998,2.041599989,2.101500034,2.152100086,2.204900026,2.2579,2.320600033,2.407599926,2.459599972,2.484299898,2.58829999,2.6875,2.758500099,2.864700079,2.952899933,3.021500111,3.089699984,3.138999939,3.16960001,2.979300022,3.166100025,3.358799934,3.327300072,3.458,3.539,3.447,3.449,3.463,3.399,3.384,,3.562,,,3.66,3.665,3.635,,,
Burkina Faso,0.01101511903,,,,,0.01352145802,,,,,0.0103000002,,,,,,,,,,0.01820000075,0.0178999994,,0.01750000007,,,0.003800000064,,,0.02899999917,,,,,,0.034,0.035,0.038,,,,0.04,,,0.05,,,,0.064,,,
Burundi,0.01020061225,,,,,0.01742919348,,,,,0.01710000075,,,,,0.01219999976,,,,,,,,,0.04690000042,,0.05799999833,,,,0.0581,0.058699999,,0.056499999,,0.055,,,,,0.052,,,,0.03,,,,,,,
Cambodia,0.02834529802,,,,,0.04461814091,,,,,0.0615000017,,,,,,,,,,,,,0.05820000172,,,,,,,,,0.1067000031,0.1037999988,0.1048000008,,,,0.297,0.296,0.16,,,,,,,,0.227,,,
Cameroon,0.03379909322,,,,,0.037062224,,,,,0.03400000185,,,,,0.0719999969,,,,0.07109999657,,,,,,,,,,0.08380000293,0.0824000016,,0.0837000012,0.0728999972,,,0.074,,,,,,,,0.19,,,,,,,
Canada,,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,,1.9132,,,,,
Cape Verde,0.07653061301,,,,,,,,,,0.08240000159,,,,,,,,,,0.1764999926,,,0.1999000013,,,0.3294999897,,0.3415000141,,,,0.233799994,,,,0.171,,,,,,,,0.49,,,,0.572,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.700000048,,,,,1.7,,1.939,,,,,,,,,,,,,,
Central African Republic,0.02020860463,,,,,0.03041144833,,,,,0.02270000055,,,,,,,,,,0.0428000018,0.0438000001,0.04259999841,,,,,,,0.0390000008,0.0384000018,,,0.0551999994,,0.035,,,,,,,,,0.08,,,,,,,
Chad,0.01370757166,,,,,0.01379724033,,,,,0.01620000042,,,,,,,,0.02109999955,,,,,,,,0.02630000003,,,0.0262000002,,,,,0.0329999998,,,,,,,0.025,,,0.04,,,,,,,
Channel Islands,1.019230723,,,,,,,,,,1.200000048,,,,,,,,,,1.457399964,1.522400022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0.5586224794,,,,,0.4727018178,,,,,0.4634999931,,,,,,,,,0.5163999796,,,,,0.8167999983,,,,,,1.100000024,1.066300035,,,1.103000045,1.08,,,1.153,,,,,1.09,,,1.283697047,,,,,
China,,,,,,1.070000052,0.9599999785,0.9399999976,0.9100000262,0.8799999952,0.8600000143,0.8500000238,0.8600000143,0.8899999857,0.9200000167,0.9599999785,1,1.029999971,1.080000043,1.120000005,1.179999948,1.25,1.299999952,1.320000052,1.330000043,1.340000033,1.350000024,1.370000005,1.470000029,1.539999962,1.549999952,1.549999952,1.549999952,1.549999952,1.580000043,1.59,1.59,1.61,1.61,1.67,1.64,1.055,1.642,1.42,,1.51,,,,1.415,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0.3541555405,,,,,0.3774692416,,,,,0.4196999967,,,,,,,0.478399992,,,,,,,0.758400023,,0.8077999949,,0.8730999827,,1.090000033,,,0.9049999714,,0.99,,1.16,1.27,1.088,1.32,1.34,1.35,1.37,1.38,1.39,1.41,1.42,1.43,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,0.08389999717,,,,0.1634999961,,0.1133999974,,0.1274999976,,,,,0.074,,,,,,,0.15,,,,,,,
"Congo, Dem. Rep.",0.0145437941,,,,,0.02842009254,,,,,0.0353000015,,,,,0.03570000082,,,,0.07280000299,,,,,,,,0.0746999979,,,0.0661000013,,,,,,0.069,,,,,,,,0.11,,,,,,,
"Congo, Rep.",0.05971660092,,,,,0.06750675291,,,,,0.1005999967,,,,,,,,0.1738000065,,,,0.118900001,,,0.2520999908,0.2524999976,,,,0.2761000097,,,,,0.251,,,,,,,,,0.2,,,0.095,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0.3911187053,,,,,0.5170969963,,,,,0.6143000126,,,,,,,,,0.6794999838,,,,,0.9896000028,,,0.9678000212,0.8805999756,,1.259999991,,,0.8826000094,0.8453999758,0.854,0.864,0.872,0.901,1.719,1.32,,,,,,,,,,,
Cote d'Ivoire,0.03254829347,,,,,0.04815551266,,,,,0.06440000236,,,,,,,,,,,,,,,0.070600003,,,,,0.0877000019,,,,,,0.09,,,,,,,,0.12,,,,0.144,,,
Croatia,,,,,,,,,,,,,,,,,,,,,1.672700047,1.737900019,1.808099985,1.858299971,1.880300045,1.943799973,2.016499996,2.065799952,2.092799902,2.134000063,2.124700069,1.943699956,1.975200057,2.028399944,2.011100054,2.036,2.25,2.259,2.288,2.352,2.383,2.374,2.4,2.444,2.4,2.5,2.47,2.59,2.661179389,2.67474939,,
Cuba,0.9461703897,,,,,0.8758060336,,,,,0.8216000199,,,,,,,,,,,1.387899995,,,1.886100054,,,,2.999900103,,3.641400099,,,,,5.18,,5.304,,,5.897,,5.91,,,,,6.399,,,,
