Physicians per 1000 people,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,0.6823734641,,,,,,,,,,0.8015999794,,,,,,,,,,0.9164999723,0.9725000262,,,,,1.393000007,1.380300045,,,1.760599971,,,,,,2.55,,,2.119,2.983,,2.342,,,,2.3,,,,,
Czech Republic,,,,,,,,,,,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.9,2.9,3,3,3.1,3,3.1,3.4,3.4,3.5,3.5,,,3.58,3.61,3.625,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,1.8,1.8,2,2.1,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.4,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.9,,3.59,,3.163,3.419,,,,
Djibouti,0.1566265076,,,,,,,,,,0.2838999927,,,,,,,,,,,0.2237000018,,,0.238499999,,,,,,0.162499994,,,,,0.191,0.14,,,0.133,,,,,0.181,0.18,0.229,,,,,
Dominica,0.1326699853,,,,,,,,,,0.1607999951,,,,,,,,,,,,,,0.3386000097,,,,,,0.4600000083,0.5278000236,,,,0.47,0.493,0.5,,,,,,,,,,,,,,
Dominican Republic,0.1213246733,,,,,0.5882816315,,,,,,,,,,0.4350000024,,,,,,,,,0.5644000173,,,,1.073899984,,1.49000001,,,1.053900003,,1.5,,2.156,,,1.88,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.3955845833,,,,,0.3345645368,,,,,0.3483999968,,,,,0.3512000144,,0.6370000243,,,,,,,1.244300008,,,,,,1.533200026,,,,,1.33,1.325,1.696,,1.397,1.48,,,,,,,,,,,
Egypt,0.3913278282,,,,,0.4347885251,,,,,0.52700001,,,,,0.5358999968,,,,,1.065400004,1.363800049,1.365399957,,,,1.303599954,,,,0.7595000267,,,,1.840000033,,2.02,1.6,,,2.118,,,,,2.43,,,,2.83,,
El Salvador,0.1873545349,,,,,,,,,,0.2432000041,,,,,0.2419999987,,,,,0.3255999982,0.386500001,,,0.3517000079,,,,0.647300005,,0.8399999738,,,0.6600999832,,0.91,,1.071,,,1.211,,1.24,,,,1.5,,1.596,,,
Equatorial Guinea,0.1666666716,,,,,,,,,,0.08590000123,,,,,,,,,,,,,,,,,,,,0.2813000083,,,,,0.208,0.246,,,,,,,,0.3,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0188999996,,,0.03,,,,,,,,0.05,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,2.937999964,,,,,3.350199938,3.407999992,3.483999968,3.485399961,3.490099907,3.503799915,3.53550005,3.263999939,3.20720005,3.200000048,3.191,3.148,3.114,3.11,3.206,4.475,3.16,,,,,3.33,,3.409,,,
Ethiopia,0.008783101104,,,,,0.01424692012,,,,,0.01159999985,,,,,0.01159999985,,,,,0.01130000036,0.01130000036,,,0.01269999985,,,,0.03079999983,,,,,,0.0285,,0.025,0.023,0.021,0.02,0.021,0.028,0.029,0.03,,,,0.022,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0.4949238598,,,,,,,,,,0.4711999893,,,,,0.475699991,,,,,0.4478999972,,0.493900001,,,,,,,0.358099997,,,0.472299993,,0.3763000071,,,0.476,0.357,0.337,,,,0.4529,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.6,2.6,,,3.3,3.319,2.735,,,
France,,,,,,,,,,,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2,2.1,2.1,2.5,2.7,2.8,2.8,2.9,3,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.367,,3.41,3.736,3.497,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,1.25150001,,,,,,,,,,,,,,,1.697,,,,,,,,,,,
Gabon,0.1172839478,,,,,,,,,,0.1905000061,,,,,,,,,,,0.4571999907,,0.4334000051,,0.5181000233,,,0.2457000017,0.4941999912,,,,0.2150599957,0.256990999,0.289,,,,,,,,,0.29,,,,,,,
Gambia,0.0426136367,,,,,,,,,,0.04089999944,,,,,0.0401000008,,,,,,,,,,0.08110000193,,,,,,,,0.0163000003,,,,0.035,,,,,,0.11,,,,,0.038,,,
Georgia,,,,,,,,,,,3.200000048,3.299999952,3.319999933,3.400000095,3.47510004,3.630000114,3.720000029,3.809999943,3.950000048,4,4.12319994,4.212100029,4.318699837,4.333000183,4.471300125,4.611000061,4.698699951,4.808000088,4.868400097,4.970600128,4.925600052,4.897600174,4.725500107,5.00330019,4.898900032,4.792,4.457,5.192,5.042,3.768,4.731,4.295,3.907,4.089,,,4.65,4.538,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.8,2.9,3,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.4,,,3.44,3.483,3.531,,,
Ghana,0.04650132731,,,,,0.07280623168,,,,,0.0775000006,,,,,0.0775000006,,,,,,,,,0.0671999976,,,0.04870000109,,0.04300000146,,,,,,,0.062,,,,,,0.09,,0.15,,,,0.11,0.085,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,1.3,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.9,2,2,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.8,2.9,2.9,3.1,3.3,3.2,3.3,3.4,3.6,3.7,3.8,3.8,3.9,3.9,4,4.1,4.2,4.3,4.4,,,,5,5.35,,6.043,,,
Greenland,1.169230819,,,,,,,,,,0.9052000046,,,,,,,,,,1.135499954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,0.2222222239,,,,,,,,,,0.3458999991,,,,,,,,,,,,,,0.4902999997,,,,0.5534999967,,0.5,,,0.5777999759,,0.65,,0.5,0.9756,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18690002,,,,,,,,,,,,,1.084,,,,,,,,,,,,
Guatemala,0.1842038929,,,,,0.2711344659,,,,,0.2736999989,,,,,,,,,,,,,,0.4697000086,,,,0.2603000104,,0.7799999714,,,0.2500999868,,1.1,,0.933,,0.9,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0.03635204211,,,,,0.02178899013,,,,,0.01970000006,,,,,,,,,,,0.02199999988,0.02150000073,,,0.02569999918,,,,,0.1342999935,,,,0.1521999985,0.13,,,,,0.094,,,,0.11,0.1,,,,,,
Guinea-Bissau,0.04488330334,,,,,,,,,,0.05150000006,,,,,,,,,,0.1414999962,,,,,0.1444000006,,,,,,,,,0.1765999943,,0.166,,,,,,,,0.12,,,,0.045,,,
Guyana,0.2548330426,,,,,,,,,,0.235499993,,,,,0.2493000031,,,,,,,,,0.1650000066,0.1684000045,,,,,0.1700000018,,,0.1118000001,,0.33,,0.181,,,0.48,,,,,,,,,,,
Haiti,0.1051524729,,,,,0.0697562173,,,,,0.07989999652,,,,,0.08070000261,,,,,,0.1101000011,,,0.1407999992,0.1369999945,,,0.1427000016,,0.0799999982,,0.0839999989,0.0921000019,,0.16,,,0.25,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0.0813094005,,,,,0.190200448,,,,,0.2685000002,,,,,0.2689999938,,,,0.3307000101,,0.3323999941,,,0.690599978,,,,0.8291000128,,0.6999999881,0.4106999934,,,,0.65,,0.832,,,0.57,,,,,,,,,,,
"Hong Kong, China",0.3266971409,,,,,0.3962621987,,,,,0.6625999808,,,,,0.6722000241,,,,,0.8259999752,,,,,,0.9318000078,,,,,,,1.203799963,1.270799995,1.319,,,,,,,,,,,,,,,,
Hungary,1.5,1.6,1.7,1.7,1.8,1.9,1.9,2,1.9,2,2,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.7,2.8,2.9,2.9,2.9,2.9,3,3,3,3.1,3.1,,,3.2,3.2,,,3.04,2.783,3.097,,,
Iceland,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.8,1.9,1.9,2,2,2.1,2.2,2.3,2.3,2.4,2.6,2.6,2.7,2.7,2.8,2.8,2.8,3,3,3,3,3.1,3.3,3.3,3.4,3.4,3.5,3.6,3.6,3.616,,3.77,,3.934,,,
India,0.2104776651,,,,,0.2049170583,,,,,0.2045000046,,,,,0.2040999979,,,,,0.3711999953,0.2700000107,,,0.3964999914,,,,0.4065999985,,,,0.4799999893,0.4066999853,,,,,0.513,,,,,,0.6,0.599,,,,,,
Indonesia,0.02061789855,,,,,0.0315454416,,,,,0.03730000183,,,,,0.03709999844,,,,0.08540000021,,0.08030000329,,0.1062999964,,,,,,0.1422999948,0.1441999972,0.1476999968,0.1501999944,0.1615999937,0.1599999964,,,,,,0.162,,,0.13,,,0.13,0.288,,,,
Iran,0.2442238033,,,,,0.2569238842,,,,,0.3057999909,,,,,,,,,,,0.3382999897,,,,,0.3465000093,0.3759999871,0.3181000054,,,,,0.3183000088,,,0.85,,1.049,,,,,,0.45,0.89,,,,,,
Iraq,0.1954140514,,,,,0.1999749243,,,,,0.3088999987,,,,,,,,,,0.5630000234,0.5680000186,,,,,0.5960999727,0.576399982,,,0.6029000282,,,0.6028000116,,,,,0.55,,,0.543,,,0.658,0.66,,0.528,,0.69,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2.1,2.1,2.1,2.2,2.3,2.2,2.4,2.4,2.6,2.786,,2.94,3.08,3.187,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2.471617699,,,,,2.500195026,,,,,2.881200075,2.974400043,3.155900002,3.304199934,,,,,,2.693900108,3.094099998,3.166599989,3.213500023,3.322999954,3.353399992,3.214600086,3.200400114,3.207400084,3.210299969,3.195499897,3.207000017,3.302900076,3.656500101,3.696000099,3.730900049,3.736,3.766,3.793,3.775,3.915,3.766,3.91,,3.82,,,3.67,3.633,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.7,3.9,4.1,4,4.1,4.2,4.2,4.4,4.4,4.1,4.203,,3.7,,4.242,,,
Jamaica,0.3861264586,,,,,0.5017045736,,,,,0.3799000084,,,,,,,,,0.3607000113,,0.3589000106,,,0.4891000092,,,,,,0.5699999928,,,0.4720000029,,0.57,1.401,1.401,,,,,,0.85,,,,,,,,
Japan,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,,1.4,1.5,1.5,,1.6,,1.7,,1.7,,1.8,,1.8,,1.9,,1.9,,2,,2.12,,2.063,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0.3459715545,,,,,0.3696808517,,,,,0.4038000107,,,,,0.3779000044,,,,,0.7863000035,1.114099979,1.128100038,,1.159399986,,,,,,,1.347800016,,,1.625499964,,,1.66,,,,2.05,,,2.03,2.36,,2.561,,2.45,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,3.035700083,3.154099941,3.253299952,3.395900011,3.531300068,3.629100084,3.724299908,3.791100025,3.871500015,3.96239996,3.975899935,3.838900089,3.907500029,3.765899897,3.603699923,3.635,3.639,3.301,3.528,3.201,3.292,3.302,3.612,3.539,3.6,3.7,3.88,3.877,3.7,3.8,,
Kenya,0.09193471074,,,,,0.07528977096,,,,,0.125,,,,,0.1265999973,,,,,,0.09899999946,0.1202000007,,,0.1544999927,,,,,0.0450999998,,,0.1377999932,,0.132,,,,,,,0.14,,0.139,,,,,,,
Kiribati,0.5405405164,,,,,,,,,,0.613499999,,,,,,,,,,0.5163999796,,,,,,0.4966000021,,,,0.1934999973,0.1761000007,0.185800001,0.1300999969,,,,,0.296,,,,,,0.23,,0.297,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,2.549099922,2.511100054,,,,,,,,,,,,2.97,,,,,,,,3.29,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.57,1.71,,,,1.967,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0.8705036044,,,,,1.263269663,,,,,0.9542999864,,,,,,,,,,1.698199987,1.41170001,1.620399952,,,,1.565600038,,,,0.1831,,,,,1.783,,1.89,,,,1.525,,,,1.8,,,,1.793,,
