Income share held by third 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,17.42,,,,,17.56,,,16.58,,
Algeria,,,,,,,,,,,14.82,,,,,,,16.31,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,10.79,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,14.37,,,,,,14.25,,,,13.51,,13.29,,,,12.35,,,13.31,,
Armenia,,,,,,,,,,,,,,,,,,,13.97,,,15.59,,,15.49,15.72,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,17.2,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,17.44185593,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,16.52,,,,,,15.55,,,,18.66,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,17.58,,,,16.39,,,,16.31,,,,,16.13,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,18.56,,,,,18.49,,,,17.97,17.23,,17.1,,17.39,,,17.82,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,16.30798973,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,12.99,,,,
Bolivia,,,,,,,,,,,,,,14.76,,,,,,11.04,,11.59,,,10.89,,,11.42,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,17.52,,,16.2,,,
