"10-14 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,951000,1048000,1185000,1249000,1410000,1610000,1710000,1519000,1559000,2266000,2602000,3165000,3809000,4415000,4922000,5578000,6265000,6881000,7340000,7640000,7853000
Albania,146000,153000,168000,213000,273000,307000,298000,317000,337000,315000,325000,315000,285000,218000,220000,235000,240000,226000,199000,181000,178000
Algeria,1001000,1099000,1256000,1434000,1779000,2104000,2437000,2800000,3258000,3762000,3773000,3587000,2985000,3129000,3411000,3587000,3556000,3329000,3070000,2940000,2948000
Angola,467000,505000,548000,650000,737000,845000,972000,1141000,1333000,1584000,1844000,2164000,2398000,2784000,2978000,3333000,3621000,3830000,3961000,4059000,4156000
Argentina,1579000,1726000,1939000,2121000,2247000,2340000,2447000,2747000,3290000,3222000,3339000,3426000,3404000,3315000,3395000,3410000,3356000,3261000,3153000,3044000,3041000
Armenia,191000,113000,159000,249000,337000,364000,307000,305000,318000,317000,326000,270000,192000,205000,224000,230000,213000,188000,174000,171000,172000
Aruba,4000,5000,6000,7000,7000,7000,6000,4000,5000,6000,6000,8000,8000,7000,6000,6000,6000,7000,6000,6000,6000
Australia,587000,740000,980000,1082000,1208000,1264000,1272000,1348000,1240000,1295000,1336000,1401000,1374000,1369000,1440000,1479000,1513000,1544000,1558000,1570000,1599000
Austria,502000,554000,504000,486000,574000,649000,616000,501000,441000,482000,472000,489000,438000,418000,401000,398000,407000,411000,407000,399000,397000
Azerbaijan,405000,239000,298000,471000,707000,820000,745000,679000,710000,814000,939000,886000,688000,661000,779000,816000,766000,676000,618000,612000,628000
Bahamas,9000,10000,12000,15000,21000,24000,27000,28000,26000,29000,28000,31000,31000,28000,28000,28000,28000,28000,27000,27000,26000
Bahrain,13000,15000,18000,24000,29000,36000,36000,38000,45000,53000,56000,67000,69000,71000,69000,69000,68000,67000,69000,70000,70000
Bangladesh,4883000,5308000,5926000,7404000,8444000,9748000,11235000,13108000,15149000,16615000,16959000,16981000,17242000,17061000,15960000,15900000,15840000,15478000,14830000,14090000,13626000
Barbados,22000,22000,27000,28000,31000,31000,26000,26000,21000,21000,20000,18000,15000,14000,14000,14000,13000,13000,12000,12000,12000
Belarus,815000,539000,606000,774000,958000,900000,733000,730000,745000,814000,803000,609000,472000,455000,477000,460000,424000,382000,345000,329000,329000
Belgium,570000,543000,699000,714000,765000,800000,728000,663000,609000,604000,604000,624000,602000,593000,622000,622000,629000,625000,618000,613000,617000
Belize,8000,8000,10000,13000,18000,18000,20000,22000,23000,28000,31000,35000,36000,36000,36000,37000,37000,36000,34000,33000,32000
Benin,201000,232000,238000,263000,307000,366000,432000,503000,597000,706000,827000,977000,1127000,1290000,1488000,1655000,1770000,1859000,1933000,2002000,2057000
Bhutan,20000,23000,26000,28000,33000,39000,46000,55000,66000,64000,76000,78000,70000,72000,68000,72000,73000,69000,64000,62000,62000
Bolivia,314000,339000,396000,447000,508000,569000,648000,742000,793000,875000,979000,1100000,1136000,1187000,1194000,1191000,1173000,1146000,1110000,1066000,1019000
Bosnia and Herzegovina,344000,270000,352000,400000,422000,412000,382000,348000,351000,268000,291000,227000,220000,181000,170000,165000,159000,148000,136000,126000,120000
