Suicide 45-59 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,12.32776,15.4738,16.61681,15.15715,14.40679,,,,,,,9.725818,10.57988,10.44835,11.49726,13.33183,10.18756,9.627398,11.17973,10.72878,12.02388,11.91848,11.84035,10.92543,10.97267,8.953767,10.64315,9.9217,10.48113,10.0548,11.48256,10.27079,10.13275,10.03813,11.79488,12.2038,11.97377,11.05011,10.34075,9.676336,9.413205,8.851971,
Australia,17.14331,17.97345,19.47919,21.19011,18.77694,19.58652,20.26723,25.70134,24.46511,23.32957,20.76401,25.69843,29.06595,31.88218,28.81115,29.31974,28.23211,28.22904,24.98694,21.98184,24.54215,25.67839,24.42505,21.66028,21.62532,20.08364,19.50514,19.83079,18.35403,19.49272,16.4898,18.14956,16.40586,16.39685,17.39228,14.98479,18.11241,18.00282,16.35347,15.15065,15.80162,16.63208,15.72467,14.48414,15.6797,15.16757,14.56927,15.82394,14.73361,15.33809,13.16539,14.94843,13.62751,13.11381,12.06944,,11.51874,,
Austria,,,,,,40.0192,38.78823,40.75004,39.75163,44.27712,36.88183,38.19407,36.47096,35.94807,41.17103,40.05841,35.82941,35.7374,36.48459,36.69558,40.31704,34.99265,37.31734,37.54509,37.57,36.63891,35.77373,34.31112,36.95097,38.04817,38.90972,39.25333,39.92687,40.67797,39.92519,37.44231,37.23305,35.6234,32.67654,32.41394,31.91883,27.04337,32.03055,26.84941,29.79297,27.96579,28.68303,24.055,26.11572,24.71073,24.83128,24.71288,23.54156,23.10641,21.21135,22.35555,20.11896,19.25245,20.14735
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26071,7.730623,,,8.463917,6.824316,5.562059,5.337361,5.730422,3.633257,2.85741,4.210725,2.233093,1.606066,0.7711367,2.397751,3.343774,1.64538,1.502592,0.9408656,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.350408,,5.898135,2.067845,,,,,,,,,,,0,6.726823,3.304435,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3695,48.84189,,,44.63812,33.23747,35.04048,35.95673,41.72746,38.96912,40.76225,47.69992,54.25464,60.59912,62.78972,,66.47279,66.01118,57.25006,57.33726,55.11309,54.46267,54.94658,,,,37.81891,
Belgium,,,,,23.10772,22.66221,24.27077,23.59994,26.14126,21.92823,24.87457,23.09149,20.88673,23.64335,21.36064,22.72387,21.8812,23.83342,25.61633,22.65614,26.59664,24.35878,22.04586,22.44256,23.16547,23.03555,25.13471,27.44833,29.05271,32.67068,31.70512,31.73473,30.32677,32.69873,34.23933,32.98959,31.22656,32.09584,27.30882,23.74841,23.49924,21.95889,24.24977,29.33619,27.38428,29.14767,25.85995,30.61188,26.36189,25.1124,,,,,27.13165,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63859,17.86902,15.51257,18.05715,14.06777,12.09107,12.96852,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.607292,6.617012,6.49604,6.074857,5.59443,6.46493,5.873186,5.559593,5.862832,6.245021,6.503397,5.846006,6.101931,6.554847,6.816068,7.011018,6.781626,6.273554,6.536634,7.240741,6.931452,6.849125,6.613309,7.160292,,,
Bulgaria,,,,,,,,,,,,,,,12.93126,13.73483,14.0688,15.82274,14.41298,18.29683,16.1905,16.46143,14.11258,14.94019,16.23985,16.64474,17.74252,16.87653,16.87599,17.97245,16.41525,16.7112,17.9473,16.072,21.31273,17.76097,17.40491,17.93501,18.26664,19.40374,16.18612,17.57143,20.91912,19.39713,20.88383,20.44002,22.40379,20.17143,20.24688,19.18873,21.68045,21.37839,18.98125,16.6931,16.84776,16.38763,15.07701,12.72253,14.52375
