,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Japan,282314,305395,322561,344138,345418,357464,376792,380453,384456,380035,370652,388957,401251,417974,437375,442245,486204,496621,486906
Kazakhstan,,,,,,,,,445,9449,14042,17399,21088,26169,35338,41828,59587,77170,89423
Kenya,122,107,144,129,90,107,68,131,110,175,8963,28728,39049,49960,67830,80544,115936,150445,177559
Kiribati,,,,,,,,,,,,,,,,2,,,
"Korea, Dem. Rep.",,533,4773,5425,6492,8526,10033,4549,6170,8379,12303,15693,20575,25467,33918,40391,57805,74672,88052
"Korea, Rep.",8633,11794,14121,18836,22790,26656,31387,36154,40157,47344,60594,96557,113994,129982,46517,133127,172184,190022,203696
Kyrgyzstan,,,,,,,,,,,7452,15718,20305,25103,33905,40191,58196,75573,89480
Latvia,,,,,,,,,661,2666,11568,16350,21695,27023,35963,90276,112228,130439,140645
Lebanon,,,,,,,,,,,,,,,,,104,,
Lesotho,,,,,17,44,35,59,82,97,70,2616,37045,49483,67491,80315,115822,150362,177309
Liberia,,,,,,,,17,,35,1924,14278,20497,26045,34862,41120,58896,76005,89507
Libya,,,,,,27,57,47,,36,31,43,35,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,52010
Lithuania,,,,,,,,29,251,1449,5051,15988,21350,26798,35838,90417,112240,130357,140765
Luxembourg,554,14772,16854,18933,23826,28355,34777,35978,39965,43503,51168,58063,70852,106484,144401,159601,198631,230724,251564
Madagascar,,359,605,880,1299,1793,3144,4343,5880,8350,12344,15823,20807,26174,34941,41246,59029,76048,89530
Malawi,26,389,677,939,1343,1836,3204,4402,5947,8443,16084,28873,39034,49934,67756,80431,115894,150689,177315
Malaysia,,1337,245,3523,1619,1847,2305,2427,2410,2882,3587,4052,,6451,,,,,
Malta,15,20,17,22,17,15,19,27,25,24,42,24,24,46,34,83,116,133,202
Mauritius,10,9,21,5,16,11,4,10,12,6,17,7,22,15,15,,,,
Mexico,4003,4048,4006,4412,4549,4741,5289,5271,7695,8212,9944,23669,30694,35932,44721,50000,66916,82470,94743
Moldova,,,,,,,,,,103,7602,15877,20535,25325,34111,40455,58418,75986,89636
Monaco,62,531,727,1019,1451,1960,3347,4728,29622,32717,37663,41741,49639,81270,111088,119539,140333,155065,162137
Mongolia,2,39,75,67,75,92,73,1163,4940,8385,12512,15977,20996,26383,35154,41240,58983,76239,89985
Morocco,322,290,254,306,321,264,329,356,,298,360,381,327,,,3649,52011,74468,89300
Mozambique,,,,,,,,,,,,,,,,,56555,146279,176319
Namibia,,,,,,,163,133,,133,,,,,,,,,
Nepal,,,,,,,,,3,9,5,8,,,,,,,
Netherlands,3979,31287,33656,36516,42037,47323,53514,51412,55885,58822,66090,63739,66842,90629,115076,123513,144341,158932,165981
New Zealand,4012,3975,4085,4280,4425,4467,4671,4533,4546,12588,17270,20648,28368,35137,39734,47640,67938,83282,93377
