Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,-2.892560213,-3.643723104,-4.471542021,-7.692309149,-9.16666259,-10.15452454,-9.999999837,-7.436918611,-6.310679869,-4.889590191,-2.160105459,-5.218453009,-3.342618551,-1.794872522,-0.8247422898,-1.596243926,-1.652174128,-3.160271174,-3.030303448,,,,,,,,,,,,,,,,,,,,,,,,-31.04251843,-48.9009984,-47.30504972,-46.06287645,-43.51502165,-40.97784574,-32.08533333,-42.88878431,-38.07508614,
Albania,,,,,,,,,,,,,,,,,,,,,0.4061005568,1.467679717,-4.502537718,-2.612413912,-1.964264261,-2.214315803,-0.4100048273,-0.09621404278,-2.835725306,-2.778224216,-8.326890065,-20.36722704,-77.02181036,-46.87002236,-27.59863745,-22.03667349,-22.91427099,-26.26712436,-23.61210384,-14.7418125,-18.35426829,-18.19054855,-26.29729413,-25.25484144,-21.76438314,-24.05305212,-24.06061332,-26.18755387,-26.60795909,-25.64448336,-21.98042444,
Algeria,-28.10045953,-21.25921371,-1.024774448,-12.14083262,-4.355703849,-3.229134792,1.332625511,1.802647442,-1.051619757,-4.281981056,-7.079934823,-9.221258542,-5.27730632,-6.086100663,3.259268055,-9.276663045,-4.064089048,-11.15375036,-14.6328954,-1.717448925,3.999999798,3.709507916,1.926781354,2.139494862,-1.75635131,-3.158254864,-10.31719587,-4.139635007,-7.095851506,-9.874793032,-1.493343521,5.518057632,1.450104328,-1.355059379,-3.522987296,-2.801453249,5.815748775,9.568711252,0.06225746124,3.124961294,19.82111429,14.64634862,9.676178567,14.3921907,14.41976182,23.37645019,27.09116541,23.31643659,23.36502762,4.468552952,9.333726437,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,10.38273377,6.415415976,3.304619247,10.88690243,14.68125524,17.98406576,3.210108227,-1.938722227,-1.254985262,9.5075148,,14.10695084,0.419296465,-16.26914307,-6.400981404,26.79654112,1.68306207,11.33649696,6.556498075,15.97109848,29.84436489,37.76376129,30.44292433,25.09161339,6.002304006,13.4929311,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,-4.927487541,3.552520904,6.332061835,-19.37209772,-22.35084171,-39.3132273,-15.12457134,-10.26084699,-17.59536121,-21.6486902,-23.82091121,-11.55192722,-9.759068275,1.979681435,-0.5911299776,2.809044889,5.506019785,1.533063159,-10.30503101,-22.89684147,-6.036024651,-3.874320604,-8.666477273,-3.938358521,-5.195177124,-5.658360251,-8.321258851,-9.231750873,-16.97991471,-26.30652451,-28.28321286,-24.25653611,-17.48995586,-9.739424533,
Argentina,0.000002124546226,0.000001674968405,-4.691840123,0.000002204566875,0.000001554483786,2.075291481,1.663229346,2.498532074,1.080742042,0,0.8656892695,-0.6007231538,0.3598884796,1.90316693,0.6135617369,-0.1546206974,3.253891969,2.289498257,2.892983504,0.1811462924,-1.421727099,-0.4508785182,2.569500057,3.315371267,2.833409194,5.462770971,1.837922296,0.2974417438,3.319767337,6.479020115,5.728214185,1.597032502,-1.534605649,-2.404448218,-3.078216748,-0.4264980745,-0.6695577544,-2.244016091,-2.546594225,-1.746101474,-0.6338058516,1.31843803,14.889662,10.7695882,7.090218478,5.879212461,5.527278631,4.28942091,3.824987639,5.348822987,3.306269206,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.32975552,-19.37507843,-21.43524826,-13.53519421,-33.77275074,-38.25901205,-32.74955599,-38.00120474,-33.83641212,-29.04389968,-27.16801073,-20.68041482,-17.23031752,-17.88235653,-15.5675524,-14.42048483,-15.89122133,-19.96517049,-25.60865512,-27.52993251,-24.19733988,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.08969676,-20.6876345,-17.27694961,-6.591930743,-18.86632284,-21.86233668,-25.5288099,-21.23449197,,,,,,,,,,,,,
