CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Barbados,,,,,,,,,,,,,,,,,,,,,0.1815388088,0.1906108364,0.1888585626,0.2003021321,0.2114047458,0.2381718734,0.2355469973,0.239695675,0.2264737346,0.2256370586,0.2572221254,0.2974892546,0.254077446,0.286455302,0.1848780226,0.2018086315,0.2034353469,0.2027465305,0.2461934006,0.2546324117,0.2443538225,0.2645098814,0.2758797482,0.2793295736,0.2748501867,0.2784465966,0.272888909,0.2672344807,0.2674791987,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.494180073,1.37612267,1.379765019,1.451247978,1.36713481,1.214213882,1.083961551,1.015948779,0.9198176468,0.8639782065,0.8192705495,0.7848106169,0.763161791,0.7071659699,0.6729960637,0.6038863217,0.5710188447,,,
Belgium,,,,,,,,,,,,,,,,,,,,,0.6599647456,0.6066365792,0.5716291547,0.492632236,0.4987126789,0.4861032981,0.4701774477,0.4606906268,0.4281326123,0.4430797401,0.433632822,0.461586206,0.4422352022,0.4252560032,0.4285354512,0.4173348269,0.4356872007,0.4083096722,0.410536135,0.3853874294,0.3713219868,0.3653349996,0.3377119928,0.3577666896,0.3357207182,0.317652931,0.3084275649,0.2877067675,0.2915133898,,,
Belize,,,,,,,,,,,,,,,,,,,,,0.3907985163,0.3709798146,0.3497112478,0.3572346642,0.3503745259,0.3835564219,0.3949928132,0.3932116814,0.3947948825,0.4209679409,0.3944452913,0.4115695742,0.3636070254,0.3632956892,0.359201232,0.360401941,0.2897798788,0.3531546283,0.3243621487,0.4841747299,0.491008157,0.4827479746,0.2320316699,0.2209104945,0.2152943117,0.217004004,0.2131155257,0.2197696154,0.2121585064,,,
Benin,,,,,,,,,,,,,,,,,,,,,0.1262740911,0.09529476735,0.1091450079,0.1049443337,0.1080376063,0.1456840472,0.1327545816,0.1048259559,0.1055116363,0.1242289374,0.1341170954,0.1484287147,0.1559665364,0.1884826793,0.2016258267,0.202248942,0.1826203748,0.1655602654,0.1578921066,0.1940916471,0.1899110208,0.194401952,0.2197829591,0.2391080247,0.23961253,0.2492381056,0.3478456978,0.3459550437,0.3450347436,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,0.06176960939,0.07340263173,0.06078705304,0.09884888099,0.1150281833,0.0940173039,0.1459708242,0.1359041587,0.0725205715,0.1368562612,0.1901112035,0.2154449361,0.1804707623,0.1982805947,0.21923179,0.2519838726,0.3110939143,0.2864956092,0.2680880888,0.2588433326,0.2508174191,0.2853085136,0.2383669614,0.2225173982,0.2972651922,0.1720113242,0.2004046905,0.2423603084,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,0.2307754262,0.2362878581,0.2232041261,0.2294683291,0.2165662958,0.2248557355,0.211306693,0.2200415123,0.228606884,0.2553127455,0.2689031141,0.2682137747,0.3035500018,0.351978833,0.372642711,0.3766532109,0.3345111973,0.3591298922,0.3587492462,0.3379423141,0.321259576,0.293059708,0.270277059,0.3632659676,0.3216329322,0.2983423404,0.2894526712,0.3452946152,0.3198114435,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8043647078,0.6497226405,0.5211076389,0.9029169025,1.01385591,1.07013246,1.256486138,1.072567806,1.127813356,1.09951438,1.097393428,1.08745234,1.097358006,1.083888639,1.109322681,,,
Botswana,,,,,,,,,,,,,,,,,,,,,0.2884632301,0.2703871446,0.2629754344,0.2176999059,0.2034161471,0.2105405301,0.2223500656,0.2306662954,0.2032463072,0.1972980242,0.226779137,0.2081961295,0.310346829,0.32415799,0.3128095234,0.3008672425,0.2538973391,0.2358449066,0.2544417631,0.224098062,0.2551957043,0.2499591038,0.2373437462,0.2123729159,0.2055622537,0.2090161031,0.1959056976,0.1944702923,0.1972687289,,,
Brazil,,,,,,,,,,,,,,,,,,,,,0.2031525993,0.1951290793,0.1944216011,0.1948031408,0.1874673757,0.1864683983,0.1894750177,0.1908431132,0.1927270633,0.1907615178,0.1945480219,0.2012319767,0.2034435379,0.2032116113,0.2024649253,0.2206531712,0.2361390017,0.2435618883,0.2380216704,0.2435175421,0.2392994957,0.2431939747,0.2336148529,0.2237721761,0.222379004,0.221128593,0.2142796043,0.2110435207,0.2142186619,,,
Brunei,,,,,,,,,,,,,,,,,,,,,0.4511844348,0.1202276988,0.1646811805,0.2117833593,0.1491899992,0.205019072,0.1866314198,0.2640746761,0.4499709221,0.505039949,0.5053695887,0.4437864089,0.4230935345,0.405831208,0.3808050013,0.3716470328,0.3665333623,0.3863891526,0.4000812362,0.2983104608,0.411707799,0.3804513695,0.3144712588,0.3077029754,0.3063685152,0.2918261878,0.2629370751,0.5204750417,0.5881741694,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,1.499773106,1.482421592,1.625066784,1.575261906,1.472944903,1.470155489,1.442514339,1.361797431,1.169709672,1.203610973,1.184240001,0.9935567887,0.9619092818,1.262850864,0.9991431303,1.040178364,1.083907046,1.043517796,0.9453120193,0.7996308342,0.7485677528,0.7669845684,0.7042071864,0.7074362701,0.6554199258,0.6310169166,0.6049390858,0.6134923672,0.5528077031,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,0.09638378841,0.1190878396,0.1122697486,0.1154457935,0.09214274095,0.0869163577,0.08113070334,0.08753075417,0.08860351027,0.1286715379,0.09246574366,0.09060491209,0.09092317736,0.08737033077,0.08875784666,0.08157328309,0.0829332107,0.08891843547,0.08851278956,0.08907394822,0.09778832212,0.0878178122,0.08449277422,0.0839100583,0.08210269193,0.07873720289,0.0901868353,0.1053580024,0.1130791179,,,
Burundi,,,,,,,,,,,,,,,,,,,,,0.0825023973,0.07907229586,0.07991427249,0.1003462115,0.1073468265,0.1008328513,0.1023091825,0.1072576641,0.09792327126,0.1131827145,0.1106890709,0.1193928418,0.1093969778,0.1233832769,0.1296915872,0.1378176812,0.1481556535,0.1438583048,0.1309472275,0.1290568671,0.1334265731,0.09406818605,0.09158999517,0.06954351987,0.06486285967,0.0657453078,0.07504815159,0.06707415924,0.06290213201,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06112389559,0.06335230032,0.1587136982,0.1705374885,0.1891014786,0.2109027368,0.1853633155,0.1749749141,0.1898702241,0.1925311976,0.1940448817,0.1966828419,0.184776018,0.1825858855,0.1805785451,0.175402426,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,0.2136321833,0.249622633,0.2756744991,0.2679511583,0.2291985565,0.2267330679,0.06577418633,0.0621788918,0.08038780695,0.2828363477,0.06854646344,0.04555259172,0.1605783717,0.1703745004,0.1711265713,0.1893709576,0.1902045153,0.1264660581,0.1201242854,0.1104656619,0.1181288995,0.1126643089,0.1082055455,0.1155077731,0.1161196678,0.1060433506,0.1185303967,0.1656287273,0.1383765796,,,
Canada,,,,,,,,,,,,,,,,,,,,,0.7553226293,0.7085648214,0.7016941894,0.6778024478,0.6559580694,0.6185543609,0.5819400027,0.5935630834,0.5964553924,0.5892979517,0.6011268161,0.6125764625,0.6324085343,0.6315299251,0.5730411451,0.5638857699,0.564670207,0.5595494978,0.5326830257,0.5036940641,0.5382756515,0.5187345041,0.4989287755,0.5194154169,0.5058726065,0.4971700628,0.4714129101,0.4574548364,0.4542584185,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,0.109682067,0.1156252024,0.1043548759,0.2174256857,0.2015066596,0.1367595569,0.1832455221,0.1571620299,0.1635572183,0.1771788062,0.1819901855,0.1973916786,0.1843781017,0.1847454687,0.1775923129,0.2093152375,0.2038170495,0.2043717729,0.2105909246,0.1955672978,0.2059356763,0.229919272,0.2261895625,0.2263366814,0.2360900253,0.2250686008,0.2096178069,0.1950624713,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,0.04895313969,0.0634372471,0.06207662597,0.06929995932,0.0648807539,0.06699696839,0.06468264481,0.1097971873,0.09578744642,0.1013849258,0.08227860903,0.08579994692,0.09660218842,0.09954322394,0.09956033673,0.09287344644,0.09674317473,0.09618044493,0.09323398251,0.09528796488,0.09443930511,0.08645154721,0.08695815586,0.0898966527,0.08900658683,0.08692049495,0.0889720866,0.08705930534,0.08782623869,,,
Chad,,,,,,,,,,,,,,,,,,,,,0.07056445632,0.06983612276,0.06512874811,0.05630140907,0.0581266007,0.03963669853,0.04301005021,0.0466545408,0.01346657076,0.01997240012,0.02977619005,0.01303143907,0.01524124552,0.0203421142,0.019153915,0.01891996036,0.01917113364,0.01939670875,0.01813597215,0.01943877257,0.0285255118,0.02501495336,0.02256654742,0.0444728721,0.03296075386,0.02972815523,0.03021319957,0.03422760916,0.03681971726,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,0.4211386383,0.3907688094,0.3658603474,0.3843850341,0.3792404809,0.342924724,0.3359927534,0.3212340159,0.3555091243,0.3867559254,0.4019342315,0.351887598,0.3241018741,0.3222132631,0.3372175508,0.3311337129,0.3500901497,0.3783161584,0.3788886978,0.4027511796,0.3722507996,0.3236814598,0.3288047737,0.318314945,0.3322419363,0.3216576904,0.3166618847,0.3230121757,0.3249830644,,,
China,,,,,,,,,,,,,,,,,,,,,2.853802891,2.683728611,2.678089882,2.547464173,2.407504389,2.298382397,2.222499336,2.126955674,2.04920455,2.000928294,1.969457609,1.894264099,1.7302484,1.620623417,1.522284251,1.490279879,1.413069228,1.295232572,1.151242655,1.067904057,1.011019077,0.9561220109,0.9283066135,1.03373441,1.097213555,1.079371025,1.06102914,0.9837530409,0.9293173185,,,
Colombia,,,,,,,,,,,,,,,,,,,,,0.3115925463,0.3054019179,0.3124388729,0.3312455702,0.31745059,0.3041596124,0.2916726694,0.2846183038,0.2841225266,0.2788637378,0.2832453321,0.2758938094,0.2853380734,0.287606577,0.2868147223,0.2405108604,0.2392757057,0.2480896153,0.2507536388,0.224208109,0.2200809416,0.2102821791,0.2029136403,0.2014368105,0.179087608,0.1882300338,0.1835201958,0.1769093355,0.1823251973,,,
Comoros,,,,,,,,,,,,,,,,,,,,,0.1202303797,0.1157564829,0.1088104346,0.103805922,0.09970767315,0.1124823005,0.1030591478,0.1158837182,0.119904008,0.1238430534,0.145571004,0.1538733952,0.1417783893,0.1376409873,0.1453084523,0.1469237643,0.1217833902,0.1170652614,0.1284252502,0.138600922,0.1428752041,0.1442836653,0.1443075655,0.1520885603,0.1581008077,0.1625193403,0.176577911,0.1757151655,0.1792919019,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,0.166431627,0.1753798285,0.1433437184,0.1852033801,0.1727630065,0.1579600255,0.139907023,0.1554945502,0.1613930987,0.1786753801,0.1771889661,0.1784916891,0.1922260322,0.2093179768,0.1583240437,0.1881565034,0.2081952925,0.1986765051,0.1748771987,0.1620571493,0.1274984354,0.1238520372,0.1180183957,0.1226868896,0.1545567115,0.1507751433,0.1490329378,0.1454832491,0.1511650202,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,0.07670850457,0.07579317454,0.1744600781,0.14011269,0.1305558627,0.1482659574,0.1327333001,0.1643510302,0.1829720307,0.1792075836,0.1398743828,0.1454495264,0.176280043,0.1747401712,0.2573809908,0.1803322445,0.189499059,0.2603009053,0.08327831414,0.09034104823,0.1071990333,0.08485849878,0.0666274369,0.1013740918,0.1717363679,0.1344467367,0.115393248,0.1275434029,0.1469811603,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,0.1648835721,0.1541386344,0.154066446,0.1510944579,0.1353311592,0.1515982634,0.1648737322,0.1631630423,0.1676099656,0.1613189835,0.1542991598,0.1698405723,0.1768026737,0.1716040082,0.2184218123,0.194091864,0.1877468764,0.1867530314,0.1836860185,0.1762855655,0.1716723158,0.1787174148,0.190701978,0.1877431937,0.1883442703,0.1781562779,0.1754570665,0.1774666928,0.1705788795,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,0.2794020426,0.1937548487,0.2644898453,0.2180648342,0.2502660724,0.3246224899,0.256000782,0.3307927534,0.3899927581,0.3524376505,0.2424173979,0.2355743945,0.1937459873,0.2473832351,0.2186696917,0.277249854,0.3023458254,0.2789809529,0.225222381,0.2010048239,0.2261934558,0.2573924487,0.246256633,0.1874531373,0.2584774969,0.2606455044,0.2361899642,0.2076398269,0.2229584225,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368836157,0.4006626416,0.3887519588,0.3800695882,0.3772791012,0.3689730736,0.3828616107,0.3882861644,0.3587793478,0.3649916484,0.3675438028,0.3753526644,0.352890857,0.3392691653,0.3242878147,0.324542392,0.3037886527,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,0.5599269416,0.5187145803,0.4980844488,0.471192858,0.4450419272,0.4135693702,0.4558365802,0.4948806599,0.456305504,0.4444846117,0.4435536872,0.4486248289,0.4563817325,0.4865936891,0.4713801548,0.4369912685,0.4455715167,0.447985558,0.4635955656,0.4497334316,0.4341863019,0.4171608431,0.4191211084,0.4536813089,0.4120128466,0.4056291899,0.4044098863,0.4047770415,0.4077385424,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938069958,0.8868161519,0.8394545698,0.8034077237,0.7907215283,0.7817135487,0.7600487164,0.6687818994,0.7185537969,0.6999649293,0.6636698919,0.6522420448,0.6259303139,0.5792777089,0.5515630948,0.5246047753,0.4832862275,,,
Denmark,,,,,,,,,,,,,,,,,,,,,0.5653687336,0.4884468927,0.4883389385,0.4445632211,0.4322041532,0.4907930358,0.4582657835,0.4533362252,0.4286002211,0.3789565461,0.3854934432,0.463655707,0.4035694794,0.4247391876,0.4295799142,0.3766422804,0.4550567652,0.3662527687,0.3522412122,0.311977832,0.2795827094,0.2880966656,0.3035092384,0.3259333407,0.2874584885,0.2605387726,0.2925789708,0.2630210123,0.2455178208,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2597723062,0.2713809426,0.2813904338,0.3120088957,0.3149611604,0.3263449239,0.3461700956,0.351702338,0.3279296238,0.3467259318,0.3138989015,0.2936181615,0.2970258091,0.2930968442,0.3178996593,0.3179933282,0.3128377955,0.2976571007,0.302492861,,,
Dominica,,,,,,,,,,,,,,,,,,,,,0.1216535316,0.1085374558,0.1146510507,0.1116458746,0.1155265663,0.1235664997,0.1153988761,0.1073291314,0.1140773901,0.1219791622,0.1158892951,0.1151890385,0.1128780163,0.1179502092,0.1299664717,0.1475733357,0.1307046421,0.1416631614,0.1288115789,0.1340296427,0.1745191204,0.1935691397,0.1780553006,0.1832439312,0.1716425354,0.1781261623,0.164727306,0.2133723253,0.1708765133,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,0.2959542511,0.2710757998,0.2739960557,0.3268534379,0.3036618275,0.3039808562,0.3293657195,0.3566191347,0.3519800554,0.3553712993,0.3470206545,0.3640589802,0.3642277037,0.361924182,0.3756151727,0.4523554689,0.4600264552,0.442757272,0.4238159729,0.4011215588,0.404729979,0.39985646,0.4016104985,0.4030426374,0.3696930672,0.3343199007,0.3181720239,0.301066149,0.2894208678,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,0.2964432193,0.3561051268,0.4138481055,0.4304896011,0.4506561549,0.400267095,0.3023754358,0.3057417325,0.3223858412,0.3746336674,0.3030615474,0.2821372245,0.3759765368,0.4065508243,0.2189297081,0.3599059883,0.368077926,0.2706125929,0.3223338003,0.3291930475,0.315249654,0.3350698391,0.3356764269,0.3491738506,0.3466790954,0.3351897588,0.3259127748,0.3307078463,0.2677156467,,,
Egypt,,,,,,,,,,,,,,,,,,,,,0.4186867796,0.4547193216,0.458728212,0.4314117062,0.4546993984,0.4272006048,0.4853592953,0.4749915032,0.4494005536,0.4146115222,0.4126918749,0.423191274,0.4183515224,0.4660530899,0.4105017852,0.4401605527,0.4468697301,0.4492317873,0.4878358714,0.4716122942,0.504458517,0.4325052494,0.4283561984,0.5185098821,0.503460763,0.5241033178,0.5266640968,0.5225357985,0.5148088128,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,0.1048432196,0.1005834017,0.1034881475,0.1097476192,0.09139743511,0.1124060182,0.1124005284,0.1348849678,0.1335884426,0.1385973478,0.1337074691,0.1592859062,0.1571894819,0.1661288157,0.1783548398,0.1998288896,0.1821501697,0.2056199054,0.1999550732,0.1895083835,0.1869470241,0.1903782041,0.1888920872,0.2003405781,0.1884450844,0.1844066964,0.1809420691,0.1853820332,0.1621379521,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.09431427676,0.1180236117,0.1386936852,0.1451141309,0.1621186646,0.1619049105,0.2729442547,0.2645047649,0.1180923387,0.04012327971,0.1264139131,0.08701124134,0.1270697256,0.05993319163,0.1188248355,0.100649276,0.4231473105,0.5699228831,0.6043528388,0.3405317263,0.3124715916,0.3112257875,0.2586471516,0.2345882383,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08352692799,0.1315533308,0.1412159819,0.1983655903,0.2179209219,0.2287184578,0.2585857676,0.2460860511,0.2291829899,0.2825220031,0.2953422872,0.2865827355,0.211826797,0.2156726391,0.1709931881,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.994394656,1.71155166,1.743214923,1.490900396,1.594292538,1.424002881,1.244810803,1.125189645,1.032626059,0.9776328168,0.8766092061,0.9246858055,0.876446931,0.7839339387,0.6880519063,0.7577168151,0.7316805541,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,0.0857778503,0.06746499278,0.07760631403,0.0720996378,0.08847022793,0.09844081002,0.1007723183,0.1038281856,0.1102077834,0.1145184728,0.1219716155,0.1327341392,0.2041783579,0.1150939489,0.07772822027,0.1197829867,0.133159025,0.1621788061,0.1556797848,0.1686121949,0.1150523581,0.1178690701,0.1329930549,0.1230025762,0.1162120488,0.1145174426,0.1124244345,0.1099282336,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,0.3647075818,0.4662848367,0.3849794312,0.3413383174,0.2567711479,0.2674971553,0.2592561836,0.2187315835,0.2516598927,0.2668118019,0.326960873,0.2772655447,0.2840486259,0.2934213321,0.2990301318,0.3123906406,0.3091683916,0.2607070982,0.2474150657,0.2594000329,0.273186047,0.3487481452,0.2584203082,0.4942285661,0.5347715157,0.4599031941,0.4323388555,0.4064342978,0.3456783606,,,
Finland,,,,,,,,,,,,,,,,,,,,,0.6820874502,0.5980898468,0.4829196316,0.4532432685,0.4445813413,0.5050167054,0.5314153917,0.5559767289,0.4759318898,0.457053167,0.4414719996,0.50606113,0.4692700948,0.5001562963,0.5519937451,0.4676414312,0.5296790581,0.4881526009,0.4408292963,0.412591587,0.3685391972,0.3899078273,0.4144626088,0.4582430163,0.427837827,0.3389594712,0.3928348741,0.3607887104,0.3180266028,,,
