CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
France,,,,,,,,,,,,,,,,,,,,,0.4520642083,0.4028008485,0.3778916674,0.3610830643,0.3412352259,0.3321305617,0.3124346491,0.2987191725,0.2814029285,0.2834741818,0.282161636,0.2993023501,0.2738189842,0.2701517471,0.2508723976,0.2616973116,0.2687011778,0.244506222,0.2549690703,0.224044168,0.2127457225,0.2204827733,0.2154179231,0.217257154,0.2132664654,0.2105800773,0.2005039238,0.1919233385,0.1934652176,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,0.5713953126,0.5388836174,0.5545584351,0.4419961569,0.4466376427,0.4819198,0.3820611395,0.3733248852,0.3564627136,0.4373108947,0.3489029927,0.1003091066,0.1492256598,0.2211466221,0.2177565866,0.2387589872,0.2111330751,0.2002963857,0.08907571598,0.0861633447,0.06429452161,0.1066026169,0.1066682387,0.07812248113,0.08555577509,0.1001079696,0.09873614987,0.1037424851,0.1267866267,,,
Gambia,,,,,,,,,,,,,,,,,,,,,0.2071072572,0.2004485681,0.2066904816,0.1864037382,0.1923142784,0.1938891735,0.1743792881,0.1895430971,0.1851236591,0.1713205988,0.1755615905,0.1768200895,0.1710411412,0.17526429,0.1749941931,0.1795509725,0.1756454173,0.167440819,0.1754886199,0.1803953741,0.1832045099,0.1777787934,0.2052280452,0.1920352252,0.1835601688,0.1851903467,0.1907296529,0.2128833621,0.2093732369,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.196755958,1.098530219,0.7494462973,0.2765071888,0.4391102077,0.4335011509,0.4701358365,0.4002748552,0.4102970004,0.3253403149,0.277250274,0.2780130258,0.2733495126,0.3006394341,0.3191320391,0.311544942,0.2628246067,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4447337222,0.4215568359,0.4180714156,0.4044939184,0.3968989776,0.4036084797,0.386542701,0.3774603809,0.3411237019,0.3340679374,0.3384399258,0.3285797035,0.3317029421,0.3250956208,0.3155095199,0.3051107358,0.2864833569,0.2832061545,,,
Ghana,,,,,,,,,,,,,,,,,,,,,0.2360449196,0.2912237237,0.3125104013,0.3933400063,0.2556381152,0.3133950671,0.2729440433,0.280828037,0.2792173001,0.2575153987,0.2929420311,0.286291864,0.2790982763,0.3031256294,0.3190490126,0.3279400083,0.332575642,0.3545559089,0.3394152666,0.332736007,0.3081299143,0.3254237644,0.3336892572,0.3251955815,0.2948776976,0.2680687116,0.3361893817,0.3254496357,0.2675957679,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,0.3129546213,0.3135192234,0.3260291459,0.3510449739,0.3534863078,0.3662640632,0.3555362715,0.3904620083,0.4010570887,0.4215718196,0.4132779202,0.3726957056,0.4132795351,0.4207950585,0.4273628881,0.422961493,0.4195309731,0.4258362744,0.4277518091,0.4080816794,0.4130441632,0.4058790429,0.3918168232,0.3780018892,0.3675239759,0.3649723103,0.3409340245,0.3341728354,0.3333357229,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,0.1328709636,0.1621514886,0.1641984379,0.1595304226,0.1522458551,0.1491481343,0.1530907993,0.1515071422,0.1864358593,0.1883179478,0.1969118244,0.1924904942,0.2047635594,0.2343511952,0.2631593739,0.2681412553,0.2631685691,0.2935028798,0.2558039299,0.2502724675,0.2222340271,0.2478019513,0.2385625127,0.2311723477,0.2352086828,0.2277251831,0.2430893068,0.2298561746,0.2265929943,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,0.1655076644,0.1446571935,0.1370620388,0.123326559,0.1320588067,0.1368559027,0.1434863207,0.1495623724,0.1487179063,0.1472738933,0.1710898349,0.163980836,0.1862654599,0.1685236014,0.1957940202,0.1954648699,0.1762472173,0.1928961887,0.2116526871,0.207910354,0.2228367973,0.2333806417,0.2362451094,0.220053791,0.2240327111,0.2353470789,0.2257575912,0.2233970336,0.199364192,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2393747873,0.2308759672,0.2243887317,0.2196038845,0.2127174675,0.2108988013,0.2042189085,0.1997206529,0.2137926796,0.2080361752,0.201189696,0.1933567683,0.1791578072,0.1752000277,0.1729544082,0.1705146521,0.1675707226,0.1611598965,0.1574767679,0.154981522,0.1512070597,0.1517994115,0.1450393982,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,0.1941019566,0.1601534793,0.1536980355,0.1591048766,0.1645167408,0.1687047211,0.1809092514,0.1863593843,0.1983333395,0.1996038338,0.206044979,0.1988878574,0.1995342359,0.2091928919,0.2027062906,0.1967178914,0.1785597394,0.1805587831,0.1763852772,0.1858088358,0.1393082559,0.1390301955,0.1579699626,0.1883370884,0.1925373004,0.1898733356,0.1936476925,0.1951447636,0.1866304749,,,
Guyana,,,,,,,,,,,,,,,,,,,,,1.118986031,1.109268545,0.9967469068,0.9493222335,1.126007542,1.111104597,0.8256915195,1.025067847,1.141899067,1.022513138,1.006029002,0.9339609808,0.8123510967,0.7533062343,0.8773187857,0.9274803636,0.8873695461,0.8754174441,0.9191674473,0.8906773254,0.8649797007,0.8125791468,0.8196664585,0.8142554413,0.7578978744,0.8001489869,0.7666357862,0.7164820432,0.7024333757,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09955736321,0.09586315931,0.07397896152,0.03806424793,0.1085545146,0.1208722335,0.1532304238,0.129858635,0.1365884422,0.1391440477,0.1613437213,0.1882094388,0.1781156282,0.2115428987,0.2170044806,0.2167225402,0.2372858031,0.2388978615,,,
Honduras,,,,,,,,,,,,,,,,,,,,,0.2011139751,0.1737685818,0.1705471013,0.1954001933,0.1858904646,0.1711758504,0.1647185186,0.1827814549,0.2012452089,0.2101289248,0.1994857022,0.2011275482,0.2170660381,0.1892359414,0.2245541976,0.2508818312,0.2472108097,0.2472255995,0.2686442638,0.2792167762,0.280171738,0.3097198546,0.3182474383,0.3383103277,0.3465826526,0.3380322627,0.304226853,0.3542044703,0.3261707549,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,0.2359992981,0.242157786,0.2480270733,0.2496584524,0.2415077554,0.24706116,0.2483190439,0.2408879037,0.231637252,0.2332533473,0.204617285,0.2022165919,0.2205276084,0.2185452943,0.1844365678,0.1813956368,0.1616792765,0.1617002956,0.2187991183,0.2324892209,0.2044290972,0.1903305501,0.1818725127,0.1914407663,0.169228165,0.1668156717,0.1482054589,0.1443926012,0.1362291817,,,
Hungary,,,,,,,,,,,,,,,,,,,,,0.7146980928,0.6928446139,0.6756720612,0.6883219561,0.6834088316,0.649331444,0.6204504094,0.6027060833,0.5590183523,0.5395133169,0.4628223473,0.5289901424,0.5051122197,0.520222876,0.488039818,0.4973364796,0.5184281109,0.495533972,0.4687938887,0.4505997025,0.4100869671,0.3937878625,0.37026581,0.3754844955,0.3479874282,0.3380373138,0.3216884666,0.313578259,0.3040649189,,,
Iceland,,,,,,,,,,,,,,,,,,,,,0.3744923223,0.3372985355,0.3011724654,0.2979103227,0.3355877576,0.2914161767,0.3026313189,0.2805117948,0.2955707241,0.3004891448,0.3172287328,0.3106239885,0.3005046097,0.312129031,0.304031097,0.2931481099,0.3188962131,0.2893435805,0.2716781457,0.2568933242,0.2575957805,0.2407329415,0.2483702241,0.2420579889,0.2313056623,0.2128762518,0.2060089766,0.2036315775,0.1916236753,,,
India,,,,,,,,,,,,,,,,,,,,,0.5663734709,0.5745411969,0.5902559745,0.5969104677,0.5945970345,0.6198114469,0.6342992262,0.6515732297,0.6416438772,0.6621890009,0.6536481645,0.6910449485,0.6957918946,0.690115943,0.6872945142,0.6796460313,0.6883324647,0.6890457282,0.666244274,0.6623622067,0.6602199577,0.6365691392,0.6251551089,0.6027860617,0.5847911411,0.5605759835,0.5469065468,0.5337756371,0.5497977391,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,0.4750650355,0.4641861396,0.4831706237,0.4436178364,0.4424346554,0.4621004298,0.4378703337,0.4214050735,0.4244517071,0.3855832929,0.4039769167,0.445663797,0.468484785,0.471352061,0.4439430277,0.4160805087,0.4352540573,0.4573519299,0.3971423674,0.4453566405,0.4611394309,0.4982707362,0.5006364519,0.4909868498,0.5002158688,0.4769301598,0.4545121858,0.4659247536,0.4840988262,,,
Iran,,,,,,,,,,,,,,,,,,,,,0.4364382286,0.4298341865,0.4652634264,0.4483640542,0.4582628101,0.479111041,0.4869681114,0.5310456402,0.6254348654,0.6393675083,0.6677318758,0.610166882,0.6196540546,0.5843106709,0.7575839266,0.7085953536,0.6656264399,0.6527539656,0.6912184873,0.6791668661,0.6919838803,0.7025982019,0.6866564185,0.704444115,0.7193877174,0.7130752703,0.72252316,0.6891399247,0.716294737,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9801399716,0.7703553726,0.6165212985,0.6456608799,0.8143497164,0.9030912182,1.606500984,1.191206345,1.182004165,1.150954711,1.129904999,1.056953518,,,
Ireland,,,,,,,,,,,,,,,,,,,,,0.5843830514,0.5605993912,0.5376590486,0.5424591768,0.5163366176,0.5248459122,0.5782034233,0.5690159291,0.534301594,0.5010991452,0.4743365807,0.5065355007,0.462679348,0.4510240961,0.4456212182,0.4089687604,0.4025049137,0.3769189551,0.3627133647,0.3443980591,0.3219653854,0.3284806798,0.3079720338,0.2904841054,0.2813207423,0.2670607309,0.2530096755,0.2477866448,0.2507376654,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,0.3628744379,0.3461858853,0.3860002055,0.3706934499,0.3643906394,0.3689469045,0.3769439197,0.3616926758,0.3890284971,0.4075604562,0.4028490959,0.3827617443,0.4382264491,0.4516576431,0.440835847,0.4756449489,0.4516645655,0.5117432114,0.4859244178,0.4657272568,0.4301776777,0.4513548295,0.4363833144,0.4433410396,0.4097776192,0.3652842578,0.3839234344,0.2040396263,0.2002022544,,,
Italy,,,,,,,,,,,,,,,,,,,,,0.3663401182,0.3530469682,0.3438370312,0.3322173982,0.3274331678,0.3224061306,0.3086574739,0.3131626303,0.3053419505,0.3143396189,0.3149381322,0.3173402863,0.3141691692,0.3093488261,0.2952997712,0.3047434533,0.2949010201,0.2922081008,0.2943331528,0.2870140539,0.2826873362,0.2780770378,0.2782079219,0.2901484157,0.2865164788,0.2844215646,0.2764530949,0.2667142501,0.2614595261,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,0.7759074798,0.6631409581,0.5449488038,0.5546037746,0.4492883612,0.454006334,0.4018974868,0.4408064962,0.3566669555,0.4944761676,0.5616932018,0.5498316036,0.5342048906,0.5074652057,0.5134087084,0.5638439794,0.593286281,0.6255945355,0.5861935581,0.5827398051,0.6099610059,0.6198324868,0.5950227592,0.5897055602,0.5812072905,0.5437831427,0.6317934192,0.7160633165,0.6323715096,,,
Japan,,,,,,,,,,,,,,,,,,,,,0.45628288,0.4299777446,0.4061250917,0.3968219008,0.4082545156,0.3791650371,0.3695673635,0.3527003917,0.3621581381,0.3533855111,0.3391428708,0.329998232,0.3341759594,0.329155763,0.3456163884,0.3420989848,0.3394153037,0.3330801866,0.3279956985,0.3394229715,0.335966118,0.3305835359,0.3336942248,0.3345814289,0.3315449186,0.3197103969,0.3116964568,0.3093015158,0.3021868347,,,
Jordan,,,,,,,,,,,,,,,,,,,,,0.551278124,0.6531131771,0.6526999043,0.7488601427,0.781984938,0.7727816952,0.7847625113,0.7940172072,0.7798337135,0.8932387398,0.9966958962,0.9219132646,0.9725852323,0.9170340652,0.9841231162,0.9215494197,0.9447031661,0.9293467387,0.9099713083,0.8816796347,0.9002777513,0.8825145098,0.8803176104,0.8741886842,0.8869085737,0.8964254717,0.8188699917,0.7825774926,0.7233967216,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.675181562,2.492965066,2.573493886,2.343038517,1.967276287,1.781624755,1.752813092,1.589779839,1.588035884,1.619686531,1.515389918,1.403514681,1.433286298,1.345067231,1.317123754,1.431582783,1.444065576,,,
Kenya,,,,,,,,,,,,,,,,,,,,,0.2770735064,0.2812170505,0.199222257,0.1952653539,0.1778558883,0.1488090776,0.1532951181,0.1798917995,0.1567797591,0.1623691146,0.1747656515,0.143211321,0.1652547671,0.1886493817,0.1898627299,0.2095140098,0.2484373346,0.2190766418,0.2575477646,0.2551472752,0.2597520872,0.2250947893,0.1903994779,0.1567989806,0.1683788795,0.1785651545,0.1878047702,0.1802153261,0.1876328779,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,0.2417707972,0.2504639666,0.2052281216,0.1614095157,0.1634066995,0.1713084705,0.1405689518,0.1740125082,0.1471647727,0.1609390523,0.1575774941,0.1646881724,0.1596078778,0.1555289974,0.1482123949,0.1500646319,0.2358841702,0.1789110342,0.1813709248,0.1590017193,0.1667984725,0.1338461806,0.1260428681,0.1206132746,0.119525331,0.1191677849,0.1336534123,0.1497501942,0.1345898135,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,0.6359983092,0.619866235,0.5862701764,0.5626222871,0.5654195742,0.5756282417,0.5321894095,0.5056327249,0.5266662333,0.5242162482,0.4996596377,0.5028716395,0.5070558513,0.5286274843,0.5227891623,0.5216945376,0.5273483108,0.5317377415,0.4908231841,0.4866965733,0.4911643626,0.480865762,0.4746397627,0.4618848205,0.4571370123,0.4220854243,0.4081537605,0.4109133918,0.4105212967,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,0.4481952464,0.5656227299,0.5415847534,0.500698659,0.6245626659,0.6705515302,0.7481376145,0.6163918591,0.7167182321,0.6206713897,,,0.3960641783,0.4930214406,0.5329871797,0.7428728734,0.69945341,0.706721867,0.7056102098,0.7497661594,0.7940212546,0.7353642867,0.6826591456,0.6803750635,0.6962782331,0.6991380687,0.6192583216,0.6019912503,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.235267159,1.11732196,1.020364971,0.7962707415,0.9288792715,0.8290063697,0.8622804941,0.651665727,0.6136503035,0.4864019165,0.6237972232,0.6344041997,0.6298250908,0.5834786213,0.5643178344,0.6496945856,0.5758701195,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,0.06051109455,0.06335036342,0.06259610963,0.06350150931,0.0648042041,0.06372029903,0.05971655558,0.06172965746,0.06441093037,0.06081519742,0.06066659823,0.05944613551,0.0943811518,0.1185561755,0.1419580037,0.133376598,0.1481022656,0.1584621097,0.1651627335,0.1595340072,0.1543899234,0.1471817988,0.1443181488,0.1358848653,0.1259563857,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8797414734,0.7951627771,0.7265787558,0.627289538,0.5988587074,0.4886980073,0.4419163073,0.3562227299,0.3049227279,0.3134125207,0.2856977242,0.2840030591,0.2629480423,0.2392117195,0.2254449465,0.214102415,0.2140761063,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3296351343,0.6021443779,0.5378838702,0.4063041418,0.4649183227,0.4460160246,0.4514174353,0.4528697694,0.4364275103,0.5064624426,0.5055116763,0.5210487155,0.475524031,0.4828948727,0.4622727578,0.5086880096,0.437287415,0.4510645464,0.3841578801,0.3686895794,0.3721177515,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,0.6060395342,0.588141455,0.1868816909,0.225341761,0.2266329681,0.2357403818,0.2421992354,0.2569435851,0.2798697717,0.3114810863,0.4613300812,0.3178138291,0.4958665065,0.8241116805,1.041374291,1.13779428,1.048244092,0.5243841822,0.441818354,0.37645145,0.3210684931,0.3592162017,0.346399401,0.5336639139,0.6134068099,0.6881379028,0.6541475367,0.534391762,0.4477201528,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.741742071,0.7534841621,0.8082302733,0.7635509876,0.6976133139,0.6838607458,0.644205426,0.6280125009,0.5971102959,0.6190727249,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6452735079,0.6083305603,0.6689420737,0.6045408406,0.5579750056,0.5062459366,0.4966752492,0.424429555,0.3662612787,0.3633633245,0.3477468659,0.3083349684,0.2963555982,0.2888260629,0.2734279887,0.263621654,0.2559996727,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,1.096792017,0.9429578771,0.876196611,0.7961850826,0.8074977793,0.8065370178,0.7207094223,0.6650986197,0.6334942605,0.6179546912,0.6069884414,0.600316365,0.6546683303,0.5759690479,0.5239405679,0.4220192314,0.4200924627,0.3720701314,0.3246344813,0.3128640986,0.3091507862,0.3141810887,0.3314562437,0.3435493001,0.3671533871,0.3564369938,0.3391140795,0.3048087522,0.2930137694,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,0.1098619153,0.1407322056,0.1150627517,0.1385004985,0.1551153662,0.150472302,0.1385312263,0.140964239,0.1309869362,0.133480057,0.1170204922,0.1217585535,0.1261067129,0.1182413931,0.1351754444,0.1436609226,0.1572153125,0.1576861074,0.159175793,0.1595455224,0.1324588407,0.1184910542,0.104950711,0.1028557357,0.07981010897,0.06659118998,0.05515359727,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7554340403,0.7833600617,0.8072748133,0.8452542273,0.9048756864,0.807896434,0.9278192508,0.8256983946,0.8127456604,0.8466110378,0.7650456292,0.7695402064,0.7278744439,0.7009454932,0.6473534033,0.633223485,0.6293353806,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,0.1454254215,0.1024830657,0.1028813746,0.06686610389,0.09516731192,0.1059296181,0.1130509992,0.1260060756,0.1218587154,0.08538651499,0.08436309417,0.09807819013,0.09428195969,0.09461401747,0.116406755,0.1141283811,0.1201538252,0.1396507749,0.1372628527,0.1452636396,0.134965497,0.1183359169,0.09614091476,0.1244718897,0.1303522973,0.1097473589,0.1040493517,0.104071678,0.1028728581,,,
Malawi,,,,,,,,,,,,,,,,,,,,,0.1655842794,0.148698308,0.1424290568,0.1330840882,0.1222905937,0.1169450559,0.1164257661,0.1130464281,0.1088298848,0.1117393595,0.1146459194,0.1136486606,0.1219606251,0.1173962142,0.1356333207,0.1179737307,0.1071683964,0.1101716144,0.1157742829,0.1352250382,0.1208909311,0.1272200843,0.1220547865,0.1252927151,0.1210359798,0.1108729241,0.1070639193,0.1011946307,0.1200602114,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,0.4158754447,0.4281495721,0.4008225642,0.468557072,0.3973104569,0.4196558868,0.4577808845,0.442819286,0.4221768828,0.4519667646,0.4703890636,0.5204394025,0.5247077719,0.5816101796,0.5458368963,0.6403631742,0.6025236286,0.558933334,0.5519332941,0.4915434499,0.5296421022,0.5690065009,0.5336301908,0.5982677169,0.5874393293,0.6088291256,0.5625626872,0.5739694203,0.5851435929,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3458195922,0.367748044,0.3828652094,0.3173367734,0.4130268127,0.4221654313,0.4710789424,0.5319590843,0.3971369806,0.4529880085,0.440085714,0.4643005063,0.4280822008,0.3916270558,,,
Mali,,,,,,,,,,,,,,,,,,,,,0.07219539101,0.07623317613,0.07401902069,0.08051843584,0.08053106088,0.08474062127,0.07322026199,0.0693554405,0.07322458839,0.0711330937,0.07311158906,0.07445141912,0.0698794658,0.07317757816,0.07368572843,0.07047928122,0.07094895253,0.07145249031,0.06644448327,0.06490095042,0.0633163309,0.05686364313,0.05532892671,0.05013268841,0.05139667456,0.04876557267,0.04631108516,0.04526119726,0.04419719081,,,
Malta,,,,,,,,,,,,,,,,,,,,,0.3090122925,0.3344847918,0.3752279585,0.2868460204,0.388641672,0.3330190962,0.3970294773,0.4764569463,0.4768251597,0.4752970767,0.4486749179,0.4265216998,0.4182746181,0.4731250147,0.4459729227,0.4251586109,0.4509305343,0.468125703,0.2946846999,0.3078592277,0.2578408412,0.3156099257,0.2844172931,0.3203278427,0.3165609266,0.3190831176,0.2987825222,0.3024125308,0.2696183282,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,0.2112249755,0.2148640167,0.2929443328,0.2988006206,0.2857580706,0.2104381139,0.1134333515,0.9778512165,0.9452194042,0.7956267073,0.7578519434,0.7680938153,0.8072436823,0.7672071415,0.834528428,0.7260145012,0.689463457,0.7185256392,0.2546441152,0.2551357696,0.2554550324,0.2688606729,0.2937936821,0.2851400387,0.2996034016,0.2824411267,0.2397095449,0.2752180649,0.272364257,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,0.1638996747,0.1422952318,0.1248558157,0.1479831277,0.1482793667,0.1564742791,0.1610531194,0.1723273537,0.1480268032,0.1745399749,0.2263835464,0.2254613657,0.2376887162,0.2349305091,0.2064887031,0.2230282487,0.2251941162,0.2182822274,0.2261796649,0.2476559755,0.2548286033,0.2662038127,0.2619834925,0.2667304734,0.2560592737,0.2700518856,0.2877310974,0.2796797818,0.2695582295,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,0.3812362017,0.3714779379,0.4008339605,0.385783771,0.3863394431,0.3830264507,0.4064842652,0.4165578153,0.4121438787,0.413561531,0.3865893432,0.3834392864,0.376656149,0.3681688271,0.3741148538,0.379937097,0.371517636,0.3545292753,0.3478283527,0.3426383929,0.3232816237,0.3327362967,0.327640801,0.3326088247,0.3225468556,0.3332939726,0.3235540061,0.3191608132,0.3336159989,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1766104165,0.1690369219,0.1662884304,0.1654561969,0.1626041453,0.168052447,0.1646040278,0.164351672,0.1903307622,0.1950148421,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07882594,1.568030592,1.755423815,1.648051023,1.789715368,1.085399036,1.025341601,0.7622434622,0.5824184286,0.5804484565,0.577783318,0.5833968925,0.5765737606,0.5765015323,0.5613046261,0.5110092446,0.483094144,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,1.91726001,1.800886503,1.76067189,1.532261567,2.028743982,1.987448771,2.102331197,2.190688148,1.916619216,1.881433283,2.504431183,2.504553669,2.174693127,1.819919257,1.702949092,1.69038461,1.560214683,1.509070776,1.434862504,1.409652058,1.438118794,1.443382005,1.307713589,1.258183333,1.208304079,1.193234221,1.210514986,1.146703102,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3984210039,0.4407673692,0.3166406787,0.293992225,,,
Morocco,,,,,,,,,,,,,,,,,,,,,0.3463677574,0.3542485198,0.3476772598,0.3647329688,0.3499343366,0.3300657184,0.3220997188,0.3521419193,0.3357278452,0.3549417238,0.3504571311,0.3478091218,0.3778490577,0.4136433654,0.3937187189,0.4318756583,0.3952658336,0.4129209408,0.385674498,0.396992125,0.3996293484,0.4133229162,0.4057747629,0.3747503509,0.3864152395,0.3958837865,0.3774113151,0.3865815856,0.3789770289,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,0.6010688837,0.4442185151,0.4869792237,0.4493020492,0.3735528429,0.2762873494,0.2421346129,0.2111025389,0.2009280191,0.1941333434,0.184766443,0.1806520933,0.1856107004,0.1839667092,0.1711369797,0.1729138931,0.1509041972,0.1479748202,0.1344429915,0.1303849919,0.1464933794,0.1533280224,0.1415583782,0.1612672913,0.1497682787,0.1310583758,0.1310213136,0.1587668051,0.1335840582,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,0.4661278753,0.4472879158,0.4205232446,0.4154971835,0.4505205106,0.4473208407,0.4575362218,0.3492356678,0.3260256069,0.3407245859,0.3175022437,0.3124553209,0.3331664405,0.3434182317,0.37347285,0.3891954189,0.3812425458,0.3728832461,0.3794343781,0.3738267879,0.3308344175,0.2456455109,0.2438957429,0.2519132696,0.2645527368,0.2955519484,0.2341066333,0.2093339316,0.1859141068,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001300127353,0.002403792773,0.002242539904,0.002860634059,0.004264979419,0.2432281914,0.2580260505,0.2471080386,0.2507535955,0.2153729839,0.2072513083,0.2423082541,0.245462491,0.2510744048,0.2364792404,0.2455504234,0.2460947437,0.2449505278,0.3114090096,,,
Nepal,,,,,,,,,,,,,,,,,,,,,0.0636726089,0.04923975347,0.04629866897,0.05324073244,0.06903662716,0.06266873255,0.06220014084,0.07581669616,0.08015938099,0.0705954432,0.04687554128,0.0667405646,0.08882142851,0.09424650334,0.1008079442,0.1167881554,0.1354535839,0.1443484955,0.113352873,0.1552408021,0.1468437377,0.1496502508,0.1172597559,0.1228843754,0.1100964267,0.1242916273,0.1236541469,0.1230025037,0.120025925,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,0.5632739913,0.5275774041,0.4349980212,0.4386603032,0.4465587055,0.4440094783,0.4236407881,0.4370209827,0.4068244091,0.432526981,0.4177738342,0.429139327,0.4107240621,0.4153642016,0.404810742,0.4006783292,0.409560563,0.3757310464,0.355626377,0.3158227004,0.3082015138,0.3058716362,0.314938334,0.3187597427,0.3151047196,0.3006245554,0.2816617085,0.2802212354,0.2772566847,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,0.3195136179,0.2935268477,0.3202268538,0.3067937467,0.3139608885,0.3453330386,0.3591838519,0.3740570185,0.3967231164,0.3944114028,0.3720099939,0.3837341378,0.4060491753,0.3720931225,0.3662591445,0.3572484004,0.3806951489,0.3912171779,0.3769547438,0.3762924752,0.379933851,0.3836372908,0.3596738835,0.3454477505,0.3312708634,0.3189973043,0.3182981425,0.3034134486,0.3096371725,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,0.2275920666,0.2281158759,0.227236684,0.2055458617,0.193135787,0.2165062401,0.2292047422,0.2774891276,0.292389785,0.1993926472,0.3401797048,0.2666129765,0.3197430472,0.2968882454,0.3188661127,0.3343275232,0.3241308493,0.3340327165,0.3514610976,0.3480671938,0.3380711387,0.3434536587,0.3389283481,0.3566614602,0.3404813875,0.3137631241,0.316784852,0.3214661533,0.2979573713,,,
