"15-19 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,833000,911000,1006000,1141000,1206000,1365000,1439000,1281000,1315000,1888000,2167000,2629000,3208000,3828000,4376000,4828000,5482000,6168000,6785000,7250000,7557000
Albania,121000,145000,153000,167000,212000,270000,306000,308000,326000,273000,291000,313000,306000,279000,212000,214000,229000,234000,220000,194000,176000
Algeria,876000,978000,1063000,1184000,1395000,1642000,2050000,2426000,2769000,3231000,3721000,3737000,3554000,2956000,3100000,3391000,3568000,3539000,3313000,3055000,2925000
Angola,415000,445000,483000,515000,612000,702000,821000,969000,1091000,1312000,1528000,1819000,2125000,2358000,2730000,2926000,3281000,3571000,3782000,3918000,4020000
Argentina,1568000,1606000,1731000,1942000,2122000,2259000,2331000,2440000,2752000,3293000,3224000,3319000,3423000,3402000,3313000,3394000,3409000,3356000,3261000,3153000,3045000
Armenia,150000,196000,117000,164000,259000,342000,362000,301000,278000,261000,298000,319000,265000,188000,202000,221000,227000,210000,185000,171000,168000
Aruba,4000,4000,5000,5000,7000,7000,7000,6000,4000,5000,6000,7000,8000,8000,7000,6000,6000,6000,7000,6000,6000
Australia,558000,613000,771000,1031000,1127000,1225000,1308000,1310000,1400000,1271000,1327000,1399000,1449000,1422000,1418000,1488000,1528000,1562000,1593000,1607000,1620000
Austria,457000,491000,550000,503000,496000,586000,654000,623000,514000,462000,488000,494000,504000,447000,427000,410000,407000,416000,420000,417000,408000
Azerbaijan,341000,416000,238000,297000,470000,686000,803000,723000,702000,690000,806000,930000,881000,684000,657000,774000,811000,762000,672000,614000,608000
Bahamas,8000,8000,9000,12000,15000,19000,26000,27000,28000,26000,29000,28000,31000,31000,28000,28000,28000,28000,28000,27000,27000
Bahrain,11000,13000,15000,17000,23000,35000,34000,30000,35000,46000,53000,60000,72000,69000,71000,69000,69000,68000,68000,70000,70000
Bangladesh,4313000,4732000,5154000,5747000,7205000,8230000,9465000,10934000,12794000,14826000,16308000,16645000,16733000,16963000,16793000,15695000,15643000,15591000,15233000,14589000,13852000
Barbados,20000,20000,20000,24000,26000,28000,28000,26000,25000,20000,20000,19000,17000,15000,14000,14000,14000,13000,13000,12000,12000
Belarus,786000,778000,521000,595000,778000,907000,853000,731000,729000,743000,812000,803000,608000,470000,454000,475000,459000,423000,381000,344000,328000
