"15-19 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Belgium,623000,572000,544000,710000,721000,788000,798000,731000,662000,615000,610000,624000,640000,610000,600000,630000,629000,637000,633000,626000,621000
Belize,7000,7000,8000,10000,13000,17000,17000,19000,21000,22000,28000,31000,34000,36000,36000,36000,37000,37000,36000,34000,33000
Benin,175000,194000,225000,231000,257000,300000,359000,426000,496000,598000,698000,828000,974000,1120000,1283000,1482000,1650000,1765000,1854000,1928000,1998000
Bhutan,17000,20000,22000,25000,27000,34000,39000,45000,54000,52000,64000,76000,78000,70000,71000,68000,72000,73000,69000,64000,62000
Bolivia,277000,303000,328000,384000,434000,495000,556000,626000,720000,770000,853000,957000,1077000,1114000,1165000,1174000,1171000,1155000,1128000,1093000,1050000
Bosnia and Herzegovina,322000,336000,257000,334000,393000,412000,415000,380000,367000,265000,290000,294000,226000,219000,180000,169000,165000,158000,147000,136000,126000
Botswana,45000,50000,51000,55000,79000,92000,106000,123000,148000,180000,208000,218000,217000,212000,208000,225000,233000,234000,229000,223000,220000
Brazil,5405000,6400000,6890000,8431000,10226000,11887000,13764000,14138000,14921000,16673000,18154000,17390000,16509000,17232000,17123000,15074000,13680000,12956000,12197000,11563000,11214000
Brunei,5000,5000,6000,7000,13000,17000,20000,22000,22000,27000,29000,32000,36000,36000,35000,36000,36000,36000,38000,39000,39000
Bulgaria,682000,581000,591000,700000,681000,650000,622000,608000,641000,614000,543000,512000,399000,320000,325000,350000,342000,313000,281000,256000,251000
Burkina Faso,419000,452000,500000,514000,555000,646000,738000,844000,971000,1123000,1302000,1506000,1726000,1982000,2313000,2962000,3216000,3406000,3583000,3788000,3992000
Burundi,249000,267000,292000,321000,398000,419000,467000,521000,563000,627000,765000,934000,975000,963000,996000,1107000,1218000,1257000,1230000,1194000,1191000
Cambodia,452000,503000,561000,629000,706000,751000,786000,872000,910000,924000,1589000,1709000,1846000,1676000,1523000,1628000,1774000,1857000,1816000,1722000,1671000
Cameroon,442000,480000,526000,582000,668000,755000,896000,1054000,1262000,1500000,1779000,2000000,2188000,2291000,2595000,2894000,3031000,3069000,3099000,3162000,3238000
Canada,1078000,1140000,1383000,1769000,2122000,2348000,2418000,2018000,1938000,1980000,2067000,2159000,2238000,2033000,1955000,2014000,2120000,2246000,2327000,2347000,2352000
Cape Verde,19000,17000,14000,21000,30000,34000,39000,40000,36000,45000,53000,60000,61000,60000,58000,55000,56000,56000,55000,52000,48000
Central African Rep.,125000,132000,140000,149000,170000,195000,225000,262000,295000,343000,397000,444000,483000,540000,580000,602000,629000,648000,660000,672000,673000
Chad,232000,253000,279000,305000,371000,415000,454000,513000,616000,746000,893000,1070000,1236000,1427000,1648000,1857000,2082000,2303000,2498000,2647000,2749000
Channel Islands,7000,7000,6000,7000,7000,9000,10000,10000,9000,8000,8000,9000,9000,8000,8000,7000,7000,7000,7000,7000,7000
Chile,576000,608000,728000,821000,955000,1164000,1304000,1251000,1236000,1170000,1323000,1463000,1488000,1329000,1239000,1250000,1263000,1251000,1238000,1205000,1172000
China,53387000,51472000,53478000,66518000,89585000,85720000,106274000,127281000,121081000,95657000,102117000,123242000,106117000,94289000,86544000,87030000,90971000,89064000,81338000,75224000,73038000
Colombia,1186000,1319000,1537000,1954000,2398000,2766000,3209000,3514000,3451000,3780000,3992000,4176000,4362000,4369000,4377000,4439000,4389000,4343000,4265000,4160000,4039000
Comoros,16000,17000,18000,18000,24000,29000,35000,40000,47000,57000,70000,66000,68000,74000,84000,95000,97000,95000,94000,96000,100000
"Congo, Dem. Rep.",1236000,1398000,1597000,1804000,2052000,2370000,2755000,3179000,3743000,4566000,5339000,6397000,7533000,8681000,9944000,10822000,11918000,12887000,13514000,13835000,13979000
"Congo, Rep.",80000,88000,98000,111000,129000,153000,183000,220000,262000,308000,342000,381000,413000,443000,497000,526000,545000,564000,571000,574000,577000
Costa Rica,86000,99000,115000,147000,199000,241000,288000,296000,284000,333000,398000,446000,433000,414000,404000,381000,399000,391000,388000,380000,374000
Cote d'Ivoire,263000,302000,340000,385000,472000,602000,771000,986000,1258000,1612000,1872000,2047000,2307000,2566000,2882000,3113000,3321000,3456000,3558000,3647000,3717000
Croatia,366000,337000,285000,364000,371000,338000,320000,305000,305000,324000,309000,276000,258000,241000,209000,211000,214000,208000,200000,190000,184000
Cuba,570000,652000,697000,720000,825000,825000,1172000,1158000,1056000,741000,804000,845000,762000,694000,633000,559000,537000,518000,488000,454000,419000
Cyprus,46000,47000,48000,59000,58000,66000,56000,53000,50000,56000,63000,64000,65000,56000,52000,53000,57000,60000,62000,61000,60000
Czech Rep.,622000,565000,723000,876000,836000,713000,682000,686000,842000,868000,692000,660000,608000,459000,485000,564000,580000,552000,516000,487000,489000
Denmark,292000,311000,381000,415000,373000,370000,396000,392000,368000,322000,280000,309000,354000,349000,335000,326000,308000,308000,320000,327000,323000
Djibouti,6000,8000,9000,13000,16000,23000,37000,44000,60000,66000,80000,92000,100000,99000,102000,105000,109000,113000,116000,117000,116000
Dominican Rep.,260000,291000,335000,388000,482000,597000,696000,762000,801000,839000,908000,961000,1005000,997000,1026000,1039000,1023000,999000,971000,944000,913000
Ecuador,323000,367000,413000,486000,635000,733000,854000,988000,1116000,1239000,1298000,1323000,1342000,1406000,1383000,1333000,1305000,1291000,1260000,1220000,1170000
Egypt,2134000,2232000,2362000,3334000,3805000,4362000,4789000,5367000,5705000,6934000,7965000,9123000,8079000,8381000,8924000,9511000,9769000,9552000,9271000,9181000,9206000
El Salvador,229000,246000,264000,315000,392000,451000,487000,520000,588000,595000,586000,625000,698000,692000,574000,562000,584000,590000,590000,553000,521000
Equatorial Guinea,21000,21000,23000,24000,29000,26000,30000,38000,32000,29000,45000,66000,75000,81000,88000,99000,113000,123000,128000,131000,135000
Eritrea,119000,133000,149000,169000,182000,215000,200000,270000,377000,435000,439000,508000,542000,593000,719000,833000,876000,873000,861000,875000,913000
Estonia,97000,104000,87000,92000,101000,107000,103000,103000,111000,100000,103000,108000,77000,62000,65000,78000,84000,81000,74000,65000,62000
Ethiopia,1870000,2086000,2356000,2673000,2897000,3278000,3645000,4279000,4961000,5717000,6708000,8096000,9604000,10702000,11667000,12983000,13973000,14720000,15179000,15382000,15405000
Fiji,30000,36000,41000,50000,60000,73000,73000,73000,71000,83000,88000,82000,86000,88000,83000,79000,76000,73000,70000,68000,65000
Finland,310000,327000,357000,484000,426000,399000,382000,351000,302000,328000,332000,319000,335000,305000,296000,304000,310000,311000,307000,299000,291000
France,3136000,2834000,2785000,4181000,4153000,4225000,4356000,4272000,4263000,3747000,3921000,3908000,3722000,3768000,4007000,3998000,3827000,3760000,3709000,3711000,3771000
French Guiana,2000,2000,2000,3000,5000,6000,7000,8000,11000,12000,15000,18000,23000,25000,27000,28000,29000,31000,32000,33000,33000
French Polynesia,6000,7000,8000,9000,11000,14000,17000,20000,21000,20000,23000,28000,23000,24000,23000,24000,24000,23000,23000,22000,21000
Gabon,39000,40000,40000,40000,46000,52000,60000,70000,87000,108000,129000,148000,171000,172000,174000,179000,187000,193000,194000,193000,191000
Gambia,26000,29000,33000,36000,35000,44000,55000,68000,85000,105000,126000,151000,183000,215000,242000,264000,285000,302000,317000,329000,338000
Georgia,340000,409000,280000,300000,402000,476000,480000,421000,413000,381000,375000,393000,332000,226000,215000,236000,229000,215000,194000,177000,172000
Germany,4934000,6176000,5316000,4598000,5334000,5841000,6643000,6130000,4472000,4324000,4645000,4838000,4259000,3991000,3696000,3415000,3315000,3349000,3308000,3203000,3086000
Ghana,516000,604000,711000,831000,847000,1005000,1152000,1398000,1627000,1871000,2122000,2383000,2605000,2776000,2972000,3217000,3440000,3574000,3680000,3751000,3844000
Greece,784000,768000,626000,723000,660000,705000,725000,775000,759000,806000,738000,608000,556000,537000,535000,557000,533000,509000,489000,485000,493000
Grenada,7000,8000,7000,9000,10000,12000,12000,12000,10000,10000,12000,13000,11000,9000,9000,9000,9000,9000,8000,7000,6000
Guadeloupe,19000,20000,23000,33000,36000,37000,40000,41000,42000,38000,35000,36000,33000,31000,33000,31000,30000,29000,27000,26000,25000
Guam,7000,6000,5000,6000,8000,9000,11000,12000,12000,12000,13000,14000,16000,17000,16000,16000,16000,16000,16000,16000,16000
Guatemala,339000,361000,407000,508000,588000,646000,733000,837000,970000,1115000,1259000,1380000,1590000,1780000,1972000,2112000,2217000,2274000,2287000,2261000,2208000
Guinea,233000,261000,318000,336000,387000,408000,469000,528000,622000,771000,883000,984000,1100000,1248000,1426000,1628000,1797000,1925000,2020000,2096000,2165000
Guinea-Bissau,50000,50000,57000,57000,76000,64000,77000,72000,126000,123000,126000,143000,166000,194000,219000,245000,269000,291000,312000,329000,343000
Guyana,40000,41000,50000,67000,80000,88000,99000,94000,88000,87000,83000,65000,72000,80000,71000,58000,53000,51000,49000,45000,39000
Haiti,324000,364000,389000,399000,482000,544000,614000,657000,693000,821000,1017000,1071000,1113000,1159000,1168000,1202000,1225000,1243000,1245000,1227000,1199000
Honduras,151000,168000,189000,230000,285000,335000,399000,470000,530000,617000,701000,778000,862000,896000,908000,938000,955000,953000,931000,897000,855000
"Hong Kong, China",214000,173000,161000,381000,429000,526000,563000,471000,434000,443000,454000,425000,465000,382000,255000,297000,353000,358000,356000,341000,330000
Hungary,765000,733000,750000,803000,927000,793000,645000,705000,790000,831000,671000,632000,597000,502000,485000,501000,497000,481000,464000,447000,435000
Iceland,12000,12000,14000,18000,20000,22000,23000,22000,21000,21000,21000,22000,24000,22000,22000,24000,24000,24000,23000,22000,21000
India,38004000,40094000,41157000,45902000,59055000,65341000,71798000,78760000,86939000,97237000,106183000,113991000,121243000,122429000,123698000,122042000,120664000,117197000,112033000,105678000,100618000
Indonesia,8325000,9072000,9270000,9475000,11410000,13816000,15736000,17742000,19353000,20392000,21140000,20723000,20454000,20351000,20850000,20312000,19313000,18168000,17906000,17895000,17730000
Iran,1550000,1704000,1992000,2549000,3059000,3482000,4121000,4947000,5945000,7450000,9066000,9229000,7255000,5235000,5839000,6585000,6708000,6396000,5686000,5394000,5513000
Iraq,533000,595000,681000,731000,1203000,1170000,1424000,1848000,2087000,2406000,2667000,3001000,3386000,4020000,4260000,4510000,4641000,4831000,5038000,5171000,5192000
Ireland,242000,234000,235000,259000,258000,292000,321000,329000,333000,338000,326000,299000,283000,288000,327000,363000,366000,342000,323000,320000,337000
Israel,109000,139000,162000,264000,304000,316000,326000,363000,426000,499000,527000,548000,571000,638000,685000,707000,693000,681000,681000,691000,698000
Italy,4028000,4036000,3670000,4112000,3788000,4041000,4548000,4619000,4412000,3623000,3052000,2871000,2903000,2818000,2942000,2992000,2767000,2549000,2482000,2500000,2572000
Jamaica,143000,149000,146000,170000,165000,236000,248000,278000,258000,244000,251000,257000,286000,275000,245000,238000,233000,228000,216000,198000,181000
Japan,8565000,8593000,9237000,10944000,9233000,7933000,8238000,8931000,10086000,8615000,7537000,6576000,6037000,5921000,5685000,5242000,4780000,4408000,4229000,4152000,4094000
Jordan,46000,71000,97000,119000,163000,190000,253000,321000,391000,497000,543000,609000,677000,692000,707000,763000,770000,741000,719000,700000,683000
Kazakhstan,572000,1054000,724000,949000,1290000,1579000,1584000,1427000,1443000,1427000,1417000,1579000,1374000,1074000,1163000,1444000,1419000,1310000,1171000,1097000,1108000
Kenya,623000,635000,664000,896000,1177000,1425000,1725000,2095000,2592000,3163000,3752000,4233000,4339000,4798000,5598000,6553000,7011000,7169000,7316000,7597000,7926000
"Korea, Dem. Rep.",1201000,1400000,1451000,1353000,956000,1640000,1717000,2256000,2152000,1510000,1861000,1860000,2054000,1881000,1629000,1530000,1551000,1613000,1597000,1501000,1402000
"Korea, Rep.",1796000,2395000,2383000,2651000,3088000,4147000,4240000,4317000,4462000,3896000,3757000,3140000,3456000,3156000,2428000,2257000,2201000,2120000,2064000,1980000,1865000
Kuwait,16000,18000,22000,40000,62000,88000,122000,146000,182000,122000,154000,190000,204000,223000,242000,268000,271000,267000,267000,273000,286000
Kyrgyzstan,174000,204000,134000,173000,281000,371000,409000,389000,430000,452000,523000,591000,580000,530000,492000,561000,567000,530000,478000,440000,439000
Laos,167000,183000,204000,240000,291000,316000,340000,393000,459000,503000,578000,680000,762000,814000,733000,777000,820000,861000,874000,850000,822000
Latvia,167000,182000,170000,161000,166000,186000,188000,170000,184000,165000,175000,188000,134000,95000,99000,111000,118000,115000,105000,91000,85000
Lebanon,143000,145000,151000,189000,248000,307000,312000,317000,315000,345000,360000,379000,390000,393000,332000,318000,326000,331000,329000,316000,297000
Lesotho,72000,78000,88000,102000,111000,125000,142000,161000,180000,204000,234000,248000,251000,258000,255000,255000,258000,258000,253000,246000,239000
Liberia,83000,92000,104000,116000,133000,179000,213000,237000,208000,206000,301000,355000,437000,503000,564000,623000,677000,718000,746000,768000,786000
Libya,103000,113000,135000,158000,200000,239000,298000,406000,514000,599000,698000,586000,545000,591000,664000,719000,725000,675000,605000,564000,576000
Lithuania,245000,239000,242000,216000,236000,281000,293000,277000,275000,254000,261000,273000,228000,172000,141000,146000,152000,153000,148000,136000,123000
Luxembourg,24000,20000,20000,22000,24000,27000,28000,26000,22000,23000,24000,27000,31000,32000,31000,31000,33000,36000,38000,41000,42000
"Macao, China",20000,12000,12000,23000,40000,37000,28000,26000,25000,24000,35000,43000,38000,27000,21000,24000,26000,26000,25000,22000,20000
"Macedonia, FYR",128000,128000,122000,151000,165000,166000,168000,161000,158000,165000,167000,160000,152000,132000,117000,108000,109000,108000,104000,98000,91000
Madagascar,413000,429000,448000,510000,672000,777000,894000,1040000,1232000,1421000,1494000,1862000,2222000,2554000,2780000,3008000,3225000,3409000,3551000,3655000,3729000
Malawi,293000,328000,370000,422000,450000,532000,631000,757000,928000,1138000,1235000,1401000,1761000,2105000,2357000,2588000,2867000,3143000,3344000,3461000,3538000
Malaysia,580000,713000,727000,937000,1173000,1364000,1574000,1674000,1795000,1999000,2367000,2518000,2669000,2668000,2741000,2732000,2726000,2674000,2572000,2461000,2462000
Maldives,7000,8000,8000,9000,13000,14000,16000,18000,23000,26000,35000,39000,38000,31000,26000,28000,30000,31000,30000,28000,26000
Mali,427000,471000,524000,551000,582000,686000,757000,851000,938000,1021000,1189000,1353000,1494000,1629000,1836000,2102000,2302000,2433000,2529000,2596000,2687000
Malta,28000,29000,28000,35000,32000,27000,27000,24000,26000,29000,29000,29000,27000,24000,20000,19000,20000,20000,20000,19000,18000
Martinique,21000,24000,26000,30000,34000,40000,42000,38000,36000,28000,28000,29000,30000,28000,27000,24000,23000,23000,23000,22000,20000
Mauritania,70000,78000,88000,100000,113000,140000,164000,189000,217000,251000,285000,323000,356000,391000,429000,463000,484000,487000,491000,498000,507000
Mauritius,51000,58000,68000,78000,92000,103000,110000,118000,112000,105000,101000,97000,110000,103000,96000,88000,91000,92000,90000,87000,84000
Mayotte,1000,2000,2000,3000,4000,5000,6000,8000,11000,14000,16000,19000,23000,27000,26000,25000,26000,28000,29000,29000,27000
Mexico,2842000,3057000,3705000,4302000,5571000,6556000,7529000,8546000,10036000,10215000,10150000,10066000,10439000,10107000,9749000,9330000,8788000,8141000,7832000,7677000,7360000
"Micronesia, Fed. Sts.",3000,4000,4000,5000,7000,7000,8000,10000,11000,13000,13000,13000,13000,13000,13000,12000,12000,12000,11000,11000,10000
Moldova,223000,261000,225000,230000,349000,399000,379000,336000,340000,366000,367000,381000,291000,192000,162000,198000,203000,190000,164000,142000,135000
Mongolia,76000,86000,99000,113000,129000,150000,176000,204000,245000,250000,270000,317000,275000,235000,213000,234000,240000,241000,234000,215000,200000
Montenegro,43000,46000,38000,48000,56000,56000,57000,50000,49000,52000,54000,50000,42000,42000,40000,37000,38000,37000,37000,36000,35000
Morocco,930000,1057000,1216000,1247000,1489000,1910000,2106000,2388000,2705000,2947000,3313000,3294000,3178000,2993000,2885000,3046000,3139000,3093000,2939000,2773000,2675000
Mozambique,650000,703000,770000,841000,940000,1075000,1238000,1378000,1506000,1726000,1928000,2181000,2480000,2864000,3367000,3584000,3734000,3877000,4034000,4180000,4269000
Myanmar,1731000,1629000,1688000,2010000,2827000,3152000,3483000,3919000,4487000,4714000,5026000,4746000,4518000,4291000,4404000,4487000,4487000,4332000,4129000,3976000,3888000
Namibia,47000,50000,58000,67000,79000,92000,104000,124000,159000,181000,199000,228000,253000,255000,263000,278000,287000,296000,300000,299000,295000
Nepal,871000,953000,1032000,1027000,1191000,1360000,1547000,1754000,2007000,2295000,2610000,2935000,3312000,3592000,3575000,3433000,3520000,3696000,3763000,3701000,3597000
Netherlands,811000,817000,914000,1183000,1111000,1172000,1255000,1234000,1078000,925000,929000,992000,1021000,1016000,1029000,962000,931000,948000,981000,989000,980000
Netherlands Antilles,10000,10000,12000,15000,18000,20000,20000,17000,15000,14000,13000,13000,13000,11000,11000,11000,11000,10000,9000,9000,8000
New Caledonia,6000,6000,7000,8000,10000,13000,15000,17000,18000,18000,19000,21000,22000,23000,22000,21000,22000,22000,22000,22000,22000
New Zealand,133000,149000,183000,243000,262000,298000,313000,301000,290000,269000,275000,307000,319000,299000,297000,305000,311000,310000,308000,303000,301000
Nicaragua,139000,154000,175000,185000,272000,327000,353000,397000,460000,535000,606000,624000,665000,648000,622000,640000,644000,631000,606000,578000,553000
Niger,265000,317000,379000,407000,432000,502000,564000,732000,773000,996000,1115000,1340000,1606000,1964000,2398000,3143000,3658000,4238000,4923000,5705000,6462000
Nigeria,3689000,4097000,4532000,4911000,5753000,6504000,7462000,8389000,9969000,11949000,13736000,15260000,16899000,18828000,21028000,23170000,24303000,24652000,24779000,25137000,25661000
Norway,204000,210000,262000,317000,302000,309000,314000,335000,315000,269000,266000,297000,327000,324000,310000,318000,312000,320000,331000,336000,335000
Oman,46000,51000,58000,67000,82000,96000,115000,140000,164000,204000,251000,277000,290000,306000,290000,300000,327000,339000,340000,333000,323000
Pakistan,3495000,3967000,4659000,5017000,5759000,6680000,7951000,10051000,11949000,13360000,16049000,19147000,19899000,20700000,22038000,23771000,25424000,25769000,25664000,25566000,25731000
Panama,81000,92000,111000,130000,153000,182000,216000,247000,264000,266000,280000,300000,308000,330000,342000,344000,342000,342000,343000,340000,333000
Papua New Guinea,184000,197000,211000,242000,280000,310000,372000,419000,477000,496000,557000,629000,722000,837000,897000,951000,992000,1016000,1050000,1075000,1084000
Paraguay,149000,172000,192000,228000,279000,313000,354000,401000,423000,494000,593000,643000,675000,697000,715000,727000,735000,733000,722000,709000,697000
Peru,779000,869000,963000,1127000,1357000,1600000,1889000,2122000,2350000,2585000,2674000,2831000,2894000,2889000,2886000,2885000,2796000,2727000,2675000,2619000,2551000
Philippines,2022000,2329000,2745000,3202000,4066000,4685000,5347000,6039000,6701000,7514000,8261000,9118000,9756000,10039000,10223000,10688000,10841000,10948000,10923000,10792000,10631000
Poland,2412000,2297000,1954000,2887000,3466000,3422000,2773000,2509000,2848000,3216000,3352000,2911000,2455000,1981000,1767000,1843000,1847000,1755000,1587000,1435000,1361000
Portugal,808000,770000,738000,763000,736000,795000,854000,844000,849000,791000,693000,596000,562000,558000,567000,536000,507000,479000,458000,454000,459000
Puerto Rico,221000,230000,251000,246000,292000,328000,337000,339000,327000,337000,314000,296000,294000,282000,249000,247000,248000,244000,237000,228000,218000
Qatar,2000,3000,4000,7000,9000,16000,19000,22000,26000,30000,44000,62000,92000,75000,91000,96000,108000,112000,108000,107000,110000
Reunion,24000,25000,30000,40000,47000,56000,66000,60000,62000,62000,66000,68000,69000,69000,74000,74000,73000,72000,72000,71000,70000
Romania,1638000,1613000,1348000,1546000,1807000,1785000,1429000,1994000,1879000,1964000,1640000,1709000,1184000,1106000,1049000,1042000,994000,936000,861000,807000,787000
Russia,9911000,12221000,7333000,9856000,12338000,12880000,11510000,9358000,10256000,10897000,12155000,12169000,8157000,6452000,6990000,7579000,7762000,7281000,6487000,5920000,5920000
Rwanda,226000,260000,299000,326000,384000,460000,601000,622000,684000,541000,1019000,1175000,1059000,1161000,1355000,1581000,1804000,1875000,1869000,1893000,1984000
Saint Lucia,8000,8000,9000,9000,10000,12000,15000,15000,15000,14000,16000,17000,17000,16000,14000,15000,15000,14000,14000,13000,13000
Saint Vincent and the Grenadines,6000,8000,7000,9000,10000,12000,13000,13000,12000,12000,11000,11000,11000,10000,9000,9000,8000,8000,8000,7000,7000
Samoa,8000,10000,12000,13000,17000,19000,20000,18000,21000,18000,18000,20000,22000,24000,23000,18000,17000,18000,19000,19000,17000
Sao Tome and Principe,3000,3000,4000,5000,8000,9000,10000,11000,12000,16000,18000,17000,19000,20000,22000,23000,23000,23000,24000,24000,24000
Saudi Arabia,317000,357000,406000,476000,572000,724000,909000,1232000,1512000,1760000,1990000,2288000,2564000,2637000,2765000,2798000,2905000,2966000,2956000,2882000,2768000
Senegal,244000,275000,309000,338000,374000,465000,549000,678000,821000,971000,1117000,1274000,1449000,1602000,1776000,2015000,2124000,2160000,2188000,2238000,2305000
Serbia,693000,623000,533000,722000,777000,680000,666000,676000,710000,774000,774000,715000,646000,578000,590000,563000,554000,541000,522000,507000,503000
Sierra Leone,192000,208000,230000,246000,246000,276000,314000,358000,421000,431000,463000,539000,590000,693000,822000,910000,986000,1038000,1095000,1147000,1196000
Singapore,98000,127000,145000,191000,247000,292000,287000,250000,253000,224000,252000,283000,373000,327000,255000,215000,212000,232000,253000,252000,229000
Slovak Republic,305000,294000,320000,376000,457000,439000,407000,377000,429000,475000,449000,412000,361000,289000,260000,275000,281000,269000,247000,227000,217000
Slovenia,136000,127000,122000,142000,148000,133000,141000,138000,144000,151000,140000,126000,104000,95000,92000,100000,104000,100000,93000,89000,88000
Solomon Islands,10000,10000,13000,12000,16000,19000,23000,28000,37000,41000,46000,51000,58000,64000,69000,73000,75000,76000,78000,80000,81000
Somalia,218000,248000,261000,303000,376000,426000,663000,678000,715000,740000,717000,847000,937000,1126000,1322000,1498000,1687000,1865000,2065000,2254000,2396000
South Africa,1340000,1469000,1673000,1907000,2337000,2709000,3032000,3511000,3985000,4401000,4779000,5028000,4994000,4916000,5027000,5029000,5051000,4895000,4763000,4658000,4554000
Spain,2624000,2288000,2421000,2631000,2655000,2943000,3226000,3281000,3309000,3160000,2618000,2323000,2201000,2143000,2386000,2610000,2683000,2551000,2369000,2314000,2415000
Sri Lanka,756000,844000,970000,1185000,1305000,1521000,1576000,1668000,1716000,1841000,1841000,1784000,1563000,1432000,1677000,1713000,1657000,1525000,1387000,1325000,1315000
Sudan,930000,1053000,1200000,1379000,1530000,1785000,2097000,2501000,2871000,3296000,3736000,4138000,4692000,5198000,5441000,5654000,5806000,5962000,6107000,6193000,6200000
Suriname,21000,22000,24000,31000,40000,42000,48000,43000,43000,39000,46000,47000,44000,50000,50000,45000,44000,43000,43000,42000,39000
Swaziland,28000,31000,35000,42000,48000,55000,64000,76000,94000,106000,131000,147000,156000,149000,147000,155000,164000,169000,168000,163000,161000
Sweden,415000,448000,594000,626000,553000,536000,569000,578000,565000,509000,507000,591000,626000,497000,525000,575000,577000,595000,601000,585000,575000
Switzerland,331000,324000,409000,486000,451000,466000,505000,490000,426000,398000,418000,437000,455000,430000,405000,407000,410000,427000,443000,450000,452000
Syria,363000,392000,441000,522000,688000,811000,968000,1167000,1413000,1743000,2106000,2266000,2236000,2273000,2549000,2853000,2912000,2736000,2589000,2523000,2519000
Tajikistan,172000,201000,150000,166000,268000,367000,468000,488000,543000,580000,683000,830000,848000,837000,824000,858000,922000,939000,904000,844000,795000
Tanzania,797000,909000,1047000,1229000,1384000,1654000,1942000,2295000,2710000,3257000,3729000,4251000,4758000,5429000,6431000,7595000,8594000,9191000,9701000,10214000,10721000
Thailand,2238000,2532000,2586000,3044000,3861000,4624000,5496000,5978000,6083000,5772000,5327000,5347000,5328000,4927000,4817000,4826000,4796000,4666000,4538000,4430000,4348000
Timor-Leste,44000,48000,51000,56000,62000,69000,75000,73000,85000,77000,84000,109000,131000,159000,161000,196000,233000,269000,291000,299000,304000
Togo,130000,141000,156000,171000,213000,243000,279000,344000,418000,491000,587000,663000,735000,811000,885000,944000,1005000,1038000,1060000,1079000,1093000
Tonga,5000,6000,7000,9000,11000,10000,12000,12000,11000,10000,12000,10000,11000,11000,13000,13000,11000,11000,11000,11000,11000
Trinidad and Tobago,54000,64000,81000,93000,109000,120000,134000,119000,115000,123000,148000,137000,105000,89000,88000,92000,94000,89000,82000,76000,73000
Tunisia,336000,355000,357000,389000,543000,639000,737000,808000,860000,946000,1023000,1052000,955000,807000,760000,792000,829000,826000,804000,744000,702000
Turkey,2425000,2350000,2400000,3000000,3802000,4399000,4966000,5379000,6206000,6642000,6909000,6530000,6812000,6873000,6509000,6538000,6449000,6309000,6132000,5962000,5878000
Turkmenistan,122000,145000,112000,141000,208000,282000,333000,343000,375000,425000,480000,561000,564000,475000,496000,504000,512000,497000,460000,428000,423000
Uganda,560000,537000,674000,802000,984000,1123000,1313000,1562000,1887000,2238000,2676000,3190000,3808000,4436000,5194000,6115000,6981000,7753000,8360000,8823000,9193000
Ukraine,3056000,4372000,2959000,3081000,3868000,4126000,3942000,3442000,3624000,3648000,3804000,3611000,2787000,2088000,1961000,2225000,2359000,2264000,2016000,1803000,1739000
