 New smear-positive cases (per 100 000 population),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Pakistan,,,,9,,2,1,,11,4,2,7,11,14,20,31,41,54
Palau,,,,50,66,53,23,39,,106,,,46,25,25,15,30,25
Panama,,,,41,29,40,33,21,49,15,16,22,25,25,28,27,26,25
Papua New Guinea,,,,,,35,9,24,41,41,36,24,24,40,32,30,31,33
Paraguay,23,22,19,22,19,16,18,17,17,20,17,17,18,21,21,21,24,21
Peru,,,,155,145,135,111,112,111,97,88,83,78,69,68,68,70,64
Philippines,,,,141,130,138,124,112,95,98,88,76,82,90,94,97,99,98
Poland,,,,20,10,18,18,9,9,8,8,8,8,8,7,7,7,7
Portugal,,,,,21,20,19,16,20,18,18,20,19,17,14,12,12,11
Puerto Rico,,,,3,4,3,3,3,3,3,2,2,2,2,2,2,2,1
Qatar,,,,,,11,9,7,12,10,9,12,9,13,10,12,14,14
"Korea, Rep.",,,,38,30,26,25,22,22,21,18,25,24,23,24,24,24,23
Moldova,,,,14,16,15,5,9,11,14,16,26,28,31,39,44,44,42
Romania,,,,41,46,46,46,52,49,46,46,51,49,48,50,50,46,44
Russian Federation,,,,,20,25,29,28,28,15,19,18,19,20,21,23,23,23
Rwanda,,,,,,33,35,44,63,56,45,38,45,52,46,45,45,42
Saint Kitts and Nevis,,,,5,5,9,5,,9,4,0,0,2,,0,0,2,8
Saint Lucia,,,,,12,8,15,9,7,6,5,4,5,5,7,7,8,11
Saint Vincent and the Grenadines,,,,10,0,4,3,2,3,3,8,3,0,5,4,5,7,3
Samoa,,,,13,11,9,5,8,4,10,7,6,11,7,6,6,7,
San Marino,,,,,,,0,4,0,0,4,0,0,0,0,,,
Sao Tome and Principe,,,,,,,,,,22,21,29,29,22,33,32,23,37
Saudi Arabia,,,,5,,,,8,8,8,8,8,8,7,7,7,8,8
Senegal,,,,,52,60,64,57,56,50,56,57,53,59,56,57,57,57
Seychelles,,,,3,,8,14,17,11,12,14,15,11,6,15,9,,
Sierra Leone,,,,,34,35,54,54,53,,55,57,60,60,69,78,81,91
Singapore,,,,16,26,13,14,12,13,12,6,9,13,14,12,13,12,11
Slovakia,,,,17,8,15,14,5,6,5,4,4,4,4,3,3,3,3
Slovenia,,,,19,15,15,11,8,8,8,7,7,7,6,4,5,4,4
Solomon Islands,,,,45,32,30,24,30,36,23,26,28,25,31,33,36,26,29
Somalia,,,,,19,25,46,48,47,51,54,64,64,67,81,86,81,70
South Africa,,,,,,56,99,125,150,161,167,182,212,247,266,262,272,279
Spain,,,,,,7,,,5,,9,6,8,7,5,6,5,5
Sri Lanka,16,17,18,19,19,17,16,19,20,21,23,23,23,23,23,25,23,23
Sudan,,,,,13,30,30,35,34,34,37,33,30,31,33,34,32,33
Suriname,,,,,,,9,7,7,8,8,8,9,8,8,11,14,
Swaziland,,,,,,69,228,,,171,172,119,129,144,171,194,224,242
Sweden,,,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,,,,8,7,3,2,2,2,1,2,2,2,1,2,1,2,1
