Population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1.913629795,1.953066917,1.993442548,2.03623932,2.08209445,2.129661726,2.147516967,2.159022318,2.215815321,2.330799117,2.465669663,2.575824666,2.612110827,2.555335657,2.388053299,2.129594172,2.53070887,2.530718918,2.530707822,2.530715142,2.530714445,2.317673635,2.317678243,2.317679297,2.31768067,2.317679241,2.082623136,2.082627992,2.082621295,2.082624638,2.082624899,3.391205423,3.391206687,3.391208223,3.391209225,3.391205093,2.917137528,2.917137115,2.917137012,2.917140143,2.917139198,2.877034772,2.877037228,2.877039489,2.877035265,2.877038029,2.831299368,2.831300722,2.831299639,2.831301863,2.831298777,2.720299986
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,3.125072023,3.092990042,3.047612927,2.992899009,2.932065412,2.866669133,2.797541211,2.726262056,2.655235789,2.585880508,2.51905594,2.4537746,2.391524168,2.334879153,2.284756286,2.240592021,2.20208212,2.167273667,2.133944154,2.101358138,2.071623284,1.991382496,1.910529504,1.92865161,2.073296525,2.270327597,2.537467239,2.687122133,2.498837406,1.891475215,1.027426704,0.06722201051,-0.7535700622,-1.296467695,-1.419654241,-1.213201593,-0.91162678,-0.6670990437,-0.4169549768,-0.2052095713,-0.02828508586,0.1795996537,0.4021307945,0.5462147802,0.5828410729,0.5406081885,0.4701832472,0.4128187515,0.3694504429,0.3553749198,0.361450678,0.3645955488
Algeria,2.006014941,1.895314326,1.829341044,1.864778444,2.028692696,2.274235412,2.541045444,2.76422195,2.922315252,2.994062573,3.007540332,3.007556057,3.022977304,3.046885563,3.08605182,3.132922512,3.165265643,3.183986609,3.208671848,3.241748389,3.273039545,3.300504721,3.304584303,3.265806037,3.177372176,3.056553564,2.921887118,2.795117245,2.685032631,2.598994904,2.526115224,2.465013273,2.390765739,2.278000001,2.116512124,1.928964812,1.735423665,1.571853117,1.462353891,1.423135143,1.434287016,1.457814689,1.472644656,1.488818258,1.500851301,1.508506185,1.519347086,1.529486041,1.526116691,1.505227546,1.471347041,1.433184666
American Samoa,1.427231624,2.264471097,2.99849487,3.470599984,3.601484826,3.501831201,3.362752208,3.257326664,3.069555696,2.816658181,2.523512267,2.24305083,1.997334787,1.785854991,1.608632128,1.496236843,1.355457449,1.281963754,1.432869991,1.870700053,2.487171613,3.120571596,3.62856907,3.961081216,4.067724466,4.020864144,3.948719329,3.87176121,3.704726859,3.451811299,3.145531171,2.828776208,2.541697252,2.295793172,2.111369163,1.973271156,1.8386588,1.71614089,1.64772807,1.64043105,1.67644706,1.734117669,1.781656323,1.804782469,1.78895064,1.747979747,1.705459148,1.679931128,1.6551955,1.640129929,1.63266527,1.628008674
Andorra,7.101330095,6.930679395,6.74246014,6.536542699,6.301809635,6.068533929,5.823123063,5.603762306,5.429523504,5.309960512,5.210586683,5.167082942,5.094828633,4.914816456,4.586901048,4.21791976,3.767693711,3.432750896,3.405979711,3.764781716,4.310953358,4.959607696,5.369951352,5.284319197,4.625956288,3.677548312,2.579592794,1.734000271,1.467842677,1.980809169,2.945970344,4.126075903,4.915722306,4.903166358,3.944573887,2.485066462,0.8127748205,-0.4948831297,-1.020519732,-0.4070784138,1.009190723,2.680585461,3.918305617,4.475209738,4.189229118,3.38980099,2.517849569,1.880202228,1.447877605,1.323295742,1.408582631,1.521408761
Angola,1.780922871,1.809516525,1.831088328,1.828898275,1.795637248,1.747263438,1.697039191,1.672226816,1.693078939,1.771769455,1.891636055,2.027834651,2.158331217,2.279900052,2.385080148,2.480608181,2.550005349,2.625560291,2.754284531,2.948953113,3.167955957,3.409822223,3.584148229,3.59566161,3.414665564,3.124908721,2.795335745,2.54439565,2.446957916,2.547829269,2.771319979,3.034866008,3.226989862,3.297242646,3.212170237,3.037335236,2.831221001,2.68990281,2.66904622,2.801776072,3.023765511,3.262710367,3.431019537,3.4939992,3.426475986,3.276833401,3.112815744,2.982645128,2.882927374,2.826684433,2.799537836,2.772866185
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1.011372675,1.364669341,1.70711849,1.950270012,2.034085201,2.010245167,1.965714044,1.937460205,1.870671535,1.761960394,1.627826745,1.463614264,1.291322908,1.125372309,0.9720575701,0.8273834337,0.703369009,0.5577322943,0.329466194,-0.01134285189,-0.4220164981,-0.8422336674,-1.207740659,-1.480315476,-1.622424857,-1.64308575,-1.651939558,-1.607231842,-1.33304663,-0.7640533401,0.01607794592,0.8835167431,1.656221682,2.225758342,2.508210468,2.578036636,2.599864606,2.622513222,2.550099963,2.390658218,2.175286402,1.924546554,1.680985521,1.490568396,1.363707218,1.29294052,1.227009259,1.150480543,1.094816972,1.054491318,1.028834311,1.011661705
Argentina,1.636708835,1.613776959,1.59175341,1.564464868,1.529181301,1.491789224,1.44879583,1.417406191,1.420277317,1.466531412,1.539460939,1.624334013,1.69168215,1.72051362,1.698003684,1.641457008,1.574974939,1.522586406,1.490093155,1.486198106,1.501498907,1.518819982,1.52705882,1.529269816,1.522480584,1.508632617,1.493503857,1.478149378,1.458244281,1.433283278,1.404532432,1.372593218,1.340016649,1.309256048,1.281601472,1.255317203,1.231663709,1.205095418,1.168323675,1.118369408,1.060771569,1.00066271,0.9477834501,0.9091191473,0.8894949298,0.8838992193,0.881997595,0.8781982373,0.8756293937,0.8728711863,0.8696088839,0.8677026326
Armenia,3.55528978,3.516902042,3.45176249,3.352327382,3.217815214,3.06357478,2.897976107,2.744528696,2.623700424,2.545383199,2.494230545,2.450889468,2.395432775,2.322760719,2.226339053,2.115725061,2.003437082,1.901788494,1.813600327,1.74310197,1.684949897,1.588804529,1.482714161,1.440769912,1.482407486,1.556121994,1.703334312,1.766805303,1.532431958,0.9153692807,0.05573259224,-0.9251922304,-1.784335772,-2.333341886,-2.397173568,-2.068540696,-1.594565319,-1.184376478,-0.8243243238,-0.5960604609,-0.4711101576,-0.3350102158,-0.154826054,-0.01676026664,0.06722013016,0.1090630445,0.12679689,0.1411778344,0.1594600151,0.1911725732,0.229656615,0.2636821273
Aruba,3.134829743,2.238225589,1.416786637,0.8341868165,0.5856042903,0.5787083541,0.6117715212,0.583938221,0.577122866,0.5755141277,0.5789932212,0.6295113823,0.6874146846,0.6478658983,0.473659818,0.2145604811,-0.1072226953,-0.3687325909,-0.4283088374,-0.2131770843,0.1982029147,0.7806518525,1.274654921,1.393733863,0.9996804328,0.3130390359,-0.6126933828,-1.309518613,-1.238431112,-0.07043695774,1.820254361,3.936180785,5.48404132,6.08881843,5.611677421,4.534627981,3.361558189,2.487199482,1.937405065,1.842933673,2.046928719,2.291020843,2.388872631,2.380629581,2.216290101,1.949652341,1.683830718,1.463280449,1.240534428,1.02387077,0.8183137677,0.6056717753
Australia,2.266911399,1.98973992,2.440639247,1.917816357,1.962354296,1.959716772,2.283184238,1.262276808,1.764158545,2.093022878,1.970188754,3.380293324,1.838146147,1.528816817,2.531220099,1.23118581,1.002658197,1.126672609,1.162885185,1.080642202,1.218942633,1.586852469,1.667535628,1.250548185,1.132221774,1.367345989,1.638988764,1.52098653,1.636206554,1.692566673,1.479977923,1.274577498,1.218627409,0.9856090977,1.062115878,1.215475691,1.322262062,1.129666489,1.046071719,1.146816804,1.202191394,1.348358342,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,1.520422261,2.001429237,2.086142001,1.573312455,1.428328572
Austria,0.5107993647,0.5484723564,0.6128958478,0.6423626707,0.6665482053,0.6497298756,0.7013961162,0.7474252201,0.5192542616,0.3453316462,0.3492189463,0.4462455814,0.5811903523,0.554041399,0.1702057677,-0.2653194107,-0.1766722847,0.0383904939,-0.08096104168,-0.170463648,0.0001059682792,0.2550182314,0.07171701803,-0.1616009813,-0.006294904092,0.04695096791,0.06354899747,0.06328420391,0.1415708503,0.4505138997,0.7620016113,0.9984181031,1.100552287,0.824627941,0.3848695467,0.1531062607,0.1350198337,0.1133166083,0.1097283681,0.1945631533,0.2404666524,0.3827993945,0.4919804643,0.4871338948,0.6204131273,0.6812672483,0.4947977751,0.3880283423,0.4344113239,0.3394645679,0.2924016735,0.3477830647
Azerbaijan,3.27139986,3.329825088,3.346910473,3.292676539,3.156140087,2.967796811,2.768599279,2.58886827,2.429097708,2.298787138,2.190898854,2.090089235,1.98979052,1.897437065,1.812858311,1.737310933,1.705915095,1.637835454,1.590697229,1.630337309,1.48683393,1.592825788,1.536420401,1.544131027,1.566370993,1.602210715,1.635967377,1.66768044,1.597500951,1.149845799,1.039043262,1.552352627,1.515076998,1.519152599,1.351730011,1.151694374,1.00984798,0.9614841747,0.9523276249,0.8807303481,0.8175779512,0.7748830144,0.746167883,0.7576132914,0.8749573161,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.247584276
Bahamas,4.789352718,4.973447326,5.062850331,5.032660382,4.880512214,4.642652466,4.410682723,4.177167972,3.869186988,3.480610366,3.059915617,2.62686922,2.259822542,2.026568011,1.964704026,2.021135168,2.103520868,2.156632081,2.19998636,2.216728312,2.213297578,2.221113542,2.230999177,2.198749618,2.117085897,2.00414931,1.873595063,1.761463969,1.701067218,1.707984134,1.755464055,1.824904166,1.867104747,1.841748209,1.730409923,1.566314442,1.385413258,1.240176065,1.1609925,1.169099755,1.238270907,1.319987059,1.381303377,1.428591086,1.452324948,1.456900664,1.463446817,1.468797034,1.44903384,1.397899907,1.326727572,1.24600737
Bahrain,3.500701713,3.254959024,3.013722527,2.790740367,2.597895981,2.454330873,2.324779507,2.268884016,2.383832486,2.702153253,3.158215255,3.548737044,3.896541727,4.377170438,4.995406331,5.614422464,6.244207071,6.619019717,6.481226923,5.804587006,4.858904292,3.867989177,3.098974073,2.668456639,2.669768938,2.945118779,3.283245314,3.488889034,3.53257932,3.363719199,3.068778208,2.760145447,2.535451651,2.407968383,2.406557319,2.488361799,2.794756415,3.095032556,3.031398272,2.508689707,1.80690757,0.6741635415,-0.06850488365,0.7902407956,3.730139391,7.600427864,11.28680626,13.18123811,12.82037337,10.56086891,7.592401073,4.773917665
Bangladesh,2.878309934,2.813227825,2.76705836,2.786625069,2.889126927,3.022634484,3.217031193,3.33122393,3.190772276,2.742356635,2.125692646,1.437196299,0.8987394995,0.6863556084,0.9157306967,1.448003043,2.063723457,2.551079655,2.868031475,2.948737175,2.870836619,2.76357884,2.705211189,2.66897633,2.672228007,2.696486042,2.717192731,2.708853424,2.666632774,2.583998936,2.476252386,2.359199341,2.25410479,2.171659786,2.11998064,2.088210996,2.056996883,2.015528584,1.968677125,1.913801209,1.851585703,1.79888406,1.744407836,1.660670463,1.540024693,1.400002624,1.248033532,1.119988157,1.05136453,1.061069919,1.124029966,1.204301033
Barbados,0.2528852152,0.3213635836,0.3947736474,0.4317732992,0.4098725476,0.3474369402,0.2720812913,0.2248309952,0.2243266392,0.2878027231,0.3930713722,0.5217032362,0.6251241299,0.662409968,0.6089697962,0.495023242,0.3563820266,0.2451125605,0.1863692307,0.2065807993,0.2797362243,0.369098856,0.4367421157,0.4804852271,0.4856905291,0.4629063368,0.4365132208,0.4178599964,0.3963266263,0.3746548902,0.3524494614,0.3270164422,0.3010623824,0.2864131697,0.2867374544,0.2961680931,0.3111896123,0.321541863,0.3212633335,0.3067400692,0.2818806626,0.2542454931,0.2312828658,0.2140461091,0.2069211768,0.2057545365,0.2064388203,0.204909042,0.2066944711,0.2092012581,0.2127890255,0.2170831323
Belarus,0.9773890372,0.8891313068,0.9710874089,1.016188168,1.025769925,1.001232517,0.999586684,1.019929446,1.006837357,0.9616299162,0.8855018863,0.8325423744,0.8019034908,0.7405770267,0.6493962392,0.5289506269,0.4686343354,0.5510239302,0.6530463075,0.6175119971,0.6137221768,0.6924018338,0.6774119699,0.6830139787,0.6783805267,0.6537614021,0.6793911207,0.6748065272,0.2864057873,0.2954211711,0.1866496814,0.04906048947,0.2155806676,0.2248839721,-0.1172676695,-0.3231969702,-0.3340869557,-0.4241264659,-0.475577999,-0.3382414472,-0.2994014024,-0.3478300401,-0.4549840554,-0.5154991685,-0.5025677813,-0.4987541196,-0.4417763899,-0.3138750679,-1.036063971,-0.9943040732,-0.1789756755,-0.1792965728
Belgium,0.6577114966,0.3322059458,0.3980547868,0.7476069307,0.9464775357,0.9081370017,0.6754635671,0.5566455549,0.3933911077,0.2831696692,0.0986136915,0.1822470715,0.3915859075,0.3146587657,0.3146336646,0.2889781611,0.178674447,0.1234796454,0.09329995981,0.08988255126,0.110211166,-0.00263715434,-0.02717688348,-0.007944470691,-0.001501707787,0.02978642264,0.03564885078,0.08525214081,0.3179262454,0.3632479859,0.2982357063,0.3715931657,0.4057134959,0.3906385178,0.3081970737,0.209436838,0.1953931762,0.241991885,0.2135276507,0.229189103,0.2425179562,0.3439511576,0.4482688948,0.4186415081,0.4327882481,0.5500557081,0.659558215,0.7343308308,0.7899768455,0.8045995726,0.9154658026,1.024626399
Belize,3.093120737,3.450037053,3.573658931,3.5430401,3.306434779,2.95871976,2.6629681,2.40186499,2.142263041,1.889031395,1.661331003,1.447384097,1.219172872,1.175006518,1.394010632,1.766017456,2.106224574,2.45407365,2.682175148,2.72692342,2.663834344,2.631399407,2.604723889,2.018877015,3.133109549,2.570415393,2.49567304,2.777956235,2.59169419,1.873332902,3.116856085,2.611114236,2.544666406,2.970515254,2.884815252,2.573241234,2.508683285,3.540192482,3.628999912,1.910356979,2.718771637,2.95821216,3.024153902,3.154835773,3.19998542,3.203616584,3.232319912,3.300750301,3.346271811,3.388085396,3.393156323,3.394023191
Benin,1.19710524,1.292586498,1.382616648,1.464885587,1.538508835,1.606228147,1.669753776,1.734476663,1.805696983,1.886049406,1.971790047,2.056436751,2.136120845,2.212418876,2.284091163,2.351375973,2.41512578,2.475307914,2.531007218,2.581956055,2.628311678,2.680679964,2.730249011,2.758910062,2.762476367,2.754727464,2.724411828,2.711691969,2.769768491,2.915361497,3.105310387,3.316188325,3.470789543,3.505095899,3.394208215,3.199091111,2.978379721,2.813172861,2.744431991,2.800013491,2.932097763,3.074866313,3.172429346,3.219332512,3.200295417,3.13724567,3.069481599,3.014014192,2.956236975,2.899066209,2.843714326,2.78605865
Bermuda,1.350920759,2.447285497,2.388821367,2.333085529,2.484599702,2.424361008,1.780462351,1.941808463,1.904819377,1.869213183,1.834913751,-0.7299302021,-0.7352973841,-0.740744081,-0.7462720731,-0.751883194,0.3766482558,0.3752349382,0.3738321875,0.3724398856,0.3710579162,0.7380106832,0.732603963,0.727275887,0.7220247518,0.7168489026,1.594364939,1.569343356,1.545095018,1.521584628,1.498779002,0.8230498617,0,0,0.4905978459,0.6504087559,0.139319526,0.139319526,0.139319526,0.139319526,0.139319526,0.6441223833,0.48,0.3184713376,0.4761904762,0.4739336493,0.3144654088,0.3134796238,0.3125,0.3115264798,-0.2531055901,0.7207684045
Bhutan,2.62721162,2.623334633,2.63774834,2.672602501,2.727998999,2.800303768,2.86430411,2.936115754,3.053274493,3.222613702,3.41392865,3.595005291,3.727946174,3.792446144,3.77952173,3.708714487,3.636292944,3.559636045,3.432076227,3.250220107,3.041135292,2.751865256,2.486627512,2.403275174,2.551968894,2.810528178,3.207341905,3.437318047,3.152222728,2.2374171,0.9612751313,-0.494146379,-1.704237679,-2.307158752,-1.982072091,-0.9276449173,0.3743581827,1.467104772,2.299093808,2.713957445,2.820078613,2.896402974,3.010761095,2.992124583,2.837032756,2.595688611,2.307193783,2.039297173,1.839262637,1.738807989,1.705370222,1.683818101
Bolivia,2.210947737,2.218643396,2.227039582,2.238425215,2.253983989,2.272534757,2.288077799,2.302628603,2.323384234,2.352000158,2.383482497,2.413199558,2.434448164,2.44363782,2.438162963,2.421302062,2.405668093,2.388518368,2.35636079,2.30685097,2.248761501,2.187440607,2.137823081,2.112696667,2.118577416,2.145889128,2.174532931,2.197496826,2.223768093,2.252243624,2.279226466,2.306643038,2.32580801,2.324816666,2.29924283,2.256518773,2.206747806,2.159279409,2.116059551,2.080330695,2.048539201,2.01938981,1.98507187,1.938515352,1.876650545,1.806357615,1.734203421,1.67117036,1.624281601,1.598381216,1.587666684,1.58120329
