Homicide 30-44 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Totalt
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.079935,1.638421,1.128681,1.349093,2.67533,1.938819,2.688069,2.893049,3.465854,2.87115,2.464778,2.29696,2.361244,2.135798,2.730451,1.449146,1.98736,1.921221,1.30223,1.234758,1.477666,1.70519,0.8369266,45.6321296
Denmark,,0.5317339,0.6421057,1.513711,0.5301209,0.7574322,0.8489627,0.1019511,0.3131531,0.7004965,0.21504,0.5715676,0.6639975,0.5810454,0.3291084,0.4503967,0.2290676,0.4581658,0.5925288,1.059562,0.462212,0.9350654,0.7988616,1.34286,0.9411324,0.9659021,1.107914,0.6434272,0.877257,0.6660677,1.073564,2.39697,1.011668,1.987026,1.04882,1.990309,1.745106,1.453304,1.324464,1.790685,1.049617,1.807302,1.900658,1.346166,3.181798,1.995747,1.814343,2.134523,1.932057,2.103324,1.676177,1.502858,1.556224,1.477274,1.268142,0.86654,1.061403,,,64.3269153
Egypt,,,,,,,,,,,,,,,,,,,,,,,,2.174974,1.427352,1.442155,1.506002,2.138485,1.231609,0.9326567,2.069597,,,,,,,1.07129,,,,,,,,,,,,,0.1273364,,,,,,,,0.0796892,14.2011463
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.76269,63.71559,,,130.47828
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.57202,14.74099,,,12.91778,10.04283,8.731489,11.57963,14.31694,18.21873,18.27584,38.11464,46.25712,60.80458,41.66962,34.43311,27.19606,34.05496,26.70438,20.44705,30.40323,21.25161,20.89088,10.66248,12.58418,9.040357,8.401231,9.102606,572.414343
Finland,,,4.480835,3.417447,4.002523,3.103952,2.977489,3.324925,3.174599,2.94613,3.531088,4.767895,4.281962,4.296507,3.241545,3.073844,4.232433,3.504321,2.667082,3.438833,2.797239,3.984039,3.455901,3.875723,4.300946,5.523653,3.60741,4.208534,5.105245,3.537617,5.214038,3.929558,3.565238,4.546544,3.924445,4.211592,4.829511,4.093128,4.355441,5.850617,4.627442,5.297504,5.890523,5.477627,6.120028,5.039925,5.576093,3.861132,4.38981,4.555431,4.978363,3.914617,3.849458,3.045645,3.602349,4.024947,2.514956,3.291828,2.616925,232.054432
France,1.176652,,0.9293151,0.8847658,0.7647938,1.003146,1.314346,3.316442,4.484935,3.872308,3.0706,4.897943,3.13504,1.215439,1.257251,1.123442,1.073299,1.412598,0.9964768,1.271126,1.155285,1.410445,1.451229,1.259381,1.670518,1.654741,1.354417,1.623303,1.622332,1.669725,1.411234,1.432531,1.670064,1.988652,2.048304,2.230781,1.757951,1.447212,1.355684,1.547903,1.661377,1.900829,1.413439,1.420938,1.712215,1.539007,1.360456,1.2525,0.9423422,1.088694,1.129007,1.028315,0.9750422,1.140946,1.011735,0.8241793,0.8224574,0.7443559,,90.9294455
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.571353,3.584574,,,4.026148,3.941675,5.018636,5.16157,7.070439,5.042313,2.439099,0.4876612,,0.6018002,0.1274523,1.14924,4.37409,6.174472,5.675519,5.70788,6.076399,,,,,,,,71.2303207
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.367699,1.51797,1.53653,1.536934,1.658278,1.550344,1.505919,1.225911,1.067965,1.113657,0.9057801,0.7885846,0.9764831,0.8315195,0.7473437,0.7200361,0.7379716,,,19.7889257
Greece,,,,,,,,,,,,1.806461,1.723419,1.8003,1.685386,1.380156,1.184053,0.9568499,0.8996064,0.9270702,0.551311,0.8827991,0.4793881,1.129755,0.8958136,0.9589714,1.039937,0.922909,0.9483076,0.7678699,1.177552,0.9458078,0.9756592,0.8501291,1.167286,1.381022,1.401781,1.130875,1.734673,1.041784,1.667983,2.008846,1.871733,1.839701,1.602478,1.116106,1.721254,2.36438,1.877228,1.260735,1.462903,1.226734,0.9279199,1.52513,1.115078,1.724788,1.007639,1.593836,2.173769,62.8351732
Guatemala,,,,,,,,,,,,,,24.35124,23.68331,24.25464,30.75752,58.41782,44.0848,28.89426,46.46466,42.80463,,,1.125457,,,1.140132,,41.80044,87.24072,262.6427,,,6.019316,,43.59368,47.66698,50.99293,41.75317,45.11676,41.25772,43.78638,41.16237,50.10941,47.35317,48.89578,62.71842,59.07113,38.82355,40.11293,39.11184,45.26931,49.2524,50.73483,65.43452,58.65285,,,1734.551775
Hungary,,,,,,2.375446,2.548229,5.599416,3.392172,3.190515,1.635303,2.634108,2.435632,2.172031,1.986408,1.530406,2.282448,2.635498,2.855283,2.811458,2.122864,2.892766,2.24782,3.021823,2.18116,3.382157,2.774983,2.335931,2.758117,2.432482,3.499044,3.78333,2.644783,3.773172,3.370672,3.484601,3.894378,3.311371,3.417232,3.902772,4.59291,6.257959,6.004137,6.083059,5.455578,5.032836,4.501018,4.727559,4.882398,4.326532,3.647119,3.128882,4.327405,2.248864,2.325996,2.19046,1.918989,2.145364,2.501501,177.614377
Ireland,0.1675762,0,0.1696996,0,0.1756649,0,0.1840667,0,0.1734886,0.3698566,0,0.1813328,0.6745543,0.1839248,0.813928,0.2129881,0.1889901,0.4336251,0.4154199,0,0.438483,0.4710813,0.6700812,0.2045098,1.066285,1.886907,0.1959453,1.116454,1.668581,1.216534,1.246607,0.6527467,1.116508,1.574877,0.4655398,0.5941237,0.7603748,1.021325,1.01676,0.7266033,0.7101693,1.41975,0.8374876,0.9570445,1.634695,0.9468871,2.105762,0.8942174,1.49702,1.64706,1.474652,1.064875,1.383964,1.243356,1.214129,1.07688,0.9238449,0.8006297,2.053895,46.3417611
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,1.901491,2.055041,1.749178,1.526492,1.755663,2.513942,1.927292,2.722897,3.040966,1.927164,3.869087,3.878244,1.878476,1.819632,2.22691,2.454894,1.886439,1.85302,3.251891,4.089129,2.762246,1.750093,0.999981,0.7153811,3.59552,5.976931,8.004769,9.723706,6.867045,5.786679,4.402898,4.475459,,,103.3885561
