Homicide 30-44 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Totalt
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.836596,9.866755,,,8.117631,6.433624,6.96382,8.81318,11.88736,14.11677,15.11775,19.69181,20.95999,23.83028,25.50639,24.67281,20.61086,19.24413,19.96542,20.0826,18.24751,17.59143,16.69789,15.73486,14.39254,13.96697,,,382.348976
United Kingdom,0.4323746,0.3692552,0.3950261,0.338084,0.296352,0.347456,0.3378101,0.4874063,0.4223686,0.555209,0.5623653,0.62165,0.663936,0.5957667,0.6614172,0.6176896,0.8554206,0.7928199,0.7171313,0.9209676,0.9227183,0.946242,1.1334,1.421135,1.730756,1.939224,2.017646,1.639187,2.048579,1.666082,1.189919,0.7751264,1.116976,1.111377,1.108832,1.069527,0.9473053,1.202339,1.292474,1.486071,0.9466965,1.04124,1.305591,1.803483,1.419174,1.514341,1.173557,0.9285266,1.003875,1.086646,1.302136,0.5982853,0.6452544,0.7040804,0.7295239,0.5555934,0.5846559,0.5096264,,55.6077079
United States,9.189565,8.38765,9.246769,8.790662,8.416882,7.96574,7.954625,7.99533,7.818937,8.485722,8.559942,8.68887,9.095662,9.389508,9.69157,10.63133,11.19669,12.94731,13.91152,14.33893,14.72221,16.50144,16.83479,16.86876,17.32427,16.3658,14.57664,14.57834,14.34443,14.95293,15.75429,15.18814,14.1539,12.89121,11.86093,12.02997,12.48596,11.73189,12.00017,12.14095,13.05091,13.2226,12.47075,12.48968,12.03533,10.78702,9.804811,9.135729,8.488087,8.018154,7.832407,10.26083,8.047024,7.915801,7.699138,8.174488,,,,639.442993
Uruguay,,,,,,7.081556,7.453346,7.415716,8.754972,7.190358,8.57028,,,7.263765,6.220564,7.466473,7.650918,9.374185,7.702958,7.456378,3.645271,5.767258,6.433878,3.713248,6.026346,4.357198,4.952162,4.438168,2.776354,,3.595698,4.373468,6.01217,2.452148,4.828021,3.660102,5.988853,5.078682,5.775893,7.398263,7.004258,,,7.116161,7.068316,7.567246,5.858102,4.971331,7.557065,6.27146,8.022595,5.135154,,,5.540812,,,,,262.98715
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18772,11.19031,,,8.44514,6.574008,6.064541,9.174143,12.57831,15.12833,13.67122,12.42274,10.8212,8.941387,8.952392,9.050138,7.422957,6.296884,6.056452,6.724638,6.120693,5.074124,4.179418,4.692979,5.741101,,,,195.510825
Venezuela,,,,,,9.779085,9.411972,8.663824,14.82509,13.81557,15.54015,16.0905,18.26169,20.99443,21.16306,19.41825,15.9646,14.50108,14.8879,14.52701,14.23414,14.48304,15.90988,16.24527,16.5057,14.15231,13.77822,14.00103,15.00717,15.67533,17.10115,14.2173,16.83137,20.52917,,14.61181,12.24485,12.59886,12.06088,16.11861,18.29177,,18.459,19.5799,20.21532,,18.34052,16.49721,16.2502,22.48472,33.7466,34.23446,36.80962,43.6515,36.9931,36.50623,,44.77718,,930.987631
Czechoslovakia,,,,2.281048,1.865246,1.422445,1.163502,1.629964,1.207789,1.330299,1.346591,1.477348,0.9998664,1.155049,1.134446,1.65127,1.048577,0.7064099,1.529785,1.723703,2.152194,1.90497,1.441984,1.135394,1.148708,1.148641,0.937846,1.18432,0.9074218,1.327487,1.509598,1.249162,1.016975,1.473002,1.770917,1.615574,1.319342,1.718577,1.49223,1.574442,2.801036,2.553212,,,,,,,,,,,,,,,,,,57.0563711
East Germany,,,,,,,,,,,,,,,,,,,,,,,,0.5297729,0.3685965,,,,,,,,,,,,,,,0.8877244,1.339519,,,,,,,,,,,,,,,,,,,3.1256128
West Germany,,,0.8520541,0.7422239,0.9597989,0.8659375,0.7988503,0.7571018,0.6802474,0.8308934,0.8284785,0.8042168,0.9130342,0.9787503,0.954917,1.273798,1.188331,1.242167,1.35335,1.479357,1.667039,1.831872,1.649743,1.584863,1.524071,1.62762,1.640438,1.569387,1.637929,1.52917,1.646383,1.674889,1.714265,1.53807,1.532398,1.52182,1.615402,1.350086,1.614693,1.374432,1.376173,,,,,,,,,,,,,,,,,,,50.7242501
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.45024,16.09729,15.51384,13.61408,9.749345,10.4377,13.27792,17.82464,20.70761,,,,,,,,,,,,,,,,,,,133.672665
Yugoslavia,,,,,,,,,,,,,,,,,,,4.946824,4.762473,,,,,,,,,3.363881,2.985747,2.286723,3.26575,2.682846,2.919631,2.836545,2.333266,2.510213,2.689591,2.275185,2.203443,3.30908,,,,,,,,,,,,,,,,,,,45.371198
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.027896,4.284632,2.823772,3.263086,4.066235,3.242625,,,,,,,21.708246
Totalt,23.8645766,34.8108102,42.3580834,102.9006047,93.8909032,209.2394281,225.804156,225.1424988,251.3503957,225.0320849,222.670079,216.1075259,213.1560597,226.5393171,234.8146524,219.664256,230.9432031,272.7084228,261.2029125,202.1432209,202.8809769,195.0242652,188.115048,145.4293269,220.2488402,204.2512719,195.1468047,230.4630341,156.8281439,190.1503935,273.4111938,580.4856684,361.6165887,226.5483093,271.7116328,440.7831529,463.3308959,464.2142783,506.0632633,561.6432247,622.0283642,587.0554252,737.3402521,778.1209186,812.8693499,675.957371,658.7849603,671.76025,670.5256792,633.6638861,663.3857293,678.2971333,652.0445361,506.3896687,519.1210762,548.1222029,443.9995871,192.9146457,87.4632699,20952.53381
