Per capita government expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,0.83264313,1.25011796,1.61415968,2.52506627,2.81377948,3.50342621,3.74461289,3.90888662,4.39040759
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,13.94059069,17.0620735,14.16477075,18.62584824,28.13970639,27.16051203,30.50961872,32.54990198,40.60945675,63.93560085,71.35659984,75.55251418,88.76263385,109.0742842,106.8937449,94.02361264
Algeria,46.77145965,47.96005336,49.73839952,48.67054687,45.54382499,45.9111145,52.50942325,54.07838073,62.63720886,63.22939519,69.29563633,81.67970568,108.9047466,147.8207065,143.160577,138.8409228
American Samoa,,,,,,,,,,,,,,,,
Andorra,897.1815411,982.7948194,966.4849604,1338.295221,942.4215625,862.3916116,889.5899109,1022.332657,1297.395724,1517.211905,1628.698412,1853.281652,2102.019346,2369.684492,2357.761806,2172.379162
Angola,13.51683268,8.72415485,10.5273051,6.64874402,6.54825377,12.51447308,18.32050967,14.31116488,19.36453709,19.66478251,27.1210765,50.84873501,68.38520496,125.54511,180.914189,101.5915272
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,233.0934413,227.1114265,245.8142443,263.5874856,277.8326132,281.3929619,265.6781078,266.9494118,278.5097619,290.6163123,304.6697491,350.9846955,396.5551052,408.58569,403.1583183,489.4557004
Argentina,367.6643573,357.2125912,373.3732748,382.5691806,399.605605,381.8773152,367.2714099,120.7253826,148.0747231,173.8019466,217.0210268,258.8463162,333.8596953,437.0032935,487.7490518,405.0588753
Armenia,7.96878387,8.16128227,7.35738501,10.01079129,9.62805519,7.06890421,10.99669245,10.56810909,13.90976579,16.27603376,23.63018997,32.99302227,48.33147887,63.53859502,55.95422301,54.23876024
Aruba,,,,,,,,,,,,,,,,
Australia,1029.372657,1148.635677,1178.039092,1053.22778,1193.335611,1144.752844,1081.669023,1235.744552,1535.714845,1915.153068,2097.856608,2217.438755,2670.987968,2875.460883,2682.596575,3246.365812
Austria,2112.067683,2051.069613,1929.511347,2018.319654,2049.536567,1823.838758,1815.096639,1953.658872,2412.845413,2787.684689,2917.158741,3040.373513,3517.034374,3976.358149,3909.672128,3843.423895
Azerbaijan,4.33324416,6.01612378,6.15091878,5.03924493,5.61560878,5.63556889,5.89876965,5.96268702,7.20606156,10.52992715,13.58627127,20.83838759,36.72726007,45.04588745,65.41126535,67.26231209
Bahamas,334.5557486,352.8685996,396.211963,457.7226063,496.6155311,522.6758855,523.8570467,555.9189012,582.2173938,633.1496874,634.8956344,804.412695,804.8050696,829.1848864,815.0804769,791.1145134
Bahrain,335.5907578,336.203756,353.3875998,329.8717355,343.4172676,335.4842867,353.8572029,386.1386668,428.0109575,443.9407416,475.118403,484.6767156,512.7890105,565.1189489,540.1227957,633.6277019
Bangladesh,23.83025448,24.39962057,20.42111841,21.20627398,22.34238069,24.21962971,27.12701507,29.3456711,30.4397314,33.69826166,37.36466997,43.02184554,47.40518493,49.06882266,53.05791841,58.00554462
Barbados,305.8470252,317.7632874,322.0427856,346.6776715,372.1978558,395.5538277,428.996234,458.9086959,456.33097,472.1758136,498.0628681,542.4535437,559.6989022,627.514953,493.6447606,652.3074976
Belarus,49.16810633,66.47887357,74.97990349,68.77066395,56.63369867,47.92029244,58.50376474,66.80539004,87.45211909,115.4007464,154.4385236,168.2501785,207.1716943,242.9644738,198.9302179,248.3139169
Belgium,1640.654463,1679.471125,1436.128398,1477.858625,1499.690683,1375.774521,1413.946374,1528.223739,2251.360837,2677.651936,2746.236707,2685.291992,3065.374217,3563.699189,3566.53859,3451.902222
Belize,74.08390866,58.00964656,63.70754372,62.27511763,60.99767253,69.44853939,87.98538101,87.22640558,95.41694201,96.49528977,105.0146207,113.2151117,133.0643937,137.8537704,154.1646767,149.7197675
Benin,8.1075156,8.23899699,6.87307444,7.73777986,8.29665136,6.94049286,8.58306992,7.64305699,10.97839059,11.91078734,13.43001587,14.26014422,16,17,18,15
Bermuda,,,,,,,,,,,,,,,,
Bhutan,12.86860207,19.20414021,24.42484422,25.02617128,38.18615295,40.93456604,39.290585,58.54913073,37.34348738,34.93704175,43.94919531,56.17043323,73.81325254,80.91950447,78.46262503,94.19770696
