Female 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,28.02644964,28.15076561,28.15198618,28.1072617,28.17766854,27.66687461,27.23613596,26.86844775,26.49487942,26.45235362,26.44235627,26.70786422,27.28308876,28.02906449,28.85048442,29.5280671,29.97422364,30.56625931,31.31732943,32.13309025,32.87433529
Albania,26.57807309,26.9005848,27.40926158,27.61596548,26.86849574,27.52525253,28.71517028,30.77459874,32.9382408,31.96141479,29.35839274,29.34436665,30.11823273,31.25755744,31.37139494,28.59618718,25.65864834,23.50917431,22.44662435,22.83051835,22.63593381
Algeria,27.35541045,27.65824107,27.43709226,26.55091032,24.77939083,24.56875308,24.78659838,26.63815071,28.50538063,30.28701985,33.1216091,35.65019666,36.68338844,36.13276072,33.23561562,30.15058824,28.19865699,27.32573318,27.76041227,27.48940024,26.28117182
Angola,28.82158069,28.28064097,27.52545027,26.65716322,25.78251049,25.8148255,26.00200401,26.30356766,26.61245611,26.47382487,26.78818006,27.14540059,28.01661475,29.05718702,29.77148375,30.73661516,31.22691036,31.82435224,32.4864572,32.69413709,32.76183377
Argentina,32.98498498,31.98968075,30.70372908,29.45039129,28.59044766,28.36413625,27.98007437,27.75097784,27.3827534,27.38572801,28.53497767,29.22429954,29.84988174,30.0110742,29.06842758,28.27565556,27.59121664,26.8836795,26.21113092,25.63484348,24.81603557
Armenia,27.24719101,28.2208589,31.95449845,29.47925861,26.96192696,27.98894264,29.53400504,33.25513196,33.77192982,30.73746313,28.77300613,28.0733945,30.44269254,31.42174432,29.07045589,26.08180202,23.05407011,21.95560888,22.88496652,22.79184682,22.07463631
Aruba,27.77777778,28.57142857,29.16666667,26.92307692,31.03448276,34.48275862,35.48387097,36.36363636,33.33333333,35.8974359,32.60869565,28.84615385,25,24.56140351,25,24.56140351,23.72881356,23.21428571,21.05263158,20.68965517,21.42857143
Australia,30.85419735,28.42058953,26.75585284,25.71278643,26.94013304,28.82404951,30.85916259,32.07427994,31.81287914,31.10793895,29.35513922,28.15940758,27.25591716,26.31347355,25.79234973,24.96777312,24.36036595,23.84701912,23.65661861,23.65248227,23.48867807
Austria,27.60290557,25.33620226,25.68465834,24.38582881,24.05672322,25.0688016,26.61978905,28.22966507,29.92244183,30.43584125,28.82381413,27.13306547,25.48334498,24.79759426,24.22988506,23.01006404,21.8700114,20.78869387,20.50285714,20.52812859,20.72550832
Azerbaijan,27.48041775,28.09822958,30.83743842,27.41867343,24.41773103,24.25385935,26.41569124,31.81419807,33.5415535,34.02865041,33.34133461,32.0267466,32.52959228,33.09007506,31.56418987,28.95813048,26.6386394,25.31573987,25.61134964,25.75785754,24.59843108
Bahamas,30.95238095,29.78723404,28.57142857,26.38888889,28.23529412,28.42105263,30.18867925,32.77310924,34.10852713,35.66433566,34.19354839,33.33333333,31.63841808,30.85106383,30.65326633,29.18660287,27.90697674,26.4573991,25.2173913,24.57627119,24.26778243
Bahrain,27.77777778,27.41935484,27.39726027,26.80412371,24.50980392,26.01626016,31.03448276,39.28571429,39.70588235,37.60330579,38.1294964,37.74193548,38.43930636,37.73087071,35.83535109,34.52914798,32.84518828,30.70866142,28.83895131,27.32142857,26.4604811
Bangladesh,28.42850775,27.71371769,27.07981957,26.6369202,26.03029662,26.28898456,26.64463187,27.14504546,28.40055044,29.97921196,32.008579,33.89521279,35.05185076,35.12129287,34.32358318,32.93898656,31.17765974,29.69691166,28.33282099,27.07976377,26.20840025
Barbados,28.94736842,25.83333333,24.61538462,23.01587302,22.04724409,25,29.23076923,33.58778626,35.07462687,35.33834586,31.78294574,29.54545455,27.81954887,26.51515152,24.62686567,23.13432836,21.80451128,21.3740458,20.15503876,18.8976378,19.67213115
Belarus,30.37242656,30.43981481,32.54674978,29.61538462,26.64211172,25.94283446,26.29951691,28.63031666,28.71032838,28.39574156,27.60942761,28.03435115,29.46793997,28.71958516,26.62576687,23.58510414,20.89487402,20.01350743,20.29969562,20.34727317,19.71289413
Belgium,27.57201646,26.72586016,26.99399657,25.1039069,25.21367521,25.77484503,27.33784322,29.41059734,29.45690673,28.66563227,27.00729927,25.77067669,24.66556716,23.89189189,23.18609189,22.55125285,22.25689028,21.9738652,22.0399795,22.24302246,22.15995925
