Ratio of girls to boys in primary and secondary education (%),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,17.544,16.904,16.866,17.691,17.488,18.161,18.843,20.026,20.668,,,25.034,49.786,,47.99,48.453,53.998,,50.808,,,53.924,,35.768,42.502,46.534,,,,,,0,,54.728,40.928,55.451,58.101,57.611,59.654,62.131,63.77,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,92.661,,94.548,95.776,95.219,94.854,96.199,98.873,97.879,96.534,96.094,95.566,96.228,95.586,94.637,96.063,,,100.486,97.887,97.608,,,95.877,96.535,97.105,,96.639,96.756,,,,98.834,99.938,98.192,97.18
Algeria,,59.732,61.724,63.162,63.884,65.073,66.217,67.542,68.591,70.309,71.524,72.388,73.465,,75.351,76.38,77.885,78.603,79.411,80.614,81.54,82.863,84.259,85.505,87.143,88.498,89.676,92.035,,,,,97.606,98.453,99.055,99.339,,,,98.443,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,102.761,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,110.907,,,,,,,,102.873,,,,,,,,,,,,,,,,,,,101.378,101.456,101.346,102.628,103.266,101.891,101.666,102.23,102.856,101.506
Angola,,56.091,58.041,,,,,,,,,,82.044,78.618,,,,,,,,,,,,,,,81.692,,,,,,,,,,84.252,83.404,78.872,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,119.744,106.129,102.792,108.146,87.658,,,,,,,,,,,,,,97.571,,,,,,,,,,,,,,,96.519,94.633,97.254,95.636,95.488
Argentina,103.284,102.964,102.273,102.971,102.692,103.058,102.775,103.009,104.041,102.788,103.14,103.167,102.013,,102.692,103.72,102.401,102.525,106.553,,,,,,,,102.755,103.03,101.88,101.46,100.961,100.662,100.491,102.496,103.518,103.818,104.027,104.47,105.017,104.369,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.909,104.351,102.519,101.29,102.289,102.923,103.472,102.746,101.831,102.188,102.736
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.117,99.234,99.995,98.826,97.681,95.303,96.367,96.8,97.656,98.699,97.945,98.595,
Australia,,,,,,,,,,,,,,,,,,,,,,,,100.126,99.76,99.67,99.699,101.608,102.014,99.946,100.17,99.01,98.118,98.381,97.692,99.172,98.564,98.861,98.558,97.624,97.071,
Austria,,93.677,,,,,92.143,,,,,92.002,93.024,92.608,92.705,94.37,92.985,92.521,93.133,94.432,94.149,94.832,94.802,95.253,95.573,95.526,95.883,96.328,95.843,96.384,96.682,96.749,96.199,96.11,96.125,96.5,96.893,96.908,96.685,96.714,97.099,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,100.165,99.14,97.164,94.557,106.547,106.108,102.92,99.442,99.303,96.258,94.409,94.125,94.227,95.326,95.151,95.037,97.53,98.12,101.197,98.215,97.497
Bahamas,,,,,,,,,,,,,108.531,107.512,,107.553,107.19,,,,,,101.51,101.824,,100.315,,125.179,,97.46,98.094,,101.646,,98.667,98.897,99.483,100.78,100.504,102.375,103.584,
Bahrain,,72.712,76.839,78.631,80.421,81.417,82.656,83.612,84.293,84.022,84.803,85.137,86.067,90.807,93.73,96.672,98.842,99.448,99.858,100.954,102.728,102.388,103.568,103.799,103.514,102.16,101.959,103.411,104.256,104.333,104.04,103.754,101.808,99.636,97.921,98.435,101.509,,,,,
Bangladesh,,,,50.416,,,50.119,52.938,,52.09,53.482,57.38,,,62.001,61.045,63.099,62.624,71.89,72.789,75.491,,,,,,,,,,,,,,,,,,,,,
Barbados,,99.217,100.337,100.504,90.481,96.606,105.234,104.811,103.675,104.023,107.696,101.002,102.603,99.078,102.101,99.105,,,,102.536,94.24,,,,,,,,,107.815,107.649,107.008,107.335,107.376,107.192,107.273,107.843,108.52,108.14,107.025,105.671,104.957
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.338,102.319,101.804,102.151,101.915,101.894,100.206,100.336,100.675,101.132,97.768,97.717,97.822,97.836
Belgium,,98.362,98.128,99.525,98.867,99.212,99.224,99.948,100.31,100.695,100.985,101.302,101.125,102.02,101.371,101.477,100.893,100.873,100.764,100.816,101.013,101.177,100.966,102.993,103.054,103.825,103.702,,,103.861,105.487,106.142,106.625,105.578,98.026,97.945,97.98,97.915,98.127,98.207,98.142,
Belize,,,,,,,,,,,,,,,,,93.029,92.546,,,,94.303,,,94.184,95.31,,,,96.447,94.767,94.517,92.616,93.319,92.918,,,,,,,
Benin,,43.587,,44.427,43.561,43.374,,42.654,,,,,,,,46.137,46.442,46.871,,,,,,,,,,,,59.131,60.897,62.152,63.598,64.754,66.872,69.994,,,,,,78.71
Bermuda,,106.352,104.938,102.245,102.667,101.435,100.645,101.021,101.511,98.05,97.702,,,,,,,,,,,,,,,,,,,,,104.057,106.165,107.989,110.9,108.901,108.132,,,,108.421,107.207
Bhutan,5.369,23.329,21.044,,29.223,,,37.886,,,,,,45.451,46.74,,,,,,,,,,,,,,81.976,83.831,86.071,88.046,,,,93.907,95.803,,98.51,100.805,101.639,102.144
Bolivia,,74.158,,,,,,,,,,,,,,,,,,,,,,,,,,,95.955,96.347,97.434,97.677,97.764,98.163,,,98.057,98.486,98.687,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.092,101.787,102.267,102.313,102.299
Botswana,110.697,112.012,113.276,116.161,118.609,120.77,122.043,122.799,122.43,122.427,120.562,118.62,,115.199,112.752,111.012,108.288,107.108,106.897,106.969,107.979,108.661,107.413,105.7,104.129,103.54,,,102.388,102.211,101.65,101.448,101.243,101.22,100.63,100.65,100.47,99.985,100.505,99.823,,
Brazil,100.443,99.791,99.932,100.916,102.386,,,,,,,,,,,,,,,,,,,,,,,,,102.9,102.814,102.931,102.929,103.136,101.851,102.851,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,94.209,93.513,94.262,95.004,95.303,95.889,97.49,99.265,99.879,100.564,99.382,100.663,101.254,101.54,101.121,,,,,,,100.276,102.19,102.83,101.874,,,,101.02,100.557,100.478,100.471,100.51,101.477,101.119,101.268,101.166,101.164,101.335,101.667,102.308,101.359
Bulgaria,,98.625,99.232,99.498,99.846,100.406,98.875,99.978,98.832,98.592,98.44,99.319,99.69,99.752,99.918,99.82,99.769,99.45,99.427,99.011,99.119,99.435,99.503,99.241,99.716,99.462,98.812,99.02,98.164,97.955,97.732,97.741,97.758,97.67,96.679,96.552,96.633,96.66,97.464,97.42,96.819,
