Female 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Ecuador,16.21779859,15.2892562,14.42091032,13.71784879,13.31092437,13.03462322,13.05555556,13.23172079,13.68791553,14.9577167,16.40841625,18.02272029,19.64233789,20.60032895,21.48051948,22.32286884,23.15864868,24.05136511,25.06497909,25.65840649,25.71177311
Egypt,16.11352501,15.78172298,15.41283084,15.17035721,15.00506928,15.01772152,14.7631935,14.03467016,14.17624521,14.75932118,15.80261798,17.1397266,17.94651999,18.76572929,20.15409323,22.04255968,24.31103426,25.1899644,25.38622676,25.21445692,24.88130609
El Salvador,13.5426009,13.68421053,13.38078292,13.14180929,12.61980831,12.89117235,13.33896159,13.828125,14.69298246,15.63451777,16.46716273,17.39540736,18.64510223,19.94696523,21.01983003,21.93863698,23.25763508,25.19605363,27.05504814,27.29474449,26.70169572
Equatorial Guinea,18.26086957,17.64705882,17.69230769,17.51824818,17.56756757,18.03278689,16.66666667,12.5,10.82474227,11.68831169,14.49814126,17.04918033,18.57142857,17.46835443,14.96598639,13.67346939,13.99253731,15.60891938,17.40506329,18.70397644,19.55922865
Eritrea,12.9982669,12.89308176,12.9707113,12.86764706,12.99677766,13.22701689,13.39712919,13.2960112,13.37064677,13.11775473,12.41970021,11.26698816,10.96871466,12.59454127,15.5274013,18.05034815,19.82313928,20.35318089,20.09218521,20.88793272,22.40235814
Estonia,25.2782194,26.14678899,25.07331378,24.51253482,25.1691475,25.06493506,26.70886076,25.6127451,24.46043165,25.51813472,26.08695652,26.85950413,26.629681,26.11111111,25.45454545,25.99431818,27.4566474,26.58788774,24.69879518,22.44274809,20.65217391
Ethiopia,13.6177988,13.62703917,13.72307692,13.63070216,13.53702816,13.47103457,13.43308675,13.37554986,13.23632178,12.94966537,12.76995875,12.8002983,12.84549799,13.09656857,13.58250277,14.36057828,15.64678426,17.38475696,19.15105697,20.76347723,22.3073663
Fiji,10.14492754,10.3030303,10.9947644,11.94690265,12.5,12.98245614,13.41853035,14.24501425,15.29745042,16.97612732,18.98734177,20.29339853,20.42755344,20.46511628,20.64220183,21.52466368,22.1978022,23.91304348,25.43859649,25.77092511,26.28062361
Finland,23.26803631,24.18330309,23.86759582,23.97289284,23.82352941,22.87474333,22.87104623,22.55639098,24.84423676,26.79389313,28.28549849,29.12149533,27.30275229,25.29815685,24.2662849,23.55239787,23.07964602,23.78589153,23.54827218,23.07968413,22.89635247
France,26.64579689,25.88549788,22.85847894,22.43169835,22.00715742,21.81487259,22.81794157,21.4077072,22.37671233,23.64849013,25.3952082,27.17737822,26.74208989,26.25846604,25.0887218,24.1092142,23.26163819,22.24105682,22.01522902,22.00498927,22.17863784
French Guiana,25,28.57142857,25,21.05263158,18.18181818,14.81481481,15.15151515,13.95348837,14.54545455,16.41791045,17.5,18.81188119,20.86956522,22.13740458,22.06896552,21.34146341,21.34831461,21.53846154,23.30097087,24.20091324,25.43103448
French Polynesia,13.79310345,12.5,15.38461538,13.04347826,11.53846154,12.90322581,13.88888889,14.63414634,16.12903226,16.50485437,18.42105263,20.96774194,24.24242424,24.47552448,25.17006803,25,26.08695652,26.19047619,27.3255814,26.43678161,25
Gabon,22.406639,22.13114754,21.77419355,21.01167315,20.58823529,18.62745098,16.42651297,14,13.27623126,12.82051282,13.48314607,14.55604076,15.69148936,16.50366748,17.26862302,18.27731092,19.60591133,21.54850746,22.98136646,23.91857506,24.36631235
Gambia,16.2962963,15.49295775,15.85365854,15.87301587,16.51376147,16.47509579,16.39871383,16.3538874,16.33554084,15.45454545,14.78658537,14.60234681,14.85260771,15.28471528,15.71428571,16.02564103,16.58218682,17.68211921,19.03892944,20.6313416,22.16956293
Georgia,19.89473684,22.07666181,21.4028777,20.77213596,22.27564103,22.70457165,25.63150074,24.07739162,22.41620112,22.66065389,23.08,26.75159236,28.43093429,28.53185596,27.67772512,26.22871046,27.57757758,28.69700103,27.06766917,25.1396648,23.0994152
Germany,29.40379036,29.94914446,27.35115151,26.13865327,24.22030363,22.85203008,25.55078963,25.48797598,25.06930597,25.74796011,25.85160323,27.80772793,30.22821875,29.9313479,28.67522936,26.7363352,25.24431201,24.94654129,24.76945776,23.97979853,22.75160154
Ghana,13.06818182,13.22862129,13.23616895,13.16872428,13.03142329,12.88368336,12.82051282,12.83007145,12.98473179,12.96948357,13.34163295,13.9975946,14.70833333,15.63488477,16.61521575,17.63891511,18.71402825,19.73314607,20.51864184,21.18226601,21.87765696
Greece,20.70121165,21.95241599,21.95636875,22.39927157,24.58324072,25,26.06924644,26.09988109,24.78168057,24.54646427,25.12662808,27.00429492,28.2292406,29.22318126,29.8557354,29.78498414,28.16427686,26.34858465,24.31463895,23.00198448,22.83995625
Grenada,16.27906977,17.77777778,16.32653061,15.68627451,14.89361702,14.89361702,15.2173913,13.7254902,12.24489796,14,13.7254902,17.64705882,17.64705882,18.86792453,20,21.81818182,25.92592593,30.18867925,28.84615385,25,22.91666667
Guadeloupe,16.51376147,15.83333333,15.71428571,16.23376623,16.46341463,15.97633136,16.86746988,17.77777778,18.46153846,21.25603865,23.07692308,25.84745763,28.27868852,28.68525896,26.5625,25.78125,24.5210728,24.13793103,25,24.71042471,24.31372549
Guam,10.52631579,13.63636364,14.28571429,12.5,13.15789474,13.63636364,14.28571429,15.78947368,16.12903226,18.84057971,21.33333333,23.17073171,24.13793103,24.46808511,23.76237624,22.42990654,22.72727273,23.47826087,24.57627119,25.83333333,25.40983607
Guatemala,12.96534018,12.58389262,12.28585414,12.3609923,12.9622712,13.33985649,13.267955,12.85314329,12.78569812,12.6640159,12.60283564,12.88984483,13.25644505,14.06738869,15.37049039,16.87432552,18.34490219,19.96482707,21.52286657,23.06833408,24.53769559
Guinea,15.07996954,15.35240754,15.61504143,15.59792028,15.34061362,14.64746773,14.0625,13.99082569,13.70941292,13.63022942,13.6013481,13.42825849,13.42465753,13.53473289,13.93393393,14.61918101,15.63322959,16.82010181,18.07490859,19.39647337,20.81577617
Guinea-Bissau,15.8490566,15.73426573,16.50165017,16.50165017,16.39344262,15.05681818,14.21800948,14.43965517,14.36893204,15.42372881,15.19756839,14.55525606,13.58173077,14.02569593,14.34071222,14.70588235,15.34847298,15.41755889,16.21975147,17.57977122,18.9279732
Guyana,14.22018349,13.65461847,12.75862069,13.3126935,12.60504202,12.60053619,12.46819338,12.5,12.98701299,14.69072165,17.26804124,20.10723861,22.76422764,23.84823848,22.95081967,22.12885154,20.97701149,20.9439528,23.21981424,25,26.16487455
Haiti,15.92973955,16.61092531,16.64974619,15.93735606,15.25282073,14.86590038,14.80968858,14.53255168,14.02777778,14.07742584,14.21389397,14.81947943,15.62196779,16.09236875,17.21809588,19.1246432,20.96338535,22.70131354,23.92940211,24.16337286,24.28534967
Honduras,14.70985155,13.96713615,12.89023162,12.67123288,12.40657698,11.97411003,11.55973451,10.95825427,10.81081081,11.36608103,12.18729955,13.34684424,14.64566929,15.85103843,17.47040772,19.41391941,21.40947288,23.51982618,25.02597852,25.82097016,26.24777903
"Hong Kong, China",16.85744017,18.41453344,19.11764706,19.33003844,20.34073309,20.36346692,19.07131012,17.95454545,19.08012936,21.75303903,26.69762043,33.04565702,35.69701853,36.11466598,34.26470588,31.42991977,29.53557538,28.44057194,26.96358052,24.51277609,23.09840997
Hungary,25.81975665,26.55511811,24.52099865,25.41468065,25.34735261,24.66334625,25.67028986,25.03197515,25.20883609,26.80756396,27.78400598,27.21088435,26.88931298,26.49951784,27.7734375,28.95622896,29.24964796,28.48944456,26.03883901,24.72363946,23.82804061
Iceland,20.83333333,19.23076923,19.54022989,18.94736842,19.8019802,18.86792453,18.91891892,18.33333333,19.35483871,21.3740458,23.74100719,25.5033557,26.41509434,25.74850299,25.56818182,25.13661202,25,25.52083333,24.35233161,23.71134021,23.46938776
India,15.98303795,15.90733235,15.4900135,15.30321821,15.14319074,15.28313375,15.46975632,15.40821485,15.46838591,16.29190685,17.23918854,18.40598306,19.59452786,20.45797777,21.62079912,22.98789823,24.48785583,25.99162913,26.99611879,27.65208738,27.8885703
Indonesia,14.76080247,14.95018975,14.79205037,14.50463772,14.60222412,15.01875629,15.7064697,16.17042297,16.24877117,16.71077821,17.87082249,19.53289516,21.78008673,24.00532671,25.78651377,27.1026128,27.52367549,27.32801325,26.85039425,26.45313698,26.19018194
Iran,16.47454371,15.68189077,14.90997749,14.17342176,13.49684554,13.8861629,12.97105975,11.95587611,11.7431126,12.76331284,15.17531045,17.05897606,19.36139097,20.99726811,23.56652485,28.48732094,32.21288515,33.25286531,30.77673196,26.72227307,24.01317821
Iraq,19.68586387,18.50845411,17.51746373,15.74378226,13.93818544,12.72294887,11.9255381,11.58652026,10.94255438,12.00996837,12.02847557,12.54030813,14.09564211,15.02625783,16.6616238,18.05921351,19.19774339,20.48644308,22.06719818,23.37831518,24.31996967
Ireland,21.19341564,22.406639,22.41134752,22.11336599,21.21006118,19.52141058,18.16568047,17.76390465,19.73833902,21.68409466,23.64016736,24.5823389,24.726955,26.056627,27.8254092,28.7528006,28.61250899,27.01388889,24.86577181,23.68249837,23.82465057
Israel,19.37602627,21.92575406,21.19460501,21.05678233,20.02781641,18.43675418,17.47211896,16.73151751,17.76895944,19.90451708,21.20818448,22.0544701,21.4986376,21.61749746,21.90201729,22.34891676,22.66608771,22.48545303,22.76,23.43598683,24.24528302
Italy,23.14900412,24.55530401,23.57092449,24.40009055,24.27467561,23.90216395,25.45661314,24.75325296,24.95234854,25.01523255,25.49405105,27.02246074,28.20462945,29.77517232,30.14398965,28.64410096,26.2501645,23.86974706,22.313828,21.9947809,22.3452164
Jamaica,17.22222222,18.15889029,16.52892562,15.35947712,15.03131524,14.68871595,13.4935305,13.12607945,13.30008313,14.24,15.97542243,18.7958884,21.59253945,23.20675105,23.09820194,22.26775956,21.75390891,22.77701778,24.42906574,24.98235709,24.92732558
Japan,17.20460685,18.38230425,19.50401721,20.86714352,22.41064882,23.81859554,25.15587611,26.43418292,28.46194293,28.68156442,27.86343272,26.79611353,25.32379842,26.1270175,26.9852226,27.13056575,26.16396678,23.89532026,22.67578467,21.98096209,21.67288145
Jordan,13.15789474,12.46105919,12.03703704,12.12686567,11.94409149,12.16931217,12.12686567,11.75560712,11.23956326,11.49537263,12.37729407,13.02256752,14.96038035,17.63839812,20.11963023,22.54160363,23.83652256,24.64253798,25.37249894,25.42857143,26.13837966
Kazakhstan,19.38746027,20.65716357,18.83442686,17.37439222,18.54304636,17.75317753,20.24825446,18.63597404,17.94721408,20.01215067,21.01747174,24.16488088,24.85773096,24.7428705,24.59631567,25.0641956,27.0773639,27.51553472,26.14985964,24.85778684,24.38526791
Kenya,16.09691338,14.60674157,13.29207921,12.24747475,11.68854204,11.35087201,10.71909837,9.918864097,9.823099167,10.47025578,11.37170385,11.99330917,11.87353171,11.90958892,12.73784762,14.11354929,15.70961496,16.75932124,17.5,18.42981205,19.84412048
"Korea, Dem. Rep.",7.322611164,10.04054837,12.64863002,16.02167183,18.10181424,19.67847214,22.31264836,23.44402673,23.50822545,21.27813432,21.41322101,21.99229223,25.19153143,29.25087249,28.30294306,28.49135549,26.98362967,26.74636662,28.24792352,27.65974252,26.77385809
"Korea, Rep.",15.62953744,15.42232278,15.12557991,14.83395879,15.25802131,16.06181629,17.56308811,18.35777416,19.51242251,21.40709831,24.44015444,27.73242253,30.67592404,32.6433634,31.82526678,30.66060316,28.44033021,26.97814008,26.19274217,24.3466417,23.40979268
Kuwait,11.29032258,11.53846154,9.523809524,9.836065574,8.307692308,9.649122807,10.08547009,11.00671141,11.02702703,13.3915575,15.56064073,16.86859273,19.64430073,23.23741007,26.13784135,27.56563246,27.46828461,26.2295082,24.97603068,24.36708861,24.65635739
Kyrgyzstan,21.0989011,21.37862138,18.85964912,16.77802524,17.34627832,17.33021077,18.33244254,15.79457364,13.99910834,14.0651801,15.65113501,19.14652568,20.35587189,21.32526068,21.76979801,22.81027546,25.28631706,26.78466077,27.18305773,26.44106682,26.00229095
Laos,15.38461538,15.6964657,15.83333333,15.52436003,15.18708731,14.61038961,14.48741559,13.43528127,12.64859724,12.54673868,12.92114032,14.02439024,15.17219981,16.25854214,17.2034564,18.44848485,20.28098799,22.33860624,24.3803332,24.81567714,24.83208955
Latvia,24.66001813,25.59787422,24.95798319,24.43548387,25.52693208,25.39562924,27.45387454,26.84852836,25.08759636,25.18628912,25.62305296,26.49434572,27.09196355,27.14164546,26.86956522,27.15053763,29.25482981,28.9373814,26.85546875,24.02402402,21.14989733
Lebanon,17.57322176,17.31008717,15.27777778,14.82504604,14.68646865,14.91550331,15.60940841,15.2957172,15.13761468,17.08967851,18.90909091,21.01727447,23.4670355,25.39823009,26.52712516,27.31404959,27.62096774,27.84609282,27.96078431,26.80452595,25.61403509
Lesotho,16.19537275,15.23809524,14.94505495,15.30815109,14.77477477,14.37802908,13.7733142,13.56147022,13.72093023,13.57220413,14.31411531,14.63644948,13.5577798,12.03866432,11.40651801,12.25860621,14.00329489,16.16571893,17.93434748,19.06274821,19.84313725
Liberia,15.10791367,15.18438178,14.73880597,14.24,13.93103448,13.76811594,13.20949432,13.00089047,12.48860529,12.30925738,12.97335203,13.57142857,14.05719825,14.13925673,14.46469248,15.08855586,16.08024691,17.47956019,18.84585391,20.13520039,21.43663881
Libya,13.05220884,12.88566243,13.24200913,13.35044929,12.32876712,11.13028473,11.0721794,11.0864745,11.34820563,12.2120817,13.27606404,14.9122807,17.26641414,20.25316456,23.52,26.88927944,27.76183644,26.89844465,25.71240684,24.48850453,25.09209988
Lithuania,22.65625,23.3030091,21.57123835,21.55009452,22.76276276,23.76861397,25.91362126,25.33333333,23.94871795,23.67049009,24.5972073,26.48026316,27.99305957,28.45138055,26.99197035,25.95177665,26.67971298,27.19946273,27.0963271,25.53648069,23.09400444
Luxembourg,27.7027027,28.94736842,27.04402516,25.74850299,25.58139535,24.44444444,25.13368984,25.13089005,24.22680412,24.03846154,25.11210762,27.65957447,29.55465587,29.77099237,29.34782609,27.93103448,26.38436482,26.31578947,26.40949555,26,25.40983607
"Macao, China",20.45454545,20.68965517,19.31818182,18.0952381,16.93548387,18.4,16.39344262,14.37908497,14.65968586,18.57142857,25.2173913,31.37254902,35.31468531,37.79264214,35.9223301,33.54231975,32.11009174,30.69908815,29.48328267,26.29969419,22.67080745
