Storm affected,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96040,0,0,0,0,1002,0,0,0,0
Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,10001,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10326,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,0
Solomon Islands,0,0,0,0,0,0,0,0,0,6002,0,0,30000,0,0,650,150101,0,0,0,0,0,0,88504,0,0,0,0,0,0,0,0,1110,425,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,210,500064,0,0,0,0,0,2,0,0,7,2002,0,0,0,178,18806,301,654,101239,600,0,0,0,0,3581
Spain,0,0,0,19,0,0,0,0,0,0,0,0,0,0,60069,0,0,0,0,33,9,0,0,0,12,0,0,371,0,6,16,10,0,0,0,0,0,1,0
Sri Lanka,0,0,0,0,0,0,0,0,1005740,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375005,0,0,0,0,0,0,0,50009
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,6536,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,7,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,12,0,0,3,7,0,0,1,0,0
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,185,0,0,0,0
Taiwan,0,0,0,0,0,0,0,11589,0,0,0,26,0,82,0,0,65,2261,0,13,20005,37,8,0,633,0,65,122,400013,0,2205,652534,8,3,8952,1656,803,2897,135
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,830,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,50,0,0,43055,0,0,0,0,0,0,0,199458,36,1894276,386452,213920,15019,27,343395,50592,0,0,41221,150,30205,5000,9064,3510,0,0,1000
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Tonga,0,0,0,903,0,0,0,10005,0,0,0,0,146521,0,0,0,0,0,0,0,3104,0,0,0,0,0,0,3000,3571,0,0,16500,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,50002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0
Turkey,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,30,0,0,0,0,0,0,0,14,0,1661,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,1504
Tuvalu,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,0,100,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,11,0,0,48120,0,0,0,0,0,0,7552,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,12,0,17,22,0,0,20,0,13,200083,48,0,0,0,9,12005,0,253035,211,20120,0,14,0,0,3010,0,13,0
United States,37,158,256,296,352,302,0,91,215,2346,582,30,52003,6132,15774,1020863,81,3351,27,25208,10830,3087,295150,891,21915,86310,4418,5072,153824,3059097,23496,180470,19173,243744,5080209,832187,5756,8562,2301141
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,501,0,1001,100,0,1502,0,0,19,0,0,0
USSR,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,400,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,117509,0,48048,6700,0,0,0,1162,12009,0,0,0,0,2400,32,0,802,0,0,54010,0,0,0,0
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0
Vietnam,0,50112,0,150100,0,0,0,1000,0,0,15652192,0,1300360,1182602,651954,451055,2502937,937134,1320157,6418318,502210,477902,79389,38963,11030,23067,667880,1084869,2525605,10,14557,200692,1800,5018,500975,367776,3297691,685526,156903
Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,10007,0,0,0,3,0,0,0,0,0,0,0,0,0
Wallis et Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Germany,0,0,54,0,0,0,82,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
